squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,league_name,league_country
vs Augsburg,27.0,54.4,34.0,374.0,3060.0,46.0,32.0,2.0,3.0,51.0,2.0,1.35,0.94,2.29,1.29,2.24,43.0,40.7,29.9,1.26,0.88,2.14,1.2,2.08,34.0,34.0,3060.0,44.0,1.29,141.0,103.0,0.716,13.0,11.0,10.0,10.0,29.4,4.0,4.0,0.0,0.0,34.0,1.0,9.0,2.0,45.1,0.3,4.1,0.12,286.0,698.0,41.0,956.0,159.0,53.9,42.9,259.0,70.7,54.9,383.0,27.0,7.0,40.0,1.18,16.0,461.0,165.0,21.0,35.8,13.56,4.85,0.1,0.27,0.09,3.0,3.3,13340.0,17220.0,77.5,271412.0,101193.0,5060.0,5966.0,84.8,5862.0,7022.0,83.5,2241.0,3709.0,60.4,2.1,336.0,1125.0,289.0,71.0,1290.0,15491.0,1729.0,487.0,14.0,2628.0,510.0,347.0,154.0,53.0,45.0,15.0,10070.0,3002.0,4148.0,4579.0,9978.0,1150.0,760.0,241.0,34.0,334.0,299.0,405.0,710.0,20.88,507.0,68.0,32.0,38.0,52.0,72.0,2.12,46.0,5.0,5.0,9.0,5.0,1.0,504.0,305.0,248.0,203.0,53.0,136.0,418.0,32.5,282.0,5022.0,1607.0,32.0,1685.0,2202.0,1135.0,546.0,99.0,1.0,447.0,251.0,922.0,9.0,21469.0,2102.0,6343.0,10870.0,5500.0,799.0,19791.0,327.0,563.0,58.1,361.0,19.0,13525.0,80478.0,42429.0,15647.0,13340.0,85.3,534.0,404.0,1.0,436.0,466.0,39.0,3.0,4.0,2.0,3633.0,663.0,639.0,50.9,Bundesliga,Germany
vs Bayern Munich,28.0,34.1,34.0,374.0,3060.0,25.0,18.0,1.0,4.0,49.0,2.0,0.74,0.53,1.26,0.71,1.24,33.7,30.4,21.4,0.99,0.63,1.62,0.89,1.52,34.0,34.0,3060.0,92.0,2.71,222.0,136.0,0.613,4.0,3.0,27.0,2.0,5.9,8.0,6.0,1.0,1.0,34.0,1.0,11.0,2.0,82.1,0.35,-7.9,-0.23,302.0,794.0,38.0,873.0,135.0,61.1,45.4,337.0,77.4,56.2,455.0,34.0,7.5,19.0,0.56,12.9,286.0,93.0,13.0,32.5,8.41,2.74,0.08,0.26,0.11,-8.7,-6.4,9043.0,12343.0,73.3,179563.0,70888.0,3704.0,4454.0,83.2,3849.0,4727.0,81.4,1364.0,2752.0,49.6,-3.4,200.0,631.0,163.0,50.0,794.0,10855.0,1488.0,386.0,21.0,2037.0,311.0,246.0,102.0,25.0,30.0,11.0,7076.0,1995.0,3272.0,3116.0,7342.0,742.0,553.0,230.0,49.0,294.0,259.0,334.0,442.0,13.0,303.0,35.0,32.0,25.0,27.0,43.0,1.26,23.0,3.0,7.0,4.0,1.0,3.0,554.0,340.0,323.0,185.0,46.0,166.0,529.0,31.4,363.0,7202.0,1554.0,21.6,2813.0,3115.0,1274.0,520.0,132.0,5.0,388.0,310.0,839.0,6.0,16139.0,2562.0,6442.0,7494.0,3197.0,484.0,14681.0,261.0,478.0,54.6,293.0,12.0,9593.0,58557.0,32093.0,11160.0,9043.0,81.0,393.0,338.0,0.0,427.0,355.0,53.0,3.0,8.0,2.0,2771.0,400.0,477.0,45.6,Bundesliga,Germany
vs Dortmund,30.0,41.0,34.0,374.0,3060.0,47.0,35.0,3.0,3.0,57.0,3.0,1.38,1.03,2.41,1.29,2.32,44.6,42.3,33.0,1.31,0.97,2.28,1.24,2.22,34.0,34.0,3060.0,64.0,1.88,166.0,106.0,0.633,9.0,10.0,15.0,4.0,11.8,6.0,3.0,3.0,0.0,34.0,0.0,5.0,2.0,63.9,0.37,1.9,0.06,221.0,675.0,32.7,852.0,139.0,56.8,43.9,247.0,77.3,58.4,261.0,17.0,6.5,26.0,0.76,14.2,364.0,147.0,13.0,40.4,10.71,4.32,0.12,0.3,0.12,2.4,1.7,10186.0,13908.0,73.2,200750.0,78806.0,4207.0,5026.0,83.7,4161.0,5139.0,81.0,1638.0,3234.0,50.6,2.0,264.0,833.0,230.0,77.0,984.0,12273.0,1635.0,436.0,34.0,2270.0,388.0,357.0,132.0,32.0,41.0,20.0,7427.0,2626.0,3855.0,3570.0,8071.0,923.0,737.0,235.0,109.0,356.0,252.0,404.0,579.0,17.03,426.0,49.0,31.0,29.0,32.0,80.0,2.35,55.0,6.0,6.0,6.0,5.0,0.0,620.0,392.0,322.0,246.0,52.0,207.0,622.0,33.3,415.0,5807.0,1555.0,26.8,2114.0,2795.0,898.0,513.0,126.0,5.0,387.0,269.0,938.0,14.0,18047.0,2190.0,6322.0,8458.0,4308.0,712.0,16455.0,318.0,519.0,61.3,340.0,11.0,10658.0,64975.0,35038.0,12544.0,10186.0,81.2,464.0,425.0,1.0,443.0,396.0,118.0,3.0,6.0,2.0,3365.0,431.0,489.0,46.8,Bundesliga,Germany
vs Eint Frankfurt,28.0,51.6,34.0,374.0,3060.0,43.0,32.0,2.0,3.0,52.0,1.0,1.26,0.94,2.21,1.21,2.15,42.1,40.3,31.0,1.24,0.91,2.15,1.18,2.1,34.0,34.0,3060.0,45.0,1.32,140.0,98.0,0.693,13.0,7.0,14.0,8.0,23.5,2.0,2.0,0.0,0.0,34.0,0.0,6.0,1.0,46.0,0.32,2.0,0.06,261.0,710.0,36.8,1021.0,174.0,51.5,41.1,249.0,73.9,55.7,293.0,18.0,6.1,31.0,0.91,15.8,398.0,133.0,13.0,33.4,11.71,3.91,0.1,0.31,0.1,0.9,0.7,12423.0,16520.0,75.2,247452.0,91399.0,4936.0,5868.0,84.1,5328.0,6414.0,83.1,1983.0,3692.0,53.7,1.0,273.0,879.0,208.0,59.0,1109.0,14773.0,1747.0,538.0,31.0,2975.0,503.0,390.0,143.0,26.0,35.0,22.0,9675.0,2656.0,4189.0,4492.0,9635.0,931.0,743.0,252.0,99.0,342.0,280.0,453.0,605.0,17.79,424.0,60.0,39.0,31.0,39.0,74.0,2.18,54.0,6.0,1.0,5.0,6.0,2.0,600.0,385.0,320.0,220.0,60.0,195.0,534.0,36.5,339.0,5131.0,1666.0,32.5,1652.0,2435.0,1044.0,545.0,91.0,1.0,454.0,278.0,861.0,14.0,20619.0,2134.0,6979.0,10189.0,4709.0,674.0,18943.0,327.0,562.0,58.2,365.0,17.0,12659.0,74152.0,39555.0,14859.0,12423.0,83.6,414.0,419.0,1.0,486.0,513.0,111.0,3.0,1.0,1.0,3640.0,617.0,572.0,51.9,Bundesliga,Germany
vs Freiburg,29.0,55.5,34.0,374.0,3060.0,52.0,35.0,4.0,5.0,52.0,0.0,1.53,1.03,2.56,1.41,2.44,50.6,46.8,36.0,1.49,1.06,2.55,1.38,2.44,34.0,34.0,3060.0,33.0,0.97,109.0,82.0,0.752,14.0,12.0,8.0,15.0,44.1,11.0,6.0,2.0,3.0,34.0,0.0,9.0,0.0,39.1,0.3,7.1,0.21,242.0,591.0,40.9,1136.0,148.0,39.4,36.8,214.0,66.8,53.5,241.0,13.0,5.4,30.0,0.88,16.1,484.0,149.0,13.0,30.8,14.24,4.38,0.1,0.32,0.1,1.4,1.2,14945.0,18826.0,79.4,314017.0,102755.0,4992.0,5796.0,86.1,7139.0,8219.0,86.9,2638.0,4303.0,61.3,-1.0,353.0,1224.0,310.0,86.0,1310.0,17215.0,1611.0,431.0,21.0,2850.0,519.0,468.0,167.0,28.0,55.0,17.0,11802.0,2663.0,4361.0,5133.0,11355.0,927.0,736.0,225.0,68.0,359.0,241.0,397.0,750.0,22.06,552.0,63.0,39.0,39.0,32.0,91.0,2.68,60.0,7.0,4.0,8.0,7.0,2.0,522.0,355.0,219.0,236.0,67.0,156.0,459.0,34.0,303.0,5204.0,1666.0,32.0,1332.0,2441.0,1431.0,537.0,105.0,2.0,432.0,220.0,776.0,4.0,22770.0,2028.0,7039.0,11609.0,5575.0,848.0,21212.0,302.0,491.0,61.5,324.0,23.0,15437.0,86410.0,46128.0,17475.0,14945.0,85.5,479.0,376.0,0.0,462.0,431.0,69.0,4.0,10.0,0.0,3623.0,676.0,665.0,50.4,Bundesliga,Germany
vs Hamburger SV,29.0,50.9,34.0,374.0,3060.0,52.0,37.0,3.0,4.0,60.0,3.0,1.53,1.09,2.62,1.44,2.53,52.7,49.7,37.4,1.55,1.1,2.65,1.46,2.56,34.0,34.0,3060.0,31.0,0.91,125.0,98.0,0.776,19.0,7.0,8.0,17.0,50.0,5.0,3.0,2.0,0.0,34.0,2.0,4.0,1.0,34.4,0.25,6.4,0.19,289.0,820.0,35.2,1004.0,123.0,60.4,45.3,267.0,80.1,57.7,333.0,29.0,8.7,22.0,0.65,14.6,446.0,140.0,16.0,31.4,13.12,4.12,0.11,0.35,0.11,-0.7,-0.7,11625.0,15749.0,73.8,237469.0,88290.0,4438.0,5352.0,82.9,4967.0,6104.0,81.4,2036.0,3716.0,54.8,-0.4,324.0,859.0,266.0,79.0,1099.0,13911.0,1838.0,501.0,33.0,2846.0,428.0,338.0,174.0,59.0,47.0,13.0,8590.0,2815.0,4344.0,4129.0,9025.0,968.0,837.0,228.0,63.0,346.0,238.0,470.0,696.0,20.47,494.0,64.0,50.0,34.0,39.0,93.0,2.74,62.0,6.0,9.0,7.0,7.0,1.0,700.0,389.0,372.0,254.0,74.0,203.0,571.0,35.6,368.0,5733.0,1829.0,31.9,1983.0,2650.0,1100.0,616.0,113.0,3.0,503.0,286.0,1010.0,5.0,20310.0,2185.0,6672.0,9888.0,4918.0,782.0,18520.0,394.0,620.0,63.5,426.0,11.0,12292.0,70022.0,37367.0,14305.0,11625.0,81.3,471.0,451.0,3.0,489.0,484.0,76.0,3.0,4.0,1.0,3703.0,730.0,671.0,52.1,Bundesliga,Germany
vs Hannover 96,26.0,52.9,34.0,374.0,3060.0,54.0,40.0,2.0,4.0,66.0,2.0,1.59,1.18,2.76,1.53,2.71,54.4,51.4,38.6,1.6,1.14,2.73,1.51,2.65,34.0,34.0,3060.0,44.0,1.29,140.0,99.0,0.714,15.0,9.0,10.0,7.0,20.6,5.0,4.0,1.0,0.0,34.0,1.0,6.0,0.0,43.8,0.29,-0.2,-0.01,243.0,668.0,36.4,921.0,131.0,52.4,41.8,256.0,72.3,54.7,297.0,26.0,8.8,30.0,0.88,15.4,494.0,173.0,18.0,35.0,14.53,5.09,0.11,0.3,0.11,-0.4,0.6,12919.0,17002.0,76.0,259705.0,93801.0,4993.0,5948.0,83.9,5592.0,6685.0,83.6,2136.0,3825.0,55.8,1.4,354.0,1034.0,320.0,93.0,1321.0,15191.0,1811.0,476.0,38.0,2806.0,549.0,438.0,196.0,36.0,58.0,22.0,9996.0,2854.0,4152.0,4703.0,9933.0,920.0,813.0,216.0,56.0,362.0,269.0,450.0,754.0,22.18,539.0,65.0,57.0,41.0,39.0,87.0,2.56,59.0,10.0,7.0,5.0,4.0,0.0,576.0,373.0,249.0,241.0,86.0,178.0,503.0,35.4,325.0,4882.0,1635.0,33.5,1457.0,2166.0,1259.0,552.0,111.0,0.0,441.0,259.0,862.0,2.0,21205.0,1969.0,6439.0,10431.0,5612.0,806.0,19440.0,438.0,684.0,64.0,476.0,19.0,13601.0,77403.0,42252.0,15322.0,12919.0,84.3,441.0,412.0,1.0,528.0,484.0,67.0,4.0,5.0,0.0,3678.0,579.0,753.0,43.5,Bundesliga,Germany
vs Hertha BSC,25.0,54.1,34.0,374.0,3060.0,45.0,31.0,6.0,7.0,56.0,3.0,1.32,0.91,2.24,1.15,2.06,46.5,41.3,30.2,1.37,0.89,2.26,1.22,2.1,34.0,34.0,3060.0,43.0,1.26,129.0,89.0,0.698,11.0,13.0,10.0,10.0,29.4,5.0,4.0,0.0,1.0,34.0,0.0,8.0,0.0,41.0,0.3,-2.0,-0.06,243.0,571.0,42.6,973.0,139.0,44.5,37.7,178.0,77.5,55.8,274.0,21.0,7.7,26.0,0.76,16.2,431.0,142.0,14.0,32.9,12.68,4.18,0.09,0.27,0.1,-1.5,-2.3,14424.0,18202.0,79.2,280949.0,97997.0,5695.0,6598.0,86.3,6469.0,7530.0,85.9,2073.0,3513.0,59.0,0.8,318.0,1147.0,309.0,81.0,1402.0,16578.0,1624.0,468.0,28.0,2912.0,421.0,418.0,174.0,37.0,54.0,18.0,11584.0,2682.0,3936.0,4805.0,10987.0,973.0,731.0,248.0,65.0,318.0,281.0,444.0,671.0,19.74,495.0,67.0,30.0,36.0,30.0,71.0,2.09,47.0,6.0,3.0,8.0,6.0,1.0,531.0,338.0,259.0,224.0,48.0,189.0,512.0,36.9,323.0,5243.0,1587.0,30.3,1580.0,2557.0,1106.0,481.0,70.0,1.0,411.0,254.0,830.0,5.0,22215.0,1769.0,6093.0,11872.0,5553.0,814.0,20635.0,264.0,446.0,59.2,287.0,6.0,14776.0,82296.0,42991.0,16878.0,14424.0,85.5,488.0,429.0,1.0,479.0,474.0,74.0,6.0,5.0,0.0,3477.0,615.0,604.0,50.5,Bundesliga,Germany
vs Hoffenheim,26.0,48.7,34.0,374.0,3060.0,46.0,32.0,3.0,4.0,43.0,2.0,1.35,0.94,2.29,1.26,2.21,47.5,44.4,31.1,1.4,0.91,2.31,1.31,2.22,34.0,34.0,3060.0,66.0,1.94,169.0,108.0,0.633,9.0,10.0,15.0,3.0,8.8,5.0,4.0,1.0,0.0,34.0,2.0,6.0,2.0,52.3,0.29,-11.7,-0.34,230.0,486.0,47.3,952.0,178.0,37.7,36.4,251.0,50.6,46.1,280.0,26.0,9.3,32.0,0.94,16.4,428.0,146.0,19.0,34.1,12.59,4.29,0.1,0.29,0.11,-1.5,-1.4,13045.0,16557.0,78.8,262570.0,94581.0,4915.0,5721.0,85.9,5856.0,6849.0,85.5,2112.0,3492.0,60.5,0.9,303.0,912.0,237.0,67.0,1167.0,14844.0,1713.0,518.0,28.0,2807.0,513.0,412.0,163.0,52.0,48.0,8.0,10447.0,2677.0,3433.0,4424.0,10030.0,807.0,690.0,256.0,75.0,289.0,257.0,421.0,641.0,18.85,442.0,73.0,41.0,23.0,49.0,75.0,2.21,52.0,6.0,7.0,2.0,6.0,1.0,618.0,396.0,299.0,256.0,63.0,179.0,514.0,34.8,335.0,5829.0,1681.0,28.8,1683.0,2742.0,1404.0,532.0,135.0,3.0,397.0,297.0,804.0,9.0,20643.0,2078.0,6757.0,10263.0,4972.0,774.0,18999.0,333.0,559.0,59.6,365.0,13.0,13351.0,77364.0,42162.0,15276.0,13045.0,85.4,467.0,423.0,1.0,448.0,493.0,83.0,4.0,5.0,2.0,3098.0,468.0,377.0,55.4,Bundesliga,Germany
vs Köln,31.0,52.5,34.0,374.0,3060.0,70.0,48.0,8.0,9.0,58.0,4.0,2.06,1.41,3.47,1.82,3.24,67.9,61.2,46.6,2.0,1.37,3.37,1.8,3.17,34.0,34.0,3060.0,35.0,1.03,118.0,87.0,0.729,22.0,7.0,5.0,11.0,32.4,3.0,3.0,0.0,0.0,34.0,2.0,4.0,2.0,36.1,0.29,3.1,0.09,245.0,621.0,39.5,871.0,131.0,49.1,41.3,252.0,76.6,57.1,296.0,24.0,8.1,24.0,0.71,15.7,532.0,197.0,20.0,37.0,15.65,5.79,0.12,0.31,0.12,2.1,0.8,13698.0,17443.0,78.5,273163.0,97847.0,5231.0,6079.0,86.1,6179.0,7279.0,84.9,2085.0,3540.0,58.9,1.4,393.0,1138.0,347.0,95.0,1383.0,15777.0,1666.0,488.0,33.0,2622.0,494.0,468.0,181.0,26.0,59.0,22.0,11018.0,2611.0,3814.0,4510.0,10679.0,885.0,677.0,242.0,43.0,314.0,257.0,419.0,833.0,24.5,583.0,80.0,49.0,51.0,48.0,113.0,3.32,69.0,10.0,8.0,11.0,10.0,0.0,519.0,340.0,252.0,209.0,58.0,177.0,478.0,37.0,301.0,5176.0,1546.0,29.9,1641.0,2472.0,1063.0,545.0,102.0,1.0,443.0,274.0,903.0,10.0,21658.0,1955.0,6345.0,11035.0,5722.0,940.0,20038.0,338.0,553.0,61.1,368.0,17.0,14061.0,87019.0,49176.0,16052.0,13698.0,85.3,447.0,420.0,2.0,510.0,463.0,54.0,7.0,3.0,2.0,3468.0,628.0,588.0,51.6,Bundesliga,Germany
