player_id,player_name,day_of_birth,month_of_birth,year_of_birth,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season
94005,sead kolasinac,20,6,1993,Karlsruhe,Germany,1993-06-20,Defender - Left-Back,183,left,,Germany,GB1,2018
34322,sokratis papastathopoulos,9,6,1988,Kalamata,Greece,1988-06-09,Defender - Centre-Back,186,right,Greece,,GB1,2018
245744,takuma asano,10,11,1994,"Komono, Mie",Japan,1994-11-10,attack - Right Winger,173,right,Japan,,GB1,2018
397099,jordi osei-tutu,2,10,1998,Slough,England,1998-10-02,Defender - Right-Back,176,right,,Ghana,GB1,2018
287247,krystian bielik,4,1,1998,Konin,Poland,1998-01-04,midfield - Defensive Midfield,189,right,Poland,,GB1,2018
93720,alexandre lacazette,28,5,1991,Lyon,France,1991-05-28,attack - Centre-Forward,176,right,,Guadeloupe,GB1,2018
392765,emile smith rowe,28,7,2000,London,England,2000-07-28,midfield - Attacking Midfield,182,right,England,,GB1,2018
43003,nacho monreal,26,2,1986,Pamplona,Spain,1986-02-26,Defender - Left-Back,179,left,Spain,,GB1,2018
415912,konstantinos mavropanos,11,12,1997,Athen,Greece,1997-12-11,Defender - Centre-Back,194,right,Greece,,GB1,2018
242631,alex iwobi,3,5,1996,Lagos,Nigeria,1996-05-03,attack - Left Winger,183,right,,England,GB1,2018
72476,bernd leno,4,3,1992,Bietigheim-Bissingen,Germany,1992-03-04,Goalkeeper,190,right,Germany,,GB1,2018
433177,bukayo saka,5,9,2001,London,England,2001-09-05,midfield - Left Midfield,178,left,,Nigeria,GB1,2018
340329,joe willock,20,8,1999,London,England,1999-08-20,midfield - Central Midfield,186,right,,Montserrat,GB1,2018
35664,mesut özil,15,10,1988,Gelsenkirchen,Germany,1988-10-15,midfield - Attacking Midfield,180,left,Germany,,GB1,2018
251885,julio pleguezuelo,26,1,1997,Palma de Mallorca,Spain,1997-01-26,Defender - Centre-Back,180,right,Spain,,GB1,2018
205757,dejan iliev,25,2,1995,Strumica,Macedonia,1995-02-25,Goalkeeper,195,right,,Bulgaria,GB1,2018
88590,shkodran mustafi,17,4,1992,Bad Hersfeld,Germany,1992-04-17,Defender - Centre-Back,184,right,,Albania,GB1,2018
165007,denis suárez,6,1,1994,Salceda de Caselas,Spain,1994-01-06,midfield - Attacking Midfield,176,right,Spain,,GB1,2018
50057,aaron ramsey,26,12,1990,Caerphilly,Wales,1990-12-26,midfield - Central Midfield,182,both,Wales,,GB1,2018
392761,zech medley,9,7,2000,London,England,2000-07-09,Defender - Centre-Back,195,left,England,,GB1,2018
67063,danny welbeck,26,11,1990,Manchester,England,1990-11-26,attack - Centre-Forward,185,right,,Ghana,GB1,2018
340324,eddie nketiah,30,5,1999,London,England,1999-05-30,attack - Centre-Forward,180,right,,Ghana,GB1,2018
503768,tyreece john-jules,14,2,2001,London,England,2001-02-14,attack - Centre-Forward,183,right,,Dominica,GB1,2018
220491,matt macey,9,9,1994,Bath,England,1994-09-09,Goalkeeper,200,right,England,,GB1,2018
76277,laurent koscielny,10,9,1985,Tulle,France,1985-09-10,Defender - Centre-Back,186,right,,Poland,GB1,2018
340325,reiss nelson,10,12,1999,London,England,1999-12-10,attack - Right Winger,175,right,England,,GB1,2018
111873,emiliano martínez,2,9,1992,Mar del Plata,Argentina,1992-09-02,Goalkeeper,195,right,Argentina,,GB1,2018
215118,calum chambers,20,1,1995,Petersfield,England,1995-01-20,Defender - Right-Back,182,right,England,,GB1,2018
2865,stephan lichtsteiner,16,1,1984,Adligenswil,Switzerland,1984-01-16,Defender - Right-Back,182,right,Switzerland,,GB1,2018
5658,petr cech,20,5,1982,Plzeň,CSSR,1982-05-20,Goalkeeper,196,left,Czech Republic,,GB1,2018
126321,carl jenkinson,8,2,1992,Harlow,England,1992-02-08,Defender - Right-Back,185,right,,Finland,GB1,2018
111455,granit xhaka,27,9,1992,Basel,Switzerland,1992-09-27,midfield - Defensive Midfield,186,left,Switzerland,,GB1,2018
293726,charlie gilmour,11,2,1999,Brighton,England,1999-02-11,midfield - Defensive Midfield,170,right,,England,GB1,2018
58864,pierre-emerick aubameyang,18,6,1989,Laval,France,1989-06-18,attack - Centre-Forward,187,right,,France,GB1,2018
160438,mohamed elneny,11,7,1992,Mahalla,Egypt,1992-07-11,midfield - Defensive Midfield,179,right,Egypt,,GB1,2018
285845,ainsley maitland-niles,29,8,1997,London,England,1997-08-29,midfield - Right Midfield,180,right,England,,GB1,2018
73396,david ospina,31,8,1988,Medellín,Colombia,1988-08-31,Goalkeeper,183,right,Colombia,,GB1,2018
465830,mattéo guendouzi,14,4,1999,Poissy,France,1999-04-14,midfield - Central Midfield,185,right,,Morocco,GB1,2018
55735,henrikh mkhitaryan,21,1,1989,Yerevan,UdSSR,1989-01-21,midfield - Attacking Midfield,177,both,Armenia,,GB1,2018
253341,rob holding,20,9,1995,Stalybridge,England,1995-09-20,Defender - Centre-Back,189,right,England,,GB1,2018
318077,lucas torreira,11,2,1996,Fray Bentos,Uruguay,1996-02-11,midfield - Defensive Midfield,166,right,,Spain,GB1,2018
191217,héctor bellerín,19,3,1995,Badalona,Spain,1995-03-19,Defender - Right-Back,178,right,Spain,,GB1,2018
34159,eduardo,19,9,1982,Mirandela,Portugal,1982-09-19,Goalkeeper,188,right,Portugal,,GB1,2018
392768,callum hudson-odoi,7,11,2000,London,England,2000-11-07,attack - Left Winger,177,right,,Ghana,GB1,2018
157509,kurt zouma,27,10,1994,Lyon,France,1994-10-27,Defender - Centre-Back,190,right,,Central African Republic,GB1,2018
225083,n'golo kanté,29,3,1991,Paris,France,1991-03-29,midfield - Defensive Midfield,168,right,,Mali,GB1,2018
196948,andreas christensen,10,4,1996,Lillerød,Denmark,1996-04-10,Defender - Centre-Back,188,right,Denmark,,GB1,2018
294798,nathan,13,3,1996,Blumenau,Brazil,1996-03-13,midfield - Attacking Midfield,177,right,Brazil,,GB1,2018
11680,rob green,18,1,1980,Chertsey,England,1980-01-18,Goalkeeper,191,right,England,,GB1,2018
128898,jamal blackman,27,10,1993,London,England,1993-10-27,Goalkeeper,199,right,,Jamaica,GB1,2018
392766,george mceachran,30,8,2000,Oxford,England,2000-08-30,midfield - Central Midfield,172,left,,Scotland,GB1,2018
222830,danilo pantic,26,10,1996,Ruma,Yugoslavia (Republic),1996-10-26,midfield - Attacking Midfield,183,right,Serbia,,GB1,2018
27511,gary cahill,19,12,1985,Dronfield,England,1985-12-19,Defender - Centre-Back,193,right,England,,GB1,2018
179184,michy batshuayi,2,10,1993,Brussel,Belgium,1993-10-02,attack - Centre-Forward,185,right,,DR Congo,GB1,2018
59866,victor moses,12,12,1990,Kaduna,Nigeria,1990-12-12,midfield - Right Midfield,177,right,,England,GB1,2018
173859,davide zappacosta,11,6,1992,Sora,Italy,1992-06-11,Defender - Right-Back,182,right,Italy,,GB1,2018
154287,todd kane,17,9,1993,Huntingdon,England,1993-09-17,Defender - Right-Back,180,right,,Scotland,GB1,2018
396859,jamie cumming,4,9,1999,Winchester,England,1999-09-04,Goalkeeper,185,right,England,,GB1,2018
8806,cesc fàbregas,4,5,1987,Arenys de Mar,Spain,1987-05-04,midfield - Central Midfield,178,right,Spain,,GB1,2018
315779,christian pulisic,18,9,1998,"Hershey, Pennsylvania",United States,1998-09-18,attack - Right Winger,172,right,,Croatia,GB1,2018
192279,kepa arrizabalaga,3,10,1994,Ondarroa,Spain,1994-10-03,Goalkeeper,186,right,Spain,,GB1,2018
236490,ola aina,8,10,1996,London,England,1996-10-08,Defender - Right-Back,184,right,,England,GB1,2018
52769,willian,9,8,1988,Ribeirão Pires,Brazil,1988-08-09,attack - Right Winger,175,right,Brazil,,GB1,2018
147034,marco van ginkel,1,12,1992,Amersfoort,Netherlands,1992-12-01,midfield - Central Midfield,186,right,Netherlands,,GB1,2018
177862,charly musonda jr.,15,10,1996,Brüssel,Belgium,1996-10-15,midfield - Attacking Midfield,173,right,,Zambia,GB1,2018
131708,kenneth omeruo,17,10,1993,"Obuohia Okike, Abia State",Nigeria,1993-10-17,Defender - Centre-Back,185,right,Nigeria,,GB1,2018
112515,marcos alonso,28,12,1990,Madrid,Spain,1990-12-28,Defender - Left-Back,188,left,Spain,,GB1,2018
