,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Riccardo Saponara,"€ 30,673","€ 1,595,000","€ 1,620,768",M,24,Italy,Empoli,Serie A,2016-2017
1,Alberto Gilardino,"€ 23,846","€ 1,240,000","€ 1,260,033",F,33,Italy,Empoli,Serie A,2016-2017
2,Omar El Kaddouri,"€ 20,442","€ 1,063,000","€ 1,080,173",M,25,Morocco,Empoli,Serie A,2016-2017
3,Mame Thiam,"€ 15,827","€ 823,000","€ 836,296",F,23,Senegal,Empoli,Serie A,2016-2017
4,Andrea Costa,"€ 13,635","€ 709,000","€ 720,454",D,30,Italy,Empoli,Serie A,2016-2017
5,José Mauri,"€ 13,635","€ 709,000","€ 720,454",M,20,Italy,Empoli,Serie A,2016-2017
6,Manuel Pucciarelli,"€ 13,635","€ 709,000","€ 720,454",F,25,Italy,Empoli,Serie A,2016-2017
7,Manuel Pasqual,"€ 13,635","€ 709,000","€ 720,454",D,34,Italy,Empoli,Serie A,2016-2017
8,Massimo Maccarone,"€ 11,942","€ 621,000","€ 631,033",F,36,Italy,Empoli,Serie A,2016-2017
9,Vincent Laurini,"€ 11,942","€ 621,000","€ 631,033",D,27,France,Empoli,Serie A,2016-2017
10,Miha Zajc,"€ 10,308","€ 536,000","€ 544,659",M,22,Slovenia,Empoli,Serie A,2016-2017
11,Lukasz Skorupski,"€ 10,231","€ 532,000","€ 540,595",K,25,Poland,Empoli,Serie A,2016-2017
12,Levan Mchedlidze,"€ 10,231","€ 532,000","€ 540,595",F,26,Georgia,Empoli,Serie A,2016-2017
13,Daniele Croce,"€ 10,231","€ 532,000","€ 540,595",M,33,Italy,Empoli,Serie A,2016-2017
14,Marco Zambelli,"€ 8,519","€ 443,000","€ 450,157",D,30,Italy,Empoli,Serie A,2016-2017
15,Guido Marilungo,"€ 6,827","€ 355,000","€ 360,735",F,26,Italy,Empoli,Serie A,2016-2017
16,Marcel Büchel,"€ 6,827","€ 355,000","€ 360,735",M,25,Liechtenstein,Empoli,Serie A,2016-2017
17,Andrés Tello,"€ 6,827","€ 355,000","€ 360,735",M,19,Colombia,Empoli,Serie A,2016-2017
18,Giuseppe Bellusci,"€ 6,827","€ 355,000","€ 360,735",D,26,Italy,Empoli,Serie A,2016-2017
19,Matheus Pereira,"€ 6,615","€ 344,000","€ 349,558",F,18,Brazil,Empoli,Serie A,2016-2017
20,Alberto Pelagotti,"€ 5,115","€ 266,000","€ 270,297",K,27,Italy,Empoli,Serie A,2016-2017
21,Federico Dimarco,"€ 5,115","€ 266,000","€ 270,297",D,18,Italy,Empoli,Serie A,2016-2017
22,Federico Barba,"€ 5,115","€ 266,000","€ 270,297",D,22,Italy,Empoli,Serie A,2016-2017
23,Assane Dioussé,"€ 5,115","€ 266,000","€ 270,297",M,18,Senegal,Empoli,Serie A,2016-2017
24,Rade Krunic,"€ 5,115","€ 266,000","€ 270,297",M,22,Bosnia-Herzegovina,Empoli,Serie A,2016-2017
25,Maurizio Pugliesi,"€ 2,731","€ 142,000","€ 144,294",K,39,Italy,Empoli,Serie A,2016-2017
26,Arnel Jakupovic,"€ 1,769","€ 92,000","€ 93,486",F,18,Austria,Empoli,Serie A,2016-2017
27,Lapo Carradori,€ 250,"€ 13,000","€ 13,210",D,18,Italy,Empoli,Serie A,2016-2017
28,Gabriel Meli,€ 250,"€ 13,000","€ 13,210",K,17,Italy,Empoli,Serie A,2016-2017
29,Davide Seminara,€ 250,"€ 13,000","€ 13,210",D,17,Italy,Empoli,Serie A,2016-2017
30,Davide Buglio,€ 250,"€ 13,000","€ 13,210",M,18,Italy,Empoli,Serie A,2016-2017
31,Samuele Damiani,€ 250,"€ 13,000","€ 13,210",M,18,Italy,Empoli,Serie A,2016-2017
32,Alessio Zini,€ 250,"€ 13,000","€ 13,210",D,18,Italy,Empoli,Serie A,2016-2017
33,Elia Giampà,€ 250,"€ 13,000","€ 13,210",D,18,Italy,Empoli,Serie A,2016-2017
34,Hamed Junior Traorè,€ 250,"€ 13,000","€ 13,210",M,16,Cote d'Ivoire,Empoli,Serie A,2016-2017
35,Alberto Picchi,€ 250,"€ 13,000","€ 13,210",M,18,Italy,Empoli,Serie A,2016-2017
36,Frédéric Veseli,€ 0,€ 0,€ 0,D,23,Albania,Empoli,Serie A,2016-2017
37,Roman Chanturia,€ 0,€ 0,€ 0,F,20,Georgia,Empoli,Serie A,2016-2017
38,Uroš Ćosić,€ 0,€ 0,€ 0,D,23,Serbia,Empoli,Serie A,2016-2017
39,Raffaele Maiello,€ 0,€ 0,€ 0,M,24,Italy,Empoli,Serie A,2016-2017
40,Luca Bittante,€ 0,€ 0,€ 0,D,22,Italy,Empoli,Serie A,2016-2017
41,Franco Signorelli,€ 0,€ 0,€ 0,M,25,Venezuela,Empoli,Serie A,2016-2017
