,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Daniele De Rossi,"€ 221,538","€ 11,520,000","€ 11,706,113",M,32,Italy,Roma,Serie A,2016-2017
1,Edin Dzeko,"€ 153,385","€ 7,976,000","€ 8,104,857",F,30,Bosnia-Herzegovina,Roma,Serie A,2016-2017
2,Thomas Vermaelen,"€ 138,769","€ 7,216,000","€ 7,332,579",D,30,Belgium,Roma,Serie A,2016-2017
3,Mohamed Salah,"€ 119,288","€ 6,203,000","€ 6,303,213",M,24,Egypt,Roma,Serie A,2016-2017
4,Radja Nainggolan,"€ 109,058","€ 5,671,000","€ 5,762,619",M,28,Belgium,Roma,Serie A,2016-2017
5,Wojciech Szczesny,"€ 96,865","€ 5,037,000","€ 5,118,376",K,26,Poland,Roma,Serie A,2016-2017
6,Kevin Strootman,"€ 95,442","€ 4,963,000","€ 5,043,180",M,26,Netherlands,Roma,Serie A,2016-2017
7,Juan Iturbe,"€ 78,385","€ 4,076,000","€ 4,141,850",M,23,Paraguay,Roma,Serie A,2016-2017
8,Stephan El Shaarawy,"€ 68,173","€ 3,545,000","€ 3,602,272",F,23,Italy,Roma,Serie A,2016-2017
9,Clément Grenier,"€ 66,038","€ 3,434,000","€ 3,489,478",M,25,France,Roma,Serie A,2016-2017
10,Diego Perotti,"€ 64,750","€ 3,367,000","€ 3,421,396",F,27,Argentina,Roma,Serie A,2016-2017
11,Alessandro Florenzi,"€ 57,750","€ 3,003,000","€ 3,051,515",D,25,Italy,Roma,Serie A,2016-2017
12,Alisson,"€ 51,115","€ 2,658,000","€ 2,700,942",K,23,Brazil,Roma,Serie A,2016-2017
13,Antonio Rüdiger,"€ 51,115","€ 2,658,000","€ 2,700,942",D,23,Germany,Roma,Serie A,2016-2017
14,Federico Fazio,"€ 50,000","€ 2,600,000","€ 2,642,005",D,29,Argentina,Roma,Serie A,2016-2017
15,Juan Jesus,"€ 44,942","€ 2,337,000","€ 2,374,756",D,25,Brazil,Roma,Serie A,2016-2017
16,Francesco Totti,"€ 40,904","€ 2,127,000","€ 2,161,363",F,39,Italy,Roma,Serie A,2016-2017
17,Leandro Paredes,"€ 23,846","€ 1,240,000","€ 1,260,033",M,22,Argentina,Roma,Serie A,2016-2017
18,Bogdan Lobont,"€ 17,038","€ 886,000","€ 900,314",K,38,Romania,Roma,Serie A,2016-2017
19,Bruno Peres,"€ 12,846","€ 668,000","€ 678,792",D,26,Brazil,Roma,Serie A,2016-2017
20,Federico Ricci,"€ 10,231","€ 532,000","€ 540,595",M,22,Italy,Roma,Serie A,2016-2017
21,Mário Rui,"€ 9,654","€ 502,000","€ 510,110",D,25,Portugal,Roma,Serie A,2016-2017
22,Umar Sadiq,"€ 8,519","€ 443,000","€ 450,157",F,19,Nigeria,Roma,Serie A,2016-2017
23,Riccardo Marchizza,"€ 4,019","€ 209,000","€ 212,377",D,18,Italy,Roma,Serie A,2016-2017
24,Marco Tumminello,"€ 3,635","€ 189,000","€ 192,053",F,17,Italy,Roma,Serie A,2016-2017
25,Alessandro Bordin,"€ 2,846","€ 148,000","€ 150,391",M,17,Italy,Roma,Serie A,2016-2017
26,Keba Coly,"€ 2,481","€ 129,000","€ 131,084",F,18,Senegal,Roma,Serie A,2016-2017
27,Luca Pellegrini,"€ 1,154","€ 60,000","€ 60,969",D,17,Italy,Roma,Serie A,2016-2017
28,Eros De Santis,"€ 1,096","€ 57,000","€ 57,921",D,18,Italy,Roma,Serie A,2016-2017
29,Lorenzo Crisanto,€ 750,"€ 39,000","€ 39,630",K,18,Italy,Roma,Serie A,2016-2017
30,Mirko Antonucci,€ 250,"€ 13,000","€ 13,210",M,17,Italy,Roma,Serie A,2016-2017
31,Filippo Franchi,€ 250,"€ 13,000","€ 13,210",F,18,Italy,Roma,Serie A,2016-2017
32,Lorenzo Grossi,€ 250,"€ 13,000","€ 13,210",M,18,Italy,Roma,Serie A,2016-2017
33,Emanuele Spinozzi,€ 250,"€ 13,000","€ 13,210",M,17,Italy,Roma,Serie A,2016-2017
34,Edoardo Soleri,€ 250,"€ 13,000","€ 13,210",F,18,Italy,Roma,Serie A,2016-2017
35,Stefano Ciavattini,€ 250,"€ 13,000","€ 13,210",D,18,Italy,Roma,Serie A,2016-2017
36,Stefano Greco,€ 250,"€ 13,000","€ 13,210",K,17,Italy,Roma,Serie A,2016-2017
37,Davide Frattesi,€ 250,"€ 13,000","€ 13,210",M,16,Italy,Roma,Serie A,2016-2017
38,Andrea Romagnoli,€ 250,"€ 13,000","€ 13,210",K,17,Italy,Roma,Serie A,2016-2017
39,Konstantinos Manolas,€ 0,€ 0,€ 0,D,25,Greece,Roma,Serie A,2016-2017
40,Vasilios Torosidis,€ 0,€ 0,€ 0,D,31,Greece,Roma,Serie A,2016-2017
41,Lorenzo Di Livio,€ 0,€ 0,€ 0,M,19,Italy,Roma,Serie A,2016-2017
42,Gerson,€ 0,€ 0,€ 0,M,19,Brazil,Roma,Serie A,2016-2017
43,William Vainqueur,€ 0,€ 0,€ 0,M,27,France,Roma,Serie A,2016-2017
44,Moustapha Seck,€ 0,€ 0,€ 0,D,20,Senegal,Roma,Serie A,2016-2017
45,Abdullahi Nura,€ 0,€ 0,€ 0,D,18,Nigeria,Roma,Serie A,2016-2017
46,Emerson,€ 0,€ 0,€ 0,D,21,Italy,Roma,Serie A,2016-2017
