,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,0,Carlos Bacca,"€ 112,635","€ 5,857,000","€ 5,951,623",F,29,Colombia,Ac Milan,Serie A,2016-2017
1,1,Riccardo Montolivo,"€ 80,442","€ 4,183,000","€ 4,250,579",M,31,Italy,Ac Milan,Serie A,2016-2017
2,2,Keisuke Honda,"€ 80,442","€ 4,183,000","€ 4,250,579",M,30,Japan,Ac Milan,Serie A,2016-2017
3,3,Ignazio Abate,"€ 74,019","€ 3,849,000","€ 3,911,183",D,29,Italy,Ac Milan,Serie A,2016-2017
4,4,Andrea Bertolacci,"€ 64,346","€ 3,346,000","€ 3,400,057",M,25,Italy,Ac Milan,Serie A,2016-2017
5,5,Alessio Romagnoli,"€ 64,346","€ 3,346,000","€ 3,400,057",D,21,Italy,Ac Milan,Serie A,2016-2017
6,6,Cristián Zapata,"€ 54,712","€ 2,845,000","€ 2,890,963",D,29,Colombia,Ac Milan,Serie A,2016-2017
7,7,Gerard Deulofeu,"€ 53,327","€ 2,773,000","€ 2,817,800",M,22,Spain,Ac Milan,Serie A,2016-2017
8,8,Mattia De Sciglio,"€ 48,269","€ 2,510,000","€ 2,550,551",D,23,Italy,Ac Milan,Serie A,2016-2017
9,9,José Sosa,"€ 48,269","€ 2,510,000","€ 2,550,551",M,31,Argentina,Ac Milan,Serie A,2016-2017
10,10,Andrea Poli,"€ 48,269","€ 2,510,000","€ 2,550,551",M,26,Italy,Ac Milan,Serie A,2016-2017
11,11,Juraj Kucka,"€ 48,269","€ 2,510,000","€ 2,550,551",M,29,Slovakia,Ac Milan,Serie A,2016-2017
12,12,Luca Antonelli,"€ 48,269","€ 2,510,000","€ 2,550,551",D,29,Italy,Ac Milan,Serie A,2016-2017
13,13,Lucas Ocampos,"€ 34,096","€ 1,773,000","€ 1,801,644",F,21,Argentina,Ac Milan,Serie A,2016-2017
14,14,Gabriel Paletta,"€ 32,173","€ 1,673,000","€ 1,700,028",D,30,Italy,Ac Milan,Serie A,2016-2017
15,15,Giacomo Bonaventura,"€ 32,173","€ 1,673,000","€ 1,700,028",M,26,Italy,Ac Milan,Serie A,2016-2017
16,16,Gianluca Lapadula,"€ 32,173","€ 1,673,000","€ 1,700,028",F,26,Italy,Ac Milan,Serie A,2016-2017
17,17,Suso,"€ 32,173","€ 1,673,000","€ 1,700,028",M,22,Spain,Ac Milan,Serie A,2016-2017
18,18,Marco Storari,"€ 27,269","€ 1,418,000","€ 1,440,909",K,39,Italy,Ac Milan,Serie A,2016-2017
19,19,Gustavo Gómez,"€ 25,750","€ 1,339,000","€ 1,360,632",D,23,Paraguay,Ac Milan,Serie A,2016-2017
20,20,Leonel Vangioni,"€ 25,750","€ 1,339,000","€ 1,360,632",D,29,Argentina,Ac Milan,Serie A,2016-2017
21,21,Gabriel,"€ 25,750","€ 1,339,000","€ 1,360,632",K,23,Brazil,Ac Milan,Serie A,2016-2017
22,22,Mario Pasalic,"€ 25,750","€ 1,339,000","€ 1,360,632",M,21,Croatia,Ac Milan,Serie A,2016-2017
23,23,Davide Calabria,"€ 19,308","€ 1,004,000","€ 1,020,220",D,19,Italy,Ac Milan,Serie A,2016-2017
24,24,José Mauri,"€ 13,635","€ 709,000","€ 720,454",M,20,Italy,Ac Milan,Serie A,2016-2017
25,25,Manuel Locatelli,"€ 9,654","€ 502,000","€ 510,110",M,18,Italy,Ac Milan,Serie A,2016-2017
26,26,Gianluigi Donnarumma,"€ 5,154","€ 268,000","€ 272,330",K,17,Italy,Ac Milan,Serie A,2016-2017
27,27,Patrick Cutrone,"€ 3,519","€ 183,000","€ 185,956",F,18,Italy,Ac Milan,Serie A,2016-2017
28,28,Niccolò Zanellato,€ 538,"€ 28,000","€ 28,452",M,18,Italy,Ac Milan,Serie A,2016-2017
