,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Edison Flores,"$ 15,000","$ 780,000","$ 780,000",F,25,Peru,Dc United,Mls,2020
1,Paul Arriola,"$ 12,981","$ 675,000","$ 675,000",M,24,United States,Dc United,Mls,2020
2,Yamil Asad,"$ 12,000","$ 624,000","$ 624,000",F,25,Argentina,Dc United,Mls,2020
3,Steve Birnbaum,"$ 10,577","$ 550,000","$ 550,000",D,29,United States,Dc United,Mls,2020
4,Felipe Martins,"$ 9,615","$ 500,000","$ 500,000",M,29,Brazil,Dc United,Mls,2020
5,Bill Hamid,"$ 8,881","$ 461,820","$ 461,820",K,29,United States,Dc United,Mls,2020
6,Frédéric Brillant,"$ 5,769","$ 300,000","$ 300,000",D,34,France,Dc United,Mls,2020
7,Russell Canouse,"$ 4,760","$ 247,500","$ 247,500",M,24,United States,Dc United,Mls,2020
8,Ola Kamara,"$ 4,615","$ 240,000","$ 240,000",F,30,Norway,Dc United,Mls,2020
9,Emmanuel Boateng,"$ 3,558","$ 185,000","$ 185,000",M,26,Ghana,Dc United,Mls,2020
10,Ulises Segura,"$ 3,269","$ 170,000","$ 170,000",F,26,Costa Rica,Dc United,Mls,2020
11,Chris Seitz,"$ 3,173","$ 165,000","$ 165,000",K,32,United States,Dc United,Mls,2020
12,Júnior Moreno,"$ 3,058","$ 159,000","$ 159,000",M,26,Venezuela,Dc United,Mls,2020
13,Joseph Mora,"$ 2,885","$ 150,000","$ 150,000",D,27,Costa Rica,Dc United,Mls,2020
14,Julian Gressel,"$ 2,197","$ 114,250","$ 114,250",M,26,Germany,Dc United,Mls,2020
15,Donovan Pines,"$ 1,731","$ 90,000","$ 90,000",D,21,United States,Dc United,Mls,2020
16,Jalen Robinson,"$ 1,539","$ 80,004","$ 80,004",D,25,United States,Dc United,Mls,2020
17,Griffin Yow,"$ 1,351","$ 70,250","$ 70,250",F,17,United States,Dc United,Mls,2020
18,Oniel Fisher,"$ 1,351","$ 70,250","$ 70,250",D,28,Jamaica,Dc United,Mls,2020
19,Earl Edwards Jr,"$ 1,346","$ 70,000","$ 70,000",K,28,United States,Dc United,Mls,2020
20,Moses Nyeman,"$ 1,346","$ 70,000","$ 70,000",M,16,United States,Dc United,Mls,2020
21,Chris Odoi-Atsem,"$ 1,082","$ 56,250","$ 56,250",D,24,United States,Dc United,Mls,2020
22,Kevin Paredes,"$ 1,077","$ 56,000","$ 56,000",M,16,United States,Dc United,Mls,2020
23,Josh Fawole,"$ 1,077","$ 56,000","$ 56,000",M,21,United States,Dc United,Mls,2020
24,Simon Lefebvre,$ 577,"$ 30,000","$ 30,000",K,22,France,Dc United,Mls,2020
