,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Reto Ziegler,"$ 15,769","$ 820,000","$ 820,000",D,34,Switzerland,FC Dallas,Mls,2020
1,Bryan Acosta,"$ 11,538","$ 600,000","$ 600,000",M,26,Honduras,FC Dallas,Mls,2020
2,Matt Hedges,"$ 10,577","$ 550,008","$ 550,008",D,29,United States,FC Dallas,Mls,2020
3,Michael Barrios,"$ 9,615","$ 500,000","$ 500,000",F,28,Colombia,FC Dallas,Mls,2020
4,Santiago Mosquera,"$ 9,615","$ 500,000","$ 500,000",F,24,Colombia,FC Dallas,Mls,2020
5,Bressan,"$ 9,333","$ 485,300","$ 485,300",D,27,Brazil,FC Dallas,Mls,2020
6,Zdenek Ondrasek,"$ 7,692","$ 400,000","$ 400,000",F,31,Czech Republic,FC Dallas,Mls,2020
7,Thiago Santos,"$ 7,000","$ 364,000","$ 364,000",M,30,Brazil,FC Dallas,Mls,2020
8,Jesse González,"$ 4,442","$ 231,000","$ 231,000",K,24,United States,FC Dallas,Mls,2020
9,Ryan Hollingshead,"$ 3,365","$ 175,000","$ 175,000",D,28,United States,FC Dallas,Mls,2020
10,Fafà Picault,"$ 3,346","$ 174,000","$ 174,000",F,28,United States,FC Dallas,Mls,2020
11,Brandon Servania,"$ 3,077","$ 160,000","$ 160,000",M,20,United States,FC Dallas,Mls,2020
12,Ema Twumasi,"$ 2,885","$ 150,000","$ 150,000",F,22,Ghana,FC Dallas,Mls,2020
13,Francis Atuahene,"$ 2,596","$ 135,000","$ 135,000",F,23,Ghana,FC Dallas,Mls,2020
14,Jimmy Maurer,"$ 2,404","$ 125,000","$ 125,000",K,31,United States,FC Dallas,Mls,2020
15,Thomas Roberts,"$ 2,115","$ 110,000","$ 110,000",F,18,United States,FC Dallas,Mls,2020
16,Paxton Pomykal,"$ 1,923","$ 100,000","$ 100,000",F,20,United States,FC Dallas,Mls,2020
17,Tanner Tessmann,"$ 1,731","$ 90,000","$ 90,000",F,18,United States,FC Dallas,Mls,2020
18,Reggie Cannon,"$ 1,543","$ 80,250","$ 80,250",D,21,United States,FC Dallas,Mls,2020
19,Dante Sealy,"$ 1,538","$ 80,000","$ 80,000",F,16,United States,FC Dallas,Mls,2020
20,Ricardo Pepi,"$ 1,538","$ 80,000","$ 80,000",F,17,United States,FC Dallas,Mls,2020
21,John Nelson,"$ 1,538","$ 80,000","$ 80,000",D,21,United States,FC Dallas,Mls,2020
22,Kyle Zobeck,"$ 1,363","$ 70,875","$ 70,875",K,29,United States,FC Dallas,Mls,2020
23,Bryan Reynolds,"$ 1,351","$ 70,250","$ 70,250",D,18,United States,FC Dallas,Mls,2020
24,Edwin Cerrillo,"$ 1,351","$ 70,250","$ 70,250",M,19,United States,FC Dallas,Mls,2020
25,Callum Montgomery,"$ 1,351","$ 70,250","$ 70,250",D,22,Canada,FC Dallas,Mls,2020
26,Jesús Ferreira,"$ 1,346","$ 70,000","$ 70,000",F,19,United States,FC Dallas,Mls,2020
27,Manuel Ferriol,"$ 1,077","$ 56,000","$ 56,000",F,21,Spain,FC Dallas,Mls,2020
28,Nkosi Burgess,"$ 1,077","$ 56,000","$ 56,000",D,24,United States,FC Dallas,Mls,2020
29,Cal Jennings,"$ 1,077","$ 56,000","$ 56,000",F,22,United States,FC Dallas,Mls,2020
30,Eddie Munjoma,"$ 1,077","$ 56,000","$ 56,000",D,21,United States,FC Dallas,Mls,2020
