,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Carlos Vela,"$ 86,538","$ 4,500,000","$ 4,500,000",F,30,Mexico,La FC,Mls,2020
1,Brian Rodríguez,"$ 20,000","$ 1,040,000","$ 1,040,000",F,19,Uruguay,La FC,Mls,2020
2,Diego Rossi,"$ 19,231","$ 1,000,000","$ 1,000,000",F,21,Uruguay,La FC,Mls,2020
3,Adama Diomande,"$ 16,346","$ 850,000","$ 850,000",F,29,Norway,La FC,Mls,2020
4,Walker Zimmerman,"$ 11,538","$ 600,000","$ 600,000",D,26,United States,La FC,Mls,2020
5,Eduard Atuesta,"$ 9,135","$ 475,000","$ 475,000",M,22,Colombia,La FC,Mls,2020
6,Kenneth Vermeer,"$ 8,865","$ 461,000","$ 461,000",K,34,Netherlands,La FC,Mls,2020
7,José Cifuentes,"$ 8,077","$ 420,000","$ 420,000",M,20,Ecuador,La FC,Mls,2020
8,Francisco Ginella,"$ 8,000","$ 416,000","$ 416,000",M,21,Uruguay,La FC,Mls,2020
9,Diego Palacios,"$ 6,231","$ 324,000","$ 324,000",D,20,Ecuador,La FC,Mls,2020
10,Danilo Silva,"$ 3,846","$ 200,000","$ 200,000",D,33,Brazil,La FC,Mls,2020
11,Eddie Segura,"$ 3,846","$ 200,000","$ 200,000",D,23,Colombia,La FC,Mls,2020
12,Mohamed El-Munir,"$ 3,846","$ 200,000","$ 200,000",D,27,Libya,La FC,Mls,2020
13,Mark-Anthony Kaye,"$ 3,197","$ 166,248","$ 166,248",M,25,Canada,La FC,Mls,2020
14,Jordan Harvey,"$ 3,173","$ 165,000","$ 165,000",D,36,United States,La FC,Mls,2020
15,Dejan Jakovic,"$ 2,885","$ 150,000","$ 150,000",D,34,Canada,La FC,Mls,2020
16,Alejandro Guido,"$ 2,308","$ 120,000","$ 120,000",M,25,United States,La FC,Mls,2020
17,Pablo Sisniega,"$ 2,019","$ 105,000","$ 105,000",K,24,Mexico,La FC,Mls,2020
18,Latif Blessing,"$ 1,803","$ 93,750","$ 93,750",F,23,Ghana,La FC,Mls,2020
19,Tristan Blackmon,"$ 1,351","$ 70,250","$ 70,250",D,23,United States,La FC,Mls,2020
20,Bryce Duke,"$ 1,346","$ 70,000","$ 70,000",M,18,United States,La FC,Mls,2020
21,Danny Musovski,"$ 1,346","$ 70,000","$ 70,000",F,24,United States,La FC,Mls,2020
22,Josh Pérez,"$ 1,346","$ 70,000","$ 70,000",F,22,United States,La FC,Mls,2020
23,Adrien Perez,"$ 1,082","$ 56,250","$ 56,250",F,24,United States,La FC,Mls,2020
24,Paulo Pita,$ 577,"$ 30,000","$ 30,000",K,25,Brazil,La FC,Mls,2020
25,Jack Hallahan,$ 0,$ 0,$ 0,F,23,Ireland,La FC,Mls,2020
