,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Michael Bradley,"$ 115,385","$ 6,000,000","$ 6,000,000",M,32,United States,Toronto FC,Mls,2020
1,Jozy Altidore,"$ 94,063","$ 4,891,250","$ 4,891,250",F,30,United States,Toronto FC,Mls,2020
2,Alejandro Pozuelo,"$ 73,077","$ 3,800,000","$ 3,800,000",F,28,Spain,Toronto FC,Mls,2020
3,Jonathan Osorio,"$ 14,423","$ 750,000","$ 750,000",M,27,Canada,Toronto FC,Mls,2020
4,Omar González,"$ 11,923","$ 620,000","$ 620,000",D,31,United States,Toronto FC,Mls,2020
5,Chris Mavinga,"$ 11,538","$ 600,000","$ 600,000",D,28,Democratic Republic of the Congo,Toronto FC,Mls,2020
6,Laurent Ciman,"$ 7,692","$ 400,000","$ 400,000",D,34,Belgium,Toronto FC,Mls,2020
7,Alex Bono,"$ 6,731","$ 350,000","$ 350,000",K,25,United States,Toronto FC,Mls,2020
8,Justin Morrow,"$ 6,346","$ 330,000","$ 330,000",D,32,United States,Toronto FC,Mls,2020
9,Auro Jr,"$ 5,327","$ 277,000","$ 277,000",D,24,Brazil,Toronto FC,Mls,2020
10,Eriq Zavaleta,"$ 5,289","$ 275,004","$ 275,004",D,27,United States,Toronto FC,Mls,2020
11,Erickson Gallardo,"$ 5,289","$ 275,004","$ 275,004",F,23,Venezuela,Toronto FC,Mls,2020
12,Patrick Mullins,"$ 5,000","$ 260,004","$ 260,004",F,27,United States,Toronto FC,Mls,2020
13,Marky Delgado,"$ 4,865","$ 253,000","$ 253,000",M,24,United States,Toronto FC,Mls,2020
14,Nick DeLeon,"$ 3,068","$ 159,528","$ 159,528",M,29,United States,Toronto FC,Mls,2020
15,Quentin Westberg,"$ 1,923","$ 100,000","$ 100,000",K,33,United States,Toronto FC,Mls,2020
16,Griffin Dorsey,"$ 1,731","$ 90,000","$ 90,000",F,20,United States,Toronto FC,Mls,2020
17,Liam Fraser,"$ 1,363","$ 70,875","$ 70,875",M,21,Canada,Toronto FC,Mls,2020
18,Tsubasa Endoh,"$ 1,351","$ 70,250","$ 70,250",F,26,Japan,Toronto FC,Mls,2020
19,Jahkeele Marshall-Rutty,"$ 1,346","$ 70,000","$ 70,000",F,15,Canada,Toronto FC,Mls,2020
20,Ayo Akinola,"$ 1,082","$ 56,256","$ 56,256",F,20,United States,Toronto FC,Mls,2020
21,Jacob Shaffelburg,"$ 1,082","$ 56,250","$ 56,250",F,20,Canada,Toronto FC,Mls,2020
22,Richie Laryea,"$ 1,082","$ 56,250","$ 56,250",D,25,Canada,Toronto FC,Mls,2020
23,Noble Okello,"$ 1,082","$ 56,245","$ 56,245",M,19,Canada,Toronto FC,Mls,2020
24,Ifunanyachi Achara,"$ 1,077","$ 56,000","$ 56,000",F,22,Nigeria,Toronto FC,Mls,2020
25,Rocco Romeo,"$ 1,077","$ 56,000","$ 56,000",D,19,Canada,Toronto FC,Mls,2020
26,Simon Waever,"$ 1,077","$ 56,000","$ 56,000",D,24,Denmark,Toronto FC,Mls,2020
27,Jayden Nelson,"$ 1,077","$ 56,000","$ 56,000",F,17,Canada,Toronto FC,Mls,2020
28,Nyal Higgins,"$ 1,077","$ 56,000","$ 56,000",D,22,Canada,Toronto FC,Mls,2020
29,Julian Dunn-Johnson,"$ 1,077","$ 56,000","$ 56,000",D,19,Canada,Toronto FC,Mls,2020
