,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,David Accam,"$ 19,423","$ 1,010,004","$ 1,010,004",F,29,Ghana,Nashville Sc,Mls,2020
1,Dax McCarty,"$ 13,462","$ 700,000","$ 700,000",M,32,United States,Nashville Sc,Mls,2020
2,Walker Zimmerman,"$ 11,538","$ 600,000","$ 600,000",D,26,United States,Nashville Sc,Mls,2020
3,Hany Mukhtar,"$ 10,000","$ 520,000","$ 520,000",F,24,Germany,Nashville Sc,Mls,2020
4,Aníbal Godoy,"$ 9,577","$ 498,000","$ 498,000",M,29,Panama,Nashville Sc,Mls,2020
5,Randall Leal,"$ 6,500","$ 338,000","$ 338,000",F,23,Costa Rica,Nashville Sc,Mls,2020
6,Brayan Beckeles,"$ 4,000","$ 208,000","$ 208,000",D,34,Honduras,Nashville Sc,Mls,2020
7,Dominique Badji,"$ 3,846","$ 200,000","$ 200,000",F,27,Senegal,Nashville Sc,Mls,2020
8,Jack Maher,"$ 3,500","$ 182,000","$ 182,000",D,20,United States,Nashville Sc,Mls,2020
9,Joe Willis,"$ 3,173","$ 165,000","$ 165,000",K,31,United States,Nashville Sc,Mls,2020
10,Jimmy Medranda,"$ 2,981","$ 155,004","$ 155,004",D,25,Colombia,Nashville Sc,Mls,2020
11,Abu Danladi,"$ 2,788","$ 145,000","$ 145,000",F,24,Ghana,Nashville Sc,Mls,2020
12,Eric Miller,"$ 2,088","$ 108,550","$ 108,550",D,27,United States,Nashville Sc,Mls,2020
13,Dave Romney,"$ 1,962","$ 102,000","$ 102,000",D,26,United States,Nashville Sc,Mls,2020
14,Jalil Anibaba,"$ 1,947","$ 101,250","$ 101,250",D,31,United States,Nashville Sc,Mls,2020
15,Daniel Lovitz,"$ 1,874","$ 97,453","$ 97,453",D,28,United States,Nashville Sc,Mls,2020
16,Daniel Ríos,"$ 1,538","$ 80,000","$ 80,000",F,24,Mexico,Nashville Sc,Mls,2020
17,Derrick Jones,"$ 1,442","$ 75,000","$ 75,000",M,22,United States,Nashville Sc,Mls,2020
18,Cameron Lancaster,"$ 1,351","$ 70,250","$ 70,250",F,27,England,Nashville Sc,Mls,2020
19,Adrián Zendejas,"$ 1,346","$ 70,000","$ 70,000",K,24,United States,Nashville Sc,Mls,2020
20,Ken Tribbett,"$ 1,346","$ 70,000","$ 70,000",D,27,United States,Nashville Sc,Mls,2020
21,Matt LaGrassa,"$ 1,346","$ 70,000","$ 70,000",M,27,United States,Nashville Sc,Mls,2020
22,Miguel Nazarit,"$ 1,346","$ 70,000","$ 70,000",D,22,Colombia,Nashville Sc,Mls,2020
23,Taylor Washington,"$ 1,346","$ 70,000","$ 70,000",D,26,United States,Nashville Sc,Mls,2020
24,Elliot Panicco,"$ 1,077","$ 56,000","$ 56,000",K,23,United States,Nashville Sc,Mls,2020
25,Brian Anunga,"$ 1,077","$ 56,000","$ 56,000",M,23,Cameroon,Nashville Sc,Mls,2020
26,Alistair Johnston,"$ 1,077","$ 56,000","$ 56,000",M,21,Canada,Nashville Sc,Mls,2020
27,Alan Winn,"$ 1,077","$ 56,000","$ 56,000",F,23,United States,Nashville Sc,Mls,2020
28,Tanner Dieterich,"$ 1,077","$ 56,000","$ 56,000",D,21,United States,Nashville Sc,Mls,2020
