,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Albert Rusnák,"$ 38,500","$ 2,002,000","$ 2,002,000",F,25,Slovakia,Real Salt Lake,Mls,2020
1,Everton Luiz,"$ 19,231","$ 1,000,000","$ 1,000,000",M,31,Brazil,Real Salt Lake,Mls,2020
2,Damir Kreilach,"$ 18,630","$ 968,769","$ 968,769",M,30,Croatia,Real Salt Lake,Mls,2020
3,Marcelo Silva,"$ 13,942","$ 725,004","$ 725,004",D,30,Uruguay,Real Salt Lake,Mls,2020
4,Sam Johnson,"$ 12,500","$ 650,000","$ 650,000",F,26,Liberia,Real Salt Lake,Mls,2020
5,Jefferson Savarino,"$ 9,135","$ 475,008","$ 475,008",F,23,Venezuela,Real Salt Lake,Mls,2020
6,Nedum Onuoha,"$ 8,654","$ 450,000","$ 450,000",D,33,England,Real Salt Lake,Mls,2020
7,Justin Meram,"$ 8,077","$ 420,000","$ 420,000",F,31,Iraq,Real Salt Lake,Mls,2020
8,Justen Glad,"$ 6,635","$ 345,000","$ 345,000",D,22,United States,Real Salt Lake,Mls,2020
9,Kyle Beckerman,"$ 5,769","$ 300,000","$ 300,000",M,37,United States,Real Salt Lake,Mls,2020
10,Pablo Ruiz,"$ 3,846","$ 200,004","$ 200,004",M,21,Argentina,Real Salt Lake,Mls,2020
11,Zac MacMath,"$ 3,654","$ 190,000","$ 190,000",K,28,United States,Real Salt Lake,Mls,2020
12,Ashtone Morgan,"$ 2,538","$ 132,000","$ 132,000",D,28,Canada,Real Salt Lake,Mls,2020
13,Donny Toia,"$ 2,524","$ 131,254","$ 131,254",D,27,United States,Real Salt Lake,Mls,2020
14,Aaron Herrera,"$ 1,654","$ 86,000","$ 86,000",D,22,United States,Real Salt Lake,Mls,2020
15,Nick Besler,"$ 1,635","$ 85,000","$ 85,000",M,26,United States,Real Salt Lake,Mls,2020
16,Maikel Chang,"$ 1,385","$ 72,000","$ 72,000",M,28,Cuba,Real Salt Lake,Mls,2020
17,Andrew Putna,"$ 1,363","$ 70,875","$ 70,875",K,25,United States,Real Salt Lake,Mls,2020
18,Erik Holt,"$ 1,351","$ 70,250","$ 70,250",D,23,United States,Real Salt Lake,Mls,2020
19,Justin Portillo,"$ 1,351","$ 70,250","$ 70,250",M,27,United States,Real Salt Lake,Mls,2020
20,David Ochoa,"$ 1,351","$ 70,250","$ 70,250",K,19,United States,Real Salt Lake,Mls,2020
21,Tate Schmitt,"$ 1,351","$ 70,250","$ 70,250",F,22,United States,Real Salt Lake,Mls,2020
22,Corey Baird,"$ 1,346","$ 70,008","$ 70,008",F,24,United States,Real Salt Lake,Mls,2020
23,Alvin Jones,"$ 1,346","$ 70,000","$ 70,000",D,25,Trinidad and Tobago,Real Salt Lake,Mls,2020
24,Luis Arriaga,"$ 1,082","$ 56,250","$ 56,250",F,19,United States,Real Salt Lake,Mls,2020
25,Michael Wetungu,"$ 1,077","$ 56,000","$ 56,000",D,21,United States,Real Salt Lake,Mls,2020
26,Douglas Martínez,"$ 1,077","$ 56,000","$ 56,000",F,22,Honduras,Real Salt Lake,Mls,2020
27,Julian Vázquez,"$ 1,077","$ 56,000","$ 56,000",F,19,Mexico,Real Salt Lake,Mls,2020
28,Milan Iloski,"$ 1,077","$ 56,000","$ 56,000",F,20,United States,Real Salt Lake,Mls,2020
29,Dayonn Harris,"$ 1,077","$ 56,000","$ 56,000",M,22,Canada,Real Salt Lake,Mls,2020
