,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Carles Gil,"$ 40,385","$ 2,100,000","$ 2,100,000",F,27,Spain,Ne Revolution,Mls,2020
1,Gustavo Bou,"$ 40,385","$ 2,100,000","$ 2,100,000",F,29,Argentina,Ne Revolution,Mls,2020
2,Michael Mancienne,"$ 16,955","$ 881,676","$ 881,676",D,32,England,Ne Revolution,Mls,2020
3,Adam Buksa,"$ 12,000","$ 624,000","$ 624,000",F,23,Poland,Ne Revolution,Mls,2020
4,Wilfried Zahibo,"$ 11,212","$ 583,000","$ 583,000",M,26,Central African Republic,Ne Revolution,Mls,2020
5,Cristian Penilla,"$ 9,615","$ 500,000","$ 500,000",F,28,Ecuador,Ne Revolution,Mls,2020
6,Antonio Delamea Mlinar,"$ 6,000","$ 312,000","$ 312,000",D,28,Slovenia,Ne Revolution,Mls,2020
7,Alexander Büttner,"$ 6,000","$ 312,000","$ 312,000",D,30,Netherlands,Ne Revolution,Mls,2020
8,Luis Caicedo,"$ 5,769","$ 300,000","$ 300,000",M,23,Colombia,Ne Revolution,Mls,2020
9,Kelyn Rowe,"$ 5,027","$ 261,400","$ 261,400",M,28,United States,Ne Revolution,Mls,2020
10,Teal Bunbury,"$ 4,341","$ 225,750","$ 225,750",F,29,United States,Ne Revolution,Mls,2020
11,Andrew Farrell,"$ 4,024","$ 209,230","$ 209,230",D,27,United States,Ne Revolution,Mls,2020
12,Diego Fagúndez,"$ 3,942","$ 205,000","$ 205,000",F,24,Uruguay,Ne Revolution,Mls,2020
13,Henry Kessler,"$ 3,000","$ 156,000","$ 156,000",D,21,United States,Ne Revolution,Mls,2020
14,Scott Caldwell,"$ 2,737","$ 142,313","$ 142,313",M,28,United States,Ne Revolution,Mls,2020
15,Seth Sinovic,"$ 2,596","$ 135,000","$ 135,000",D,33,United States,Ne Revolution,Mls,2020
16,Brad Knighton,"$ 2,139","$ 111,253","$ 111,253",K,34,United States,Ne Revolution,Mls,2020
17,Tajon Buchanan,"$ 1,731","$ 90,000","$ 90,000",F,20,Canada,Ne Revolution,Mls,2020
18,Justin Rennicks,"$ 1,538","$ 80,000","$ 80,000",F,20,United States,Ne Revolution,Mls,2020
19,Matt Turner,"$ 1,460","$ 75,938","$ 75,938",K,25,United States,Ne Revolution,Mls,2020
20,Nicolas Firmino,"$ 1,351","$ 70,250","$ 70,250",M,19,Brazil,Ne Revolution,Mls,2020
21,Isaac Angking,"$ 1,351","$ 70,250","$ 70,250",M,20,United States,Ne Revolution,Mls,2020
22,Brandon Bye,"$ 1,153","$ 59,950","$ 59,950",D,24,United States,Ne Revolution,Mls,2020
23,Jeff Caldwell,"$ 1,100","$ 57,225","$ 57,225",K,23,United States,Ne Revolution,Mls,2020
24,DeJuan Jones,"$ 1,082","$ 56,250","$ 56,250",F,22,United States,Ne Revolution,Mls,2020
25,Keegan Meyer,"$ 1,077","$ 56,000","$ 56,000",K,22,United States,Ne Revolution,Mls,2020
26,Damian Rivera,"$ 1,077","$ 56,000","$ 56,000",M,17,United States,Ne Revolution,Mls,2020
27,Simon Lekressner,$ 769,"$ 40,000","$ 40,000",D,21,United States,Ne Revolution,Mls,2020
