,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Nani,"$ 44,872","$ 2,333,333","$ 2,333,333",F,33,Portugal,Orlando City,Mls,2020
1,Dom Dwyer,"$ 25,385","$ 1,320,000","$ 1,320,000",F,29,United States,Orlando City,Mls,2020
2,Mauricio Pereyra,"$ 18,462","$ 960,000","$ 960,000",F,29,Uruguay,Orlando City,Mls,2020
3,Oriol Rosell,"$ 10,048","$ 522,500","$ 522,500",M,27,Spain,Orlando City,Mls,2020
4,Antônio Carlos,"$ 9,981","$ 519,000","$ 519,000",D,26,Brazil,Orlando City,Mls,2020
5,Sebastián Méndez,"$ 9,365","$ 487,000","$ 487,000",M,22,Ecuador,Orlando City,Mls,2020
6,Pedro Gallese,"$ 8,000","$ 416,000","$ 416,000",K,29,Peru,Orlando City,Mls,2020
7,Júnior Urso,"$ 8,000","$ 416,000","$ 416,000",M,30,Brazil,Orlando City,Mls,2020
8,Robin Jansson,"$ 5,019","$ 261,000","$ 261,000",D,28,Sweden,Orlando City,Mls,2020
9,Daryl Dike,"$ 4,500","$ 234,000","$ 234,000",F,19,United States,Orlando City,Mls,2020
10,João Moutinho,"$ 3,904","$ 203,000","$ 203,000",D,22,Portugal,Orlando City,Mls,2020
11,Robinho,"$ 3,808","$ 198,000","$ 198,000",F,25,Brazil,Orlando City,Mls,2020
12,Ruan,"$ 3,077","$ 160,000","$ 160,000",D,24,Brazil,Orlando City,Mls,2020
13,Tesho Akindele,"$ 2,885","$ 150,000","$ 150,000",F,27,Canada,Orlando City,Mls,2020
14,Alex De John,"$ 2,596","$ 135,000","$ 135,000",D,28,United States,Orlando City,Mls,2020
15,Chris Mueller,"$ 1,839","$ 95,625","$ 95,625",F,23,United States,Orlando City,Mls,2020
16,Brian Rowe,"$ 1,827","$ 95,000","$ 95,000",K,31,United States,Orlando City,Mls,2020
17,Andrés Perea,"$ 1,731","$ 90,000","$ 90,000",M,19,Colombia,Orlando City,Mls,2020
18,Benji Michel,"$ 1,635","$ 85,000","$ 85,000",F,22,United States,Orlando City,Mls,2020
19,Mason Stajduhar,"$ 1,363","$ 70,875","$ 70,875",K,22,United States,Orlando City,Mls,2020
20,Kyle Smith,"$ 1,351","$ 70,250","$ 70,250",D,28,United States,Orlando City,Mls,2020
21,David Loera,"$ 1,346","$ 70,000","$ 70,000",F,21,United States,Orlando City,Mls,2020
22,Santiago Patiño,"$ 1,346","$ 70,000","$ 70,000",F,22,United States,Orlando City,Mls,2020
23,Rodrigo Schlegel,"$ 1,346","$ 70,000","$ 70,000",D,22,Argentina,Orlando City,Mls,2020
24,Kamal Miller,"$ 1,082","$ 56,250","$ 56,250",D,22,Canada,Orlando City,Mls,2020
25,Austin Aviza,"$ 1,077","$ 56,000","$ 56,000",K,22,United States,Orlando City,Mls,2020
26,Joey DeZart,"$ 1,077","$ 56,000","$ 56,000",M,21,United States,Orlando City,Mls,2020
27,Jordan Bender,"$ 1,077","$ 56,000","$ 56,000",M,18,United States,Orlando City,Mls,2020
28,Jonathan Dean,"$ 1,077","$ 56,000","$ 56,000",M,22,United States,Orlando City,Mls,2020
