player_id,player_name,day_of_birth,month_of_birth,year_of_birth,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season
72462,luciano narsingh,13,9,1990,Amsterdam,Netherlands,1990-09-13,attack - Right Winger,175,right,,Suriname,GB1,2016
80702,mark birighitti,17,4,1991,Perth,Australia,1991-04-17,Goalkeeper,188,both,,Italy,GB1,2016
90466,gylfi sigurdsson,8,9,1989,Reykjavík,Iceland,1989-09-08,midfield - Attacking Midfield,186,right,Iceland,,GB1,2016
14066,wayne routledge,7,1,1985,London,England,1985-01-07,attack - Left Winger,170,right,,Jamaica,GB1,2016
121279,tom carroll,28,5,1992,Watford,England,1992-05-28,midfield - Central Midfield,177,left,England,,GB1,2016
187105,mike van der hoorn,15,10,1992,Almere,Netherlands,1992-10-15,Defender - Centre-Back,190,right,Netherlands,,GB1,2016
374889,kenji gorré,29,9,1994,Spijkenisse,Netherlands,1994-09-29,midfield - Right Midfield,178,right,,Netherlands,GB1,2016
189070,modou barrow,13,10,1992,Banjul,The Gambia,1992-10-13,attack - Left Winger,176,left,,Sweden,GB1,2016
298477,oliver mcburnie,4,6,1996,Leeds,England,1996-06-04,attack - Centre-Forward,188,right,,England,GB1,2016
85475,federico fernández,21,2,1989,Tres Algarrobos,Argentina,1989-02-21,Defender - Centre-Back,190,right,,Italy,GB1,2016
214666,connor roberts,23,9,1995,Neath,Wales,1995-09-23,Defender - Right-Back,175,right,Wales,,GB1,2016
67421,kyle bartley,22,5,1991,Stockport,England,1991-05-22,Defender - Centre-Back,194,right,,Jamaica,GB1,2016
40043,leon britton,16,9,1982,London,England,1982-09-16,midfield - Central Midfield,167,right,England,,GB1,2016
35564,fernando llorente,26,2,1985,Pamplona,Spain,1985-02-26,attack - Centre-Forward,193,right,Spain,,GB1,2016
75890,kristoffer nordfeldt,23,6,1989,Stockholm,Sweden,1989-06-23,Goalkeeper,190,right,Sweden,,GB1,2016
66219,kyle naughton,17,11,1988,Sheffield,England,1988-11-17,Defender - Right-Back,181,right,,Ireland,GB1,2016
38073,martin olsson,17,5,1988,Gävle,Sweden,1988-05-17,Defender - Left-Back,178,left,Sweden,,GB1,2016
85324,borja bastón,25,8,1992,Madrid,Spain,1992-08-25,attack - Centre-Forward,186,right,Spain,,GB1,2016
22388,bafétimbi gomis,6,8,1985,La Seyne-sur-Mer,France,1985-08-06,attack - Centre-Forward,184,right,,Senegal,GB1,2016
40613,jack cork,25,6,1989,London,England,1989-06-25,midfield - Defensive Midfield,185,right,England,,GB1,2016
85289,jordi amat,21,3,1992,Barcelona,Spain,1992-03-21,Defender - Centre-Back,184,right,Spain,,GB1,2016
319301,daniel james,10,11,1997,Beverley,England,1997-11-10,attack - Left Winger,170,right,,England,GB1,2016
81796,sung-yueng ki,24,1,1989,Gwangju,"Korea, South",1989-01-24,midfield - Defensive Midfield,189,right,"Korea, South",,GB1,2016
171260,jay fulton,4,4,1994,Bolton,England,1994-04-04,midfield - Central Midfield,178,right,,England,GB1,2016
67416,neil taylor,7,2,1989,St Asaph,Wales,1989-02-07,Defender - Left-Back,176,left,Wales,,GB1,2016
184398,stephen kingsley,23,7,1994,Stirling,Scotland,1994-07-23,Defender - Left-Back,178,left,Scotland,,GB1,2016
37787,marvin emnes,27,5,1988,Rotterdam,Netherlands,1988-05-27,attack - Centre-Forward,180,both,,Suriname,GB1,2016
63342,leroy fer,5,1,1990,Zoetermeer,Netherlands,1990-01-05,midfield - Defensive Midfield,188,right,,Curacao,GB1,2016
66413,franck tabanou,30,1,1989,Thiais,France,1989-01-30,Defender - Left-Back,178,left,France,,GB1,2016
265471,matt grimes,15,7,1995,Exeter,England,1995-07-15,midfield - Central Midfield,178,left,England,,GB1,2016
37011,nathan dyer,29,11,1987,Trowbridge,England,1987-11-29,attack - Right Winger,165,right,,Jamaica,GB1,2016
77932,jefferson montero,1,9,1989,Babahoyo,Ecuador,1989-09-01,attack - Left Winger,170,right,Ecuador,,GB1,2016
488,gerhard tremmel,16,11,1978,München,Germany,1978-11-16,Goalkeeper,,N/A,Germany,,GB1,2016
66550,ángel rangel,28,11,1982,Sant Carles de la Ràpita,Spain,1982-11-28,Defender - Right-Back,188,right,Spain,,GB1,2016
29692,lukasz fabianski,18,4,1985,Kostrzyn nad Odrą,Poland,1985-04-18,Goalkeeper,190,right,Poland,,GB1,2016
108354,jordan ayew,11,9,1991,Marseille,France,1991-09-11,attack - Centre-Forward,182,right,,France,GB1,2016
287431,alfie mawson,19,1,1994,London,England,1994-01-19,Defender - Centre-Back,189,right,England,,GB1,2016
216569,jérémie boga,3,1,1997,Marseille,France,1997-01-03,attack - Left Winger,174,right,,France,GB1,2016
34159,eduardo,19,9,1982,Mirandela,Portugal,1982-09-19,Goalkeeper,188,right,Portugal,,GB1,2016
108390,thibaut courtois,11,5,1992,Bree,Belgium,1992-05-11,Goalkeeper,200,left,Belgium,,GB1,2016
157509,kurt zouma,27,10,1994,Lyon,France,1994-10-27,Defender - Centre-Back,190,right,,Central African Republic,GB1,2016
225083,n'golo kanté,29,3,1991,Paris,France,1991-03-29,midfield - Defensive Midfield,168,right,,Mali,GB1,2016
