squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Angers,19.0,52.0,2.0,22.0,180.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,0.5,2.9,2.9,2.3,1.46,1.16,2.62,1.46,2.62,2.0,2.0,180.0,2.0,1.0,8.0,6.0,0.75,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.4,0.29,0.4,0.18,4.0,11.0,36.4,34.0,13.0,26.5,30.9,7.0,28.6,30.6,11.0,0.0,0.0,0.0,0.0,11.5,25.0,6.0,0.0,24.0,12.5,3.0,0.04,0.17,0.12,-1.9,-1.9,928.0,1096.0,84.7,17260.0,5725.0,24.0,41.0,58.5,704.0,778.0,90.5,200.0,277.0,72.2,-2.3,19.0,55.0,13.0,2.0,96.0,995.0,101.0,39.0,4.0,107.0,28.0,51.0,14.0,2.0,6.0,5.0,807.0,131.0,158.0,383.0,621.0,23.0,37.0,19.0,1.0,15.0,7.0,18.0,40.0,20.0,26.0,6.0,3.0,2.0,3.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,39.0,29.0,18.0,16.0,5.0,16.0,43.0,37.2,27.0,273.0,92.0,33.7,78.0,130.0,65.0,27.0,3.0,0.0,24.0,28.0,42.0,0.0,1341.0,93.0,400.0,663.0,376.0,52.0,1244.0,25.0,40.0,62.5,27.0,0.0,904.0,5128.0,2643.0,1022.0,928.0,90.8,31.0,29.0,0.0,21.0,34.0,3.0,0.0,0.0,0.0,176.0,19.0,28.0,40.4
Bordeaux,17.0,43.0,2.0,22.0,180.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.4,2.4,2.1,1.21,1.04,2.25,1.21,2.25,2.0,2.0,180.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.05,0.1,0.07,19.0,55.0,34.5,65.0,4.0,67.7,48.6,12.0,91.7,65.5,23.0,0.0,0.0,3.0,1.5,13.7,12.0,8.0,0.0,66.7,6.0,4.0,0.17,0.25,0.2,-0.4,-0.4,805.0,989.0,81.4,15447.0,4984.0,14.0,33.0,42.4,615.0,685.0,89.8,176.0,271.0,64.9,-0.1,10.0,35.0,7.0,3.0,59.0,891.0,98.0,31.0,1.0,113.0,20.0,28.0,9.0,4.0,0.0,3.0,695.0,100.0,194.0,276.0,613.0,24.0,44.0,8.0,1.0,19.0,4.0,23.0,17.0,8.5,12.0,2.0,3.0,0.0,0.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,44.0,35.0,29.0,13.0,2.0,13.0,34.0,38.2,21.0,266.0,85.0,32.0,110.0,116.0,40.0,33.0,9.0,0.0,24.0,36.0,54.0,0.0,1216.0,137.0,484.0,596.0,201.0,19.0,1120.0,20.0,44.0,45.5,22.0,2.0,784.0,4006.0,1924.0,907.0,805.0,88.8,26.0,13.0,0.0,31.0,28.0,1.0,0.0,0.0,0.0,158.0,28.0,30.0,48.3
Brest,18.0,57.0,2.0,22.0,180.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,3.1,3.1,2.8,1.53,1.41,2.94,1.53,2.94,2.0,2.0,180.0,7.0,3.5,9.0,2.0,0.222,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.1,0.45,-2.9,-1.46,9.0,20.0,45.0,54.0,8.0,31.5,32.4,12.0,25.0,25.6,11.0,1.0,9.1,2.0,1.0,16.3,29.0,7.0,1.0,24.1,14.5,3.5,0.07,0.29,0.11,-1.1,-1.1,811.0,1033.0,78.5,16297.0,5568.0,23.0,47.0,48.9,588.0,687.0,85.6,200.0,299.0,66.9,-0.8,24.0,61.0,19.0,8.0,101.0,900.0,133.0,28.0,2.0,111.0,32.0,60.0,14.0,4.0,4.0,0.0,615.0,188.0,230.0,314.0,573.0,42.0,69.0,10.0,6.0,20.0,17.0,28.0,45.0,22.5,29.0,9.0,2.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,23.0,17.0,19.0,3.0,13.0,26.0,50.0,13.0,307.0,106.0,34.5,89.0,140.0,78.0,18.0,2.0,0.0,16.0,20.0,38.0,0.0,1253.0,112.0,402.0,572.0,362.0,51.0,1124.0,21.0,36.0,58.3,22.0,1.0,795.0,4325.0,2522.0,954.0,811.0,85.0,27.0,26.0,0.0,35.0,24.0,6.0,0.0,0.0,0.0,182.0,35.0,29.0,54.7
Dijon,18.0,44.5,2.0,22.0,180.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.0,0.5,0.5,0.5,0.9,0.9,0.5,0.46,0.26,0.73,0.46,0.73,2.0,2.0,180.0,5.0,2.5,13.0,11.0,0.769,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,5.4,0.28,1.4,0.71,7.0,25.0,28.0,42.0,10.0,26.2,29.9,27.0,51.9,43.9,33.0,3.0,9.1,1.0,0.5,10.0,14.0,3.0,0.0,21.4,7.0,1.5,0.07,0.33,0.07,0.1,0.1,762.0,931.0,81.8,14942.0,4813.0,7.0,22.0,31.8,574.0,642.0,89.4,181.0,267.0,67.8,-0.5,11.0,38.0,5.0,0.0,65.0,827.0,104.0,20.0,3.0,147.0,19.0,19.0,5.0,4.0,1.0,0.0,695.0,94.0,142.0,232.0,601.0,22.0,45.0,18.0,5.0,15.0,9.0,17.0,21.0,10.5,17.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,37.0,21.0,28.0,6.0,3.0,16.0,46.0,34.8,30.0,278.0,77.0,27.7,146.0,82.0,50.0,31.0,6.0,0.0,25.0,28.0,64.0,0.0,1174.0,196.0,554.0,530.0,184.0,17.0,1073.0,28.0,34.0,82.4,29.0,0.0,682.0,4483.0,2499.0,882.0,762.0,86.4,28.0,30.0,0.0,25.0,22.0,6.0,0.0,2.0,1.0,123.0,22.0,31.0,41.5
Lens,15.0,43.0,1.0,11.0,90.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.5,1.8,1.6,2.54,1.6,4.14,1.78,3.38,1.0,1.0,90.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.3,-1.4,-1.41,7.0,14.0,50.0,19.0,3.0,63.2,42.9,3.0,66.7,45.0,3.0,2.0,66.7,0.0,0.0,8.0,15.0,3.0,3.0,20.0,15.0,3.0,0.0,0.0,0.13,-1.5,-1.8,333.0,418.0,79.7,7184.0,2341.0,7.0,15.0,46.7,224.0,255.0,87.8,102.0,148.0,68.9,-1.6,10.0,23.0,11.0,5.0,41.0,366.0,52.0,13.0,0.0,58.0,22.0,28.0,7.0,1.0,6.0,0.0,250.0,63.0,105.0,131.0,233.0,15.0,26.0,5.0,1.0,9.0,8.0,11.0,28.0,28.0,19.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,4.0,1.0,5.0,12.0,41.7,7.0,151.0,43.0,28.5,32.0,71.0,48.0,11.0,2.0,0.0,9.0,19.0,12.0,0.0,509.0,39.0,139.0,271.0,133.0,21.0,457.0,12.0,19.0,63.2,13.0,1.0,322.0,1771.0,1001.0,388.0,333.0,85.8,15.0,7.0,0.0,18.0,17.0,1.0,0.0,0.0,0.0,78.0,16.0,9.0,64.0
Lille,18.0,50.5,2.0,22.0,180.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.6,1.6,1.0,0.81,0.51,1.31,0.81,1.31,2.0,2.0,180.0,1.0,0.5,3.0,2.0,0.667,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.9,0.29,-0.1,-0.07,12.0,41.0,29.3,51.0,12.0,49.0,42.5,17.0,94.1,72.9,18.0,5.0,27.8,0.0,0.0,14.4,15.0,4.0,0.0,26.7,7.5,2.0,0.13,0.5,0.11,0.4,0.4,910.0,1094.0,83.2,17364.0,5359.0,19.0,38.0,50.0,686.0,759.0,90.4,205.0,297.0,69.0,1.0,12.0,59.0,3.0,2.0,77.0,977.0,117.0,38.0,2.0,123.0,32.0,22.0,6.0,4.0,0.0,2.0,768.0,110.0,216.0,320.0,652.0,26.0,53.0,19.0,2.0,10.0,20.0,24.0,22.0,11.0,18.0,2.0,1.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,24.0,14.0,19.0,8.0,21.0,48.0,43.8,27.0,231.0,64.0,27.7,58.0,113.0,60.0,25.0,5.0,0.0,20.0,20.0,48.0,0.0,1305.0,99.0,390.0,751.0,229.0,17.0,1196.0,12.0,25.0,48.0,12.0,0.0,792.0,3907.0,2079.0,1029.0,910.0,88.4,22.0,26.0,0.0,23.0,34.0,2.0,0.0,0.0,0.0,142.0,35.0,27.0,56.5
Lorient,16.0,49.0,2.0,22.0,180.0,3.0,1.0,1.0,1.0,4.0,0.0,1.5,0.5,2.0,1.0,1.5,3.0,2.2,1.4,1.5,0.69,2.18,1.12,1.8,2.0,2.0,180.0,3.0,1.5,6.0,3.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.4,0.4,-0.6,-0.31,7.0,14.0,50.0,34.0,11.0,26.5,29.4,13.0,38.5,36.8,13.0,0.0,0.0,2.0,1.0,14.6,15.0,7.0,2.0,46.7,7.5,3.5,0.13,0.29,0.18,0.0,-0.2,702.0,892.0,78.7,13795.0,4573.0,14.0,43.0,32.6,524.0,589.0,89.0,164.0,260.0,63.1,-0.4,9.0,48.0,9.0,2.0,80.0,785.0,107.0,22.0,2.0,154.0,23.0,44.0,11.0,3.0,7.0,1.0,548.0,152.0,192.0,242.0,528.0,32.0,56.0,18.0,2.0,26.0,12.0,29.0,25.0,12.5,17.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,43.0,29.0,22.0,17.0,4.0,15.0,39.0,38.5,24.0,291.0,93.0,32.0,86.0,138.0,67.0,35.0,8.0,0.0,27.0,31.0,25.0,0.0,1122.0,85.0,368.0,593.0,250.0,39.0,1013.0,20.0,41.0,48.8,22.0,1.0,675.0,4135.0,2432.0,816.0,702.0,86.0,26.0,29.0,0.0,40.0,24.0,2.0,1.0,0.0,0.0,171.0,20.0,23.0,46.5
Lyon,16.0,64.0,1.0,11.0,90.0,3.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,4.9,3.4,2.3,4.95,2.29,7.24,3.43,5.72,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.25,-0.5,-0.5,5.0,5.0,100.0,25.0,4.0,20.0,25.8,3.0,0.0,19.0,3.0,1.0,33.3,1.0,1.0,26.3,25.0,9.0,0.0,36.0,25.0,9.0,0.04,0.11,0.15,-1.9,-2.4,521.0,610.0,85.4,10396.0,3224.0,7.0,20.0,35.0,378.0,417.0,90.6,136.0,173.0,78.6,-2.3,17.0,63.0,15.0,2.0,83.0,562.0,48.0,9.0,2.0,59.0,27.0,48.0,13.0,1.0,6.0,3.0,454.0,73.0,83.0,185.0,365.0,19.0,21.0,8.0,0.0,10.0,16.0,14.0,40.0,40.0,28.0,4.0,3.0,2.0,3.0,8.0,8.0,4.0,0.0,2.0,0.0,2.0,0.0,18.0,10.0,7.0,7.0,4.0,1.0,16.0,6.3,15.0,77.0,19.0,24.7,16.0,33.0,28.0,11.0,3.0,0.0,8.0,13.0,14.0,0.0,732.0,45.0,150.0,361.0,290.0,53.0,682.0,18.0,29.0,62.1,18.0,0.0,513.0,3696.0,2360.0,558.0,521.0,93.4,13.0,15.0,0.0,13.0,7.0,0.0,2.0,0.0,0.0,103.0,24.0,6.0,80.0
Marseille,15.0,41.0,1.0,11.0,90.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,6.0,3.0,6.0,1.4,1.4,1.4,1.44,1.44,2.88,1.44,2.88,1.0,1.0,90.0,2.0,2.0,4.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4,0.6,0.4,0.4,8.0,27.0,29.6,30.0,11.0,46.7,42.6,14.0,92.9,61.1,20.0,3.0,15.0,0.0,0.0,10.5,7.0,4.0,0.0,57.1,7.0,4.0,0.43,0.75,0.21,1.6,1.6,299.0,397.0,75.3,6396.0,2473.0,3.0,13.0,23.1,206.0,241.0,85.5,90.0,143.0,62.9,1.6,7.0,20.0,4.0,0.0,32.0,335.0,62.0,20.0,4.0,51.0,11.0,9.0,2.0,1.0,1.0,0.0,229.0,72.0,96.0,114.0,214.0,18.0,23.0,17.0,2.0,10.0,3.0,7.0,13.0,13.0,5.0,4.0,0.0,0.0,4.0,5.0,5.0,1.0,2.0,0.0,0.0,2.0,0.0,21.0,13.0,16.0,3.0,2.0,6.0,13.0,46.2,7.0,144.0,38.0,26.4,65.0,47.0,32.0,17.0,2.0,0.0,15.0,15.0,36.0,0.0,536.0,92.0,255.0,216.0,95.0,16.0,480.0,7.0,13.0,53.8,7.0,1.0,283.0,1722.0,1008.0,361.0,299.0,82.8,13.0,18.0,0.0,13.0,15.0,4.0,0.0,0.0,0.0,79.0,17.0,18.0,48.6
Metz,15.0,55.0,1.0,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,0.65,0.49,1.14,0.65,1.14,1.0,1.0,90.0,1.0,1.0,2.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1,0.54,0.1,0.09,6.0,15.0,40.0,27.0,5.0,51.9,42.7,4.0,25.0,27.0,6.0,1.0,16.7,1.0,1.0,18.6,15.0,6.0,3.0,40.0,15.0,6.0,0.0,0.0,0.04,-0.7,-0.7,416.0,514.0,80.9,8485.0,2515.0,10.0,23.0,43.5,287.0,321.0,89.4,119.0,170.0,70.0,-0.5,11.0,23.0,8.0,3.0,40.0,455.0,59.0,21.0,1.0,97.0,27.0,28.0,10.0,2.0,5.0,0.0,319.0,82.0,113.0,75.0,370.0,26.0,22.0,6.0,0.0,12.0,2.0,9.0,21.0,21.0,9.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,15.0,7.0,12.0,4.0,9.0,18.0,50.0,9.0,127.0,49.0,38.6,43.0,58.0,26.0,11.0,0.0,0.0,11.0,11.0,22.0,1.0,651.0,40.0,204.0,337.0,163.0,20.0,592.0,12.0,15.0,80.0,12.0,0.0,396.0,2839.0,1641.0,480.0,416.0,86.7,16.0,33.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,100.0,20.0,19.0,51.3
