Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
47,Jaume DomÃ©nech,es ESP,GK,Valencia,es La Liga,27,1990,4,4,360,4.0,1,0.25,12,10,91.7,2,2,0,3,75.0,0,0,0,0,,Matches,0,1,0,2.0,0.17,+1.0,+0.25,27,59,45.8,64,19,50.0,38.9,30,90.0,58.1,42,2,4.8,1,0.25,11.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,10.5,90,4,0,,31,2.00,5,1,+4,+1.00,+0.65,5.0,3.1,+1.9,+0.48,+0.04,0,0,0,0,0,0,0,0,0,26,0,0,,Big-5-European-Leagues,Big5,2018-2019
48,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,36,36,3092,34.3,32,0.93,121,94,76.0,18,11,7,11,30.6,4,3,1,0,25.0,Matches,1,5,1,35.0,0.27,+5.0,+0.14,196,373,52.5,869,194,27.5,30.1,292,45.9,39.5,364,31,8.5,14,0.41,13.8,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,86,90.4,86,34,0,,0,1.81,50,31,+19,+0.55,+0.55,41.7,35.1,+6.6,+0.19,-0.22,0,0,3,0,0,0,0,0,0,173,0,0,,Big-5-European-Leagues,Big5,2018-2019
49,BartÅomiej DrÄgowski,pl POL,GK,Fiorentina,it Serie A,20,1997,3,2,225,2.5,2,0.80,7,5,71.4,0,1,1,1,50.0,0,0,0,0,,Matches,0,1,0,2.5,0.35,+0.5,+0.18,20,53,37.7,76,9,51.3,42.4,30,46.7,42.4,19,2,10.5,3,1.20,15.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,75,6.6,90,2,1,45,17,1.33,2,2,0,0.00,-0.06,2.6,2.3,+0.3,+0.12,-0.16,0,0,1,0,0,0,0,0,0,11,0,0,,Big-5-European-Leagues,Big5,2018-2019
50,BartÅomiej DrÄgowski,pl POL,GK,Empoli,it Serie A,20,1997,14,14,1260,14.0,24,1.71,91,70,76.9,5,2,7,3,21.4,4,3,1,0,25.0,Matches,0,3,0,26.1,0.26,+2.1,+0.15,72,222,32.4,329,95,41.9,38.4,152,55.3,48.0,157,7,4.5,9,0.64,13.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,90,36.8,90,14,0,,1,1.21,22,24,-2,-0.14,+0.57,19.1,26.8,-7.7,-0.55,-0.50,0,1,3,0,0,0,0,0,1,86,0,0,,Big-5-European-Leagues,Big5,2018-2019
51,Jaroslav DrobnÃ½,cz CZE,GK,DÃ¼sseldorf,de Bundesliga,38,1979,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,,Matches,0,0,0,2.9,0.33,-0.1,-0.03,12,22,54.5,27,5,66.7,44.7,10,40.0,40.3,8,0,0.0,1,0.50,15.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.9,90,2,0,,8,1.50,2,3,-1,-0.50,-0.03,1.8,1.9,-0.2,-0.08,+0.34,0,0,0,0,0,0,0,0,0,6,0,0,,Big-5-European-Leagues,Big5,2018-2019
52,Martin DÃºbravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38,38,3420,38.0,48,1.26,136,95,69.1,12,9,17,11,28.9,6,6,0,0,0.0,Matches,2,10,1,49.2,0.33,+2.2,+0.06,276,740,37.3,854,145,54.6,43.9,322,85.1,62.5,412,36,8.7,23,0.61,13.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,1.18,42,48,-6,-0.16,,39.6,53.7,-14.1,-0.37,,0,1,5,0,0,0,0,0,0,189,0,0,,Big-5-European-Leagues,Big5,2018-2019
53,Maxime DupÃ©,fr FRA,GK,Nantes,fr Ligue 1,25,1993,11,10,939,10.4,17,1.63,31,16,51.6,5,3,2,1,10.0,3,2,1,0,33.3,Matches,2,2,0,12.8,0.35,-4.2,-0.40,71,196,36.2,210,38,55.2,44.5,91,87.9,64.4,92,4,4.3,6,0.58,16.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,85,27.5,90,10,1,39,25,1.64,19,17,+2,+0.19,+0.26,14.4,15.0,-0.6,-0.05,-0.07,0,0,0,0,0,0,0,0,0,42,0,0,,Big-5-European-Leagues,Big5,2018-2019
54,Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38,38,3420,38.0,23,0.61,76,57,75.0,32,2,4,20,52.6,4,4,0,0,0.0,Matches,1,5,0,27.5,0.32,+4.5,+0.12,148,290,51.0,912,176,21.9,30.0,187,48.1,47.8,182,17,9.3,27,0.71,16.8,0,1,0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,90,100.0,90,38,0,,0,2.58,95,23,+72,+1.89,,82.0,25.3,+56.7,+1.49,,0,2,3,0,0,0,1,0,2,155,0,0,,Big-5-European-Leagues,Big5,2018-2019
55,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,32,2880,32.0,67,2.09,209,149,70.3,5,6,21,5,15.6,6,5,1,0,16.7,Matches,1,12,1,58.6,0.26,-6.4,-0.20,313,653,47.9,947,141,51.2,40.7,284,59.2,46.3,353,17,4.8,28,0.88,15.0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.8,0.00,0.02,0.02,0.00,0.02,90,94.1,90,32,0,,1,0.66,29,66,-37,-1.16,+0.34,30.9,61.3,-30.4,-0.95,+0.06,0,0,6,0,1,0,1,0,0,173,0,1,0.0,Big-5-European-Leagues,Big5,2018-2019
56,Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,38,3420,38.0,69,1.82,201,135,67.7,10,4,24,10,26.3,7,4,3,0,42.9,Matches,1,12,0,71.1,0.33,+2.1,+0.06,335,1119,29.9,883,50,90.8,61.9,320,99.1,70.3,293,20,6.8,35,0.92,15.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,0.89,34,69,-35,-0.92,,39.5,61.4,-21.9,-0.58,,0,0,5,0,0,0,0,0,0,225,0,0,,Big-5-European-Leagues,Big5,2018-2019
