True,index,competition,gsm_id,kickoffDate,kickoffTime,hometeam_team1,awayteam_team2,team,keyentryArea,keyentryType
6550,5788,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Run
6551,5789,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Box,Pass
6552,5790,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Left,Pass
6553,5791,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Box,Run
6554,5792,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Pass
6555,5793,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Pass
6556,5794,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Right,Pass
6557,5795,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Pass
6558,5796,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Run
6559,5797,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Box,Pass
6560,5798,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Box,Run
6561,5799,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Right,Pass
6562,5800,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Left,Run
6563,5801,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Left,Run
6564,5802,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Pass
6565,5803,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Box,Pass
6566,5804,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Right,Pass
6567,5805,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Pass
6568,5806,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Run
6569,5807,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Run
6570,5808,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Run
6571,5809,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Box,Pass
6572,5810,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Right,Pass
6573,5811,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Box,Run
6574,5812,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Pass
6575,5813,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Left,Run
6576,5814,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Left,Turnover
6577,5815,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Brisbane Roar,Left,Pass
6578,5816,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Run
6579,5817,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Box,Run
6580,5818,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Left,Pass
6581,5819,AusAL,2238877,2016-10-07,08:50:00,Brisbane Roar,Melbourne Victory,Melbourne Victory,Right,Pass
