True,index,competition,gsm_id,kickoffDate,kickoffTime,hometeam_team1,awayteam_team2,team,keyentryArea,keyentryType
91299,13021,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Run
91300,13022,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Left,Pass
91301,13023,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91302,13024,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Pass
91303,13025,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Run
91304,13026,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Left,Run
91305,13027,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Pass
91306,13028,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Left,Run
91307,13029,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Right,Pass
91308,13030,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Run
91309,13031,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91310,13032,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Run
91311,13033,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Right,Shot
91312,13034,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Right,Pass
91313,13035,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Right,Shot
91314,13036,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Pass
91315,13037,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Pass
91316,13038,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Left,Turnover
91317,13039,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Pass
91318,13040,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Pass
91319,13041,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Right,Pass
91320,13042,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Left,Shot
91321,13043,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Pass
91322,13044,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91323,13045,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91324,13046,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Pass
91325,13047,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91326,13048,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Pass
91327,13049,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91328,13050,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Pass
91329,13051,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Left,Run
91330,13052,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Pass
91331,13053,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Pass
91332,13054,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Pass
91333,13055,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Right,Run
91334,13056,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Left,Pass
91335,13057,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Left,Turnover
91336,13058,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Pass
91337,13059,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Right,Pass
91338,13060,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Right,Pass
91339,13061,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Box,Pass
91340,13062,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Left,Run
91341,13063,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Left,Pass
91342,13064,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Left,Pass
91343,13065,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Bursaspor,Left,Pass
91344,13066,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91345,13067,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91346,13068,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91347,13069,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91348,13070,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91349,13071,TurSL,2291149,2016-08-19,18:45:00,Adanaspor,Bursaspor,Adanaspor,Box,Pass
91214,12936,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Right,Run
91215,12937,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Left,Pass
91216,12938,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Box,Pass
91217,12939,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Box,Shot
91218,12940,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Box,Pass
91219,12941,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Kasimpasa,Box,Shot
91220,12942,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Kasimpasa,Right,Pass
91221,12943,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Right,Pass
91222,12944,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Right,Run
91223,12945,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Left,Pass
91224,12946,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Box,Shot
91225,12947,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Left,Pass
91226,12948,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Left,Pass
91227,12949,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Box,Pass
91228,12950,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Left,Run
91229,12951,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Left,Pass
91230,12952,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Left,Run
91231,12953,TurSL,2291147,2016-08-20,16:30:00,Trabzonspor,Kasimpasa,Trabzonspor,Box,Run
