True,index,competition,gsm_id,kickoffDate,kickoffTime,hometeam_team1,awayteam_team2,team,keyentryArea,keyentryType
153625,0,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Run
153626,1,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Box,Pass
153627,2,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Shot
153628,3,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Run
153629,4,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Left,Run
153630,5,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Box,Pass
153631,6,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Turnover
153632,7,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Left,Pass
153633,8,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Pass
153634,9,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Right,Run
153635,10,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Run
153636,11,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Left,Pass
153637,12,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Run
153638,13,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Turnover
153639,14,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Right,Run
153640,15,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Pass
153641,16,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Pass
153642,17,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Box,Turnover
153643,18,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Turnover
153644,19,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Pass
153645,20,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Pass
153646,21,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Run
153647,22,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Left,Run
153648,23,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Left,Pass
153649,24,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Run
153650,25,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Left,Pass
153651,26,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Pass
153652,27,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Box,Pass
153653,28,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Right,Pass
153654,29,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Turnover
153655,30,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Box,Pass
153656,31,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Right,Pass
153657,32,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Pass
153658,33,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Pass
153659,34,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Right,Pass
153660,35,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Run
153661,36,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Turnover
153662,37,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Right,Pass
153663,38,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Left,Pass
153664,39,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Box,Pass
153665,40,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Pass
153666,41,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Right,Pass
153667,42,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,IFK Goteborg,Left,Pass
153668,43,SweAV,2380151,2017-04-01,11:00:00,IFK Goteborg,Malmo FF,Malmo FF,Box,Pass
153669,44,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Right,Run
153670,45,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Right,Pass
153671,46,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Right,Pass
153672,47,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Right,Pass
153673,48,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Left,Pass
153674,49,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Halmstad,Left,Pass
153675,50,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Right,Pass
153676,51,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Right,Pass
153677,52,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Box,Pass
153678,53,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Halmstad,Right,Run
153679,54,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Halmstad,Right,Pass
153680,55,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Halmstad,Box,Pass
153681,56,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Halmstad,Box,Run
153682,57,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Right,Pass
153683,58,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Halmstad,Box,Shot
153684,59,SweAV,2380148,2017-04-01,14:00:00,Halmstad,Ostersunds FK,Ostersunds FK,Left,Pass
