Player,Nation,Team,League,Season,TeamElo,AgeDuringSeason,CurrentAge,Position,PlayStyle,Min,Starts,PercentLeftFooted,PercentRightFooted,Footedness,DAVIES,DAVIESPer90,xGoalsAdded,xGoalsAddedAbovePlayStyle,xGoalsAddedPer90,Salary($),xSalary($),CurrentMarketValue(€),xMarketValue(€),xGAM,name_lower,firstname_lower,lastname_lower,firstinitial_lower
Federico Chiesa,ITA,Fiorentina,Serie A,19/20,1633.43,21.0,23,"FW,DF",Finisher,2637,31,21.63,78.37,Right,7.26,0.1,10.22,6.81,0.35,3560199.0,3244782.0,48000000.0,38045053.0,,federico chiesa,federico,chiesa,f
Kai Havertz,GER,Leverkusen,Bundesliga,18/19,1760.88,19.0,21,"MF,FW",Dribbler,2894,33,75.4,24.6,Left,7.24,0.04,8.96,5.96,0.28,1690755.0,1481145.0,81000000.0,,,kai havertz,kai,havertz,k
Timo Werner,GER,RB Leipzig,Bundesliga,18/19,1781.53,22.0,24,FW,Finisher,2509,29,17.4,82.6,Right,7.23,0.11,10.18,6.77,0.37,3381511.0,3228354.0,64000000.0,,,timo werner,timo,werner,t
Jose Luis Morales,ESP,Levante,La Liga,18/19,1682.22,31.0,33,"FW,MF",Finisher,3195,35,19.0,81.0,Right,7.18,0.06,10.99,7.58,0.31,1352604.0,5447133.0,5000000.0,,,jose luis morales,jose,morales,j
Filip Kostic,SRB,Eint Frankfurt,Bundesliga,18/19,1745.71,25.0,28,"DF,MF",OffensiveWideProgressor,2956,33,89.91,10.09,Left,7.16,0.14,10.62,7.45,0.32,1922598.0,3128744.0,,,,filip kostic,filip,kostic,f
Riyad Mahrez,ALG,Manchester City,Premier League,19/20,1988.88,28.0,29,FW,Playmaker,1944,21,90.11,9.89,Left,7.15,0.28,11.06,7.37,0.51,13721032.0,20539030.0,48000000.0,74403533.0,,riyad mahrez,riyad,mahrez,r
Allan Saint-Maximin,FRA,Nice,Ligue 1,18/19,1596.18,21.0,23,"FW,MF",Finisher,2900,34,16.09,83.91,Right,7.14,0.06,10.1,6.69,0.31,1352604.0,1885076.0,,,,allan saint-maximin,allan,saint-maximin,a
Marco Reus,GER,Dortmund,Bundesliga,18/19,1822.8,29.0,31,"MF,FW",Dribbler,2316,27,21.25,78.75,Right,7.13,0.16,10.33,7.33,0.4,12398495.0,20238109.0,25000000.0,,,marco reus,marco,reus,m
Marcus Thuram,FRA,M'Gladbach,Bundesliga,19/20,1760.23,21.0,23,FW,Finisher,2202,28,17.79,82.21,Right,7.12,0.16,10.08,6.67,0.41,,,32000000.0,34604467.0,,marcus thuram,marcus,thuram,m
Karl Toko Ekambi,CMR,Angers,Ligue 1,17/18,1547.32,24.0,28,"FW,MF",Finisher,3041,33,8.66,91.34,Right,7.12,0.07,10.68,7.27,0.32,,,,,,karl toko ekambi,karl,ekambi,k
Danny Ings,ENG,Southampton,Premier League,19/20,1724.54,27.0,28,FW,Finisher,2804,32,14.62,85.38,Right,7.12,0.1,10.67,7.26,0.34,,,20000000.0,29869323.0,,danny ings,danny,ings,d
Raul Jimenez,MEX,Wolves,Premier League,19/20,1782.63,28.0,29,FW,Finisher,3236,37,7.1,92.9,Right,7.11,0.05,10.66,7.26,0.3,,,40000000.0,48399667.0,,raul jimenez,raul,jimenez,r
Memphis Depay,NED,Lyon,Ligue 1,17/18,1764.4,23.0,26,"FW,MF",Playmaker,2555,28,14.59,85.41,Right,7.0,0.16,10.7,7.02,0.38,,,44000000.0,,,memphis depay,memphis,depay,m
Aleksandar Kolarov,SRB,Roma,Serie A,17/18,1846.35,31.0,35,DF,OffensiveWideProgressor,3060,34,92.77,7.23,Left,6.97,0.13,10.64,7.47,0.31,,,5000000.0,,,aleksandar kolarov,aleksandar,kolarov,a
Angel Di Maria,ARG,Paris S-G,Ligue 1,19/20,1895.8,31.0,32,"FW,MF",Playmaker,2000,23,92.5,7.5,Left,6.96,0.24,10.68,6.99,0.48,15040371.0,14168162.0,32000000.0,44493290.0,,angel di maria,angel,maria,a
Eden Hazard,BEL,Chelsea,Premier League,17/18,1833.3,26.0,29,"FW,MF",Dribbler,2422,28,13.57,86.43,Right,6.91,0.14,10.1,7.1,0.38,,,,,,eden hazard,eden,hazard,e
Lautaro Martinez,ARG,Inter,Serie A,19/20,1801.59,21.0,23,FW,Finisher,2452,29,14.89,85.11,Right,6.9,0.11,9.86,6.45,0.36,3141751.0,3365654.0,70000000.0,70483967.0,,lautaro martinez,lautaro,martinez,l
Leon Bailey,JAM,Leverkusen,Bundesliga,17/18,1704.82,19.0,23,"FW,DF",Playmaker,2215,25,76.99,23.01,Left,6.9,0.14,8.01,4.32,0.33,,,29500000.0,,,leon bailey,leon,bailey,l
Pierre-Emerick Aubameyang,GAB,Arsenal,Premier League,18/19,1866.53,29.0,31,FW,Finisher,2726,30,10.1,89.9,Right,6.88,0.1,10.44,7.03,0.34,12348929.0,21036709.0,56000000.0,,,pierre-emerick aubameyang,pierre-emerick,aubameyang,p
Karim Benzema,FRA,Real Madrid,La Liga,18/19,1837.72,30.0,33,FW,Finisher,2953,35,16.51,83.49,Right,6.87,0.07,10.43,7.02,0.32,18710271.0,21291380.0,25000000.0,,,karim benzema,karim,benzema,k
Filip Kostic,SRB,Eint Frankfurt,Bundesliga,19/20,1705.51,26.0,28,"DF,MF",Playmaker,2958,33,86.54,13.46,Left,6.87,0.09,10.78,7.1,0.33,1922598.0,4770210.0,,,,filip kostic,filip,kostic,f
Josip Ilicic,SVN,Atalanta,Serie A,18/19,1746.85,30.0,32,"FW,MF",Dribbler,2145,23,84.68,15.32,Left,6.86,0.18,10.05,7.06,0.42,2094501.0,8717907.0,,,,josip ilicic,josip,ilicic,j
Ismaila Sarr,SEN,Rennes,Ligue 1,18/19,1615.97,20.0,22,"FW,MF",Dribbler,2788,32,9.33,90.67,Right,6.8,0.08,9.86,6.86,0.32,1487186.0,1776548.0,,,,ismaila sarr,ismaila,sarr,i
Teji Savanier,FRA,Nimes,Ligue 1,18/19,1570.43,26.0,29,MF,DefensiveCentralProgressor,2864,32,15.29,84.71,Right,6.8,0.16,8.83,6.85,0.28,338151.0,1805022.0,,,,teji savanier,teji,savanier,t
Theo Hernandez,FRA,Milan,Serie A,19/20,1758.25,21.0,23,DF,OffensiveWideProgressor,2817,32,94.78,5.22,Left,6.77,0.13,9.52,6.35,0.3,,,45000000.0,43506917.0,,theo hernandez,theo,hernandez,t
Gerard Moreno,ESP,Espanyol,La Liga,17/18,1727.57,25.0,28,FW,Finisher,3411,38,77.41,22.59,Left,6.77,0.03,10.32,6.91,0.27,,,,,,gerard moreno,gerard,moreno,g
Thorgan Hazard,BEL,M'Gladbach,Bundesliga,18/19,1693.49,25.0,27,"FW,DF",Playmaker,2873,33,17.3,82.7,Right,6.74,0.1,10.65,6.97,0.33,1809504.0,2362183.0,,,,thorgan hazard,thorgan,hazard,t
Timo Werner,GER,RB Leipzig,Bundesliga,17/18,1685.61,21.0,24,FW,Finisher,2494,28,16.95,83.05,Right,6.7,0.1,9.66,6.25,0.35,,,64000000.0,,,timo werner,timo,werner,t
Francesco Caputo,ITA,Empoli,Serie A,18/19,1547.51,30.0,33,FW,Finisher,3420,38,17.25,82.75,Right,6.7,0.03,10.25,6.84,0.27,1256474.0,2443207.0,,,,francesco caputo,francesco,caputo,f
Bryan Cristante,ITA,Atalanta,Serie A,17/18,1732.39,22.0,25,"MF,FW",AttackingCentralProgressor,2824,33,13.13,86.87,Right,6.66,0.14,9.27,6.52,0.3,,,,,,bryan cristante,bryan,cristante,b
Dimitri Payet,FRA,Marseille,Ligue 1,17/18,1763.65,30.0,33,"MF,FW",Playmaker,2347,28,10.97,89.03,Right,6.66,0.17,10.57,6.89,0.41,,,10000000.0,,,dimitri payet,dimitri,payet,d
Flavien Tait,FRA,Angers,Ligue 1,18/19,1555.32,25.0,27,"MF,FW",Playmaker,2985,34,10.91,89.09,Right,6.62,0.08,10.53,6.84,0.32,813146.0,1833441.0,,,,flavien tait,flavien,tait,f
Lorenzo Insigne,ITA,Napoli,Serie A,19/20,1757.0,28.0,29,"FW,MF",Dribbler,2810,34,6.35,93.65,Right,6.59,0.07,9.78,6.79,0.31,9634478.0,6815599.0,48000000.0,37234577.0,,lorenzo insigne,lorenzo,insigne,l
Bernardo Silva,POR,Manchester City,Premier League,18/19,2037.31,23.0,26,"MF,FW",Dribbler,2854,31,92.12,7.88,Left,6.58,0.06,9.64,6.64,0.3,10290774.0,21122823.0,80000000.0,,,bernardo silva,bernardo,silva,b
Joshua Kimmich,GER,Bayern Munich,Bundesliga,18/19,1944.13,23.0,25,"DF,MF",OffensiveWideProgressor,3060,34,20.22,79.78,Right,6.57,0.1,9.32,6.15,0.27,9016985.0,6186311.0,85000000.0,,,joshua kimmich,joshua,kimmich,j
