Player,Nation,Team,League,Season,TeamElo,AgeDuringSeason,CurrentAge,Position,PlayStyle,Min,Starts,PercentLeftFooted,PercentRightFooted,Footedness,DAVIES,DAVIESPer90,xGoalsAdded,xGoalsAddedAbovePlayStyle,xGoalsAddedPer90,Salary($),xSalary($),CurrentMarketValue(€),xMarketValue(€),xGAM,name_lower,firstname_lower,lastname_lower,firstinitial_lower
Ludwig Augustinsson,SWE,Werder Bremen,Bundesliga,18/19,1717.33,24.0,26,DF,OffensiveWideProgressor,3026,34,89.99,10.01,Left,2.47,-0.01,5.93,2.76,0.18,2261880.0,2928957.0,8000000.0,,,ludwig augustinsson,ludwig,augustinsson,l
Aissa Mandi,ALG,Betis,La Liga,17/18,1723.9,25.0,29,DF,PossessionOrientedCentralDefender,3024,34,10.76,89.24,Right,2.46,0.01,5.54,2.74,0.16,,,10000000.0,,,aissa mandi,aissa,mandi,a
Ruslan Malinovskyi,UKR,Atalanta,Serie A,19/20,1844.2,26.0,27,"MF,FW",Playmaker,1535,12,88.54,11.46,Left,2.46,0.14,6.37,2.69,0.37,,,21000000.0,26846950.0,,ruslan malinovskyi,ruslan,malinovskyi,r
Jordi Alba,ESP,Barcelona,La Liga,17/18,2025.35,28.0,31,DF,OffensiveWideProgressor,2741,30,85.54,14.46,Left,2.46,0.01,5.92,2.75,0.19,,,30000000.0,,,jordi alba,jordi,alba,j
Oussama Haddadi,TUN,Dijon,Ligue 1,18/19,1496.76,26.0,28,"DF,MF",DefensiveWideProgressor,2674,30,89.57,10.43,Left,2.46,0.02,5.4,2.66,0.18,649160.0,1267332.0,,,,oussama haddadi,oussama,haddadi,o
Mauro Icardi,ARG,Paris S-G,Ligue 1,19/20,1895.8,26.0,27,FW,Finisher,1267,14,16.17,83.83,Right,2.46,0.18,6.01,2.6,0.43,,,60000000.0,53909017.0,,mauro icardi,mauro,icardi,m
Marten de Roon,NED,Atalanta,Serie A,19/20,1844.2,28.0,29,MF,DefensiveCentralProgressor,2721,29,13.55,86.45,Right,2.45,0.03,4.49,2.51,0.15,1465698.0,1692716.0,23000000.0,25822417.0,,marten de roon,marten,roon,m
Lucas Holer,GER,Freiburg,Bundesliga,19/20,1660.59,25.0,26,"FW,MF",Finisher,2485,28,16.64,83.36,Right,2.45,-0.03,6.0,2.59,0.22,529280.0,1702693.0,4000000.0,12668440.0,,lucas holer,lucas,holer,l
Roger Marti,ESP,Levante,La Liga,18/19,1682.22,27.0,29,FW,Finisher,1887,23,10.99,89.01,Right,2.45,0.04,6.0,2.59,0.29,789396.0,3932143.0,8000000.0,,,roger marti,roger,marti,r
Gianluca Lapadula,PER,Lecce,Serie A,19/20,1501.84,29.0,30,FW,Finisher,1784,20,65.79,34.21,Left,2.44,0.06,6.0,2.59,0.3,,,5000000.0,8250048.0,,gianluca lapadula,gianluca,lapadula,g
Simone Missiroli,ITA,SPAL,Serie A,19/20,1445.58,33.0,34,MF,DefensiveCentralProgressor,2798,31,16.84,83.16,Right,2.44,0.03,4.44,2.46,0.14,1465698.0,1273812.0,1200000.0,1663988.0,,simone missiroli,simone,missiroli,s
Hamari Traore,MLI,Rennes,Ligue 1,19/20,1646.45,27.0,28,DF,DefensiveWideProgressor,2411,27,11.82,88.18,Right,2.44,0.04,5.38,2.65,0.2,859514.0,1058802.0,5500000.0,7099687.0,,hamari traore,hamari,traore,h
Dennis Praet,BEL,Sampdoria,Serie A,18/19,1608.71,24.0,26,MF,AttackingCentralProgressor,2890,33,7.07,92.93,Right,2.44,0.01,5.58,2.84,0.17,2932527.0,3215338.0,,,,dennis praet,dennis,praet,d
Niko Giesselmann,GER,Dusseldorf,Bundesliga,18/19,1604.14,26.0,29,DF,DefensiveWideProgressor,2593,29,89.36,10.64,Left,2.44,0.02,5.38,2.64,0.19,563208.0,1607754.0,,,,niko giesselmann,niko,giesselmann,n
Riccardo Gagliolo,SWE,Parma,Serie A,18/19,1498.2,28.0,30,DF,LowBlockCentralDefender,3045,34,73.3,26.7,Left,2.44,0.02,4.92,2.49,0.15,481780.0,1326522.0,3000000.0,,,riccardo gagliolo,riccardo,gagliolo,r
Ricardo Rodriguez,SUI,Milan,Serie A,18/19,1710.55,25.0,28,DF,DefensiveWideProgressor,3047,35,75.01,24.99,Left,2.43,0.0,5.37,2.64,0.16,4398226.0,2837256.0,3500000.0,,,ricardo rodriguez,ricardo,rodriguez,r
Isaac Mbenza,BEL,Montpellier,Ligue 1,17/18,1590.91,21.0,24,"FW,MF",Finisher,2094,22,9.74,90.26,Right,2.43,-0.02,5.39,1.98,0.23,,,,,,isaac mbenza,isaac,mbenza,i
Michel,ESP,Valladolid,La Liga,18/19,1613.73,30.0,32,MF,DefensiveCentralProgressor,2553,27,11.25,88.75,Right,2.43,0.03,4.47,2.49,0.16,827848.0,1545241.0,,,,michel,michel,michel,m
Federico Viviani,ITA,SPAL,Serie A,17/18,1554.81,25.0,28,MF,DefensiveCentralProgressor,2480,29,12.87,87.13,Right,2.43,0.04,4.46,2.48,0.16,,,,,,federico viviani,federico,viviani,f
Islam Slimani,ALG,Monaco,Ligue 1,19/20,1587.32,31.0,32,FW,Finisher,1285,14,22.45,77.55,Right,2.43,0.19,6.24,2.83,0.44,,,6500000.0,6466322.0,,islam slimani,islam,slimani,i
Marcelo Brozovic,CRO,Inter,Serie A,17/18,1752.6,24.0,28,MF,AttackingCentralProgressor,1926,21,14.88,85.12,Right,2.42,0.09,5.57,2.82,0.26,,,,,,marcelo brozovic,marcelo,brozovic,m
Julian Brandt,GER,Dortmund,Bundesliga,19/20,1834.14,23.0,24,"MF,FW",Playmaker,2203,25,16.45,83.55,Right,2.42,0.03,6.13,2.44,0.25,,,40000000.0,36977483.0,,julian brandt,julian,brandt,j
Samu Castillejo,ESP,Villarreal,La Liga,17/18,1759.18,22.0,25,"MF,FW",Playmaker,2066,25,81.73,18.27,Left,2.42,0.05,6.12,2.44,0.27,,,,,,samu castillejo,samu,castillejo,s
Issiaga Sylla,GUI,Toulouse,Ligue 1,19/20,1403.91,25.0,26,DF,DefensiveWideProgressor,2520,28,85.91,14.09,Left,2.42,0.03,5.36,2.63,0.19,612969.0,1013393.0,2800000.0,2982810.0,,issiaga sylla,issiaga,sylla,i
Ruben Aguilar,FRA,Montpellier,Ligue 1,18/19,1617.81,25.0,27,"DF,MF",OffensiveWideProgressor,2528,29,5.23,94.77,Right,2.42,0.03,5.88,2.71,0.21,406007.0,1511701.0,,,,ruben aguilar,ruben,aguilar,r
Nahitan Nandez,URU,Cagliari,Serie A,19/20,1585.66,23.0,25,"MF,DF",OffensiveWideProgressor,2898,32,4.96,95.04,Right,2.42,-0.02,5.17,2.0,0.16,,,23000000.0,19009870.0,,nahitan nandez,nahitan,nandez,n
Maxwel Cornet,CIV,Lyon,Ligue 1,18/19,1726.96,21.0,24,FW,Finisher,1281,12,77.06,22.94,Left,2.42,0.13,5.37,1.97,0.38,2434914.0,3007502.0,10500000.0,,,maxwel cornet,maxwel,cornet,m
Davy Propper,NED,Brighton,Premier League,19/20,1658.11,27.0,29,MF,DefensiveCentralProgressor,2829,32,8.67,91.33,Right,2.41,0.02,4.45,2.47,0.14,3087232.0,3472091.0,13500000.0,8681167.0,,davy propper,davy,propper,d
Matteo Pessina,ITA,Hellas Verona,Serie A,19/20,1559.21,22.0,23,"MF,FW",AttackingCentralProgressor,2489,27,85.93,14.07,Left,2.41,0.02,5.02,2.27,0.18,,,12000000.0,14765170.0,,matteo pessina,matteo,pessina,m
Lukas Lerager,DEN,Bordeaux,Ligue 1,17/18,1633.16,24.0,27,MF,AttackingCentralProgressor,3284,37,9.17,90.83,Right,2.41,-0.01,5.56,2.81,0.15,,,,,,lukas lerager,lukas,lerager,l
Alaixys Romao,TOG,Reims,Ligue 1,18/19,1583.48,34.0,36,MF,DefensiveCentralProgressor,3160,36,13.8,86.2,Right,2.41,0.01,4.42,2.44,0.13,618624.0,1246599.0,325000.0,,,alaixys romao,alaixys,romao,a
Simone Missiroli,ITA,Sassuolo,Serie A,17/18,1595.5,31.0,34,MF,DefensiveCentralProgressor,2918,33,19.24,80.76,Right,2.41,0.02,4.41,2.43,0.14,,,,,,simone missiroli,simone,missiroli,s
Michael Keane,ENG,Everton,Premier League,18/19,1769.56,25.0,27,DF,PossessionOrientedCentralDefender,2969,33,17.47,82.53,Right,2.41,0.01,5.48,2.68,0.17,4116310.0,3552551.0,20000000.0,,,michael keane,michael,keane,m
Felix Klaus,GER,Hannover 96,Bundesliga,17/18,1575.5,24.0,28,"MF,FW",Playmaker,1981,25,8.69,91.31,Right,2.4,0.05,6.32,2.63,0.29,,,,,,felix klaus,felix,klaus,f
Benito Raman,BEL,Dusseldorf,Bundesliga,18/19,1604.14,23.0,26,"MF,FW",Playmaker,1681,19,16.78,83.22,Right,2.4,0.11,6.11,2.42,0.33,648029.0,2354490.0,,,,benito raman,benito,raman,b
Sadio Mane,SEN,Liverpool,Premier League,20/21,1965.28,28.73,28,FW,Finisher,1240,14,28.74,71.26,Right,2.4,0.19,5.96,2.55,0.43,,,120000000.0,,,sadio mane,sadio,mane,s
Bruma,POR,RB Leipzig,Bundesliga,17/18,1685.61,22.0,26,"MF,FW",Dribbler,1611,16,11.15,88.85,Right,2.4,0.07,5.46,2.46,0.31,,,,,,bruma,bruma,bruma,b
Marco Parolo,ITA,Lazio,Serie A,17/18,1753.81,32.0,35,MF,AttackingCentralProgressor,2612,30,27.47,72.53,Right,2.4,0.02,4.97,2.23,0.17,,,1600000.0,,,marco parolo,marco,parolo,m
Danny Ings,ENG,Southampton,Premier League,18/19,1673.84,26.0,28,FW,Finisher,1651,23,13.99,86.01,Right,2.4,0.08,5.95,2.55,0.32,5145387.0,4608465.0,20000000.0,,,danny ings,danny,ings,d
Carlos Soler,ESP,Valencia,La Liga,18/19,1809.51,21.0,23,MF,OffensiveWideProgressor,2460,27,13.01,86.99,Right,2.4,0.01,5.15,1.98,0.19,2330867.0,2596404.0,30000000.0,,,carlos soler,carlos,soler,c
Darijo Srna,CRO,Cagliari,Serie A,18/19,1531.8,36.0,38,DF,DefensiveWideProgressor,2087,24,5.76,94.24,Right,2.4,0.06,4.8,2.06,0.21,2094501.0,3431520.0,,,,darijo srna,darijo,srna,d
Rafael Leao,POR,Milan,Serie A,19/20,1758.25,20.0,21,FW,Finisher,1404,12,16.0,84.0,Right,2.4,0.09,5.35,1.94,0.34,,,24000000.0,30753667.0,,rafael leao,rafael,leao,r
Alex Berenguer,ESP,Torino,Serie A,19/20,1581.91,24.0,25,"MF,FW",Dribbler,1823,21,12.24,87.76,Right,2.39,0.04,5.59,2.59,0.28,1465698.0,2029997.0,10000000.0,11686313.0,,alex berenguer,alex,berenguer,a
Juanpe,ESP,Girona,La Liga,17/18,1662.4,26.0,29,DF,PossessionOrientedCentralDefender,3066,34,28.96,71.04,Right,2.39,0.01,5.46,2.67,0.16,,,,,,juanpe,juanpe,juanpe,j
Milot Rashica,KVX,Werder Bremen,Bundesliga,18/19,1717.33,22.0,24,"FW,MF",Finisher,1550,19,21.43,78.57,Right,2.38,0.06,5.34,1.93,0.31,2255094.0,3455971.0,22000000.0,,,milot rashica,milot,rashica,m
Erick Pulgar,CHI,Bologna,Serie A,17/18,1546.53,23.0,26,MF,DefensiveCentralProgressor,2770,31,9.65,90.35,Right,2.38,0.02,4.34,2.36,0.14,,,,,,erick pulgar,erick,pulgar,e
Nicolas Hofler,GER,Freiburg,Bundesliga,19/20,1660.59,29.0,30,MF,DefensiveCentralProgressor,2783,31,31.15,68.85,Right,2.38,0.02,4.42,2.44,0.14,678564.0,1880385.0,3500000.0,4396023.0,,nicolas hofler,nicolas,hofler,n
Marco Asensio,ESP,Real Madrid,La Liga,17/18,2020.97,21.0,24,"FW,MF",Playmaker,1845,19,88.07,11.93,Left,2.38,0.08,6.08,2.4,0.3,,,40000000.0,,,marco asensio,marco,asensio,m
Aaron Ramsey,WAL,Arsenal,Premier League,17/18,1818.72,26.0,30,MF,Playmaker,1846,21,18.04,81.96,Right,2.38,0.07,6.29,2.61,0.31,,,,,,aaron ramsey,aaron,ramsey,a
Christian Gunter,GER,Freiburg,Bundesliga,18/19,1596.02,25.0,27,DF,OffensiveWideProgressor,2879,32,88.11,11.89,Left,2.38,0.0,5.84,2.67,0.18,882133.0,1686977.0,9000000.0,,,christian gunter,christian,gunter,c
Chris Brunt,NIR,West Brom,Premier League,17/18,1617.33,32.0,36,"MF,DF",DefensiveCentralProgressor,1920,22,85.39,14.61,Left,2.38,0.09,4.38,2.4,0.21,,,,,,chris brunt,chris,brunt,c
Ozan Kabak,TUR,Schalke 04,Bundesliga,19/20,1608.03,19.0,20,DF,LowBlockCentralDefender,1777,21,12.89,87.11,Right,2.37,0.07,3.91,1.47,0.2,,,29000000.0,12999897.0,,ozan kabak,ozan,kabak,o
Casemiro,BRA,Real Madrid,La Liga,17/18,2020.97,25.0,28,MF,DefensiveCentralProgressor,2589,30,9.91,90.09,Right,2.37,0.03,4.4,2.42,0.15,,,65000000.0,,,casemiro,casemiro,casemiro,c
Fred,BRA,Manchester Utd,Premier League,19/20,1876.21,26.0,27,MF,DefensiveCentralProgressor,2163,23,72.03,27.97,Left,2.36,0.06,4.4,2.42,0.18,8232619.0,5960086.0,17500000.0,31745150.0,,fred,fred,fred,f
Kenny McLean,SCO,Norwich City,Premier League,19/20,1537.87,27.0,28,MF,DefensiveCentralProgressor,2968,32,79.25,20.75,Left,2.36,0.01,4.4,2.42,0.13,,,3500000.0,5936762.0,,kenny mclean,kenny,mclean,k
Alexis Sanchez,CHI,Arsenal,Premier League,17/18,1818.72,28.0,32,"FW,MF",Playmaker,1503,17,6.33,93.67,Right,2.36,0.14,6.27,2.59,0.38,,,,,,alexis sanchez,alexis,sanchez,a
Clement Lenglet,FRA,Barcelona,La Liga,19/20,1964.47,24.0,25,DF,PossessionOrientedCentralDefender,2424,28,86.25,13.75,Left,2.36,0.05,5.43,2.64,0.2,3052407.0,2978705.0,50000000.0,52365617.0,,clement lenglet,clement,lenglet,c
Dale Stephens,ENG,Brighton,Premier League,17/18,1628.91,28.0,31,MF,DefensiveCentralProgressor,3240,36,10.43,89.57,Right,2.36,0.0,4.39,2.41,0.12,,,4800000.0,,,dale stephens,dale,stephens,d
Jorge Miramon,ESP,Huesca,La Liga,18/19,1612.89,29.0,31,DF,DefensiveWideProgressor,2492,30,7.31,92.69,Right,2.36,0.03,5.3,2.56,0.19,921716.0,1311570.0,,,,jorge miramon,jorge,miramon,j
Marten de Roon,NED,Atalanta,Serie A,17/18,1732.39,26.0,29,MF,DefensiveCentralProgressor,2571,29,13.47,86.53,Right,2.35,0.03,4.39,2.41,0.15,,,23000000.0,,,marten de roon,marten,roon,m
Ante Budimir,CRO,Mallorca,La Liga,19/20,1604.39,28.0,29,FW,Finisher,2765,33,80.1,19.9,Left,2.35,-0.05,5.9,2.49,0.19,,,8000000.0,8017593.0,,ante budimir,ante,budimir,a
Luis Alberto,ESP,Lazio,Serie A,18/19,1658.64,25.0,28,"MF,FW",Playmaker,1990,25,4.82,95.18,Right,2.35,0.05,6.26,2.57,0.28,3141751.0,3616989.0,50000000.0,,,luis alberto,luis,alberto,l
Wissam Ben Yedder,FRA,Sevilla,La Liga,17/18,1762.39,26.0,30,FW,Finisher,1701,18,51.54,48.46,Dual,2.34,0.07,5.9,2.49,0.31,,,,,,wissam ben yedder,wissam,yedder,w
Cristhian Stuani,URU,Girona,La Liga,18/19,1622.19,31.0,34,FW,Finisher,2729,30,13.48,86.52,Right,2.34,-0.05,6.16,2.75,0.2,2096763.0,3848254.0,,,,cristhian stuani,cristhian,stuani,c
Maximilian Eggestein,GER,Werder Bremen,Bundesliga,17/18,1653.94,20.0,24,MF,AttackingCentralProgressor,2692,31,16.69,83.31,Right,2.34,0.01,4.94,2.2,0.17,,,13000000.0,,,maximilian eggestein,maximilian,eggestein,m
Remi Oudin,FRA,Reims,Ligue 1,18/19,1583.48,21.0,24,FW,Playmaker,2612,32,78.88,21.12,Left,2.34,-0.01,6.04,2.36,0.21,381127.0,1204902.0,7000000.0,,,remi oudin,remi,oudin,r
Ola Aina,NGA,Torino,Serie A,18/19,1692.6,21.0,24,"DF,MF",OffensiveWideProgressor,2160,22,26.57,73.43,Right,2.34,0.04,5.1,1.92,0.21,1047250.0,1076239.0,7000000.0,,,ola aina,ola,aina,o
James Milner,ENG,Liverpool,Premier League,18/19,2043.53,32.0,34,"MF,DF",AttackingCentralProgressor,1789,19,8.84,91.16,Right,2.34,0.09,4.91,2.16,0.25,9604722.0,7699511.0,6500000.0,,,james milner,james,milner,j
Mathieu Dossevi,TOG,Toulouse,Ligue 1,18/19,1491.43,30.0,32,"FW,MF",Dribbler,2469,30,7.5,92.5,Right,2.34,-0.04,5.53,2.53,0.2,812015.0,1472303.0,1200000.0,,,mathieu dossevi,mathieu,dossevi,m
Bruno Martella,ITA,Crotone,Serie A,17/18,1542.79,24.0,28,DF,DefensiveWideProgressor,2616,30,91.03,8.97,Left,2.33,0.02,5.27,2.54,0.18,,,,,,bruno martella,bruno,martella,b
Jonathan Viera,ESP,Las Palmas,La Liga,17/18,1539.63,27.0,31,MF,Playmaker,1993,23,5.27,94.73,Right,2.33,0.05,6.25,2.56,0.28,,,,,,jonathan viera,jonathan,viera,j
Andy Delort,ALG,Toulouse,Ligue 1,17/18,1537.36,25.0,29,FW,Finisher,2334,25,5.5,94.5,Right,2.33,-0.02,5.88,2.47,0.23,,,,,,andy delort,andy,delort,a
Daniel Brosinski,GER,Mainz 05,Bundesliga,19/20,1652.84,31.0,32,DF,DefensiveWideProgressor,1709,16,8.65,91.35,Right,2.33,0.09,4.69,1.96,0.25,904752.0,2275025.0,1300000.0,1698788.0,,daniel brosinski,daniel,brosinski,d
Sehrou Guirassy,FRA,Amiens,Ligue 1,19/20,1484.79,23.0,24,FW,Finisher,1921,23,10.62,89.38,Right,2.33,0.0,5.28,1.87,0.25,,,,,,sehrou guirassy,sehrou,guirassy,s
Jeremy Morel,MAD,Lyon,Ligue 1,17/18,1764.4,33.0,36,DF,PossessionOrientedCentralDefender,2916,32,92.53,7.47,Left,2.33,0.0,5.09,2.29,0.16,,,,,,jeremy morel,jeremy,morel,j
Eric Maxim Choupo-Moting,CMR,Stoke City,Premier League,17/18,1625.11,28.0,31,"FW,MF",Dribbler,2314,26,21.51,78.49,Right,2.32,-0.02,5.52,2.52,0.21,,,,,,eric maxim choupo-moting,eric,choupo-moting,e
Benjamin Pavard,FRA,Stuttgart,Bundesliga,18/19,1578.16,22.0,24,DF,LowBlockCentralDefender,2610,29,8.25,91.75,Right,2.32,0.02,4.39,1.96,0.15,1357128.0,1091332.0,,,,benjamin pavard,benjamin,pavard,b
Eden Hazard,BEL,Real Madrid,La Liga,19/20,1921.36,28.0,29,"FW,MF",Dribbler,1077,14,14.19,85.81,Right,2.32,0.22,5.52,2.52,0.46,,,60000000.0,46900953.0,,eden hazard,eden,hazard,e
Kenny Lala,FRA,Strasbourg,Ligue 1,19/20,1577.77,27.0,29,DF,OffensiveWideProgressor,2043,22,13.98,86.02,Right,2.32,0.07,5.78,2.61,0.25,473864.0,1558232.0,9500000.0,8432935.0,,kenny lala,kenny,lala,k
Niklas Moisander,FIN,Werder Bremen,Bundesliga,19/20,1632.45,33.0,35,DF,PossessionOrientedCentralDefender,1979,22,66.74,33.26,Left,2.32,0.07,5.09,2.29,0.23,2253963.0,3527276.0,1000000.0,3532692.0,,niklas moisander,niklas,moisander,n
Alex Sandro,BRA,Juventus,Serie A,17/18,1958.95,26.0,29,DF,OffensiveWideProgressor,2117,23,92.34,7.66,Left,2.32,0.06,5.78,2.61,0.25,,,35000000.0,,,alex sandro,alex,sandro,a
Kamil Glik,POL,Monaco,Ligue 1,18/19,1562.92,30.0,32,DF,LowBlockCentralDefender,2970,33,15.99,84.01,Right,2.32,0.02,4.81,2.37,0.15,3922100.0,2574483.0,3500000.0,,,kamil glik,kamil,glik,k
Joan Jordan,ESP,Eibar,La Liga,18/19,1709.06,24.0,26,MF,AttackingCentralProgressor,2875,32,12.36,87.64,Right,2.31,0.0,5.46,2.71,0.17,912669.0,2544939.0,,,,joan jordan,joan,jordan,j
Angel Correa,ARG,Atletico Madrid,La Liga,18/19,1874.54,23.0,25,"MF,FW",Dribbler,1919,20,18.72,81.28,Right,2.31,0.01,5.37,2.37,0.25,3944719.0,3156400.0,,,,angel correa,angel,correa,a
Leon Goretzka,GER,Bayern Munich,Bundesliga,18/19,1944.13,23.0,25,MF,AttackingCentralProgressor,2023,23,5.58,94.42,Right,2.31,0.06,4.91,2.17,0.22,9047520.0,5585346.0,60000000.0,,,leon goretzka,leon,goretzka,l
Danilo Larangeira,BRA,Bologna,Serie A,18/19,1572.21,34.0,36,DF,LowBlockCentralDefender,3077,35,9.2,90.8,Right,2.31,0.01,4.96,2.53,0.15,1674922.0,1496360.0,,,,danilo larangeira,danilo,larangeira,d
Rodrigo Palacio,ARG,Bologna,Serie A,18/19,1572.21,36.0,38,FW,Finisher,2329,26,17.26,82.74,Right,2.31,0.0,6.42,3.01,0.25,1885277.0,2055122.0,400000.0,,,rodrigo palacio,rodrigo,palacio,r
Alessandro Florenzi,ITA,Roma,Serie A,18/19,1747.43,27.0,29,"DF,FW",OffensiveWideProgressor,2180,24,4.65,95.35,Right,2.31,0.05,5.77,2.6,0.24,5863924.0,3831553.0,10000000.0,,,alessandro florenzi,alessandro,florenzi,a
Linton Maina,GER,Hannover 96,Bundesliga,18/19,1527.5,19.0,21,"MF,FW",Playmaker,1414,17,28.87,71.13,Right,2.31,0.03,3.41,-0.27,0.22,117618.0,1117448.0,,,,linton maina,linton,maina,l
Sebastien Haller,CIV,West Ham,Premier League,19/20,1689.95,25.0,26,FW,Finisher,2266,24,15.74,84.26,Right,2.3,-0.01,5.86,2.45,0.23,,,36000000.0,25184757.0,,sebastien haller,sebastien,haller,s
Vitorino Hilton,BRA,Montpellier,Ligue 1,18/19,1617.81,40.0,43,DF,LowBlockCentralDefender,3232,36,30.38,69.62,Right,2.3,0.01,5.47,3.03,0.15,,,,,,vitorino hilton,vitorino,hilton,v
Salomon Kalou,CIV,Hertha BSC,Bundesliga,17/18,1608.77,31.0,35,"FW,MF",Dribbler,2207,27,13.04,86.96,Right,2.3,0.0,6.36,3.36,0.26,,,,,,salomon kalou,salomon,kalou,s
Florian Neuhaus,GER,M'Gladbach,Bundesliga,18/19,1693.49,21.0,23,MF,Playmaker,2062,25,20.71,79.29,Right,2.3,0.04,6.0,2.31,0.26,499875.0,1198525.0,23000000.0,,,florian neuhaus,florian,neuhaus,f
Vincent Manceau,FRA,Angers,Ligue 1,18/19,1555.32,29.0,31,DF,DefensiveWideProgressor,2790,31,20.0,80.0,Right,2.3,0.01,5.24,2.5,0.17,540589.0,1004623.0,1700000.0,,,vincent manceau,vincent,manceau,v
Diego Rico,ESP,Bournemouth,Premier League,19/20,1633.84,26.0,27,DF,DefensiveWideProgressor,2332,27,93.81,6.19,Left,2.29,0.04,5.23,2.5,0.2,2401181.0,3649835.0,8000000.0,6966173.0,,diego rico,diego,rico,d
Stefan Posch,AUT,Hoffenheim,Bundesliga,19/20,1729.86,22.0,23,DF,PossessionOrientedCentralDefender,2308,27,11.51,88.49,Right,2.29,0.04,4.83,2.03,0.19,117618.0,1366560.0,11000000.0,26253450.0,,stefan posch,stefan,posch,s
Vincent Manceau,FRA,Angers,Ligue 1,17/18,1547.32,28.0,31,DF,DefensiveWideProgressor,2970,33,12.61,87.39,Right,2.29,0.0,5.23,2.5,0.16,,,1700000.0,,,vincent manceau,vincent,manceau,v
Bryan Cristante,ITA,Roma,Serie A,18/19,1747.43,23.0,25,MF,AttackingCentralProgressor,2425,26,11.95,88.05,Right,2.29,0.02,4.89,2.15,0.18,2932527.0,3034802.0,18000000.0,,,bryan cristante,bryan,cristante,b
Marko Grujic,SRB,Hertha BSC,Bundesliga,19/20,1648.52,23.0,24,MF,DefensiveCentralProgressor,2415,29,17.52,82.48,Right,2.29,0.04,4.24,2.26,0.16,,,,,,marko grujic,marko,grujic,m
Theodor Gebre Selassie,CZE,Werder Bremen,Bundesliga,17/18,1653.94,30.0,34,"DF,MF",DefensiveWideProgressor,2828,31,6.82,93.18,Right,2.29,0.0,5.23,2.49,0.17,,,1400000.0,,,theodor gebre selassie,theodor,selassie,t
Adam Marusic,MNE,Lazio,Serie A,17/18,1753.81,24.0,28,"DF,MF",OffensiveWideProgressor,2523,28,13.23,86.77,Right,2.29,0.02,5.75,2.58,0.21,,,,,,adam marusic,adam,marusic,a
Sebastian Schonlau,GER,Paderborn 07,Bundesliga,19/20,1493.71,24.0,26,DF,LowBlockCentralDefender,2070,23,19.75,80.25,Right,2.28,0.08,4.77,2.34,0.21,,,1600000.0,7364295.0,,sebastian schonlau,sebastian,schonlau,s
Nolan Roux,FRA,Metz,Ligue 1,17/18,1456.77,29.0,32,"FW,MF",Finisher,2834,33,4.45,95.55,Right,2.28,-0.06,5.83,2.42,0.19,,,,,,nolan roux,nolan,roux,n
Diego Carlos,BRA,Sevilla,La Liga,19/20,1827.37,26.0,27,DF,LowBlockCentralDefender,3134,35,10.62,89.38,Right,2.28,0.01,4.77,2.33,0.14,,,50000000.0,42075250.0,,diego carlos,diego,carlos,d
Amir Rrahmani,KVX,Hellas Verona,Serie A,19/20,1559.21,25.0,26,DF,PossessionOrientedCentralDefender,3228,36,12.3,87.7,Right,2.27,-0.01,5.35,2.55,0.15,,,14000000.0,13975833.0,,amir rrahmani,amir,rrahmani,a
Mario Gaspar,ESP,Villarreal,La Liga,18/19,1729.0,27.0,30,DF,DefensiveWideProgressor,2599,30,8.8,91.2,Right,2.27,0.02,5.21,2.48,0.18,2801338.0,3267772.0,6000000.0,,,mario gaspar,mario,gaspar,m
Konrad Laimer,AUT,RB Leipzig,Bundesliga,19/20,1844.66,22.0,23,MF,DefensiveCentralProgressor,2115,26,19.41,80.59,Right,2.27,0.06,4.23,2.25,0.18,2261880.0,2680993.0,30000000.0,33607200.0,,konrad laimer,konrad,laimer,k
Wylan Cyprien,FRA,Nice,Ligue 1,18/19,1596.18,23.0,25,MF,AttackingCentralProgressor,2360,27,19.71,80.29,Right,2.27,0.03,4.88,2.13,0.19,1352604.0,1213987.0,14500000.0,,,wylan cyprien,wylan,cyprien,w
Benjamin Hubner,GER,Hoffenheim,Bundesliga,17/18,1711.01,28.0,31,DF,PossessionOrientedCentralDefender,2315,27,81.94,18.06,Left,2.27,0.05,5.35,2.55,0.21,,,4000000.0,,,benjamin hubner,benjamin,hubner,b
Vitorino Hilton,BRA,Montpellier,Ligue 1,19/20,1610.98,41.0,43,DF,LowBlockCentralDefender,2510,28,26.35,73.65,Right,2.27,0.06,5.43,3.0,0.19,,,,,,vitorino hilton,vitorino,hilton,v
Diego Laxalt,URU,Genoa,Serie A,17/18,1561.46,24.0,27,"DF,MF",OffensiveWideProgressor,2806,32,81.97,18.03,Left,2.27,0.0,5.74,2.56,0.18,,,,,,diego laxalt,diego,laxalt,d
Vitorino Antunes,POR,Getafe,La Liga,18/19,1757.47,31.0,33,DF,DefensiveWideProgressor,2181,25,90.84,9.16,Left,2.27,0.04,4.63,1.9,0.19,1014453.0,2407933.0,,,,vitorino antunes,vitorino,antunes,v
Yohan Cabaye,FRA,Crystal Palace,Premier League,17/18,1689.04,31.0,34,MF,DefensiveCentralProgressor,2376,28,6.3,93.7,Right,2.27,0.05,4.27,2.29,0.16,,,,,,yohan cabaye,yohan,cabaye,y
Andrea Petagna,ITA,SPAL,Serie A,19/20,1445.58,24.0,25,FW,Finisher,3032,33,72.05,27.95,Left,2.27,-0.07,5.82,2.41,0.17,2512949.0,3234096.0,15000000.0,14300393.0,,andrea petagna,andrea,petagna,a
