,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Felipe Gutierrez,"$ 30,769","$ 1,600,000","$ 1,649,090",M,26,Chile,Sporting Kc,Mls,2018
1,Johnny Russell,"$ 25,607","$ 1,331,579","$ 1,372,434",M,27,Scotland,Sporting Kc,Mls,2018
2,Andreu Fontas,"$ 19,231","$ 1,000,000","$ 1,030,681",D,27,Spain,Sporting Kc,Mls,2018
3,Krisztian Nemeth,"$ 17,308","$ 900,000","$ 927,613",F,28,Hungary,Sporting Kc,Mls,2018
4,Roger Espinoza,"$ 17,308","$ 900,000","$ 927,613",M,30,Honduras,Sporting Kc,Mls,2018
5,Matt Besler,"$ 14,423","$ 750,000","$ 773,011",D,30,United States,Sporting Kc,Mls,2018
6,Graham Zusi,"$ 14,423","$ 750,000","$ 773,011",D,30,United States,Sporting Kc,Mls,2018
7,Yohan Croizet,"$ 12,500","$ 650,004","$ 669,947",M,25,France,Sporting Kc,Mls,2018
8,Gerso Fernandes,"$ 10,577","$ 550,008","$ 566,883",F,27,Guinea-Bissau,Sporting Kc,Mls,2018
9,Ilie Sanchez,"$ 6,250","$ 325,008","$ 334,980",M,26,Spain,Sporting Kc,Mls,2018
10,Ike Opara,"$ 6,250","$ 325,000","$ 334,971",D,28,United States,Sporting Kc,Mls,2018
11,Tim Melia,"$ 5,769","$ 300,000","$ 309,204",K,31,United States,Sporting Kc,Mls,2018
12,Diego Rubio Kostner,"$ 4,808","$ 250,000","$ 257,670",F,25,Chile,Sporting Kc,Mls,2018
13,Cristian Lobato,"$ 4,615","$ 240,000","$ 247,364",M,28,Spain,Sporting Kc,Mls,2018
14,Brad Evans,"$ 3,846","$ 200,000","$ 206,136",D,32,United States,Sporting Kc,Mls,2018
15,Seth Sinovic,"$ 2,885","$ 150,000","$ 154,602",D,30,United States,Sporting Kc,Mls,2018
16,Jimmy Medranda,"$ 2,692","$ 140,004","$ 144,300",D,23,Colombia,Sporting Kc,Mls,2018
17,Khiry Shelton,"$ 1,966","$ 102,245","$ 105,382",F,24,United States,Sporting Kc,Mls,2018
18,Gianluca Busio,"$ 1,539","$ 80,004","$ 82,459",F,15,United States,Sporting Kc,Mls,2018
19,Kharlton Belmar,"$ 1,313","$ 68,254","$ 70,348",F,24,United States,Sporting Kc,Mls,2018
20,Daniel Salloi,"$ 1,298","$ 67,500","$ 69,571",F,20,Hungary,Sporting Kc,Mls,2018
21,Wan Kuzain,"$ 1,298","$ 67,500","$ 69,571",M,18,United States,Sporting Kc,Mls,2018
22,Amer Didic,"$ 1,070","$ 55,654","$ 57,362",D,22,Canada,Sporting Kc,Mls,2018
23,Colton Storm,"$ 1,070","$ 55,654","$ 57,362",D,22,United States,Sporting Kc,Mls,2018
24,Adrian Zendejas,"$ 1,070","$ 55,650","$ 57,357",K,21,United States,Sporting Kc,Mls,2018
25,Tyler Freeman,"$ 1,062","$ 55,200","$ 56,894",F,15,United States,Sporting Kc,Mls,2018
26,Jaylin Lindsey,"$ 1,048","$ 54,504","$ 56,176",D,17,United States,Sporting Kc,Mls,2018
27,Eric Dick,"$ 1,048","$ 54,500","$ 56,172",K,22,United States,Sporting Kc,Mls,2018
28,Graham Smith,"$ 1,048","$ 54,500","$ 56,172",D,21,United States,Sporting Kc,Mls,2018
