,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Darwin Quintero,"$ 31,731","$ 1,650,000","$ 1,700,624",F,29,Colombia,Minnesota United,Mls,2018
1,Angelo Rodriguez,"$ 11,058","$ 575,000","$ 592,642",F,28,Colombia,Minnesota United,Mls,2018
2,Romario Ibarra,"$ 9,615","$ 500,000","$ 515,341",M,22,Ecuador,Minnesota United,Mls,2018
3,Francisco Calvo,"$ 8,654","$ 450,000","$ 463,807",D,24,Costa Rica,Minnesota United,Mls,2018
4,Kevin Molino,"$ 8,173","$ 425,004","$ 438,044",M,27,Trinidad and Tobago,Minnesota United,Mls,2018
5,Ethan Finlay,"$ 7,212","$ 375,000","$ 386,506",M,26,United States,Minnesota United,Mls,2018
6,Ibson da Silva,"$ 5,769","$ 300,000","$ 309,204",M,35,Brazil,Minnesota United,Mls,2018
7,Alexi Gomez,"$ 5,769","$ 300,000","$ 309,204",M,24,Peru,Minnesota United,Mls,2018
8,Miguel Ibarra,"$ 5,769","$ 300,000","$ 309,204",M,27,United States,Minnesota United,Mls,2018
9,Luiz Fernando,"$ 5,288","$ 275,000","$ 283,437",M,22,Brazil,Minnesota United,Mls,2018
10,Collen Warner,"$ 4,827","$ 251,004","$ 258,705",M,29,United States,Minnesota United,Mls,2018
11,Michael Boxall,"$ 4,808","$ 250,008","$ 257,679",D,28,New Zealand,Minnesota United,Mls,2018
12,Johan Venegas,"$ 4,327","$ 225,000","$ 231,903",M,28,Costa Rica,Minnesota United,Mls,2018
13,Rasmus Schuller,"$ 3,846","$ 200,004","$ 206,140",M,26,Finland,Minnesota United,Mls,2018
14,Jerome Thiesson,"$ 3,462","$ 180,000","$ 185,523",D,29,Switzerland,Minnesota United,Mls,2018
15,Bobby Shuttleworth,"$ 3,173","$ 165,000","$ 170,062",K,30,United States,Minnesota United,Mls,2018
16,Fernando Bob Paixao Da Silva,"$ 2,933","$ 152,496","$ 157,175",M,30,Brazil,Minnesota United,Mls,2018
17,Sam Cronin,"$ 2,724","$ 141,660","$ 146,006",M,30,United States,Minnesota United,Mls,2018
18,Marc Burch,"$ 2,692","$ 140,004","$ 144,300",D,33,United States,Minnesota United,Mls,2018
19,Abu Danladi,"$ 2,596","$ 135,000","$ 139,142",F,21,Ghana,Minnesota United,Mls,2018
20,Mason Toye,"$ 2,404","$ 125,000","$ 128,835",F,18,United States,Minnesota United,Mls,2018
21,Matt Lampson,"$ 1,923","$ 100,000","$ 103,068",K,27,United States,Minnesota United,Mls,2018
22,Collin Martin,"$ 1,827","$ 95,004","$ 97,919",M,22,United States,Minnesota United,Mls,2018
23,Eric Miller,"$ 1,635","$ 84,998","$ 87,606",D,24,United States,Minnesota United,Mls,2018
24,Brent Kallman,"$ 1,587","$ 82,500","$ 85,031",D,26,United States,Minnesota United,Mls,2018
25,Harrison Heath,"$ 1,336","$ 69,458","$ 71,589",M,21,England,Minnesota United,Mls,2018
26,Frantz Pangop,"$ 1,298","$ 67,500","$ 69,571",M,24,Cameroon,Minnesota United,Mls,2018
27,Bertrand Owundi Eko o,"$ 1,298","$ 67,500","$ 69,571",D,25,Cameroon,Minnesota United,Mls,2018
28,Alex Kapp,"$ 1,070","$ 55,654","$ 57,362",K,22,United States,Minnesota United,Mls,2018
29,Carter Manley,"$ 1,048","$ 54,500","$ 56,172",D,21,United States,Minnesota United,Mls,2018
30,Wyatt Omsberg,"$ 1,048","$ 54,500","$ 56,172",D,21,United States,Minnesota United,Mls,2018
