,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Giovani dos Santos,"$ 81,731","$ 4,250,000","$ 4,380,396",F,28,Mexico,La Galaxy,Mls,2018
1,Jonathan dos Santos,"$ 38,462","$ 2,000,000","$ 2,061,363",M,27,Mexico,La Galaxy,Mls,2018
2,Romain Alessandrini,"$ 29,615","$ 1,539,996","$ 1,587,245",M,28,France,La Galaxy,Mls,2018
3,Zlatan Ibrahimovic,"$ 28,846","$ 1,500,000","$ 1,546,022",F,35,Sweden,La Galaxy,Mls,2018
4,Jorgen Skjelvik,"$ 17,308","$ 900,000","$ 927,613",D,25,Norway,La Galaxy,Mls,2018
5,Ola Kamara,"$ 15,865","$ 825,000","$ 850,312",F,27,Norway,La Galaxy,Mls,2018
6,Michael Ciani,"$ 11,538","$ 600,000","$ 618,409",D,33,France,La Galaxy,Mls,2018
7,Perry Kitchen,"$ 8,654","$ 450,000","$ 463,807",D,25,United States,La Galaxy,Mls,2018
8,Ashley Cole,"$ 8,654","$ 450,000","$ 463,807",D,36,England,La Galaxy,Mls,2018
9,David Bingham,"$ 5,288","$ 275,000","$ 283,437",K,27,United States,La Galaxy,Mls,2018
10,Rolf Feltscher,"$ 4,615","$ 240,000","$ 247,364",D,26,Venezuela,La Galaxy,Mls,2018
11,Sebastian Lletget,"$ 4,615","$ 240,000","$ 247,364",M,24,United States,La Galaxy,Mls,2018
12,Joao Pedro,"$ 4,231","$ 219,996","$ 226,746",M,24,Portugal,La Galaxy,Mls,2018
13,Baggio Husidic,"$ 3,365","$ 175,000","$ 180,369",M,30,Bosnia-Herzegovina,La Galaxy,Mls,2018
14,Chris Pontius,"$ 3,365","$ 175,000","$ 180,369",F,30,United States,La Galaxy,Mls,2018
15,Emmanuel Boateng,"$ 2,500","$ 130,000","$ 133,989",F,23,Ghana,La Galaxy,Mls,2018
16,Daniel Steres,"$ 2,404","$ 125,004","$ 128,839",D,26,United States,La Galaxy,Mls,2018
17,Tomas Hilliard Arce,"$ 1,731","$ 90,000","$ 92,761",D,21,Costa Rica,La Galaxy,Mls,2018
18,Hugo Arellano,"$ 1,442","$ 75,000","$ 77,301",D,19,United States,La Galaxy,Mls,2018
19,Dave Romney,"$ 1,431","$ 74,419","$ 76,702",D,24,United States,La Galaxy,Mls,2018
20,Bradford Jamieson,"$ 1,399","$ 72,765","$ 74,998",F,21,United States,La Galaxy,Mls,2018
21,Brian Sylvestre,"$ 1,298","$ 67,500","$ 69,571",K,24,Haiti,La Galaxy,Mls,2018
22,Sheanon Williams,"$ 1,298","$ 67,500","$ 69,571",D,27,United States,La Galaxy,Mls,2018
23,Efrain Alvarez,"$ 1,298","$ 67,500","$ 69,571",M,15,Mexico,La Galaxy,Mls,2018
24,Servando Carrasco,"$ 1,298","$ 67,500","$ 69,571",M,28,United States,La Galaxy,Mls,2018
25,Ariel Lassiter,"$ 1,298","$ 67,500","$ 69,571",F,22,Costa Rica,La Galaxy,Mls,2018
26,Justin Vom Steeg,"$ 1,048","$ 54,500","$ 56,172",K,20,United States,La Galaxy,Mls,2018
