,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Bradley Wright Phillips,"$ 28,846","$ 1,500,000","$ 1,546,022",F,32,England,Ny Red Bulls,Mls,2018
1,Marc Rzatkowski,"$ 17,019","$ 885,000","$ 912,153",M,27,Germany,Ny Red Bulls,Mls,2018
2,Alejandro Kaku Romero,"$ 13,636","$ 709,091","$ 730,847",M,23,Paraguay,Ny Red Bulls,Mls,2018
3,Daniel Royer,"$ 11,538","$ 600,000","$ 618,409",M,27,Austria,Ny Red Bulls,Mls,2018
4,Luis Robles,"$ 8,846","$ 460,000","$ 474,113",K,33,United States,Ny Red Bulls,Mls,2018
5,Aurelien Collin,"$ 8,654","$ 450,000","$ 463,807",D,31,France,Ny Red Bulls,Mls,2018
6,Carlos Rivas,"$ 8,558","$ 444,996","$ 458,649",M,23,Colombia,Ny Red Bulls,Mls,2018
7,Andreas Ivan,"$ 4,615","$ 240,000","$ 247,364",M,22,Romania,Ny Red Bulls,Mls,2018
8,Sean Davis,"$ 4,327","$ 225,000","$ 231,903",M,24,United States,Ny Red Bulls,Mls,2018
9,Kemar Lawrence,"$ 2,885","$ 150,000","$ 154,602",D,24,Jamaica,Ny Red Bulls,Mls,2018
10,Fidel Escobar,"$ 2,788","$ 145,000","$ 149,449",D,22,Panama,Ny Red Bulls,Mls,2018
11,Tommy Redding,"$ 2,404","$ 125,000","$ 128,835",D,20,United States,Ny Red Bulls,Mls,2018
12,Ryan Meara,"$ 2,308","$ 120,000","$ 123,682",K,26,Ireland,Ny Red Bulls,Mls,2018
13,Connor Lade,"$ 2,192","$ 114,000","$ 117,498",D,27,United States,Ny Red Bulls,Mls,2018
14,Alex Muyl,"$ 2,115","$ 110,000","$ 113,375",F,21,United States,Ny Red Bulls,Mls,2018
15,Tyler Adams,"$ 1,923","$ 100,000","$ 103,068",M,18,United States,Ny Red Bulls,Mls,2018
16,Tim Parker,"$ 1,869","$ 97,185","$ 100,167",D,24,United States,Ny Red Bulls,Mls,2018
17,Michael Murillo,"$ 1,539","$ 80,004","$ 82,459",D,21,Panama,Ny Red Bulls,Mls,2018
18,Aaron Long,"$ 1,406","$ 73,125","$ 75,369",D,24,United States,Ny Red Bulls,Mls,2018
19,Cristian Casseres,"$ 1,346","$ 70,000","$ 72,148",M,18,Venezuela,Ny Red Bulls,Mls,2018
20,Anatole Abang,"$ 1,326","$ 68,927","$ 71,042",F,20,Cameroon,Ny Red Bulls,Mls,2018
21,Derrick Etienne,"$ 1,317","$ 68,500","$ 70,602",M,20,Haiti,Ny Red Bulls,Mls,2018
22,Vincent Bezecourt,"$ 1,298","$ 67,500","$ 69,571",M,24,France,Ny Red Bulls,Mls,2018
23,Florian Valot,"$ 1,298","$ 67,500","$ 69,571",M,24,France,Ny Red Bulls,Mls,2018
24,Evan Louro,"$ 1,070","$ 55,654","$ 57,362",K,21,United States,Ny Red Bulls,Mls,2018
25,Hassan Ndam Fouapon,"$ 1,048","$ 54,504","$ 56,176",D,20,Cameroon,Ny Red Bulls,Mls,2018
26,Ben Mines,"$ 1,048","$ 54,504","$ 56,176",M,17,United States,Ny Red Bulls,Mls,2018
27,Kevin Politz,"$ 1,048","$ 54,500","$ 56,172",D,21,United States,Ny Red Bulls,Mls,2018
28,Kyle Duncan,"$ 1,048","$ 54,500","$ 56,172",D,19,United States,Ny Red Bulls,Mls,2018
29,Ethan Kutler,"$ 1,048","$ 54,500","$ 56,172",D,22,United States,Ny Red Bulls,Mls,2018
30,Brian White,"$ 1,048","$ 54,500","$ 56,172",F,21,United States,Ny Red Bulls,Mls,2018
