,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Wayne Rooney,"$ 53,254","$ 2,769,231","$ 2,854,195",F,31,England,Dc United,Mls,2018
1,Zoltan Stieber,"$ 19,231","$ 1,000,000","$ 1,030,681",M,28,Hungary,Dc United,Mls,2018
2,Paul Arriola,"$ 12,019","$ 625,000","$ 644,176",M,22,United States,Dc United,Mls,2018
3,Luciano Acosta,"$ 10,577","$ 550,000","$ 566,875",F,23,Argentina,Dc United,Mls,2018
4,Steven Birnbaum,"$ 9,615","$ 500,004","$ 515,345",D,26,United States,Dc United,Mls,2018
5,Yamil Asad,"$ 8,392","$ 436,364","$ 449,752",M,22,Argentina,Dc United,Mls,2018
6,Darren Mattocks,"$ 7,692","$ 400,000","$ 412,273",F,26,Jamaica,Dc United,Mls,2018
7,David Ousted,"$ 6,731","$ 350,000","$ 360,739",K,32,Denmark,Dc United,Mls,2018
8,Nick DeLeon,"$ 5,288","$ 275,000","$ 283,437",M,26,United States,Dc United,Mls,2018
9,Frederic Brillant,"$ 5,096","$ 265,000","$ 273,131",D,32,France,Dc United,Mls,2018
10,Vytautas Andriuskevicius,"$ 4,808","$ 250,000","$ 257,670",D,26,Lithuania,Dc United,Mls,2018
11,Russell Canouse,"$ 4,760","$ 247,500","$ 255,094",M,22,United States,Dc United,Mls,2018
12,Kevin Ellis,"$ 2,885","$ 150,000","$ 154,602",D,26,United States,Dc United,Mls,2018
13,Taylor Kemp,"$ 2,692","$ 140,000","$ 144,295",D,26,United States,Dc United,Mls,2018
14,Ulises Segura,"$ 2,635","$ 137,000","$ 141,203",M,24,Costa Rica,Dc United,Mls,2018
15,Junior Moreno,"$ 2,308","$ 120,000","$ 123,682",M,23,Venezuela,Dc United,Mls,2018
16,Kofi Opare,"$ 2,272","$ 118,125","$ 121,749",D,26,United States,Dc United,Mls,2018
17,Jared Jeffrey,"$ 2,211","$ 114,996","$ 118,524",M,27,United States,Dc United,Mls,2018
18,Ian Harkes,"$ 2,010","$ 104,500","$ 107,706",M,22,United States,Dc United,Mls,2018
19,Joseph Mora,"$ 1,731","$ 90,000","$ 92,761",D,24,Costa Rica,Dc United,Mls,2018
20,Chris Durkin,"$ 1,538","$ 80,000","$ 82,455",D,17,United States,Dc United,Mls,2018
21,Jalen Robinson,"$ 1,442","$ 75,000","$ 77,301",D,23,United States,Dc United,Mls,2018
22,Oniel Fisher,"$ 1,325","$ 68,906","$ 71,020",D,25,Jamaica,Dc United,Mls,2018
23,Travis Worra,"$ 1,325","$ 68,906","$ 71,020",K,24,United States,Dc United,Mls,2018
24,Dane Kelly,"$ 1,298","$ 67,500","$ 69,571",F,26,Jamaica,Dc United,Mls,2018
25,Bill Hamid,"$ 1,298","$ 67,500","$ 69,571",K,26,United States,Dc United,Mls,2018
26,Bruno Miranda,"$ 1,298","$ 67,500","$ 69,571",F,19,Bolivia,Dc United,Mls,2018
27,Chris Odoi Atsem,"$ 1,048","$ 54,500","$ 56,172",D,22,United States,Dc United,Mls,2018
