,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Raul Ruidiaz,"$ 38,462","$ 2,000,004","$ 2,061,367",F,26,Peru,Seattle Sounders,Mls,2018
1,Nicolas Lodeiro,"$ 34,615","$ 1,800,000","$ 1,855,227",M,28,Uruguay,Seattle Sounders,Mls,2018
2,Osvaldo Alonso,"$ 21,154","$ 1,100,000","$ 1,133,750",M,31,Cuba,Seattle Sounders,Mls,2018
3,Victor Rodriguez,"$ 19,231","$ 1,000,000","$ 1,030,681",M,27,Spain,Seattle Sounders,Mls,2018
4,Roman Torres,"$ 11,058","$ 575,000","$ 592,642",D,31,Panama,Seattle Sounders,Mls,2018
5,Brad Smith,"$ 10,175","$ 529,092","$ 545,325",D,23,Australia,Seattle Sounders,Mls,2018
6,Kim Kee Hee,"$ 9,615","$ 500,004","$ 515,345",D,29,South Korea,Seattle Sounders,Mls,2018
7,Kelvin Leerdam,"$ 9,615","$ 500,000","$ 515,341",D,27,Netherlands,Seattle Sounders,Mls,2018
8,Gustav Svensson,"$ 6,731","$ 350,000","$ 360,739",M,30,Sweden,Seattle Sounders,Mls,2018
9,Will Bruin,"$ 6,731","$ 350,000","$ 360,739",F,27,United States,Seattle Sounders,Mls,2018
10,Chad Marshall,"$ 5,769","$ 300,000","$ 309,204",D,32,United States,Seattle Sounders,Mls,2018
11,Stefan Frei,"$ 4,808","$ 250,000","$ 257,670",K,31,United States,Seattle Sounders,Mls,2018
12,Jordan Morris,"$ 4,269","$ 222,000","$ 228,811",F,22,United States,Seattle Sounders,Mls,2018
13,Harry Shipp,"$ 3,365","$ 175,000","$ 180,369",M,25,United States,Seattle Sounders,Mls,2018
14,Waylon Francis,"$ 3,173","$ 165,000","$ 170,062",D,26,Costa Rica,Seattle Sounders,Mls,2018
15,Cristian Roldan,"$ 2,962","$ 154,000","$ 158,725",M,22,United States,Seattle Sounders,Mls,2018
16,Lamar Neagle,"$ 1,846","$ 96,000","$ 98,945",F,30,United States,Seattle Sounders,Mls,2018
17,Jordy Delem,"$ 1,298","$ 67,500","$ 69,571",M,24,Martinique,Seattle Sounders,Mls,2018
18,Bryan Meredith,"$ 1,298","$ 67,500","$ 69,571",K,27,United States,Seattle Sounders,Mls,2018
19,Calle Brown,"$ 1,298","$ 67,500","$ 69,571",K,25,United States,Seattle Sounders,Mls,2018
20,Jordan McCrary,"$ 1,298","$ 67,500","$ 69,571",D,23,United States,Seattle Sounders,Mls,2018
21,Tony Alfaro,"$ 1,298","$ 67,500","$ 69,571",D,24,Mexico,Seattle Sounders,Mls,2018
22,Henry Wingo,"$ 1,070","$ 55,650","$ 57,357",D,21,United States,Seattle Sounders,Mls,2018
23,Alex Roldan,"$ 1,048","$ 54,500","$ 56,172",M,20,United States,Seattle Sounders,Mls,2018
24,Felix Chenkam,"$ 1,048","$ 54,500","$ 56,172",F,18,Cameroon,Seattle Sounders,Mls,2018
25,Handwalla Bwana,"$ 1,048","$ 54,500","$ 56,172",M,20,Kenya,Seattle Sounders,Mls,2018
26,Nouhou Tolo,"$ 1,048","$ 54,500","$ 56,172",D,21,Cameroon,Seattle Sounders,Mls,2018
