,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Dom Dwyer,"$ 23,077","$ 1,200,000","$ 1,236,818",F,26,United States,Orlando City,Mls,2018
1,Sacha Kljestan,"$ 19,712","$ 1,025,000","$ 1,056,449",M,31,United States,Orlando City,Mls,2018
2,Lamine Sane,"$ 15,529","$ 807,500","$ 832,275",D,30,Senegal,Orlando City,Mls,2018
3,Jonathan Spector,"$ 11,058","$ 575,004","$ 592,646",D,31,United States,Orlando City,Mls,2018
4,Yoshimar Yotun,"$ 10,577","$ 549,996","$ 566,871",M,27,Peru,Orlando City,Mls,2018
5,Cristian Higuita,"$ 8,558","$ 444,996","$ 458,649",M,23,Colombia,Orlando City,Mls,2018
6,Will Johnson,"$ 8,346","$ 434,004","$ 447,320",M,30,Canada,Orlando City,Mls,2018
7,Oriol Rosell,"$ 7,933","$ 412,500","$ 425,156",M,24,Spain,Orlando City,Mls,2018
8,Carlos Ascues,"$ 6,923","$ 360,000","$ 371,045",D,25,Peru,Orlando City,Mls,2018
9,Scott Sutter,"$ 4,327","$ 225,000","$ 231,903",D,31,Switzerland,Orlando City,Mls,2018
10,Joe Bendik,"$ 3,462","$ 180,000","$ 185,523",K,28,United States,Orlando City,Mls,2018
11,Dillon Powers,"$ 3,462","$ 180,000","$ 185,523",M,26,United States,Orlando City,Mls,2018
12,Mohammed El Mounir,"$ 3,365","$ 175,000","$ 180,369",D,26,Libya,Orlando City,Mls,2018
13,Josue Colman,"$ 2,885","$ 150,000","$ 154,602",M,18,Paraguay,Orlando City,Mls,2018
14,Stefano Pinho,"$ 2,885","$ 150,000","$ 154,602",F,26,Brazil,Orlando City,Mls,2018
15,Richie Laryea,"$ 2,596","$ 135,000","$ 139,142",M,22,Canada,Orlando City,Mls,2018
16,Donny Toia,"$ 2,404","$ 125,004","$ 128,839",D,25,United States,Orlando City,Mls,2018
17,RJ Allen,"$ 1,731","$ 90,000","$ 92,761",D,27,United States,Orlando City,Mls,2018
18,Victor Giro,"$ 1,731","$ 90,000","$ 92,761",D,24,Brazil,Orlando City,Mls,2018
19,Jose Villarreal,"$ 1,635","$ 85,000","$ 87,608",F,23,United States,Orlando City,Mls,2018
20,Chris Mueller,"$ 1,635","$ 85,000","$ 87,608",F,20,United States,Orlando City,Mls,2018
21,Amro Tarek,"$ 1,538","$ 80,000","$ 82,455",D,25,Egypt,Orlando City,Mls,2018
22,Cam Lindley,"$ 1,538","$ 80,000","$ 82,455",M,19,United States,Orlando City,Mls,2018
23,Chris Schuler,"$ 1,442","$ 75,000","$ 77,301",D,29,United States,Orlando City,Mls,2018
24,Tony Rocha,"$ 1,325","$ 68,902","$ 71,016",M,23,United States,Orlando City,Mls,2018
25,Earl Edwards,"$ 1,313","$ 68,250","$ 70,344",K,25,United States,Orlando City,Mls,2018
26,Mason Stajduhar,"$ 1,298","$ 67,500","$ 69,571",K,19,United States,Orlando City,Mls,2018
27,Adam Grinwis,"$ 1,298","$ 67,500","$ 69,571",K,25,United States,Orlando City,Mls,2018
28,Shane O Neill,"$ 1,250","$ 65,000","$ 66,994",D,25,United States,Orlando City,Mls,2018
29,Pierre Da Silva,"$ 1,048","$ 54,504","$ 56,176",M,18,United States,Orlando City,Mls,2018
