,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Damir Kreilach,"$ 17,308","$ 900,000","$ 927,613",M,28,Croatia,Real Salt Lake,Mls,2018
1,Albert Rusnak,"$ 16,346","$ 850,008","$ 876,088",M,22,Slovakia,Real Salt Lake,Mls,2018
2,Marcelo Silva,"$ 12,981","$ 675,000","$ 695,710",D,28,Uruguay,Real Salt Lake,Mls,2018
3,Joao Plata,"$ 10,096","$ 525,000","$ 541,108",F,25,Ecuador,Real Salt Lake,Mls,2018
4,Kyle Beckerman,"$ 9,712","$ 505,008","$ 520,502",M,35,United States,Real Salt Lake,Mls,2018
5,Nick Rimando,"$ 7,692","$ 400,000","$ 412,273",K,38,United States,Real Salt Lake,Mls,2018
6,Jefferson Savarino,"$ 7,212","$ 375,000","$ 386,506",F,20,Venezuela,Real Salt Lake,Mls,2018
7,Sunday Obayan,"$ 5,288","$ 275,000","$ 283,437",M,30,Nigeria,Real Salt Lake,Mls,2018
8,Justen Glad,"$ 5,192","$ 270,000","$ 278,284",D,20,United States,Real Salt Lake,Mls,2018
9,Tony Beltran,"$ 4,423","$ 230,000","$ 237,057",D,29,United States,Real Salt Lake,Mls,2018
10,Luis Silva,"$ 4,327","$ 225,000","$ 231,903",F,28,United States,Real Salt Lake,Mls,2018
11,Brooks Lennon,"$ 4,327","$ 225,000","$ 231,903",F,19,United States,Real Salt Lake,Mls,2018
12,Jordan Allen,"$ 4,327","$ 225,000","$ 231,903",M,22,United States,Real Salt Lake,Mls,2018
13,Pablo Ruiz,"$ 3,462","$ 180,000","$ 185,523",M,18,Argentina,Real Salt Lake,Mls,2018
14,Luke Mulholland,"$ 3,332","$ 173,250","$ 178,566",M,28,England,Real Salt Lake,Mls,2018
15,Nedum Onuoha,"$ 2,885","$ 150,000","$ 154,602",D,30,England,Real Salt Lake,Mls,2018
16,Shawn Barry,"$ 2,524","$ 131,250","$ 135,277",D,27,Puerto Rico,Real Salt Lake,Mls,2018
17,David Horst,"$ 2,404","$ 125,004","$ 128,839",D,31,United States,Real Salt Lake,Mls,2018
18,Demar Phillips,"$ 2,308","$ 120,000","$ 123,682",D,33,Jamaica,Real Salt Lake,Mls,2018
19,Adam Henley,"$ 2,212","$ 115,000","$ 118,528",D,23,Wales,Real Salt Lake,Mls,2018
20,Danilo Acosta,"$ 1,923","$ 100,000","$ 103,068",M,19,Honduras,Real Salt Lake,Mls,2018
21,Sebastian Saucedo,"$ 1,923","$ 100,000","$ 103,068",M,20,United States,Real Salt Lake,Mls,2018
22,Jose Hernandez,"$ 1,298","$ 67,500","$ 69,571",M,22,Mexico,Real Salt Lake,Mls,2018
23,Alex Horwath,"$ 1,298","$ 67,500","$ 69,571",K,30,United States,Real Salt Lake,Mls,2018
24,Andrew Putna,"$ 1,298","$ 67,500","$ 69,571",K,22,United States,Real Salt Lake,Mls,2018
25,Aaron Herrera,"$ 1,298","$ 67,500","$ 69,571",D,20,United States,Real Salt Lake,Mls,2018
26,Nick Besler,"$ 1,298","$ 67,500","$ 69,571",M,24,United States,Real Salt Lake,Mls,2018
27,Ricky Lopez Espin,"$ 1,298","$ 67,500","$ 69,571",F,21,United States,Real Salt Lake,Mls,2018
28,Taylor Peay,"$ 1,298","$ 67,500","$ 69,571",D,25,United States,Real Salt Lake,Mls,2018
29,Connor Sparrow,"$ 1,048","$ 54,504","$ 56,176",K,23,United States,Real Salt Lake,Mls,2018
30,Corey Baird,"$ 1,048","$ 54,504","$ 56,176",F,21,United States,Real Salt Lake,Mls,2018
