Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
11,1,2rv2jwanai39vawrmnws6vidx,231697,90,26,Central Midfielder,Alexander,Gonzalez Moreno,A. Gonzalez,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,89,42,33,0.00,0,0,0.00,0,0,0,0,0,1,0,0,9,1,0,0,106,9,1,2,0,3,75.0%,0,0,17,1,3,3,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,38,57,0,29.2%,84.3%,38,7,30,8,33,48,0,21.2,1,75.0%,4,0.00,0,0,0,0,1,1,50.0%,1,2,0,0.00,0.00,0.00,0,0,-,0,PAC vs HFX,2019-10-03,5k2vyf3lbvxx12td2no5kkfai,15376,2rv2jwanai39vawrmnws6vidx:1052462,PAC vs HFX (2019-10-03)
11,1,egpxg7krmp9behb4xcmiiwyjt,211795,90,27,Defensive Midfielder,Giuliano,Frano,G. Frano,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,95,44,39,0.33,0,0,0.00,1,0,0,0,0,2,0,0,6,1,0,0,106,4,1,0,2,3,100.0%,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,26,68,1,23.2%,87.4%,58,10,15,10,20,65,0,21.6,0,80.0%,5,0.00,18,0,1,0,0,0,72.7%,3,0,0,0.33,0.00,0.33,0,0,0.17,2,VAL vs FOR,2019-09-13,5dgq85s1yv24xf4gel3wk02ui,15378,egpxg7krmp9behb4xcmiiwyjt:1052450,VAL vs FOR (2019-09-13)
13,1,dpupqs5n7pvsxdxml8hgofund,248400,90,23,Defensive Midfielder,Emmanuel,Zambazis,E. Zambazis,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,90,52,30,0.00,0,0,0.00,0,0,0,0,0,0,0,0,7,0,0,0,105,4,1,1,4,6,40.0%,0,0,13,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,39,65,0,34.4%,91.1%,50,1,31,1,33,56,0,16.5,3,100.0%,1,0.00,0,0,0,0,0,0,74.2%,4,2,0,0.00,0.00,0.00,0,1,-,0,YRK vs PAC,2019-07-17,51pa1nt9iwnwq8tabekwbu2cq,15380,dpupqs5n7pvsxdxml8hgofund:1052416,YRK vs PAC (2019-07-17)
14,1,d3uo72swkorck8mo41kv1yp61,423548,90,24,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22,1,92,39,30,0.07,0,0,0.00,0,0,0,0,0,2,0,0,5,2,0,0,103,2,0,0,2,4,-,2,2,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,56,0,50.0%,75.0%,37,1,31,1,37,54,0,26.6,0,75.0%,4,0.00,0,0,0,0,0,2,54.3%,3,1,0,0.00,0.07,0.07,0,0,0.07,1,FOR vs CAV,2019-10-26,7exzoqwijjljpmysgu6cw2nai,15381,d3uo72swkorck8mo41kv1yp61:2031831,FOR vs CAV (2019-10-26)
14,1,9ckixz0zwl0km7laze2rbp2p5,228147,90,24,Right Centre Back,Joel,Waterman,J. Waterman,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,90,60,17,0.00,0,0,0.16,0,0,1,1,2,0,0,0,6,0,0,0,103,2,1,2,1,7,75.0%,3,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,53,47,1,44.4%,85.6%,36,1,40,1,46,43,0,24.7,1,66.7%,3,0.00,0,0,0,0,2,2,70.0%,5,2,0,0.00,0.00,0.00,2,0,-,0,PAC vs CAV,2019-07-01,4y80wf71m0f30yb3hu1lw0lt6,15380,9ckixz0zwl0km7laze2rbp2p5:1052408,PAC vs CAV (2019-07-01)
16,1,2zedqkn15thv6wx5xmgv48gd1,140123,81,30,Defensive Midfielder,Kyle Edward,Bekker,K. Bekker,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,89,44,37,0.00,0,1,0.07,0,0,0,1,1,1,0,0,2,0,0,0,100,2,0,0,0,2,-,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,20,69,0,22.5%,91.0%,60,4,17,7,17,65,0,19.4,0,100.0%,2,0.00,0,0,0,0,0,4,70.0%,2,0,0,0.00,0.00,0.00,0,0,-,0,FOR vs YRK,2019-09-08,556jgo29fuov3dnc9aab1kqy2,15382,2zedqkn15thv6wx5xmgv48gd1:1052428,FOR vs YRK (2019-09-08)
16,1,djsh03luk6mlcoqsqfexadd9m,445788,90,27,Left Centre Back,Bertrand,Owundi,B. Owundi,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,89,41,34,0.00,0,0,0.00,0,0,0,0,0,1,0,0,7,1,0,0,100,2,1,3,0,6,100.0%,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,70,0,39.3%,84.3%,55,2,18,3,21,65,0,18.7,0,66.7%,3,0.00,0,0,0,0,1,1,68.6%,4,2,0,0.00,0.00,0.00,0,0,-,0,FOR vs VAL,2019-06-15,4t5rc4kgrbfy8qpv5lrlignsa,15378,djsh03luk6mlcoqsqfexadd9m:1052398,FOR vs VAL (2019-06-15)
16,1,37pbdttxfaqvayoufo0q0dxey,453335,90,22,Left Back,Diyaeddine,Abzi,D. Abzi,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,68,32,23,0.00,0,1,0.42,0,1,0,3,3,4,0,0,7,2,0,0,100,5,0,2,1,3,66.7%,0,0,9,1,0,1,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,19,19,62,0,33.8%,80.9%,41,6,8,8,13,47,0,18.4,1,100.0%,1,0.00,0,0,0,0,3,3,56.5%,1,2,0,0.00,0.00,0.00,2,0,-,0,YRK vs HFX,2019-07-27,53zb6pb4vgyd6ei4nyntxr42y,15376,37pbdttxfaqvayoufo0q0dxey:1052422,YRK vs HFX (2019-07-27)
19,1,ar6i26vtb7c9tjfrlul7pp3v9,108975,90,27,Defensive Midfielder,Julian,Büscher,J. Büscher,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,66,32,18,0.00,0,0,0.09,0,0,1,0,1,1,0,0,13,1,0,0,99,13,2,5,1,9,50.0%,0,0,11,1,0,1,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,30,15,54,0,28.8%,75.8%,34,8,8,11,10,45,0,18.0,7,50.0%,2,0.00,0,0,0,0,1,8,52.6%,4,2,3,0.00,0.00,0.00,1,0,-,0,HFX vs CAV,2019-06-19,4tfd4it6sv7n7x6cvlq4xoewa,15376,ar6i26vtb7c9tjfrlul7pp3v9:1052399,HFX vs CAV (2019-06-19)
19,1,653qyopyxl1qrfmul2n3m5g16,481743,90,26,Right Back,Morey,Doner,M. Doner,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,55,23,19,0.00,0,0,0.00,0,0,0,0,0,3,0,0,7,1,0,0,99,3,0,0,2,2,-,0,0,4,0,0,0,2,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,30,22,47,0,36.4%,76.4%,25,9,8,13,11,31,0,16.9,0,100.0%,1,0.00,0,0,0,0,4,4,55.0%,2,0,0,0.00,0.00,0.00,0,0,-,0,HFX vs YRK,2019-07-06,4yz3ra9ne1a5j97bpncakl6y2,15376,653qyopyxl1qrfmul2n3m5g16:1052411,HFX vs YRK (2019-07-06)
