Rank,GM,optaTeamId,team,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,Cross_Success_Percentage,Cross_Success_Percentage_Open_Play,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
10,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,4,2,2,2,0,2,0,1,0,0,0,0,1,1,2,0,0,0,1,1,3,3,61,32,498,264,141,0.55,2,1,0.44,2,1,2,3,5,16,0,0,62,9,0,0,688,55,11,9,10,43,69.0%,13,4,54,11,1,9,2,7,9,2,0,1,0,1,1,1,1,1,0,0,2,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,1,2,2,6,127,285,276,23,35.1%,81.3%,189,51,165,64,213,221,1,19.7,9,45.5%,33,1.37,18,1,2,0,11,16,63.4%,32,9,2,0.44,0.11,0.55,4,3,0.07,8,25.0%,9.1%,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15376,41ewt71n8fqwy6trsqta1bjvu:2126244,CAV vs HFX (2020-08-24)
12,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,5,3,2,1,2,7,3,2,0,0,0,0,0,0,0,0,1,1,0,0,3,7,58,17,509,214,220,0.72,0,0,0.55,0,0,4,7,11,20,1,0,52,11,0,0,687,52,1,11,12,33,66.7%,9,6,56,10,6,6,3,3,9,1,0,0,1,0,0,1,2,1,1,0,3,0,0,0,3,1,0,2,2,1,1,2,0,0,0,0,1,2,1,4,7,181,191,315,20,34.2%,85.3%,229,83,122,106,139,264,0,18.4,6,57.7%,26,0.73,21,0,0,0,13,22,74.7%,18,13,2,0.38,0.33,0.72,11,3,0.05,15,18.2%,7.7%,VAL vs HFX,2020-09-02,7uo653c2y32d06v6dq2as5t04,15376,dd2vf0yzjm7jm7cak9tf11sa2:2126261,VAL vs HFX (2020-09-02)
13,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,4,2,2,1,2,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,3,5,75,24,486,222,165,1.09,0,0,0.95,2,2,1,7,8,23,0,0,55,12,2,0,686,51,2,16,13,43,69.2%,12,1,46,2,2,10,3,4,7,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,175,238,273,17,40.1%,79.6%,177,59,151,82,185,219,0,20.9,8,44.4%,27,0.56,17,0,2,0,23,31,65.1%,26,12,5,1.01,0.08,1.09,8,1,0.10,11,16.1%,21.7%,ATO vs CAV,2020-08-27,7u47vp82i9898dpktaf5q6psk,16614,41ewt71n8fqwy6trsqta1bjvu:2126251,ATO vs CAV (2020-08-27)
14,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,4,3,1,2,5,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,4,60,23,503,215,205,1.38,1,0,0.34,2,1,0,5,5,17,1,0,41,9,0,0,684,50,5,3,14,33,57.1%,11,7,47,7,3,7,5,4,3,1,0,0,1,1,0,1,1,0,1,1,2,1,0,0,1,0,0,1,2,0,0,2,0,1,0,0,0,2,0,4,9,177,229,278,15,37.0%,83.5%,199,75,146,95,176,232,0,20.0,6,51.9%,27,0.54,21,0,2,1,21,28,67.2%,21,10,2,0.37,1.01,0.59,5,1,0.12,12,14.3%,19.0%,HFX vs FOR,2020-09-09,8plkm1srpcwr60o1i31ksltsk,15376,c2pdzdl3dgf5b0siidn2ay5ii:2137183,HFX vs FOR (2020-09-09)
14,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,1,3,3,0,4,2,4,1,2,0,0,0,0,2,0,1,0,1,0,1,1,3,3,86,25,470,203,156,1.98,2,1,1.10,2,1,2,7,9,26,2,0,66,14,1,1,684,52,7,13,16,51,76.9%,15,8,56,5,1,5,5,2,11,1,0,0,1,0,0,0,1,1,0,0,4,0,0,3,0,0,0,4,2,2,0,1,0,3,1,0,0,0,2,0,6,158,218,308,24,39.1%,76.4%,189,55,115,81,154,235,3,21.2,6,43.8%,32,1.77,16,3,2,1,7,16,58.7%,30,17,4,0.53,1.45,1.98,8,4,0.15,13,12.5%,14.3%,PAC vs EDM,2020-09-06,7v18c0lc1p8rx62p3chr1w07o,6925,b3436h8h14zw7f1uv6w9vqf6y:2126273,PAC vs EDM (2020-09-06)
16,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,4,3,1,3,1,4,0,0,0,0,0,0,2,0,2,0,3,0,2,0,4,1,44,15,481,219,203,2.38,2,1,1.74,3,2,6,2,8,24,0,0,58,11,0,0,679,52,4,14,9,40,81.8%,10,6,41,8,4,5,5,6,5,0,0,0,1,0,0,0,2,2,0,0,2,0,0,2,1,0,0,2,0,2,0,0,0,1,0,0,0,3,1,6,11,150,193,336,14,30.4%,87.7%,241,62,119,68,137,276,0,19.7,4,53.8%,26,0.73,11,0,3,2,16,24,71.2%,25,10,5,1.66,0.72,2.38,7,2,0.20,12,20.8%,12.5%,ATO vs EDM,2020-08-23,7tqr229an5mqpjp1qgvl7e0pg,16614,73xrv2025rnj0t3y9ayp83bec:2126243,ATO vs EDM (2020-08-23)
17,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,4,1,4,2,1,0,0,0,0,1,0,1,1,1,1,0,0,2,2,63,23,475,191,198,0.89,1,1,0.80,1,1,1,9,10,34,5,2,69,20,1,0,676,56,12,8,5,35,66.7%,9,7,67,4,1,8,1,8,7,1,0,0,0,0,0,0,2,2,0,0,2,0,0,1,2,0,0,2,2,0,1,0,0,0,0,0,0,3,3,6,12,162,200,314,24,37.9%,81.9%,208,67,114,82,145,248,0,20.1,10,52.0%,25,1.65,17,0,1,0,17,22,63.3%,23,10,2,0.75,0.15,0.89,9,0,0.08,11,9.1%,5.9%,VAL vs EDM,2020-08-29,7u70ahhsjfxqkqyoibw4kuql0,15378,73xrv2025rnj0t3y9ayp83bec:2126254,VAL vs EDM (2020-08-29)
18,1,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,5,3,2,3,2,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,4,2,61,26,475,223,165,0.90,0,0,0.59,1,1,0,6,6,12,0,0,49,7,0,0,675,64,6,9,8,36,51.7%,13,4,53,4,2,9,4,2,7,2,0,0,1,0,1,1,2,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2,2,17,158,216,301,19,33.5%,81.7%,192,58,138,72,165,238,0,20.5,14,50.0%,28,0.91,15,0,1,0,16,26,61.0%,23,13,0,0.77,0.13,0.90,6,1,0.07,12,3.8%,6.3%,HFX vs ATO,2020-09-06,7uyp0xq7ry9gphpbd0m2m60ic,15376,dn8tjhuq0bax4dgixqvluhzze:2126270,HFX vs ATO (2020-09-06)
19,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,3,1,2,1,1,6,2,2,0,0,1,0,0,0,0,0,4,1,0,0,2,2,103,26,446,186,131,1.07,0,0,1.03,1,1,5,5,10,8,0,0,75,5,0,0,656,69,8,10,16,47,62.1%,11,4,52,9,3,7,5,5,8,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,12,152,223,281,17,42.6%,71.1%,161,36,120,65,162,219,0,21.3,11,57.4%,61,1.41,15,0,1,0,18,24,45.8%,26,18,3,0.82,0.25,1.07,10,2,0.10,11,33.3%,27.8%,CAV vs FOR,2020-09-15,dykc0lh8alwaa1f7yjoh09bf8,15377,41ewt71n8fqwy6trsqta1bjvu:2137186,CAV vs FOR (2020-09-15)
20,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,0,0,0,1,1,4,1,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,56,20,455,247,132,0.36,0,0,0.21,0,0,1,3,4,15,0,0,59,7,1,1,646,55,5,19,12,46,60.0%,10,4,53,1,3,6,2,6,8,2,0,0,0,0,0,0,1,0,1,0,3,0,0,1,3,0,0,3,1,2,0,2,0,0,0,0,0,1,1,0,13,109,242,295,12,36.5%,83.3%,202,36,141,51,172,232,0,21.6,16,57.1%,21,1.24,18,0,0,0,12,16,69.3%,26,18,2,0.16,0.19,0.36,4,4,0.06,6,25.0%,16.7%,EDM vs YRK,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,15382,73xrv2025rnj0t3y9ayp83bec:2126259,EDM vs YRK (2020-09-02)
