Rank,GM,optaTeamId,team,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,Cross_Success_Percentage,Cross_Success_Percentage_Open_Play,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
21,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,11,8,3,3,2,5,1,1,1,1,1,0,3,1,2,1,3,1,1,2,3,9,33,17,457,209,198,2.25,4,3,1.09,2,1,4,9,13,27,4,0,46,12,1,1,641,38,5,10,10,36,75.0%,8,2,46,3,2,4,6,5,4,0,1,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,3,2,1,1,0,0,2,0,0,0,3,0,6,11,184,217,240,33,35.0%,89.1%,176,88,143,106,162,189,1,18.5,5,80.0%,5,0.50,16,1,2,1,9,17,78.8%,29,7,0,1.17,1.08,1.46,10,3,0.11,21,41.2%,44.4%,ATO vs VAL,2020-08-19,7tdd1uok6zk7bgycge748czdg,16614,dd2vf0yzjm7jm7cak9tf11sa2:2126235,ATO vs VAL (2020-08-19)
22,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,3,3,0,1,2,2,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,3,74,18,432,202,138,1.37,1,0,0.55,2,1,1,5,6,15,0,0,55,9,0,0,626,62,6,6,6,45,57.1%,21,6,52,7,2,9,0,10,8,3,0,0,0,0,1,0,2,1,1,1,2,0,0,0,1,1,0,1,1,1,0,2,0,0,1,0,0,2,2,0,14,121,207,298,16,36.1%,78.7%,187,40,113,54,141,237,0,19.6,9,54.5%,33,0.55,18,0,2,1,9,14,58.3%,35,9,1,0.44,0.93,0.58,6,2,0.17,8,28.6%,33.3%,CAV vs HFX,2020-08-24,7ttg3e5vjj75ni6bxtqwrww7o,15381,5gmx3o5y2oc0i6rowjwtu7jvu:2126244,CAV vs HFX (2020-08-24)
23,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,1,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,62,45,448,218,123,0.49,1,0,0.38,1,1,1,1,2,13,1,0,45,5,0,0,621,36,4,9,9,45,72.2%,22,11,48,0,5,2,6,1,9,2,0,2,0,0,1,0,3,3,0,0,3,0,0,1,0,0,0,3,3,0,1,1,0,2,1,0,0,1,5,6,8,113,239,269,9,35.3%,76.1%,185,38,118,47,178,223,0,21.9,5,52.2%,23,3.01,20,0,1,0,10,19,47.5%,34,9,2,0.36,0.13,0.49,2,1,0.10,5,15.8%,10.0%,CAV vs PAC,2020-09-10,6pp5y6tmtbxolhpklcv0tx5as,15381,b3436h8h14zw7f1uv6w9vqf6y:2137182,CAV vs PAC (2020-09-10)
24,1,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,56,22,435,180,177,0.19,0,0,0.14,0,0,0,4,4,17,0,0,47,8,0,0,620,63,5,15,4,40,52.6%,15,7,46,3,9,8,3,4,6,1,0,0,1,0,0,0,2,2,0,0,2,0,0,2,1,0,0,2,2,0,0,0,0,1,0,0,0,2,6,2,8,136,179,305,6,30.8%,82.1%,215,57,85,68,121,246,0,17.5,18,35.3%,17,3.89,22,0,0,0,17,23,58.2%,27,11,2,0.19,0.00,0.19,4,2,0.04,5,8.7%,11.8%,ATO vs FOR,2020-08-30,7ufagyfpmg0q5miihyn7181ec,15377,dn8tjhuq0bax4dgixqvluhzze:2126257,ATO vs FOR (2020-08-30)
25,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,1,4,1,3,1,3,8,3,2,0,0,2,1,0,1,0,0,3,0,0,1,5,4,59,14,433,160,200,1.24,1,0,1.13,1,1,3,11,14,27,2,1,55,16,1,1,619,59,4,17,9,47,75.0%,16,8,64,6,3,8,3,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,16,171,177,271,13,36.5%,83.1%,181,77,102,93,126,214,0,19.5,7,42.9%,21,0.36,21,0,1,0,9,14,65.8%,31,12,4,0.86,0.39,1.24,14,2,0.08,16,35.7%,11.1%,EDM vs YRK,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,6925,cqthcpums3aas2tdy0qhlkuwa:2126259,EDM vs YRK (2020-09-02)
26,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,1,3,1,2,1,0,6,3,3,0,0,1,0,1,1,2,0,1,0,0,2,2,6,63,29,413,145,176,0.91,2,1,0.63,2,1,1,7,8,20,0,0,64,14,3,1,617,49,9,12,10,57,75.0%,24,12,47,2,4,7,2,4,9,2,1,4,0,0,0,0,0,0,0,0,5,0,0,1,4,0,1,5,3,2,0,3,0,1,0,0,0,1,1,2,10,132,208,277,10,40.0%,77.7%,167,64,90,79,131,203,0,20.4,7,50.0%,28,0.90,18,0,2,2,8,10,60.6%,37,19,1,0.86,0.05,0.91,7,4,0.09,10,20.0%,25.0%,HFX vs ATO,2020-09-06,7uyp0xq7ry9gphpbd0m2m60ic,16614,5gmx3o5y2oc0i6rowjwtu7jvu:2126270,HFX vs ATO (2020-09-06)
27,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,3,3,0,0,1,7,3,2,0,0,0,0,1,0,1,0,2,0,1,0,2,6,81,32,448,191,144,1.11,1,0,0.38,1,0,2,6,8,10,0,0,42,5,0,0,616,67,3,4,9,30,43.8%,11,4,59,4,3,8,0,7,6,4,0,0,0,0,1,0,2,2,0,0,2,0,0,1,0,0,0,2,1,1,0,1,1,1,0,1,0,3,4,2,20,131,198,287,12,40.2%,74.8%,181,48,106,59,148,241,0,19.4,9,43.2%,37,2.62,18,0,1,1,14,19,50.6%,22,7,1,0.97,0.14,1.11,8,3,0.10,11,21.1%,21.4%,CAV vs HFX,2020-09-12,cap8cqg4fk34voy1o310hy39w,15376,41ewt71n8fqwy6trsqta1bjvu:2137185,CAV vs HFX (2020-09-12)
28,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,1,8,7,1,1,1,5,2,3,0,0,0,0,2,0,2,0,0,2,0,2,5,6,74,17,413,180,142,1.62,2,1,0.96,2,1,0,10,10,16,1,1,43,9,1,1,613,43,4,8,18,49,54.5%,19,11,53,1,3,9,1,5,4,3,1,1,0,0,0,2,0,0,0,0,6,0,0,5,1,0,0,6,4,2,1,0,0,0,5,0,0,2,2,6,10,141,252,220,24,40.4%,78.0%,134,58,130,74,170,169,0,21.7,10,66.7%,18,1.88,16,0,2,2,12,15,58.1%,33,13,3,1.59,0.04,1.62,9,3,0.11,15,26.7%,25.0%,PAC vs VAL,2020-08-26,7tw47791fe2i850ddmt0nthqs,15378,b3436h8h14zw7f1uv6w9vqf6y:2126245,PAC vs VAL (2020-08-26)
28,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,3,3,0,0,0,3,2,1,1,0,0,0,2,0,0,0,0,0,0,2,0,6,66,19,418,163,170,1.65,2,0,0.46,3,1,0,3,3,22,2,1,56,10,1,1,613,69,7,16,16,61,53.5%,20,8,72,10,1,7,1,4,7,1,0,2,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,1,6,11,130,190,293,22,40.4%,79.7%,186,57,90,74,115,229,1,17.3,20,48.0%,25,0.89,22,1,3,1,5,9,66.3%,41,16,4,0.46,1.19,0.86,3,5,0.27,6,0.0%,0.0%,VAL vs EDM,2020-08-29,7u70ahhsjfxqkqyoibw4kuql0,6925,dd2vf0yzjm7jm7cak9tf11sa2:2126254,VAL vs EDM (2020-08-29)
28,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,4,2,2,1,1,6,2,3,0,0,0,0,1,0,0,0,0,1,0,1,2,7,75,18,404,169,142,1.01,1,0,0.42,1,0,1,7,8,18,1,1,52,6,0,0,613,58,7,10,14,51,60.7%,19,11,53,5,3,9,4,1,4,1,1,1,0,0,0,0,0,0,0,0,4,0,2,1,2,0,0,4,4,0,1,0,2,0,0,0,0,1,2,4,6,161,195,257,24,42.3%,77.0%,155,53,103,71,136,197,1,20.9,11,57.1%,35,1.12,24,1,1,1,15,24,56.7%,25,20,6,0.36,0.65,1.01,8,1,0.08,12,16.7%,20.0%,CAV vs YRK,2020-09-05,7uw4ffr6e4epa23s5veyr3cpg,15382,41ewt71n8fqwy6trsqta1bjvu:2126268,CAV vs YRK (2020-09-05)
31,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,4,4,0,3,3,11,3,5,0,0,0,0,1,0,0,0,4,0,0,1,3,8,67,23,405,126,189,1.89,1,0,1.11,1,0,4,14,18,21,1,0,50,12,0,0,612,61,5,16,12,56,67.7%,22,14,56,6,3,11,0,5,5,2,0,1,1,0,0,0,2,2,0,0,4,0,0,3,0,0,0,4,3,1,0,1,0,3,1,0,0,3,1,6,14,181,196,235,23,42.2%,77.8%,150,81,84,96,125,184,0,20.9,10,38.1%,21,1.13,18,0,1,1,17,21,63.2%,43,9,4,0.73,1.16,1.89,18,2,0.09,21,38.1%,35.3%,FOR vs PAC,2020-08-22,7to1ns52wkgk9irtdbwzdn2ms,15377,b3436h8h14zw7f1uv6w9vqf6y:2126242,FOR vs PAC (2020-08-22)
32,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,3,2,1,2,1,4,0,4,0,0,0,0,2,0,2,0,0,0,1,1,2,5,83,32,440,194,131,2.26,2,2,2.14,3,3,0,8,8,27,5,3,55,16,0,0,606,42,7,7,9,41,77.8%,16,3,48,3,7,7,1,7,3,2,0,0,0,0,0,1,1,1,0,0,2,0,0,2,2,0,0,2,1,1,0,0,0,0,0,0,0,1,1,4,3,109,242,255,20,38.9%,73.9%,168,46,111,61,167,212,0,21.2,4,63.0%,27,1.44,13,0,3,2,5,7,50.3%,32,8,1,2.26,0.00,2.26,6,2,0.23,10,14.3%,20.0%,CAV vs PAC,2020-08-30,7uiktgg1hzmxb1oky4wpsigwk,15381,b3436h8h14zw7f1uv6w9vqf6y:2126258,CAV vs PAC (2020-08-30)
33,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,3,3,0,1,1,3,0,0,1,1,0,0,2,0,1,1,2,1,0,1,1,2,61,21,436,265,89,1.90,2,1,0.83,3,1,4,2,6,14,0,0,52,7,0,0,600,36,8,7,9,38,78.9%,13,7,40,6,1,6,5,8,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,110,254,236,15,36.0%,81.2%,152,32,170,43,209,184,0,21.0,4,50.0%,22,0.12,8,0,3,2,9,16,58.0%,21,10,7,0.85,1.05,1.11,5,1,0.24,8,31.3%,22.2%,VAL vs CAV,2020-08-16,7t877d5i442n1ar3pg35nz02c,15378,41ewt71n8fqwy6trsqta1bjvu:2126228,VAL vs CAV (2020-08-16)
34,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,4,4,0,1,0,7,1,3,0,0,0,0,0,0,0,0,2,1,0,0,3,5,81,38,398,168,111,1.12,0,0,0.73,2,1,1,8,9,16,3,3,58,11,0,0,599,52,6,10,9,44,72.7%,17,8,47,1,4,4,3,5,8,2,0,1,1,0,0,2,1,1,0,0,3,0,0,0,3,0,0,3,1,2,1,2,0,0,0,0,0,3,1,2,13,106,231,262,22,46.7%,70.1%,144,31,104,44,147,207,1,19.7,6,42.9%,35,1.01,15,1,2,0,14,20,53.2%,31,12,1,0.73,0.38,1.12,9,2,0.09,12,20.0%,21.4%,CAV vs YRK,2020-09-05,7uw4ffr6e4epa23s5veyr3cpg,15381,cqthcpums3aas2tdy0qhlkuwa:2126268,CAV vs YRK (2020-09-05)
35,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,0,6,4,2,1,2,7,2,3,1,1,2,0,2,0,1,0,2,0,0,2,6,5,46,23,391,145,177,1.98,2,0,0.67,2,0,2,10,12,17,1,1,58,9,0,0,595,36,4,11,17,44,75.0%,10,4,60,5,1,5,4,3,12,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,177,158,260,34,40.4%,82.4%,183,55,84,76,109,206,0,20.1,5,69.6%,23,1.35,16,0,2,2,27,36,72.2%,31,11,2,1.01,0.96,1.19,12,1,0.12,16,30.6%,25.9%,YRK vs ATO,2020-08-15,7sxxjco5mob1kgt5i4e2mw00k,16614,cqthcpums3aas2tdy0qhlkuwa:2126220,YRK vs ATO (2020-08-15)
36,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,5,4,1,0,1,5,0,2,0,0,1,0,2,0,1,0,5,0,0,2,1,4,58,19,393,188,128,2.91,2,1,1.58,4,2,3,4,7,17,1,0,63,10,1,0,589,61,6,17,5,45,67.6%,14,6,44,5,9,5,6,8,5,1,0,0,0,0,0,1,3,3,0,0,2,0,0,0,1,0,0,2,1,1,0,2,0,1,0,0,0,3,2,2,18,151,205,233,22,36.9%,80.4%,147,48,121,66,143,184,1,18.9,11,57.9%,19,1.76,9,1,4,1,13,22,64.8%,28,9,8,0.63,2.28,2.91,6,1,0.26,11,31.8%,23.1%,YRK vs FOR,2020-08-26,7tyu476shfl4lg1dm54shvt3o,15382,c2pdzdl3dgf5b0siidn2ay5ii:2126246,YRK vs FOR (2020-08-26)
37,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,4,4,0,0,3,6,3,3,0,0,2,0,2,0,1,1,0,1,1,0,5,4,60,20,381,157,144,3.89,2,2,3.66,6,6,3,7,10,30,2,2,63,18,0,0,586,47,3,13,12,52,66.7%,21,14,60,5,3,6,8,3,7,3,1,0,0,1,0,0,0,0,0,0,3,0,0,2,2,0,0,3,1,2,0,1,0,0,1,0,0,1,0,4,10,147,184,255,19,40.9%,79.0%,155,59,87,74,116,191,3,18.7,8,64.7%,17,0.19,11,3,6,2,9,15,65.4%,37,14,1,2.82,1.07,3.89,8,1,0.30,13,26.7%,11.1%,ATO vs FOR,2020-08-30,7ufagyfpmg0q5miihyn7181ec,16614,c2pdzdl3dgf5b0siidn2ay5ii:2126257,ATO vs FOR (2020-08-30)
38,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,2,1,1,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,77,32,385,148,128,0.66,0,0,0.14,1,0,0,4,4,14,2,1,51,11,0,0,582,54,7,9,8,53,61.5%,27,14,45,7,4,7,6,7,5,0,0,1,1,0,0,0,2,1,1,0,3,0,0,1,0,0,0,3,3,0,2,0,0,0,1,0,0,0,1,0,16,105,234,243,7,42.1%,71.7%,150,34,92,52,139,194,0,22.3,10,33.3%,21,1.50,24,0,1,0,5,11,48.1%,46,7,0,0.59,0.07,0.66,4,2,0.09,7,9.1%,20.0%,FOR vs HFX,2020-09-19,5mrmbr6tngz69e9qmsn1b845w,15377,5gmx3o5y2oc0i6rowjwtu7jvu:2137188,FOR vs HFX (2020-09-19)
39,1,16614,Atlético Ottawa,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,0,1,1,1,0,0,0,1,0,2,0,2,0,0,0,1,1,2,1,75,19,425,184,147,1.35,2,2,1.31,2,2,0,3,3,7,0,0,36,5,1,1,580,58,5,9,13,45,60.9%,16,8,50,3,4,12,1,5,5,0,0,0,0,0,0,0,2,2,0,0,4,0,0,2,1,1,0,3,2,2,1,1,0,1,1,1,0,1,2,0,13,135,222,223,11,38.4%,77.9%,151,67,113,83,157,185,2,20.8,9,30.4%,23,1.98,14,2,2,2,10,12,55.2%,34,9,2,1.31,0.04,1.35,1,3,0.34,4,0.0%,0.0%,YRK vs ATO,2020-08-15,7sxxjco5mob1kgt5i4e2mw00k,15382,dn8tjhuq0bax4dgixqvluhzze:2126220,YRK vs ATO (2020-08-15)
40,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,3,2,1,1,1,4,2,0,1,1,0,0,1,0,0,0,1,0,1,0,2,4,72,22,390,179,117,1.44,1,0,0.52,1,0,1,4,5,15,2,1,42,4,1,1,576,55,4,8,11,33,42.9%,8,2,51,9,1,3,7,3,6,2,0,0,1,0,0,0,2,2,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,3,12,9,136,190,250,22,39.0%,75.9%,145,46,105,56,137,197,0,21.3,16,37.0%,27,2.26,15,0,1,1,14,21,51.3%,24,7,2,0.51,0.92,0.65,5,3,0.16,9,19.0%,21.4%,CAV vs PAC,2020-08-30,7uiktgg1hzmxb1oky4wpsigwk,15380,41ewt71n8fqwy6trsqta1bjvu:2126258,CAV vs PAC (2020-08-30)
41,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,5,3,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,80,22,386,174,110,1.77,1,0,0.86,2,1,1,4,5,17,2,0,52,6,0,0,571,66,6,12,19,58,56.3%,19,11,63,2,5,11,1,5,4,5,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,2,4,11,90,233,248,14,41.5%,73.6%,140,32,112,44,158,184,0,21.7,14,56.3%,32,1.98,21,0,2,1,6,10,54.4%,41,17,0,0.28,1.49,1.77,5,6,0.20,9,20.0%,16.7%,PAC vs EDM,2020-09-06,7v18c0lc1p8rx62p3chr1w07o,15380,73xrv2025rnj0t3y9ayp83bec:2126273,PAC vs EDM (2020-09-06)
42,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,6,5,1,3,1,4,4,0,1,1,0,0,2,0,0,1,0,3,1,0,3,4,76,26,398,166,130,1.74,2,1,0.85,3,2,3,7,10,23,2,0,62,10,1,0,568,55,2,8,6,29,62.5%,13,4,55,5,3,11,3,5,7,0,0,0,0,0,0,0,2,2,0,1,2,0,0,1,1,0,0,2,0,2,1,0,0,1,0,0,0,1,1,6,3,160,181,227,24,41.7%,74.4%,147,55,94,80,131,187,1,20.6,6,62.2%,45,0.89,21,1,3,2,11,17,53.6%,19,6,4,0.58,1.15,0.95,9,3,0.12,14,29.4%,18.2%,FOR vs CAV,2020-08-14,7st0tt53e4ksjueglfgouulg4,15377,41ewt71n8fqwy6trsqta1bjvu:2126218,FOR vs CAV (2020-08-14)
43,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,6,5,1,0,2,6,3,3,0,0,1,0,2,0,2,0,1,2,0,2,2,7,61,26,358,166,105,1.13,2,1,0.94,1,1,2,7,9,23,5,2,61,10,0,0,566,50,4,16,9,47,62.5%,18,12,51,5,0,5,3,6,10,5,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,1,1,2,9,122,206,238,24,43.0%,75.7%,139,36,96,49,129,180,0,20.9,12,61.9%,21,1.89,18,0,1,1,12,18,56.5%,33,14,0,0.92,0.21,1.13,8,6,0.08,14,16.7%,16.7%,FOR vs PAC,2020-08-22,7to1ns52wkgk9irtdbwzdn2ms,15380,c2pdzdl3dgf5b0siidn2ay5ii:2126242,FOR vs PAC (2020-08-22)
44,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,4,2,2,2,1,2,1,0,0,0,0,0,2,0,2,1,1,1,0,1,2,2,63,39,374,164,108,0.89,2,1,0.67,1,1,2,5,7,17,1,1,55,6,0,0,559,62,6,7,12,51,56.5%,26,15,44,5,4,8,3,5,11,3,0,0,0,0,0,1,2,2,0,0,4,0,0,2,2,0,0,4,3,1,0,2,0,0,2,0,0,4,3,12,5,104,261,194,13,43.0%,72.7%,116,39,117,51,178,145,0,21.3,10,37.8%,45,1.74,16,0,1,1,6,9,50.3%,43,6,2,0.78,0.11,0.89,6,3,0.10,9,22.2%,16.7%,FOR vs CAV,2020-08-14,7st0tt53e4ksjueglfgouulg4,15381,c2pdzdl3dgf5b0siidn2ay5ii:2126218,FOR vs CAV (2020-08-14)
45,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,3,1,2,1,3,4,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6,59,24,381,176,122,0.60,0,0,0.41,0,0,1,5,6,5,1,0,41,0,0,0,554,46,9,8,10,47,77.3%,17,9,44,4,6,9,4,9,4,1,1,1,0,0,1,1,0,0,0,0,3,0,0,1,1,0,0,3,1,2,1,1,0,2,0,0,0,2,0,4,8,128,243,183,12,38.6%,78.2%,128,51,119,73,154,154,0,21.4,5,36.8%,19,0.67,22,0,0,0,2,6,60.5%,40,4,3,0.26,0.34,0.60,6,5,0.05,11,16.7%,0.0%,YRK vs VAL,2020-08-22,7tlbzq6emywjn0z9q1pwzwxsk,15382,dd2vf0yzjm7jm7cak9tf11sa2:2126241,YRK vs VAL (2020-08-22)
46,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,1,1,0,1,1,4,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,75,21,375,153,126,0.35,1,1,0.30,0,0,0,6,6,17,0,0,63,11,1,1,552,44,6,22,15,64,68.3%,18,8,58,7,4,6,2,6,9,3,0,0,0,0,0,0,1,1,0,0,4,0,0,1,2,1,0,3,4,0,1,2,0,0,1,0,0,3,2,6,8,117,195,240,5,40.3%,74.4%,145,50,84,74,118,183,0,19.8,13,70.0%,10,1.59,20,0,0,0,3,5,52.3%,45,17,2,0.30,0.05,0.35,5,1,0.05,7,0.0%,0.0%,HFX vs FOR,2020-08-20,7tg0hh0cm7hvex18ezv8bl4pg,15377,5gmx3o5y2oc0i6rowjwtu7jvu:2126238,HFX vs FOR (2020-08-20)
46,1,15376,HFX Wanderers,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,1,4,3,1,1,2,4,1,2,2,2,0,0,2,0,0,0,2,0,0,2,2,4,77,24,352,133,118,2.62,2,0,0.91,4,1,1,7,8,14,1,0,67,9,3,1,552,42,11,12,15,59,82.1%,19,4,56,7,0,7,3,4,8,4,0,2,1,0,0,0,1,1,0,2,2,0,0,2,0,0,0,2,2,0,0,0,0,1,1,0,0,1,1,2,4,133,211,208,21,48.6%,71.3%,105,55,91,66,136,150,0,21.6,5,56.8%,37,1.11,18,0,4,2,13,18,49.7%,42,16,1,0.61,2.01,1.04,8,1,0.24,11,16.7%,15.4%,CAV vs HFX,2020-09-12,cap8cqg4fk34voy1o310hy39w,15381,5gmx3o5y2oc0i6rowjwtu7jvu:2137185,CAV vs HFX (2020-09-12)
48,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,4,4,1,1,1,0,2,0,6,1,5,0,0,0,0,1,0,1,0,0,0,0,1,4,3,82,44,346,98,122,1.41,1,1,1.27,3,3,2,5,7,16,2,1,69,11,0,0,549,75,11,4,19,57,75.0%,21,4,49,6,5,8,3,9,7,2,1,0,0,0,0,3,0,0,0,0,3,0,0,3,2,0,0,3,1,2,0,0,0,0,1,0,0,2,1,6,16,113,222,214,20,54.3%,63.6%,100,43,77,60,136,150,0,22.3,5,42.6%,61,1.07,12,0,3,1,7,9,47.9%,45,10,2,1.30,0.11,1.41,6,2,0.16,9,22.2%,0.0%,CAV vs FOR,2020-09-15,dykc0lh8alwaa1f7yjoh09bf8,15381,c2pdzdl3dgf5b0siidn2ay5ii:2137186,CAV vs FOR (2020-09-15)
48,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,3,1,2,3,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,4,59,26,371,136,150,0.67,0,0,0.52,0,0,2,7,9,15,3,0,46,5,0,0,549,41,2,9,8,32,100.0%,13,7,39,9,5,4,6,4,8,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,3,1,2,0,1,0,1,0,0,0,3,0,6,10,178,163,208,22,36.9%,77.1%,136,70,80,90,108,173,0,20.2,0,63.2%,19,0.60,16,0,0,0,15,28,63.5%,24,2,6,0.51,0.16,0.67,9,3,0.06,12,25.0%,20.0%,YRK vs VAL,2020-08-22,7tlbzq6emywjn0z9q1pwzwxsk,15378,cqthcpums3aas2tdy0qhlkuwa:2126241,YRK vs VAL (2020-08-22)
50,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,5,5,0,4,4,0,1,1,4,2,2,0,0,1,0,2,0,1,1,1,2,1,0,2,3,47,33,336,174,82,2.24,2,1,2.09,5,5,2,5,7,23,2,0,60,12,0,0,547,60,4,14,13,51,64.3%,19,7,42,4,6,8,7,6,3,6,0,2,0,0,0,1,2,2,0,0,6,1,0,3,3,0,0,5,3,3,0,3,0,2,0,0,0,1,4,0,13,141,237,169,15,37.5%,76.2%,97,39,120,51,161,124,2,22.0,10,66.7%,27,1.65,16,2,5,1,6,13,57.9%,31,13,7,1.33,0.90,2.24,6,2,0.22,10,30.8%,16.7%,FOR vs VAL,2020-09-05,7utday42etwsaaqej3w9gmqz8,15378,c2pdzdl3dgf5b0siidn2ay5ii:2126266,FOR vs VAL (2020-09-05)
