Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total
11,24,3uxa33px113otw58gni3g72l1,151937,2004,29,Left Back,Blake,Smith,B. Smith,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,2,0,0,0,0,0,2,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,136,65,1063,509,353,0.28,0,5,2.87,0,5,2,18,20,15,0,0,87,9,0,0,1602,68,9,26,43,137,74.5%,53,22,145,2,7,14,3,12,9,3,2,0,0,0,0,0,41,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,0,11,317,564,721,12,40.2%,81.1%,463,119,280,149,360,554,0,17.8,12,53.8%,39,0.00,23,0,0,0,57,57,63.9%,92,34,11,0.18,0.10,0.28,15,4,0.03,9
12,26,afbi7ba716z8at1irydcx44ix,250972,2216,26,Left Midfielder,Ryan,Telfer,R. Telfer,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,2,2,29,17,12,14,3,21,9,11,0,0,4,0,6,2,7,1,2,2,3,4,29,17,161,29,832,245,397,7.15,8,1,5.59,11,7,25,41,66,136,18,9,202,80,1,1,1533,170,15,37,23,83,70.3%,8,5,130,14,1,10,8,6,31,13,4,0,0,0,0,0,33,24,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,28,51,698,181,654,123,30.0%,77.2%,388,179,75,267,101,464,3,19.0,22,45.6%,57,0.00,16,3,11,3,68,164,57.2%,34,39,10,5.14,2.01,7.15,65,0,0.11,67
13,25,ar6i26vtb7c9tjfrlul7pp3v9,108975,1768,27,Central Midfielder,Julian,Büscher,J. Büscher,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),12,4,1,13,3,10,2,3,14,10,2,1,0,11,1,2,3,2,0,1,0,0,5,2,24,216,35,1027,386,390,2.84,5,4,6.54,3,12,23,17,41,25,0,0,134,13,2,0,1518,166,18,43,30,109,53.0%,16,8,187,9,7,35,14,11,26,2,7,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,8,31,479,232,807,25,35.8%,75.6%,504,164,108,228,147,652,1,20.9,54,30.6%,36,0.00,24,1,3,2,38,122,52.4%,44,49,16,0.76,2.08,2.05,37,4,0.09,32
14,25,a64n44ysnv4a5napmtzg1o8kq,481766,2053,30,Right Back,André,Bona,A. Bona,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,0,3,3,0,4,0,11,1,2,0,0,0,0,0,0,0,0,3,0,0,0,4,7,163,88,831,294,286,1.69,0,0,1.29,2,2,4,11,15,43,1,0,150,21,0,0,1510,107,16,50,32,189,85.7%,76,38,161,6,13,12,2,8,3,2,6,0,1,0,0,0,29,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,8,22,344,589,577,47,52.0%,69.8%,283,102,195,151,292,388,0,17.2,11,65.8%,76,0.00,17,0,2,0,36,37,57.6%,156,31,2,0.45,1.24,1.69,15,7,0.09,18
15,20,2rv2jwanai39vawrmnws6vidx,231697,1746,26,Central Midfielder,Alexander,Gonzalez Moreno,A. Gonzalez,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,0,0,4,1,3,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,118,57,1251,664,412,1.14,0,2,1.21,1,3,0,8,8,29,0,0,117,24,1,0,1499,99,18,29,21,83,66.2%,15,6,163,5,11,18,2,11,18,0,3,0,0,0,0,0,32,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,51,2,20,136,464,899,3,31.5%,86.0%,673,57,346,83,393,775,0,17.6,24,44.7%,38,0.00,29,0,1,0,6,6,68.0%,36,39,8,0.45,0.69,1.14,6,3,0.08,15
16,25,c71o8hujd9joixq9ge68i4qg9,156664,2021,25,Left Back,Nathan,Mavila,N. Mavila,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),6,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180,80,859,349,250,0.03,0,1,1.16,0,1,2,6,8,59,1,0,141,36,0,0,1447,126,20,33,22,129,68.8%,45,20,112,4,8,26,2,12,10,0,10,0,0,0,0,0,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,27,8,23,274,532,641,2,48.7%,69.7%,313,82,204,113,305,441,0,21.2,24,52.7%,55,0.00,28,0,0,0,39,42,49.3%,102,22,5,0.03,0.00,0.03,7,5,0.03,1
17,23,ezyu9w01guirieddjudeln1lh,209503,1970,27,Left Back,Allan,Zebie,A. Zebie,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,66,927,398,349,0.24,0,0,0.41,0,0,1,4,5,35,0,0,103,23,1,1,1429,96,11,34,27,107,70.3%,31,11,100,3,6,5,1,6,6,0,7,0,0,0,0,0,22,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,8,24,292,466,671,11,37.8%,80.6%,395,160,192,183,263,481,0,15.9,19,41.1%,56,0.00,18,0,0,0,22,22,58.3%,83,20,4,0.24,0.00,0.24,5,4,0.05,5
18,22,9ckixz0zwl0km7laze2rbp2p5,228147,1719,24,Right Centre Back,Joel,Waterman,J. Waterman,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,0,4,3,1,2,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,2,130,51,1149,649,319,1.18,1,2,1.69,2,2,4,6,10,16,0,0,117,9,0,0,1423,70,13,23,47,131,69.2%,45,7,139,2,7,11,3,19,12,0,8,0,0,0,0,0,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20,2,9,98,673,652,20,43.3%,84.2%,475,49,444,64,529,556,0,21.4,16,63.3%,60,0.00,15,0,2,0,6,6,71.7%,88,41,2,0.50,0.68,1.18,8,8,0.13,9
19,25,7t6lyj5pvvgzfscj775acuqc5,173165,2249,24,Centre Attacking Midfielder,Marco,Bustos,M. Bustos,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,1,27,16,11,7,10,17,11,5,2,2,2,0,6,1,4,0,0,0,7,0,40,4,130,21,912,228,533,6.77,7,3,4.28,7,4,16,27,43,95,7,4,144,54,1,0,1417,155,3,19,12,37,44.9%,3,1,105,6,3,15,20,4,33,5,6,0,0,0,0,0,48,44,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,84,16,50,673,95,649,75,23.0%,83.4%,409,305,47,376,60,476,1,16.3,27,32.4%,34,0.00,19,1,7,3,17,74,65.7%,17,15,5,4.53,2.24,5.19,40,0,0.11,61
20,24,41fep3jlo1ieyq9hvpmsl6wvd,225056,2032,22,Right Back,Kadin,Chung,K. Chung,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,0,1,1,1,0,1,4,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,115,71,853,393,274,0.30,1,2,1.26,0,1,0,16,16,43,3,0,111,22,0,0,1411,92,15,42,31,134,75.0%,42,22,139,1,8,7,0,5,5,2,5,0,0,0,0,0,34,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,12,20,298,530,583,14,40.2%,78.2%,333,104,230,131,310,412,0,17.9,19,51.1%,45,0.00,24,0,0,0,48,48,62.7%,95,32,7,0.15,0.15,0.30,14,10,0.04,8
21,26,6rsihixcpnuyulgk4giwpzvth,228121,2133,26,Right Centre Back,Dominic,Samuel,D. Samuel,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,110,82,917,409,316,0.05,0,1,0.36,0,1,2,3,5,23,0,0,124,12,0,0,1404,96,14,29,31,154,87.8%,75,32,110,10,9,24,7,17,15,0,10,0,0,1,0,0,19,16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,41,8,15,183,557,664,10,49.4%,79.1%,423,52,250,63,328,526,0,18.9,6,51.7%,60,0.00,0,0,0,0,15,15,64.7%,125,26,3,0.00,0.05,0.05,4,9,0.03,2
22,23,57sscey83fcglkmcrtpp28k5,90727,2010,31,Central Midfielder,Ramon,Soria,Soria,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,1,0,4,2,2,0,0,8,6,1,0,0,3,1,0,1,0,0,0,2,1,0,8,2,194,65,1081,423,399,0.76,1,3,2.86,1,4,15,13,28,7,0,0,79,4,1,0,1390,66,14,24,32,98,74.5%,26,12,146,3,1,14,1,1,8,1,8,0,0,1,0,0,23,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,4,13,234,324,832,9,37.8%,76.0%,547,89,186,120,236,725,0,20.3,13,55.8%,52,0.00,22,0,1,0,15,83,54.0%,59,36,3,0.45,0.31,0.76,26,6,0.06,12
23,27,6d56vy4w9i65ye4c5t5txgkix,225058,1973,22,Centre Attacking Midfielder,Tristan Daniel,Borges,T. Borges,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),7,5,4,37,26,11,6,3,10,4,5,4,3,1,0,11,2,8,0,1,0,13,0,36,10,136,31,698,134,397,9.34,13,5,4.10,15,5,8,36,44,136,18,9,186,63,1,0,1353,187,21,39,23,88,69.8%,0,0,145,17,4,17,17,5,30,10,11,0,0,0,0,0,17,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,26,26,49,712,117,524,121,30.5%,76.1%,252,237,42,308,63,327,0,17.0,26,37.9%,29,0.00,17,0,15,7,24,81,58.7%,26,37,25,4.88,4.45,6.18,39,1,0.17,56
24,23,7yfwpe3tltsxez80puqy7hoet,95575,1755,28,Defensive Midfielder,Joseph,Di Chiara,J. Di Chiara,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),6,3,1,5,2,3,6,3,12,8,0,2,2,2,0,2,0,0,0,3,0,0,2,2,12,87,31,1001,466,417,2.70,2,1,1.27,2,1,0,16,16,39,3,1,140,22,2,1,1352,119,20,32,30,100,70.3%,18,7,125,6,6,25,11,6,33,1,4,0,0,0,0,0,27,18,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,8,29,247,259,846,38,26.6%,88.2%,601,118,164,151,183,667,0,16.5,22,47.2%,36,0.00,25,0,2,2,2,2,74.1%,48,45,7,0.47,2.23,1.12,15,4,0.10,26
25,21,1yufrkhruoxnyg54sxgduilt5,423654,1798,24,Right Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,1,0,1,1,0,2,0,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,134,62,760,321,243,0.47,0,2,1.87,0,3,3,12,15,52,0,0,108,29,0,0,1327,66,5,18,33,102,76.7%,40,19,128,6,10,4,3,12,5,5,8,0,0,1,0,0,20,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,32,18,12,319,437,571,18,40.0%,74.2%,317,87,160,105,254,401,1,20.0,7,67.9%,56,0.00,20,1,0,0,93,93,50.7%,79,17,6,0.13,0.34,0.47,13,7,0.07,7
26,24,83d29e64znddf9kkyo62u4g6h,424288,1850,21,Central Midfielder,Noah,Verhoeven,N. Verhoeven,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,3,0,5,1,4,0,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,133,42,918,344,399,1.44,0,1,3.17,2,5,9,16,25,50,0,0,87,22,4,2,1319,105,7,19,12,47,54.2%,9,2,134,5,1,11,4,2,25,1,3,0,1,0,0,0,39,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,8,27,353,218,748,15,35.2%,80.9%,495,134,114,163,160,595,0,17.2,22,36.0%,25,0.00,25,0,2,0,29,72,60.7%,22,16,9,0.77,0.67,1.44,24,2,0.09,16
