Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total
27,23,8djbjtpajhwv1falg9buuone2,481746,1718,25,Defensive Midfielder,Wataru,Murofushi,W. Murofushi,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),13,3,0,9,6,3,1,3,4,1,1,1,1,0,0,3,0,1,0,0,1,0,3,1,11,118,36,1062,486,422,2.57,3,0,1.82,4,2,1,24,25,23,2,1,101,16,2,1,1318,83,15,29,18,65,60.3%,2,1,149,7,6,17,4,7,23,3,4,0,0,0,0,0,23,18,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,2,12,197,291,830,29,29.9%,85.5%,611,93,204,130,226,706,0,17.0,29,50.0%,14,0.00,19,0,4,3,10,16,71.4%,29,33,3,0.91,1.66,1.78,25,8,0.15,17
28,26,9bu481g5htyonfco9whsamve2,483062,1988,30,Left Midfielder,Mohamed,Kourouma,M. Kourouma,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),8,4,1,17,6,11,9,10,32,24,7,1,1,9,0,1,0,0,0,0,0,1,0,45,4,161,64,702,208,269,4.20,1,3,6.82,2,13,24,20,44,50,3,0,123,18,3,2,1285,141,16,40,17,86,66.7%,10,5,169,3,4,15,6,4,19,4,7,0,0,0,0,0,23,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,12,37,577,201,507,54,34.5%,67.9%,246,159,72,229,119,354,0,17.8,28,41.5%,53,0.00,23,0,2,1,82,156,45.9%,37,31,18,2.27,1.93,3.41,41,2,0.06,68
29,25,8uqytik44ro3mbkz0s8m163xm,481762,2003,25,Central Midfielder,Andre,Rampersad,A. Rampersad,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,3,0,6,6,0,2,2,6,4,0,0,0,0,0,1,0,1,0,1,2,0,1,2,7,91,47,921,472,311,0.75,1,1,1.23,0,1,1,19,20,46,0,0,132,35,2,1,1275,99,15,36,35,128,71.8%,40,24,165,6,6,19,3,4,16,0,8,0,1,0,0,0,27,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,4,29,145,332,798,21,31.7%,85.0%,530,70,183,85,210,626,0,18.1,20,61.0%,41,0.00,23,0,0,0,3,3,65.4%,78,45,5,0.39,0.36,0.75,19,2,0.05,16
30,20,9rwo2uejpeqqkmy6lgacm0ley,481367,1704,25,Right Centre Back,Lukas,MacNaughton,L. MacNaughton,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,1,0,2,2,0,1,0,3,0,1,0,0,0,0,2,0,0,2,2,2,0,0,0,1,99,50,1048,712,187,1.26,2,0,0.00,3,0,0,0,0,2,0,0,77,2,0,0,1273,59,5,14,29,146,79.2%,95,43,71,5,9,10,0,9,3,0,4,0,0,0,0,0,26,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,40,0,1,16,840,417,7,38.9%,85.8%,318,3,578,5,664,379,0,21.3,5,59.0%,78,0.00,3,0,3,2,2,2,70.1%,125,21,0,0.09,1.17,1.26,0,16,0.21,6
31,22,djsh03luk6mlcoqsqfexadd9m,445788,1756,27,Left Centre Back,Bertrand,Owundi,B. Owundi,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,129,51,1052,610,262,0.33,0,0,0.00,0,0,0,0,0,5,0,0,72,5,0,0,1266,60,6,13,24,138,70.4%,92,44,92,4,5,8,0,5,7,1,7,0,0,1,0,0,20,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,6,18,607,641,5,41.3%,82.9%,513,8,351,11,438,603,0,20.4,8,53.7%,67,0.00,0,0,0,0,2,2,66.7%,123,15,0,0.00,0.33,0.33,0,11,0.11,3
32,23,16q3kpp7uxqjn9993xd5woauh,213571,1604,23,Central Midfielder,Diego,Gutiérrez,D. Gutiérrez,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),7,5,0,3,2,1,2,1,4,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,5,131,54,850,316,349,0.96,0,1,1.36,1,1,1,21,22,43,1,1,119,31,2,1,1225,77,16,28,21,91,73.3%,21,11,139,2,2,10,3,9,15,0,3,0,0,0,0,0,32,27,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,55,4,19,251,345,629,20,36.6%,78.2%,396,122,147,157,201,492,0,17.1,16,48.6%,35,0.00,17,0,1,0,14,14,59.5%,62,25,4,0.58,0.38,0.96,21,4,0.10,10
33,24,58elvwym7gnql18liaoa6zo16,481627,1727,25,Central Midfielder,Ajay,Khabra,A. Khabra,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),16,3,0,1,1,0,4,6,9,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,7,85,36,954,391,442,1.02,0,0,1.29,0,2,2,5,7,15,1,0,101,10,0,0,1208,90,13,27,15,58,72.7%,1,0,112,7,3,17,7,6,24,0,5,0,0,0,0,0,25,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,23,228,209,771,20,27.3%,87.3%,577,117,139,147,160,647,0,15.3,15,46.3%,41,0.00,19,0,0,0,5,7,75.4%,22,30,6,0.70,0.32,1.02,7,3,0.05,20
34,22,1mcgu1zocg8bwfrncptuvfm51,90443,1891,34,Left Centre Back,Mason,Trafford,M. Trafford,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,1,0,3,2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,2,1,0,0,3,0,110,61,1040,663,206,1.16,0,0,0.34,2,0,0,5,5,2,0,0,52,2,0,0,1196,43,7,5,15,86,63.2%,57,33,79,1,3,8,0,10,2,2,6,0,0,0,0,0,18,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,1,31,753,412,14,43.2%,83.6%,326,14,529,19,627,394,0,22.2,7,54.5%,55,0.00,11,0,2,0,2,2,67.5%,81,5,0,0.08,1.08,1.16,5,14,0.19,6
35,19,5m5p9c4iyl4f4j1rr1rdmojfu,481561,1575,24,Central Midfielder,Elijah,Adekugbe,E. Adekugbe,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,1,1,0,1,0,1,7,6,1,0,0,0,0,0,1,0,0,0,0,1,0,2,6,117,26,949,498,308,0.45,1,4,2.28,0,7,2,9,12,25,0,0,118,21,2,2,1185,78,15,27,17,76,73.7%,17,10,119,5,5,24,7,8,24,0,9,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,4,14,161,254,770,3,30.0%,84.9%,564,82,160,104,180,665,0,19.0,15,54.5%,33,0.00,26,0,0,0,7,10,62.8%,42,26,8,0.10,0.35,0.45,8,3,0.05,9
36,24,dvm23d66qze0kmrzxft68a0ru,483640,2094,26,Left Centre Back,Matthew,Arnone,M. Arnone,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,0,1,3,3,0,0,0,8,1,0,0,0,0,0,2,0,0,1,5,2,0,0,1,2,108,86,905,536,175,2.10,2,0,0.22,2,0,0,6,6,5,0,0,106,2,0,0,1181,64,11,20,49,179,68.9%,99,50,112,2,6,10,1,9,6,0,8,0,0,1,0,0,30,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,2,4,34,740,407,18,51.0%,78.6%,267,8,436,13,535,357,0,19.5,14,67.0%,91,0.00,27,0,2,2,1,1,64.7%,152,27,0,0.03,2.06,2.10,6,9,0.19,11
37,25,7fcj29th1uv9jkhdh67tygeay,481562,1943,25,Right Attacking Midfielder,Nico,Pasquotti,N. Pasquotti,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,3,1,16,16,0,4,2,13,1,9,0,0,0,0,5,0,3,1,3,3,2,2,8,15,112,19,477,119,227,5.77,5,3,3.60,10,5,6,18,25,125,14,7,186,57,0,0,1179,212,19,30,13,75,59.8%,11,7,114,25,5,15,18,7,22,2,9,0,0,0,0,0,12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,34,37,660,123,396,99,30.6%,72.5%,156,151,39,215,52,210,3,17.6,33,41.2%,85,0.00,14,3,10,4,71,71,56.2%,29,30,16,3.34,2.43,5.77,22,1,0.16,35
38,19,79pboh9mzuchik3r2027wntgp,233807,1650,25,Right Centre Back,Amer,Didic,A. Didic,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,10,8,2,1,1,11,0,1,0,0,1,0,0,0,0,0,10,6,0,0,3,2,103,64,923,551,205,1.82,0,3,2.02,2,2,14,2,16,5,1,0,105,3,0,0,1171,47,9,20,25,163,82.9%,109,51,92,5,7,9,0,2,1,2,4,0,0,0,0,0,25,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,2,1,67,732,372,48,38.6%,81.9%,289,18,449,40,534,349,0,23.0,6,75.5%,94,0.00,22,0,2,0,2,2,66.9%,149,14,0,0.29,1.53,1.82,13,18,0.08,23
39,26,ex7za2yvl9xrcdtr60ake2bit,222921,2340,27,Goalkeeper,Nathan,Ingham,N. Ingham,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,53,874,477,144,0.00,0,0,0.00,0,0,0,0,0,0,0,0,24,0,0,0,1170,1,0,0,0,12,-,12,1,38,0,0,0,0,13,0,0,6,12,0,1,6,17,34,25,9,0,88,6,9,30,52,12,0,70,60,28,12,37,1,14,21,0,0,0,44,0,0,0,1161,9,0,69.5%,71.1%,3,0,618,0,867,7,0,35.0,0,93.8%,16,28.57,0,0,0,0,0,0,60.1%,12,0,0,0.00,0.00,0.00,0,0,-,0
40,22,882vd5rnobx3xba2sb99k49gp,421823,1731,20,Central Midfielder,Alessandro,Hojabrpour,A. Hojabrpour,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,2,0,2,1,1,2,3,6,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,96,38,907,469,304,0.92,0,0,0.89,1,1,2,10,12,12,0,0,100,7,3,1,1160,88,21,38,20,121,67.8%,41,17,98,5,2,21,1,8,7,1,3,0,0,0,0,0,31,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,61,4,10,100,362,698,8,31.6%,85.2%,516,52,205,69,237,601,0,19.1,28,48.7%,39,0.00,25,0,1,0,2,4,69.7%,81,38,2,0.16,0.76,0.92,12,11,0.07,13
41,21,4ux10kolns6m5lgd64wumjfth,197038,1772,25,Defensive Midfielder,Louis,Béland-Goyette,L. Béland-Goyette,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,0,1,2,0,2,0,4,7,7,0,0,0,0,0,0,1,1,0,0,0,0,1,0,9,107,31,881,358,385,0.41,1,3,1.96,0,1,2,26,28,22,0,0,103,9,2,2,1159,114,13,41,32,105,60.7%,19,7,142,2,4,29,1,7,24,0,4,0,0,1,0,0,38,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62,6,24,155,257,747,5,34.8%,84.3%,514,85,144,100,167,614,0,19.6,35,44.4%,18,0.00,27,0,0,0,8,10,70.4%,57,41,7,0.41,0.00,0.41,25,3,0.03,13
42,22,334ys3md0ycavngg26g75yi21,244406,1809,22,Left Centre Back,Matthew,Baldisimo,M. Baldisimo,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),7,1,0,2,0,2,0,2,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,105,40,909,502,262,0.79,0,0,0.53,1,0,0,12,12,19,0,0,103,13,0,0,1157,127,19,28,25,101,57.3%,29,6,107,4,9,21,1,8,13,0,4,0,0,0,0,0,32,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,54,2,24,106,483,568,6,38.5%,84.0%,377,51,336,63,388,458,0,18.5,35,43.1%,51,0.00,23,0,1,0,8,8,67.7%,59,38,4,0.71,0.07,0.79,12,3,0.11,7
43,25,db3mtdls95klppptl1n96ezf9,92442,1916,30,Central Midfielder,Kyle,Porter,K. Porter,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),13,2,0,20,11,9,2,6,6,4,2,1,0,1,0,2,0,2,1,1,3,0,1,3,19,106,43,729,231,349,4.39,2,4,2.67,8,2,15,16,31,30,6,2,108,12,2,1,1131,108,14,33,22,82,66.2%,12,8,100,7,3,11,9,4,14,4,6,0,0,0,0,0,25,19,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,10,32,411,161,559,52,26.5%,79.6%,359,156,65,200,94,435,0,17.2,24,54.5%,44,0.00,20,0,8,2,35,88,56.5%,42,36,4,3.04,1.35,3.60,27,2,0.13,34
44,20,33nqawmehcegb4mgb7rbd5ht6,481744,1551,24,Left Centre Back,Daniel,Gogarty,D. Gogarty,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,93,66,883,537,187,1.04,0,0,0.22,1,0,0,6,6,2,0,0,62,0,0,0,1127,46,10,19,21,93,76.3%,40,13,73,1,2,9,1,3,2,0,4,0,0,0,0,0,27,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,5,61,615,451,7,47.1%,82.0%,334,16,374,22,470,391,0,20.1,9,61.7%,47,0.00,0,0,1,0,9,9,67.8%,80,11,2,0.00,1.04,1.04,6,11,0.21,5
45,22,9sqefuu2tn9n1efnv2q56ay1h,202345,1894,27,Right Centre Back,Skylar,Rutherford Thomas,S. Thomas,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,1,0,3,3,0,2,0,9,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,1,126,60,855,484,185,0.93,0,1,1.49,0,3,3,5,8,4,0,0,113,4,0,0,1119,74,13,24,23,164,77.1%,102,46,100,4,9,11,1,5,1,1,4,0,0,1,0,0,34,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54,0,8,43,667,409,22,46.7%,78.2%,288,14,367,21,465,369,0,21.3,11,64.4%,101,0.00,10,0,0,0,1,1,61.9%,144,18,2,0.06,0.87,0.93,7,20,0.07,14
46,20,4tus0wc9k482jmoncnstteelm,481577,1461,25,Defensive Midfielder,Raphael,Ohin,R. Ohin,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,4,0,4,0,4,2,6,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,15,95,70,765,361,239,0.84,0,0,0.34,0,0,0,8,8,43,2,1,109,30,0,0,1109,109,12,26,20,93,65.5%,32,17,155,4,14,23,1,14,12,0,3,0,0,1,0,0,35,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,4,19,119,403,587,8,40.9%,78.4%,371,41,188,52,250,463,0,18.3,20,44.4%,36,0.00,27,0,0,0,6,6,62.6%,69,21,3,0.82,0.02,0.84,8,3,0.03,25
47,21,4a4m18zkb35qgn6h57rhuhu51,92432,1698,34,Defensive Midfielder,James,Marcelin,J. Marcelin,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,3,0,2,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,92,62,873,467,252,0.25,0,0,0.66,0,1,2,5,7,17,0,0,91,12,0,0,1108,78,7,18,27,105,59.5%,50,26,127,2,9,13,4,7,7,1,6,0,0,0,0,0,22,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,2,15,98,484,526,16,36.0%,82.4%,379,55,285,66,351,456,0,19.9,17,66.1%,56,0.00,29,0,0,0,7,7,65.6%,86,18,1,0.15,0.10,0.25,7,7,0.04,7
48,25,8ad2vcq9xcul0kkfms8qo0wk5,183434,1760,24,Central Midfielder,Alexander Börje,Achinioti-Jönsson,A. Achinioti-Jönsson,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,5,0,1,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,102,51,848,409,286,0.75,0,2,1.17,1,2,2,4,6,24,1,1,126,19,1,1,1100,78,13,30,43,122,72.9%,36,15,110,8,0,21,2,14,19,0,10,0,0,0,0,0,15,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,5,95,278,727,7,27.6%,82.0%,496,62,137,75,172,601,0,18.5,16,54.4%,57,0.00,27,0,1,0,0,0,54.3%,68,50,4,0.12,0.63,0.75,4,5,0.15,5
49,18,5zqbuxft2tp9gdawhgrrww05x,443488,1534,29,Left Back,Martín,Arguiñarena,M. Arguiñarena,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,1,0,2,0,2,0,2,6,3,3,0,0,2,0,0,0,0,0,0,0,0,0,8,0,111,45,644,232,256,0.46,0,1,0.71,0,0,3,10,13,19,0,0,118,13,0,0,1092,63,21,35,35,114,69.1%,18,6,84,2,6,6,4,16,12,0,3,0,0,1,0,0,26,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,4,6,238,372,482,4,52.3%,75.8%,260,84,144,106,202,336,0,18.0,25,53.1%,32,0.00,22,0,0,0,31,39,62.9%,72,38,4,0.25,0.21,0.46,12,6,0.05,10
50,23,c8gbyfp650fgai5782915ywa1,210185,1730,25,Central Midfielder,Elimane Oumar,Cissé,E. Cissé,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),11,2,0,9,7,2,3,1,8,3,4,0,0,0,0,2,0,2,0,2,0,0,2,3,12,91,23,773,249,410,3.28,2,2,2.53,7,6,3,9,12,36,3,1,105,18,1,0,1089,133,18,31,32,100,63.6%,17,12,151,8,5,15,8,3,7,2,10,0,0,0,0,0,16,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,29,328,157,604,40,26.6%,85.3%,400,181,78,222,91,460,0,15.6,28,33.9%,59,0.00,15,0,7,2,4,5,69.9%,49,40,11,3.09,0.19,3.28,10,4,0.16,21
51,28,58s8ekic6fia8tm70kelw91p1,137478,1958,29,Centre Forward,Rodrigo Pablo,Gattas Bertoni,R. Gattas,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),8,6,2,36,26,10,7,9,25,10,12,4,2,1,0,8,1,7,2,2,8,4,2,42,8,135,38,728,204,351,9.19,9,0,1.99,12,3,1,22,23,34,4,1,95,18,1,1,1072,119,4,13,13,39,44.7%,9,7,87,9,4,11,5,3,13,16,6,0,0,0,0,0,28,21,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,2,23,412,64,596,86,18.1%,76.2%,371,157,27,208,39,481,0,18.9,21,50.0%,80,0.00,19,0,12,5,37,38,50.0%,14,18,7,4.96,4.24,6.04,23,2,0.12,77
52,20,eyu2l3gom8fn098e66e4a6k0l,243967,1784,27,Left Centre Back,Jordan Peter,Murrell,J. Murrell,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,122,54,738,344,218,0.74,0,0,0.21,1,0,0,5,5,15,1,0,107,8,0,0,1050,79,18,27,26,139,76.3%,63,33,88,6,11,13,1,9,4,0,4,0,0,0,0,0,33,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,56,0,8,95,488,467,11,46.2%,76.2%,297,36,229,46,315,377,0,21.6,14,63.5%,63,0.00,11,0,1,0,10,10,57.2%,109,29,1,0.06,0.68,0.74,5,15,0.15,5
53,23,41yxh6wtv2lrs3js0y2ir7svd,223135,1766,25,Left Midfielder,Bruno,Zebie,B. Zebie,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),7,3,0,6,3,3,2,2,8,4,3,0,0,0,0,1,0,1,0,1,0,1,0,8,5,82,35,683,292,274,1.56,1,0,0.54,2,0,0,8,8,42,3,1,99,15,0,0,1049,107,17,29,21,81,70.8%,13,2,91,4,6,7,6,3,15,4,6,0,0,0,0,0,22,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,18,34,277,234,538,29,30.5%,82.9%,342,119,105,147,132,404,0,15.1,19,44.4%,36,0.00,18,0,2,0,26,27,64.4%,47,28,6,1.47,0.09,1.56,8,6,0.09,18
54,25,6re5keaha87h6kc01848h53ah,243956,1586,26,Left Winger,Victor,Blasco,Victor Blasco,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),13,5,1,18,8,10,0,4,12,10,1,0,0,5,2,2,4,3,0,0,1,0,6,0,29,127,19,589,162,281,2.90,6,3,3.80,5,6,6,21,27,90,11,6,164,54,2,0,1040,185,15,28,2,50,55.8%,4,1,92,18,8,24,10,6,26,6,3,0,0,0,0,0,30,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,10,45,427,114,499,56,27.3%,75.2%,261,136,46,212,57,320,1,15.0,34,45.6%,57,0.00,23,1,5,2,23,47,59.6%,20,22,8,2.31,0.60,2.90,24,0,0.09,34
55,19,8dq7nk2ey2r8d8ltgcuqqdlyi,481756,1281,22,Left Back,Ndzemdzela,Langwa,N. Langwa,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,5,0,3,2,1,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,93,56,479,215,115,0.32,0,0,0.49,0,0,5,5,10,92,4,1,154,56,0,0,1000,118,18,47,14,108,69.1%,20,4,93,4,10,8,5,13,6,1,4,0,0,0,0,0,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,12,35,187,441,372,19,52.6%,68.9%,148,32,150,53,220,206,2,17.7,29,75.0%,12,0.00,19,2,0,0,21,31,52.4%,92,13,3,0.15,0.17,0.32,10,0,0.05,6
56,26,42d31lze22zahkqy8vu5zpcyd,85715,1976,26,Centre Forward,Oumar,Diouck,O. Diouck,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),9,4,3,16,8,8,9,3,17,8,8,0,0,6,0,5,1,5,1,3,1,0,5,3,26,114,23,583,166,280,4.91,6,2,3.48,7,5,6,24,30,50,5,3,113,25,0,0,983,156,15,21,5,48,55.4%,6,1,105,28,6,28,10,7,28,18,7,0,0,0,0,0,22,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,6,30,421,95,467,73,23.5%,76.5%,255,155,36,206,47,330,0,18.6,29,27.6%,29,0.00,18,0,7,5,32,53,50.4%,18,19,11,3.51,1.40,4.91,28,0,0.11,45
57,28,3hebpt7rddccp0powpyfwri7d,243961,2334,22,Centre Forward,Terran,Campbell,T. Campbell,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),11,1,3,23,18,5,4,2,24,13,11,2,1,3,0,10,1,8,4,1,5,6,1,36,5,114,16,569,140,299,8.89,11,2,2.86,12,3,1,30,31,45,3,3,118,26,3,2,960,206,14,25,9,52,68.4%,4,4,81,15,2,12,8,2,11,10,5,0,0,0,0,0,44,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,4,52,439,72,449,77,20.0%,77.2%,242,170,27,238,35,296,2,13.5,18,26.6%,124,0.00,16,2,12,8,29,29,50.9%,18,22,12,6.17,2.72,7.31,29,0,0.17,53
