Rank,GM,optaTeamId,team,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
11,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,1,1,2,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,79,16,553,192,266,0.89,1,1,0.66,1,1,1,2,3,15,4,0,39,3,0,0,751,67,6,15,15,49,72.4%,11,4,62,4,3,3,4,1,4,4,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,0,0,2,1,1,0,0,0,1,0,0,0,1,0,2,19,207,181,363,21,35.6%,82.8%,261,88,109,115,132,306,0,19.0,8,23.1%,26,0.85,18,0,1,1,16,23,67.5%,23,18,8,0.65,0.24,0.89,2,1,0.15,6,HFX vs FOR,2019-09-18,584qg6tkjgokrqfqet8v0uulm,15376,c2pdzdl3dgf5b0siidn2ay5ii:1052436,HFX vs FOR (2019-09-18)
12,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,8,6,2,6,2,5,3,1,1,0,3,0,0,0,0,0,1,2,0,0,7,3,59,14,539,281,185,3.52,0,0,1.99,5,3,3,11,14,29,8,3,53,10,1,0,750,57,4,9,8,28,68.4%,6,3,58,6,1,7,5,1,7,4,0,0,1,0,0,0,2,0,2,1,3,0,0,2,2,0,0,3,2,1,0,1,0,0,1,0,0,1,2,6,4,184,183,383,41,28.2%,86.5%,288,49,129,69,142,328,0,17.8,6,51.4%,35,1.25,16,0,5,0,24,32,71.1%,12,13,3,1.34,2.18,2.73,14,6,0.17,21,YRK vs VAL,2019-08-10,55ug6j26bfssigo14xk3zl9ii,15378,cqthcpums3aas2tdy0qhlkuwa:1052430,YRK vs VAL (2019-08-10)
12,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,3,3,0,3,0,6,3,1,0,0,0,0,2,0,2,1,1,1,0,1,1,6,55,23,537,309,150,1.42,2,2,1.29,2,2,3,6,9,24,2,1,47,10,0,0,750,56,6,10,14,43,64.0%,12,4,44,3,1,9,2,3,6,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,4,1,3,0,1,1,2,0,0,0,1,0,2,14,168,252,330,28,35.0%,85.5%,241,58,160,77,192,268,0,20.0,9,55.0%,20,0.51,16,0,2,1,16,23,72.9%,26,14,3,0.88,0.53,1.42,7,1,0.12,12,CAV vs HFX,2019-05-25,4plypjjzuotlfysr9ym3f8woa,15376,41ewt71n8fqwy6trsqta1bjvu:1052390,CAV vs HFX (2019-05-25)
14,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,1,5,3,2,2,0,5,3,1,1,1,0,0,3,0,2,0,1,0,2,1,3,6,41,14,582,275,252,2.00,3,2,1.18,3,2,2,8,10,16,0,0,47,9,0,0,749,46,4,5,11,31,69.2%,11,7,51,5,0,7,5,2,12,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,0,0,2,1,1,1,1,0,0,0,0,0,1,1,2,17,185,186,378,25,28.2%,90.5%,302,93,132,105,146,331,0,20.2,4,57.9%,19,1.24,18,0,3,1,7,11,78.0%,22,9,0,1.10,0.90,1.21,8,2,0.17,12,VAL vs FOR,2019-09-13,5dgq85s1yv24xf4gel3wk02ui,15378,c2pdzdl3dgf5b0siidn2ay5ii:1052450,VAL vs FOR (2019-09-13)
15,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,2,1,1,1,1,8,2,3,0,0,0,0,0,0,0,0,3,0,0,0,4,3,62,26,510,253,169,1.04,0,0,0.96,2,2,3,7,10,23,2,2,78,16,0,0,748,74,11,19,24,66,63.8%,12,7,78,2,3,6,1,5,8,1,0,0,0,0,0,0,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,22,131,217,400,19,33.9%,82.7%,257,46,119,61,148,301,0,16.5,17,51.4%,37,1.62,18,0,2,0,22,25,65.3%,33,30,3,0.60,0.43,1.04,10,1,0.09,12,FOR vs PAC,2019-05-08,4l9f4xu6zpjpzyxu1pzemvd62,15377,b3436h8h14zw7f1uv6w9vqf6y:1052381,FOR vs PAC (2019-05-08)
16,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,2,1,0,1,4,1,3,0,0,0,0,1,0,1,0,0,0,1,0,3,4,69,27,494,214,184,0.80,1,1,0.80,1,1,0,8,8,31,3,1,79,15,1,1,739,63,5,21,12,50,83.9%,10,4,59,6,2,9,2,2,12,4,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,3,10,15,159,186,394,24,36.2%,80.6%,236,56,106,69,129,296,0,18.2,5,57.9%,38,1.52,18,0,1,1,11,15,61.5%,29,16,5,0.80,0.00,0.80,7,2,0.10,8,FOR vs CAV,2019-05-12,4m1cw8f5lec9czmckqvw6rwbu,15381,c2pdzdl3dgf5b0siidn2ay5ii:1052384,FOR vs CAV (2019-05-12)
17,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,1,1,0,0,3,6,2,3,0,0,0,0,1,0,1,0,1,0,1,0,3,3,63,21,547,257,206,0.84,1,1,0.81,1,1,1,8,9,18,0,0,46,14,0,0,734,62,4,14,11,49,47.4%,19,7,52,3,1,8,1,3,2,3,0,0,0,0,0,0,2,1,1,0,5,0,0,4,1,0,0,5,3,2,0,1,0,4,0,0,0,2,0,4,11,128,255,351,14,31.3%,84.6%,248,57,158,72,186,289,0,17.6,20,32.0%,25,1.04,22,0,1,1,8,13,69.6%,34,12,3,0.79,0.05,0.84,8,6,0.08,10,YRK vs PAC,2019-07-17,51pa1nt9iwnwq8tabekwbu2cq,15382,b3436h8h14zw7f1uv6w9vqf6y:1052416,YRK vs PAC (2019-07-17)
18,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,2,1,1,2,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,3,2,70,19,534,301,144,0.42,1,1,0.36,0,0,0,7,7,23,1,1,61,12,1,1,730,62,12,13,13,51,64.1%,12,5,56,3,4,8,1,2,9,3,0,0,0,0,0,0,2,1,1,0,2,0,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,1,3,6,11,131,288,311,12,30.7%,83.3%,201,41,203,63,228,243,1,19.9,14,46.4%,28,1.68,21,1,0,0,10,14,67.1%,31,14,6,0.42,0.00,0.42,6,2,0.05,8,HFX vs PAC,2019-06-01,4r43ebcbfop9iq513hqre6gdm,15376,b3436h8h14zw7f1uv6w9vqf6y:1052394,HFX vs PAC (2019-06-01)
19,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,5,4,1,0,0,8,2,4,0,0,1,0,1,0,0,1,2,2,0,0,7,2,70,12,488,197,209,3.06,2,1,2.97,6,6,4,7,11,27,5,3,65,11,3,2,719,65,10,16,14,48,74.3%,8,5,53,10,3,5,6,1,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,18,216,133,370,34,35.2%,83.2%,256,69,81,98,95,295,1,17.8,9,60.9%,23,0.25,13,1,6,1,8,22,66.3%,20,20,8,2.02,1.04,3.06,10,1,0.24,13,FOR vs VAL,2019-06-15,4t5rc4kgrbfy8qpv5lrlignsa,15378,c2pdzdl3dgf5b0siidn2ay5ii:1052398,FOR vs VAL (2019-06-15)
20,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,7,6,1,2,5,6,2,2,1,1,0,0,1,0,0,0,2,0,0,1,3,8,81,11,507,153,262,2.85,1,0,1.43,4,2,1,14,15,12,0,0,52,8,0,0,718,72,4,11,12,43,62.5%,13,7,59,5,3,10,2,4,8,0,0,0,0,1,0,2,2,2,0,1,2,0,0,2,0,0,0,2,0,2,0,0,0,1,1,0,0,1,2,2,25,238,144,336,33,39.3%,81.9%,225,116,74,144,90,273,0,16.4,9,50.0%,34,1.79,19,0,4,1,10,12,66.3%,27,13,3,1.92,0.93,2.06,15,2,0.14,20,VAL vs EDM,2019-05-04,4l0lq4d7znz1rqsq02s2sk9re,6925,dd2vf0yzjm7jm7cak9tf11sa2:1052380,VAL vs EDM (2019-05-04)
20,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,9,8,1,3,3,3,0,2,0,0,0,0,2,0,0,2,0,2,0,0,4,6,95,15,502,204,188,2.76,2,1,1.29,5,3,3,7,10,16,3,1,61,10,0,0,718,51,8,15,17,51,82.1%,7,3,71,6,2,7,0,5,9,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,1,2,15,185,141,392,21,37.5%,78.1%,257,62,73,89,96,317,0,18.5,5,53.6%,28,1.17,16,0,5,1,17,23,56.9%,21,24,6,2.14,0.62,2.76,9,3,0.15,18,CAV vs YRK,2019-05-04,4kj2hnlgvv3ncwouftn614siy,15382,41ewt71n8fqwy6trsqta1bjvu:1052379,CAV vs YRK (2019-05-04)
22,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,6,4,2,3,2,9,5,1,0,0,1,0,2,0,2,1,2,2,0,1,4,7,77,33,491,204,177,1.70,2,2,1.49,3,3,5,10,15,16,3,0,63,7,0,0,717,53,4,13,15,42,73.9%,10,6,41,5,0,4,5,1,6,2,0,0,0,0,0,0,4,3,1,0,4,0,2,0,2,1,0,3,1,3,0,2,0,1,1,0,0,2,2,4,15,215,215,287,38,35.8%,77.6%,182,79,120,105,156,230,0,21.3,6,62.2%,45,1.46,18,0,3,1,20,30,64.2%,28,12,2,1.07,0.63,1.70,13,4,0.09,20,YRK vs VAL,2019-09-15,5e6552cfhize1wrtn1985u6p6,15378,cqthcpums3aas2tdy0qhlkuwa:1052453,YRK vs VAL (2019-09-15)
23,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,4,1,2,1,9,6,3,0,0,0,0,0,0,0,0,0,2,0,0,5,7,69,20,477,232,156,0.77,0,0,0.58,0,0,2,11,13,19,2,1,58,14,0,0,716,60,8,6,12,43,60.9%,16,8,68,1,1,3,0,2,11,1,1,1,0,1,0,2,0,0,0,0,3,1,0,1,2,0,0,2,1,2,1,1,0,1,0,0,0,1,1,4,24,160,217,339,26,36.5%,81.3%,206,48,134,68,161,248,0,19.1,9,47.4%,38,0.85,21,0,0,0,11,17,66.7%,25,14,4,0.51,0.25,0.77,13,0,0.05,17,YRK vs EDM,2019-06-19,4u47motvg0trb2dkt4bpnbsyy,6925,cqthcpums3aas2tdy0qhlkuwa:1052400,YRK vs EDM (2019-06-19)
24,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,1,2,0,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,85,15,517,181,236,0.86,0,0,0.55,1,1,1,5,6,15,1,0,46,7,0,0,714,55,7,6,7,32,92.9%,11,7,46,3,5,3,4,4,7,2,0,0,0,0,1,2,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,15,221,121,372,17,33.5%,80.7%,239,110,68,133,83,301,0,18.1,1,34.4%,32,0.55,23,0,1,0,9,14,57.8%,18,11,3,0.58,0.27,0.86,6,0,0.08,11,EDM vs FOR,2019-06-27,4xcxod07s7mr6wtsej0ymo60a,6925,c2pdzdl3dgf5b0siidn2ay5ii:1052406,EDM vs FOR (2019-06-27)
25,1,15382,York United,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,4,1,3,2,9,4,3,0,0,0,0,0,0,0,0,2,2,0,0,4,6,89,21,487,202,175,2.63,0,0,1.58,6,3,7,6,13,30,1,1,72,22,1,0,713,47,6,14,11,45,83.3%,14,7,57,3,1,9,3,0,8,2,0,0,0,0,0,3,2,1,1,0,4,0,0,0,3,1,0,3,3,1,1,3,0,0,1,0,0,2,1,0,10,192,206,315,33,32.9%,77.4%,194,71,112,97,144,246,0,21.3,4,55.9%,34,0.90,17,0,6,0,15,25,55.6%,28,14,3,1.17,1.46,2.63,13,3,0.14,19,YRK vs HFX,2019-10-19,5oyl3jwgr2padsvpkvdc24ay2,15376,cqthcpums3aas2tdy0qhlkuwa:1052472,YRK vs HFX (2019-10-19)
25,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,1,1,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,49,18,537,271,199,0.66,0,0,0.54,0,0,1,4,5,13,3,1,39,5,1,0,713,45,4,8,10,51,60.0%,27,14,42,4,3,5,2,3,3,3,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,1,1,0,0,1,1,0,0,0,1,0,4,10,146,249,318,16,30.4%,87.5%,243,71,156,81,171,285,0,17.1,8,60.0%,25,0.54,18,0,0,0,7,9,71.8%,38,8,5,0.41,0.25,0.66,5,5,0.09,7,EDM vs PAC,2019-05-12,4nd4fza6mmhp87jrctliuzz3e,6925,b3436h8h14zw7f1uv6w9vqf6y:1052385,EDM vs PAC (2019-05-12)
27,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,4,4,0,1,2,3,2,0,0,0,1,0,1,0,1,0,0,0,0,1,2,5,85,31,469,175,178,0.80,1,1,0.73,2,1,2,7,9,16,0,0,48,4,1,0,712,68,6,16,15,65,64.7%,24,13,77,7,4,5,1,6,7,2,0,0,0,0,0,0,2,2,0,0,3,0,0,2,2,0,0,3,1,2,0,1,0,0,1,0,0,1,3,4,14,172,247,293,20,40.7%,75.3%,176,63,114,86,165,218,0,18.7,12,32.0%,25,1.64,17,0,2,0,12,14,55.0%,46,17,2,0.66,0.14,0.80,8,5,0.08,10,HFX vs FOR,2019-05-04,4jopa68wp2k7cntkj4s506hka,15376,c2pdzdl3dgf5b0siidn2ay5ii:1052378,HFX vs FOR (2019-05-04)
28,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,7,5,2,2,0,9,4,4,1,0,1,0,1,0,1,0,2,1,1,0,4,9,77,22,521,237,185,2.11,1,1,0.97,2,1,1,10,11,22,1,0,56,12,0,0,711,48,4,7,5,27,91.7%,10,8,44,6,1,6,3,2,12,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,13,175,201,335,27,35.3%,81.0%,208,82,132,96,160,265,0,20.1,1,57.1%,28,0.13,19,0,2,0,11,16,59.2%,18,7,2,1.01,1.10,1.32,10,1,0.12,18,FOR vs CAV,2019-10-26,7exzoqwijjljpmysgu6cw2nai,15381,c2pdzdl3dgf5b0siidn2ay5ii:2031831,FOR vs CAV (2019-10-26)
