Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,Cross_Success_Percentage,Cross_Success_Percentage_Open_Play,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
11,1,d3uo72swkorck8mo41kv1yp61,423548,90,24,Left Centre Back,Daniel,Krutzen,D. Krutzen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,87,55,23,0.00,0,0,0.00,0,0,0,0,0,3,0,0,5,2,0,0,93,6,0,0,2,3,0.0%,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40,52,1,47.1%,89.7%,44,0,34,1,38,48,0,21.0,3,60.0%,5,0.00,0,0,0,0,0,0,80.5%,2,1,0,0.00,0.00,0.00,0,0,-,0,-,-,FOR vs EDM,2020-08-16,7t5b01x3jsqkkavibyn5aej2s,6925,d3uo72swkorck8mo41kv1yp61:2126225,FOR vs EDM (2020-08-16)
12,1,76lz7mhivihluvwrvf2rmdlnt,421816,90,20,Right Back,Jake,Ruby,J. Ruby,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,53,23,13,0.00,0,0,0.02,0,0,1,0,1,1,0,0,10,0,0,0,92,4,3,2,5,13,83.3%,1,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,15,36,41,0,45.3%,67.9%,17,6,13,9,20,24,0,15.6,1,66.7%,3,0.00,0,0,0,0,0,0,41.7%,11,2,0,0.00,0.00,0.00,1,0,-,0,-,-,HFX vs PAC,2020-09-16,1m8l5iaa0hhjfd9pq3ftmklxw,15380,76lz7mhivihluvwrvf2rmdlnt:2137187,HFX vs PAC (2020-09-16)
12,1,9rwo2uejpeqqkmy6lgacm0ley,481367,90,25,Right Centre Back,Lukas,MacNaughton,L. MacNaughton,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,75,51,8,0.00,0,0,0.00,0,0,0,0,0,2,1,0,8,1,0,0,92,2,0,2,2,8,100.0%,4,2,5,0,0,1,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,58,31,2,32.0%,78.7%,20,0,39,2,46,27,0,23.0,0,100.0%,2,0.00,0,0,0,0,0,0,45.8%,6,2,0,0.00,0.00,0.00,0,1,-,0,-,-,FOR vs PAC,2020-09-12,al6itp61bch64gv1bhhncxyqc,15377,9rwo2uejpeqqkmy6lgacm0ley:2137184,FOR vs PAC (2020-09-12)
14,1,br7fuyg4h8gseboweg8wjujft,225054,90,23,Left Centre Back,Thomas,Meilleur-Giguère,T. Meilleur-Giguère,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,80,47,12,0.00,0,0,0.00,0,0,0,0,0,0,0,0,6,0,0,0,91,1,1,1,2,9,66.7%,5,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,54,37,0,43.8%,73.8%,25,0,34,0,45,35,0,24.2,1,100.0%,4,0.00,0,0,0,0,0,0,48.6%,7,2,0,0.00,0.00,0.00,0,1,-,0,-,-,PAC vs EDM,2020-09-06,7v18c0lc1p8rx62p3chr1w07o,6925,br7fuyg4h8gseboweg8wjujft:2126273,PAC vs EDM (2020-09-06)
14,1,8xiikcvufow3u6jo0opzhtip5,243903,90,22,Left Centre Back,Robert,Boskovic,R. Boskovic,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,78,49,19,0.00,0,0,0.00,0,0,0,0,0,2,0,0,4,1,0,0,91,5,3,0,3,6,100.0%,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,53,0,39.7%,87.2%,37,0,31,0,34,44,0,21.0,0,0.0%,4,0.00,0,0,0,0,0,0,71.0%,1,5,0,0.00,0.00,0.00,0,0,-,0,-,-,EDM vs CAV,2020-08-21,7tigxj35sgqjbet0qxe22v21g,6925,8xiikcvufow3u6jo0opzhtip5:2126240,EDM vs CAV (2020-08-21)
16,1,79pboh9mzuchik3r2027wntgp,233807,90,25,Right Centre Back,Amer,Didic,A. Didic,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,75,47,16,0.00,0,0,0.00,0,0,0,0,0,0,0,0,7,0,0,0,90,2,1,2,1,8,75.0%,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,49,40,1,46.7%,84.0%,34,1,28,1,35,39,0,23.5,1,80.0%,5,0.00,0,0,0,0,0,0,71.4%,8,0,0,0.00,0.00,0.00,0,4,-,0,-,-,EDM vs YRK,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,15382,79pboh9mzuchik3r2027wntgp:2126259,EDM vs YRK (2020-09-02)
17,1,57sscey83fcglkmcrtpp28k5,90727,90,31,Left Centre Back,Ramon,Soria,Soria,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,85,53,19,0.00,0,0,0.00,0,0,0,0,0,0,0,0,3,0,0,0,89,4,1,1,0,3,50.0%,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,34,0,50.6%,84.7%,26,0,46,0,53,32,0,23.5,2,33.3%,3,0.00,0,0,0,0,0,0,69.8%,2,1,0,0.00,0.00,0.00,0,0,-,0,-,-,EDM vs YRK,2020-09-02,7ulatzc5xxyaiw5pmjxft1kb8,15382,57sscey83fcglkmcrtpp28k5:2126259,EDM vs YRK (2020-09-02)
17,1,7whdjeubz6xgvlxtl91z93idx,173167,90,24,Left Back,Jordan,Haynes,J. Haynes,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,65,28,22,0.00,0,0,0.00,0,0,0,0,0,1,0,0,5,1,0,0,89,3,0,1,3,6,33.3%,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,29,55,0,50.8%,76.9%,36,2,12,3,20,42,0,22.7,2,75.0%,4,0.00,0,0,0,0,0,0,57.6%,6,0,0,0.00,0.00,0.00,0,1,-,0,-,-,PAC vs EDM,2020-09-06,7v18c0lc1p8rx62p3chr1w07o,6925,7whdjeubz6xgvlxtl91z93idx:2126273,PAC vs EDM (2020-09-06)
17,1,1yufrkhruoxnyg54sxgduilt5,423654,90,24,Right Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,54,24,22,0.03,0,0,0.06,0,0,0,1,1,6,0,0,5,2,0,0,89,6,0,0,0,4,-,4,1,6,0,0,1,1,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,21,28,40,1,48.1%,85.2%,22,6,18,7,20,27,0,21.3,0,-,0,0.00,0,0,0,0,6,6,80.8%,4,0,0,0.00,0.03,0.03,1,0,0.03,1,33.3%,33.3%,EDM vs HFX,2020-08-27,7u1iuq4d7judbzn8c1gawxp90,15376,1yufrkhruoxnyg54sxgduilt5:2126249,EDM vs HFX (2020-08-27)
17,1,6f3bomrp6vjzdcasrvoq5c4x5,448292,90,23,Left Back,Fugo,Segawa,F. Segawa,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,70,44,23,0.00,0,0,0.02,0,0,0,1,1,0,0,0,6,0,0,0,89,5,0,1,1,6,33.3%,3,2,5,1,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,29,52,0,27.1%,95.7%,47,7,13,7,16,47,0,16.0,2,50.0%,2,0.00,0,0,0,0,0,0,84.2%,5,1,0,0.00,0.00,0.00,1,0,-,0,-,-,HFX vs YRK,2020-08-29,7ubxnr535nkdppzi934wdbdhw,15376,6f3bomrp6vjzdcasrvoq5c4x5:2126256,HFX vs YRK (2020-08-29)
