Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,Cross_Success_Percentage,Cross_Success_Percentage_Open_Play
11,10,4c5w90f125c6det9gu0ljmgnp,481754,900,24,Right Centre Back,Peter,Schaale,P. Schaale,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,93,34,412,179,106,0.31,0,0,0.55,0,1,2,1,3,5,0,0,46,3,0,0,543,41,8,11,10,87,73.1%,55,31,39,5,0,4,0,3,1,0,2,0,0,0,0,0,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,2,5,14,325,204,5,64.1%,69.2%,129,5,151,7,222,183,0,26.4,7,51.2%,41,0.00,0,0,0,0,0,0,58.0%,76,11,0,0.00,0.31,0.31,3,6,0.10,3,-,-
12,11,8uqytik44ro3mbkz0s8m163xm,481762,820,25,Defensive Midfielder,Andre,Rampersad,A. Rampersad,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,49,15,388,160,164,0.16,0,2,0.99,0,2,1,8,9,15,1,0,66,14,1,0,531,48,7,9,16,42,57.1%,9,4,66,5,2,5,1,6,13,0,1,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,2,14,97,91,343,10,31.4%,83.5%,234,47,43,57,56,275,0,19.0,12,55.2%,29,0.00,24,0,0,0,5,5,59.8%,21,18,3,0.07,0.09,0.16,7,1,0.05,3,60.0%,60.0%
13,10,7t6lyj5pvvgzfscj775acuqc5,173165,849,24,Right Midfielder,Marco,Bustos,M. Bustos,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,0,1,11,10,1,5,2,8,3,3,0,0,0,0,5,0,5,1,2,2,3,1,13,2,39,11,334,97,187,2.68,5,3,2.20,4,4,4,12,16,31,5,2,60,18,2,1,528,46,0,2,4,7,22.2%,1,1,53,4,3,6,8,4,23,2,2,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,4,12,250,41,237,43,25.7%,85.0%,153,112,19,132,30,172,2,17.3,7,66.7%,9,0.00,19,2,4,4,19,30,66.3%,4,1,2,2.43,0.25,2.68,13,0,0.10,26,23.3%,31.6%
14,8,1mcgu1zocg8bwfrncptuvfm51,90443,720,34,Central Defender,Mason,Trafford,M. Trafford,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,45,19,444,313,67,0.33,0,0,0.46,0,1,2,1,3,1,0,0,25,0,0,0,517,20,2,8,11,47,66.7%,25,10,31,2,3,3,0,4,1,0,3,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,21,312,184,6,32.0%,85.6%,140,9,231,12,261,171,0,22.0,5,52.6%,19,0.00,4,0,0,0,1,1,61.3%,38,7,2,0.28,0.05,0.33,3,2,0.16,2,100.0%,100.0%
15,10,3wyn5e0uz5jfilp065m3qynoq,501450,707,25,Central Midfielder,Aboubacar,Sissoko,A. Sissoko,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,2,0,1,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,51,19,397,163,164,0.28,0,0,0.14,1,0,1,2,3,12,1,1,46,11,1,0,516,46,4,16,6,40,66.7%,13,8,52,2,3,5,2,4,5,0,2,0,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,72,149,295,7,39.0%,82.4%,212,35,80,46,103,248,0,18.6,10,33.3%,15,0.00,24,0,1,0,1,1,67.1%,26,12,2,0.20,0.08,0.28,3,6,0.06,5,0.0%,0.0%
16,9,bxbh5i1uqhe22e2cft5x6fl2i,425644,738,21,Right Back,Chrisnovic,N'Sa,C. N'Sa,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,26,240,82,92,0.17,0,0,0.06,0,0,0,1,1,20,0,0,59,11,1,0,509,40,7,16,17,65,82.1%,22,8,37,2,3,5,6,8,3,1,2,0,0,0,0,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,12,134,180,195,8,45.8%,72.5%,83,40,51,49,74,117,0,18.4,5,47.1%,17,0.00,20,0,0,0,17,17,50.0%,51,11,3,0.12,0.05,0.17,1,4,0.06,3,5.9%,5.9%
17,9,c71o8hujd9joixq9ge68i4qg9,156664,709,25,Left Midfielder,Nathan,Mavila,N. Mavila,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,1,0,6,2,4,0,0,4,0,4,2,2,2,0,2,1,1,0,0,0,2,1,8,2,47,22,255,117,69,2.22,3,1,1.10,3,2,6,5,11,23,0,0,42,10,1,1,495,51,4,6,10,27,62.5%,6,3,42,6,5,10,1,6,4,0,2,0,0,1,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,8,8,140,150,205,12,40.4%,72.9%,92,31,63,37,93,125,1,21.8,6,60.0%,20,0.00,15,1,3,2,31,46,47.6%,16,8,3,0.53,1.69,0.64,10,1,0.22,10,19.6%,12.9%
18,10,6rsihixcpnuyulgk4giwpzvth,228121,721,26,Right Back,Dominic,Samuel,D. Samuel,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,45,23,277,105,104,0.68,0,0,0.21,1,0,0,2,2,17,1,1,59,11,0,0,491,33,9,7,10,47,80.0%,20,8,31,2,7,3,3,8,6,0,4,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,10,114,183,194,7,50.5%,75.5%,111,30,68,41,97,139,0,18.8,4,81.0%,21,0.00,25,0,1,0,9,9,63.6%,35,9,3,0.04,0.64,0.68,2,2,0.34,2,22.2%,22.2%
19,7,57sscey83fcglkmcrtpp28k5,90727,630,31,Left Centre Back,Ramon,Soria,Soria,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,25,414,225,113,0.14,0,0,0.18,0,0,0,3,3,2,0,0,29,1,0,0,484,21,5,5,7,35,50.0%,18,8,40,1,0,6,0,4,0,2,0,0,0,0,0,0,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,13,281,190,2,50.2%,81.6%,147,4,187,4,236,174,0,23.6,10,70.0%,20,0.00,0,0,0,0,3,5,66.3%,29,6,0,0.00,0.14,0.14,3,3,0.07,2,0.0%,0.0%
20,10,49rr75teem0kobuhr4cesh756,484653,611,21,Right Midfielder,Mohamed,Farsi,M. Farsi,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,3,0,2,2,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,53,13,253,94,93,0.44,1,1,0.78,1,1,1,5,6,15,1,0,47,5,1,0,482,31,7,8,11,40,68.2%,10,5,49,1,1,5,6,4,10,0,3,0,0,0,0,0,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,5,191,107,184,19,30.0%,73.9%,90,60,37,86,51,116,0,18.8,7,50.0%,14,0.00,16,0,1,1,35,36,44.7%,24,9,7,0.44,0.00,0.44,5,0,0.11,4,27.8%,28.6%
