Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,xG Per Shot,Shots Total,Cross_Success_Percentage,Cross_Success_Percentage_Open_Play
21,7,1yufrkhruoxnyg54sxgduilt5,423654,617,24,Right Back,Jeannot,Esua,J. Esua,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,40,11,275,124,100,0.88,0,0,0.45,1,1,0,3,3,22,0,0,42,11,0,0,471,24,2,3,12,44,71.4%,24,14,54,2,2,2,3,9,5,2,0,0,0,0,0,0,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,4,97,171,203,4,36.7%,81.5%,126,30,68,35,91,149,0,20.5,2,81.8%,11,0.00,0,0,1,0,25,25,66.3%,33,8,3,0.00,0.88,0.88,3,1,0.22,4,8.0%,8.0%
22,7,653qyopyxl1qrfmul2n3m5g16,481743,630,26,Right Back,Morey,Doner,M. Doner,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,283,112,122,0.00,0,0,0.29,0,0,0,6,6,11,1,1,20,6,0,0,467,20,1,4,12,29,71.4%,10,6,35,0,1,3,3,2,1,0,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,128,139,200,4,35.0%,82.7%,118,61,55,68,73,142,0,16.3,2,37.5%,8,0.00,0,0,0,0,21,21,63.6%,21,7,1,0.00,0.00,0.00,6,2,-,0,19.0%,19.0%
22,11,1i7a6katii8fnxncnyun4nyzt,243856,945,26,Left Centre Back,Jems,Geffrard,J. Geffrard,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,38,31,369,247,53,0.13,0,0,0.04,0,0,0,1,1,3,0,0,26,2,0,0,467,17,3,3,15,62,85.7%,39,21,37,1,4,3,0,4,1,0,2,0,0,0,0,0,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,10,327,130,4,46.1%,81.3%,96,4,200,6,247,116,0,20.9,1,59.1%,22,0.00,0,0,0,0,0,0,65.3%,53,9,0,0.00,0.13,0.13,1,7,0.04,3,-,-
24,7,cfx0kdkw50a9417og40fqqled,160292,630,29,Right Centre Back,Roger,Thompson,R. Thompson,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,70,22,392,177,123,0.09,0,0,0.22,0,0,0,6,6,1,0,0,32,1,0,0,460,18,6,4,13,51,66.7%,28,15,32,1,1,3,0,0,2,0,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,20,236,204,12,55.6%,76.5%,153,5,142,14,188,190,0,23.8,5,74.1%,27,0.00,0,0,0,0,1,1,67.4%,41,10,0,0.00,0.09,0.09,6,2,0.05,2,0.0%,0.0%
25,10,3176i3h6iv1ufsp88prhhmjqi,209693,627,22,Central Midfielder,Elliot,Simmons,E. Simmons,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,25,372,160,145,0.07,0,0,0.74,0,1,0,6,6,9,0,0,25,6,1,1,457,43,5,6,13,26,39.3%,1,0,58,1,2,6,0,0,1,0,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,6,57,99,301,0,36.6%,82.0%,217,33,55,40,74,258,0,17.5,17,46.7%,15,0.00,27,0,0,0,2,5,64.7%,10,15,1,0.07,0.00,0.07,6,1,0.03,2,40.0%,100.0%
26,11,bzfamx9nfvg0cwshyldxiea5l,229907,752,21,Central Midfielder,Paolo,Sabak,P. Sabak,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),6,3,0,3,2,1,0,2,8,3,5,2,2,1,0,2,0,0,0,0,0,0,2,3,8,58,17,334,97,162,2.50,2,2,1.93,3,3,3,9,12,20,2,1,44,13,1,0,447,43,4,4,6,19,40.0%,4,4,49,3,3,8,6,7,8,1,4,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,6,165,83,199,18,39.2%,77.5%,134,84,41,111,58,165,0,17.7,12,33.3%,9,0.00,17,0,3,2,7,9,64.1%,9,7,3,0.81,1.69,0.92,10,1,0.19,13,11.1%,0.0%
27,10,6re5keaha87h6kc01848h53ah,243956,644,26,Left Midfielder,Victor,Blasco,Victor Blasco,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,2,0,3,3,0,1,6,9,3,6,0,0,1,0,2,0,2,0,0,0,0,2,0,12,57,4,241,56,124,2.92,2,2,2.16,5,1,5,10,15,39,4,2,59,26,0,0,441,47,5,10,4,22,75.0%,3,3,46,5,3,3,5,4,5,3,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,6,11,221,44,176,32,20.7%,74.7%,97,66,17,103,20,118,2,16.6,5,28.6%,14,0.00,17,2,5,2,16,42,52.0%,12,7,3,2.73,0.19,2.92,13,0,0.15,19,28.6%,25.0%
28,10,4ux10kolns6m5lgd64wumjfth,197038,648,25,Central Midfielder,Louis,Béland-Goyette,L. Béland-Goyette,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,3,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,16,347,149,125,0.15,0,0,0.68,0,1,0,8,8,11,0,0,27,8,0,0,440,52,4,9,12,35,43.3%,9,3,55,4,1,18,0,1,2,0,1,0,0,0,0,0,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,8,56,116,268,1,36.6%,79.0%,173,31,70,42,87,218,0,18.5,17,60.0%,5,0.00,24,0,0,0,4,6,61.4%,19,16,0,0.12,0.03,0.15,8,2,0.04,4,0.0%,0.0%
29,11,8ad2vcq9xcul0kkfms8qo0wk5,183434,792,24,Central Midfielder,Alexander Börje,Achinioti-Jönsson,A. Achinioti-Jönsson,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,2,1,4,4,0,0,0,2,0,1,0,0,0,0,3,0,0,2,1,2,0,1,0,3,37,25,338,163,113,2.39,3,0,0.00,4,0,0,0,0,1,0,0,48,1,0,0,434,30,8,10,22,46,78.3%,6,3,40,1,3,8,5,2,6,0,4,0,1,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,1,49,150,235,9,34.3%,81.7%,167,21,88,29,111,198,0,20.5,5,57.1%,28,0.00,8,0,4,3,1,1,59.5%,23,20,3,0.37,2.02,2.39,0,4,0.40,6,0.0%,0.0%
30,8,7whdjeubz6xgvlxtl91z93idx,173167,465,24,Left Back,Jordan,Haynes,J. Haynes,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,36,301,120,94,0.00,0,0,0.03,0,0,0,1,1,2,0,0,33,2,0,0,428,19,5,8,7,34,65.0%,14,11,30,2,3,0,0,4,1,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,40,167,221,0,53.8%,71.1%,136,14,64,19,107,175,0,21.5,7,68.2%,22,0.00,0,0,0,0,6,6,51.9%,29,4,1,0.00,0.00,0.00,1,2,-,0,33.3%,33.3%
31,7,ddyudctrqh7j4vqoofwg0oull,232384,630,21,Right Back,Malyk,Hamilton,M. Hamilton,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,272,101,121,0.00,0,1,0.48,0,1,0,5,5,6,0,0,22,2,0,0,427,28,6,7,9,37,59.1%,12,3,44,6,3,1,0,2,1,0,2,0,1,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,4,108,140,179,3,47.4%,81.6%,111,54,57,59,76,137,0,15.2,9,57.1%,7,0.00,0,0,0,0,26,26,71.3%,28,8,1,0.00,0.00,0.00,4,0,-,0,15.4%,15.4%
32,7,ckozved8umsj42boq3tte1byt,39226,442,34,Left Back,Marcel,de Jong,M. de Jong,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,1,0,2,1,1,1,0,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,49,21,257,86,101,0.27,0,0,0.73,0,1,2,7,9,9,1,1,23,4,0,0,410,11,0,9,10,35,90.0%,14,8,22,0,2,1,1,3,0,0,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,97,133,180,6,59.9%,72.8%,115,21,51,24,89,144,0,22.1,1,75.0%,8,0.00,18,0,0,0,19,24,64.9%,23,10,2,0.17,0.10,0.27,9,3,0.04,7,20.8%,21.1%
33,10,7yio8rqcy9vth90ps5f5j0s0l,243904,626,23,Left Back,Mateo,Restrepo,M. Restrepo,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,245,92,78,0.00,0,0,0.21,0,0,0,2,2,1,0,0,47,0,0,0,408,32,10,21,17,74,72.1%,20,7,38,3,2,9,0,3,2,0,1,0,0,1,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,2,68,163,177,3,43.7%,69.4%,87,37,46,42,79,124,0,17.6,12,70.6%,17,0.00,0,0,0,0,6,6,44.9%,56,16,2,0.00,0.00,0.00,2,0,-,0,50.0%,50.0%
34,7,6o11en42rzgf741oqqlu9a47p,159509,630,25,Left Centre Back,Luca,Gasparotto,L. Gasparotto,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,2,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,22,28,306,202,54,0.46,0,0,0.00,0,0,0,0,0,0,0,0,34,0,0,0,398,16,4,5,14,66,81.8%,43,29,20,1,1,3,0,0,2,0,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,2,10,275,113,7,47.1%,83.7%,90,3,163,3,199,104,0,21.5,2,76.7%,30,0.00,0,0,0,0,0,0,70.1%,63,3,0,0.00,0.46,0.46,0,4,0.07,7,-,-
35,6,8xiikcvufow3u6jo0opzhtip5,243903,479,22,Left Centre Back,Robert,Boskovic,R. Boskovic,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,47,21,335,180,87,0.13,0,0,0.00,0,0,0,0,0,3,0,0,25,1,0,0,396,18,6,4,9,27,71.4%,7,3,32,1,1,5,0,2,2,1,2,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,1,8,180,208,3,45.1%,79.7%,145,3,119,4,148,183,0,22.2,4,62.5%,16,0.00,30,0,0,0,0,0,62.3%,16,11,0,0.03,0.11,0.13,0,1,0.04,3,-,-
36,6,7yfwpe3tltsxez80puqy7hoet,95575,540,28,Central Midfielder,Joseph,Di Chiara,J. Di Chiara,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,1,6,4,2,1,3,2,0,1,2,2,1,0,3,0,0,1,0,1,0,2,2,5,29,10,285,108,138,2.12,3,0,0.27,2,0,1,4,5,11,0,0,42,5,0,0,392,44,4,9,6,26,65.0%,7,3,38,6,2,7,6,6,8,1,1,0,0,0,0,0,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,7,117,82,193,22,26.7%,86.3%,148,52,46,65,51,169,0,17.6,7,26.7%,15,0.00,20,0,2,2,4,9,71.1%,13,9,4,0.29,1.83,0.54,5,3,0.18,12,66.7%,50.0%
37,7,16q3kpp7uxqjn9993xd5woauh,213571,489,23,Central Midfielder,Diego,Gutiérrez,D. Gutiérrez,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,9,308,120,138,0.12,0,0,0.12,0,0,1,1,2,5,0,0,20,3,0,0,388,26,2,7,9,21,56.3%,3,1,36,2,4,4,1,2,3,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,6,81,67,240,5,29.5%,83.8%,174,44,40,57,48,203,0,18.2,7,60.0%,5,0.00,0,0,0,0,2,7,70.3%,9,11,1,0.00,0.12,0.12,2,1,0.04,3,42.9%,100.0%
38,7,9bu481g5htyonfco9whsamve2,483062,617,30,Right Attacking Midfielder,Mohamed,Kourouma,M. Kourouma,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,6,3,3,1,2,5,4,1,0,0,4,0,1,0,1,0,0,1,1,0,9,1,43,12,239,63,121,1.61,1,0,0.57,2,1,3,3,6,18,0,0,39,11,0,0,383,41,7,7,3,18,66.7%,1,1,40,4,3,5,4,1,7,0,2,0,0,0,0,0,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,8,177,54,152,10,32.2%,77.0%,82,77,25,93,36,110,0,17.2,7,21.4%,14,0.00,20,0,2,1,13,32,61.0%,10,4,4,1.00,0.60,1.61,6,0,0.11,14,15.6%,0.0%
39,6,622w13rktz2os2jlo286col3p,168505,530,25,Central Midfielder,Manuel,Aparicio,M. Aparicio,York United,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,1,3,1,2,1,0,6,5,0,0,0,3,2,0,2,0,0,0,0,0,2,1,8,40,18,271,66,147,0.44,2,0,0.62,0,1,0,10,10,22,1,0,36,12,0,0,379,40,5,9,8,22,66.7%,0,0,39,4,2,8,3,4,3,2,2,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,10,98,60,221,5,40.2%,78.6%,149,43,21,54,33,184,0,19.4,7,0.0%,3,0.00,33,0,0,0,5,9,63.3%,13,7,2,0.13,0.31,0.44,10,1,0.04,10,11.1%,20.0%
40,7,13wkddshf1c9zrygeg7r3s6w9,421818,630,20,Right Centre Back,Julian,Dunn-Johnson,J. Dunn-Johnson,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,16,281,174,55,0.00,0,0,0.07,0,0,1,1,2,6,0,0,38,2,0,0,378,29,9,7,11,51,80.0%,22,14,32,4,3,1,0,2,1,0,2,0,0,1,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,6,19,256,103,11,50.5%,81.5%,73,2,154,9,181,91,0,21.5,4,65.4%,26,0.00,0,0,0,0,1,1,71.8%,46,5,0,0.00,0.00,0.00,2,7,-,0,0.0%,0.0%
41,10,cdaayu6d9xzn4gyn5jg5p6vl6,481567,900,27,Goalkeeper,Triston,Henry,T. Henry,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,260,204,14,0.00,0,0,0.00,0,0,0,0,0,0,0,0,12,0,0,0,366,0,0,0,0,4,-,4,0,5,0,0,0,0,6,0,0,5,4,0,0,1,8,8,7,1,0,23,1,0,11,12,0,0,22,16,7,1,11,0,4,6,0,0,0,10,0,0,0,365,1,0,37.3%,83.8%,1,0,217,0,259,1,0,26.8,0,100.0%,8,8.49,0,0,0,0,0,0,61.9%,4,0,0,0.00,0.00,0.00,0,0,-,0,-,-
42,8,c8gbyfp650fgai5782915ywa1,210185,539,25,Central Midfielder,Elimane Oumar,Cissé,E. Cissé,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,0,3,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3,36,7,213,74,96,0.67,0,0,0.82,1,1,0,3,3,25,3,1,46,12,0,0,356,37,5,12,4,33,73.9%,9,6,45,6,3,1,7,0,5,1,1,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7,126,82,148,13,30.5%,79.8%,87,51,32,68,39,106,2,16.1,6,55.6%,9,0.00,12,2,1,0,6,8,66.2%,22,8,3,0.64,0.03,0.67,3,0,0.13,5,37.5%,33.3%
43,5,7w93cfaszi89ex6xdf9tgkp9l,199141,450,25,Right Centre Back,Mélé,Temguia,M. Temguia,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,27,14,269,155,73,0.44,0,0,0.00,0,0,0,0,0,6,1,0,33,4,0,0,353,23,6,10,12,45,88.9%,15,7,34,7,3,3,0,3,4,0,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,17,187,149,8,43.5%,84.8%,106,6,116,8,137,124,0,20.8,2,60.0%,10,0.00,0,0,0,0,1,1,74.4%,34,11,0,0.00,0.44,0.44,0,3,0.09,5,0.0%,0.0%
44,7,eb8zwnam8ieg4y7xra9x5on9x,57342,531,32,Centre Attacking Midfielder,Francisco Javier,Acuña Víctor,F. Acuña,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,3,33,6,237,57,141,0.38,2,2,1.11,1,1,1,10,11,20,0,0,31,12,2,1,352,38,3,8,2,14,52.4%,0,0,33,1,0,3,3,3,2,3,2,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,14,159,27,166,12,26.6%,83.5%,110,76,12,94,16,127,1,14.1,10,0.0%,3,0.00,15,1,1,1,5,16,69.8%,5,9,0,0.38,0.00,0.38,9,0,0.13,3,6.3%,20.0%
45,7,4tus0wc9k482jmoncnstteelm,481577,501,25,Defensive Midfielder,Raphael,Ohin,R. Ohin,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,1,0,2,0,2,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,13,282,140,105,0.28,0,0,0.50,0,1,0,3,3,4,0,0,23,3,1,1,348,25,4,3,9,21,58.3%,4,2,36,2,5,3,1,2,7,0,2,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,7,39,136,173,2,39.0%,86.9%,135,19,91,23,108,151,0,18.8,5,57.1%,7,0.00,26,0,0,0,0,0,70.9%,16,4,1,0.26,0.02,0.28,3,1,0.03,9,-,-
46,7,6mmfo5q4m9zdbpl1cgqv5muhh,164958,537,26,Centre Attacking Midfielder,Keven Steven,Alemán Bustos,K. Alemán,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,0,0,1,1,0,2,2,6,2,3,0,0,0,0,1,0,1,0,0,0,1,0,7,0,34,6,214,77,97,1.01,1,0,1.61,1,2,6,2,8,33,2,0,42,13,0,0,342,43,2,8,1,13,58.8%,2,0,29,0,1,5,2,4,12,1,0,0,0,0,0,0,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,10,10,127,25,190,12,22.4%,81.3%,110,50,14,61,15,138,0,18.7,7,25.0%,8,0.00,17,0,1,1,4,20,58.3%,3,6,4,0.87,0.15,1.01,8,0,0.09,11,35.0%,0.0%
47,9,7tmc8hrkee4lo05qa26i7e5zp,173159,810,24,Goalkeeper,Marco,Carducci,M. Carducci,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,20,279,158,34,0.00,0,0,0.00,0,0,0,0,0,0,0,0,3,0,0,0,340,1,0,0,0,4,-,4,0,12,0,1,0,0,2,0,0,3,1,0,0,2,0,10,9,1,0,10,0,2,3,4,0,0,10,6,4,2,3,4,2,0,0,0,1,15,0,0,0,339,1,0,63.8%,68.8%,0,0,192,0,278,1,0,34.2,0,-,0,8.81,0,0,0,0,0,0,52.2%,4,0,0,0.00,0.00,0.00,0,0,-,0,-,-
48,7,csicvwhik2guponydus9zt0x5,223629,465,23,Central Midfielder,Erik,Zetterberg,E. Zetterberg,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,1,0,1,0,1,0,1,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,43,10,261,100,108,0.20,0,0,0.76,0,1,5,3,8,8,0,0,18,3,0,0,334,23,4,4,9,18,57.1%,0,0,29,1,1,4,2,2,3,0,0,0,1,0,0,0,13,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2,6,51,45,238,0,37.2%,79.7%,165,17,26,25,36,200,0,24.2,6,0.0%,1,0.00,24,0,0,0,0,14,61.9%,4,13,1,0.07,0.12,0.20,8,0,0.04,5,21.4%,-
48,6,7ta110w4agnmtkjsfpgilj2wa,481559,459,32,Central Defender,Jonathan,Wheeldon,J. Wheeldon,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,16,284,173,61,0.02,0,0,0.00,0,0,0,0,0,0,0,0,17,0,0,0,334,18,1,2,7,33,75.0%,23,8,21,0,3,7,0,1,1,0,1,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,3,220,111,0,43.0%,82.4%,84,2,148,2,180,102,0,24.1,1,60.0%,20,0.00,31,0,0,0,0,0,66.4%,28,5,0,0.02,0.00,0.02,0,3,0.02,1,-,-
50,6,ex56fczses29ox8kg1fvaodm1,469158,540,23,Central Midfielder,Víctor,Martínez Manrique,Viti,Atlético Ottawa,dn8tjhuq0bax4dgixqvluhzze,16614,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,1,4,2,2,0,0,3,1,1,0,0,1,0,1,0,0,0,1,0,0,1,2,4,40,13,246,112,81,0.91,1,0,0.00,1,0,0,0,0,12,0,0,26,7,0,0,326,35,3,7,9,25,47.6%,6,4,29,3,1,8,1,1,3,0,2,0,0,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,4,29,108,189,5,37.0%,78.5%,124,9,60,12,79,155,0,21.6,11,50.0%,8,0.00,23,0,1,1,2,2,54.9%,13,10,2,0.14,0.77,0.91,0,5,0.13,7,0.0%,0.0%
