player_id,player_name,day_of_birth,month_of_birth,year_of_birth,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season
814725,marco majouga,9,5,2001,Toulouse,France,2001-05-09,attack - Right Winger,183,,France,,FR1,2020
862880,mahamadou doucouré,22,5,2000,Montreuil,France,2000-05-22,attack - Centre-Forward,181,right,France,,FR1,2020
184473,haris duljevic,16,11,1993,Sarajevo,Bosnia-Herzegovina,1993-11-16,midfield - Left Midfield,185,right,Bosnia-Herzegovina,,FR1,2020
364239,moussa koné,30,12,1996,Dakar,Senegal,1996-12-30,attack - Centre-Forward,175,right,Senegal,,FR1,2020
251813,niclas eliasson,7,12,1995,Varberg,Sweden,1995-12-07,midfield - Left Midfield,178,left,,Brazil,FR1,2020
654420,amjhad nazih,18,1,2002,Sète,France,2002-01-18,Goalkeeper,192,right,,Morocco,FR1,2020
232895,zinedine ferhat,1,3,1993,Bordj Menaïel,Algeria,1993-03-01,midfield - Right Midfield,180,right,Algeria,,FR1,2020
255220,romain philippoteaux,2,3,1988,Apt,France,1988-03-02,attack - Left Winger,170,both,France,,FR1,2020
57372,lucas deaux,26,12,1988,Reims,France,1988-12-26,midfield - Defensive Midfield,188,right,France,,FR1,2020
721746,nassim chadli,28,7,2001,Bagnols-sur-Cèze,France,2001-07-28,attack - Centre-Forward,181,right,,France,FR1,2020
347594,florian miguel,1,9,1996,Bruges,France,1996-09-01,Defender - Left-Back,179,left,,Portugal,FR1,2020
476079,lucas dias,22,5,1999,Lyon,France,1999-05-22,Goalkeeper,187,right,,Portugal,FR1,2020
364233,sidy sarr,5,6,1996,Dakar,Senegal,1996-06-05,midfield - Defensive Midfield,196,left,Senegal,,FR1,2020
190338,anthony briancon,28,11,1994,Avignon,France,1994-11-28,Defender - Centre-Back,185,right,France,,FR1,2020
531960,lucas buades,28,12,1997,Muret,France,1997-12-28,midfield - Right Midfield,181,right,France,,FR1,2020
234802,renaud ripart,14,3,1993,Nîmes,France,1993-03-14,midfield - Attacking Midfield,181,right,France,,FR1,2020
434358,sofiane alakouch,29,7,1998,Nîmes,France,1998-07-29,Defender - Right-Back,175,right,,Morocco,FR1,2020
545520,kelyan guessoum,5,2,1999,Alès,France,1999-02-05,Defender - Centre-Back,177,right,,Algeria,FR1,2020
391376,lamine fomba,26,1,1998,Rosny-sous-Bois,France,1998-01-26,midfield - Central Midfield,187,right,,Mali,FR1,2020
347595,clément depres,25,11,1994,Nîmes,France,1994-11-25,attack - Centre-Forward,188,right,France,,FR1,2020
412092,gaëtan paquiez,15,2,1994,Valréas,France,1994-02-15,Defender - Right-Back,182,right,France,,FR1,2020
707317,antoine valério,11,12,1999,Bordeaux,France,1999-12-11,midfield - Central Midfield,185,,France,,FR1,2020
323872,andrés cubas,22,5,1996,Aristóbulo del Valle,Argentina,1996-05-22,midfield - Defensive Midfield,166,right,,Argentina,FR1,2020
190786,baptiste reynet,28,10,1990,Romans,France,1990-10-28,Goalkeeper,185,right,France,,FR1,2020
81460,nolan roux,1,3,1988,Compiègne,France,1988-03-01,attack - Centre-Forward,182,right,France,,FR1,2020
524318,sami ben amar,2,3,1998,Nice,France,1998-03-02,attack - Centre-Forward,185,right,,France,FR1,2020
344599,yassine benrahou,24,1,1999,Le Blanc-Mesnil,France,1999-01-24,midfield - Attacking Midfield,170,right,,France,FR1,2020
482072,kévin denkey,30,11,2000,Lomé,Togo,2000-11-30,attack - Centre-Forward,181,right,,France,FR1,2020
282250,birger meling,17,12,1994,Stavanger,Norway,1994-12-17,Defender - Left-Back,173,left,Norway,,FR1,2020
456080,karim aribi,24,6,1994,Réghaïa,Algeria,1994-06-24,attack - Centre-Forward,192,right,Algeria,,FR1,2020
847772,adilson malanda,29,10,2001,Rouen,France,2001-10-29,midfield - Defensive Midfield,185,,France,,FR1,2020
509234,mattéo ahlinvi,2,7,1999,Arcachon,France,1999-07-02,midfield - Defensive Midfield,183,left,,France,FR1,2020
188915,naomichi ueda,24,10,1994,"Uto, Kumamoto",Japan,1994-10-24,Defender - Centre-Back,186,right,Japan,,FR1,2020
164912,loïck landre,5,5,1992,Aubervilliers,France,1992-05-05,Defender - Centre-Back,192,right,,France,FR1,2020
282900,pablo martinez,21,2,1989,Martigues,France,1989-02-21,Defender - Centre-Back,182,left,,Spain,FR1,2020
444725,patrick burner,11,4,1996,Fort-de-France,Martinique,1996-04-11,Defender - Right-Back,170,right,,France,FR1,2020
