Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
1,Antonio AdÃ¡n,es ESP,GK,AtlÃ©tico Madrid,es La Liga,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches,0,0,0,0.0,0.01,0.0,+0.04,1,3,33.3,5,1,40.0,44.0,1,100.0,67.0,2,0,0.0,1,3.60,14.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,25,0.7,,0,1,25,37,0.00,0,0,0,0.00,-0.64,0.5,0.1,+0.4,+1.48,+0.91,0,0,0,0,0,0,0,0,0,4,0,0,,Big-5-European-Leagues,Big5,2019-2020
2,AdriÃ¡n,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,9.7,10,1.03,28,17,64.3,9,0,0,2,22.2,0,0,0,0,,Matches,1,1,0,9.0,0.32,-1.0,-0.11,60,142,42.3,246,49,44.3,38.3,68,48.5,40.2,91,8,8.8,7,0.72,13.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,80,25.6,90,9,2,33,27,3.00,24,10,+14,+1.44,+0.10,18.7,9.6,+9.2,+0.94,+0.16,0,0,1,0,0,0,0,0,0,47,0,0,,Big-5-European-Leagues,Big5,2019-2020
3,RÃºnar Alex RÃºnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,900,10.0,17,1.70,46,29,63.0,1,2,6,0,0.0,0,0,0,0,,Matches,0,3,1,13.0,0.28,-3.0,-0.30,61,145,42.1,246,54,37.8,35.9,81,64.2,49.2,90,8,8.9,5,0.50,14.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,82,35.8,90,9,2,45,15,0.64,8,17,-9,-0.90,-0.84,10.6,16.1,-5.5,-0.54,-0.06,0,0,2,0,0,0,0,0,0,45,0,0,,Big-5-European-Leagues,Big5,2019-2020
4,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,,Matches,0,0,0,2.0,0.18,-2.0,-0.66,11,32,34.4,51,8,45.1,37.0,24,37.5,32.8,38,2,5.3,4,1.29,16.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,70,8.2,70,3,0,,23,0.75,4,4,0,0.00,+1.26,7.4,2.6,+4.8,+1.56,+2.70,0,0,0,0,0,0,0,0,0,10,0,0,,Big-5-European-Leagues,Big5,2019-2020
5,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,29,29,2543,28.3,23,0.81,79,58,72.2,23,3,3,13,44.8,1,1,0,0,0.0,Matches,0,1,1,22.6,0.28,+0.6,+0.02,138,255,54.1,755,132,24.9,31.7,170,39.4,38.8,197,16,8.1,37,1.31,17.5,0,1,0,0,0,1,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,88,74.4,88,27,0,,0,2.48,61,23,+38,+1.34,-0.09,52.7,30.7,+22.1,+0.78,-0.18,0,1,1,0,0,1,0,0,0,153,0,0,,Big-5-European-Leagues,Big5,2019-2020
6,Sergio Ãlvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,4,4,180,2.0,1,0.50,4,3,75.0,1,1,0,2,50.0,0,0,0,0,,Matches,0,0,0,1.1,0.28,+0.1,+0.06,8,22,36.4,34,5,32.4,35.6,19,57.9,43.0,24,2,8.3,0,0.00,16.5,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.3,90,2,0,,18,1.25,5,4,+1,+0.50,+0.86,2.8,1.2,+1.6,+0.78,+0.94,0,0,0,0,0,0,0,0,0,4,0,0,,Big-5-European-Leagues,Big5,2019-2020
7,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,6,5,531,5.9,16,2.71,45,28,64.4,0,1,4,0,0.0,1,0,0,1,,Matches,1,1,0,13.0,0.29,-3.0,-0.50,33,66,50.0,97,45,33.0,35.4,66,51.5,43.5,56,1,1.8,2,0.34,12.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,89,15.5,90,5,1,81,20,0.17,4,16,-12,-2.03,-1.04,6.2,15.3,-9.1,-1.55,-0.73,0,0,0,0,0,0,0,0,0,34,0,0,,Big-5-European-Leagues,Big5,2019-2020
8,Miguel Ãngel MoyÃ¡,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,,Matches,0,1,1,13.1,0.26,-1.9,-0.15,100,188,53.2,358,58,32.7,32.9,100,71.0,48.6,102,13,12.7,12,0.92,15.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,34.2,90,13,0,,22,1.46,18,16,+2,+0.15,-0.09,12.8,11.5,+1.3,+0.10,-0.09,0,0,0,0,0,0,0,0,0,70,0,0,,Big-5-European-Leagues,Big5,2019-2020
9,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,4,360,4.0,5,1.25,13,10,76.9,3,1,0,1,25.0,2,2,0,0,0.0,Matches,0,1,0,4.8,0.27,-0.2,-0.06,16,36,44.4,106,26,18.9,28.5,29,55.2,42.5,39,1,2.6,5,1.25,14.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,10.5,90,4,0,,31,2.50,10,5,+5,+1.25,+0.07,6.7,4.5,+2.2,+0.54,-0.42,0,1,0,0,0,0,0,0,1,24,0,0,,Big-5-European-Leagues,Big5,2019-2020
10,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,3,270,3.0,2,0.67,4,2,50.0,2,0,1,2,66.7,0,0,0,0,,Matches,0,0,0,1.8,0.46,-0.2,-0.05,3,4,75.0,48,9,4.2,20.0,10,20.0,24.5,15,0,0.0,6,2.00,23.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,11.1,90,3,0,,1,2.00,8,2,+6,+2.00,+0.13,7.2,1.4,+5.8,+1.93,+0.17,0,0,1,0,0,0,0,0,0,15,0,0,,Big-5-European-Leagues,Big5,2019-2020
