club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Bayern Munich,Corentin Tolisso,22,Central Midfield,Olympique Lyon,£37.35m,in,Summer,37.35,1 Bundesliga,2017,2017/2018
Bayern Munich,Kingsley Coman,21,Left Winger,Juventus,£18.90m,in,Summer,18.9,1 Bundesliga,2017,2017/2018
Bayern Munich,Niklas Süle,21,Centre-Back,TSG Hoffenheim,£18.00m,in,Summer,18,1 Bundesliga,2017,2017/2018
Bayern Munich,James Rodríguez,26,Attacking Midfield,Real Madrid,Loan fee:£11.70m,in,Summer,11.7,1 Bundesliga,2017,2017/2018
Bayern Munich,Serge Gnabry,21,Right Winger,Werder Bremen,£7.20m,in,Summer,7.2,1 Bundesliga,2017,2017/2018
Bayern Munich,Sebastian Rudy,27,Defensive Midfield,TSG Hoffenheim,Free transfer,in,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Marco Friedl,19,Centre-Back,FC Bayern U19,-,in,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Christian Früchtl,17,Goalkeeper,FC Bayern U19,-,in,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Felix Götze,19,Defensive Midfield,FC Bayern U19,-,in,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Tom Starke,36,Goalkeeper,Career break,-,in,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Gianluca Gaudino,20,Central Midfield,FC St. Gallen,"End of loanJun 30, 2017",in,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Medhi Benatia,30,Centre-Back,Juventus,"End of loanJun 30, 2017",in,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Holger Badstuber,28,Centre-Back,FC Schalke 04,"End of loanJun 30, 2017",in,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Medhi Benatia,30,Centre-Back,Juventus,£15.03m,out,Summer,15.03,1 Bundesliga,2017,2017/2018
Bayern Munich,Renato Sanches,20,Central Midfield,Swansea,Loan fee:£7.65m,out,Summer,7.65,1 Bundesliga,2017,2017/2018
Bayern Munich,Douglas Costa,26,Right Winger,Juventus,Loan fee:£5.40m,out,Summer,5.4,1 Bundesliga,2017,2017/2018
Bayern Munich,Serge Gnabry,22,Right Winger,TSG Hoffenheim,Loan fee:£900Th.,out,Summer,0.9,1 Bundesliga,2017,2017/2018
Bayern Munich,Gianluca Gaudino,20,Central Midfield,Chievo Verona,£45Th.,out,Summer,0.045,1 Bundesliga,2017,2017/2018
Bayern Munich,Holger Badstuber,28,Centre-Back,VfB Stuttgart,Free transfer,out,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Philipp Lahm,33,Right-Back,Retired,-,out,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Xabi Alonso,35,Defensive Midfield,Retired,-,out,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Tom Starke,36,Goalkeeper,Career break,-,out,Summer,0,1 Bundesliga,2017,2017/2018
Bayern Munich,Kingsley Coman,21,Left Winger,Juventus,"End of loanJun 30, 2017",out,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Kevin Kampl,26,Central Midfield,Bay. Leverkusen,£18.00m,in,Summer,18,1 Bundesliga,2017,2017/2018
RB Leipzig,Jean-Kévin Augustin,20,Centre-Forward,Paris SG,£14.40m,in,Summer,14.4,1 Bundesliga,2017,2017/2018
RB Leipzig,Bruma,22,Left Winger,Galatasaray,£13.50m,in,Summer,13.5,1 Bundesliga,2017,2017/2018
RB Leipzig,Konrad Laimer,20,Central Midfield,RB Salzburg,£6.30m,in,Summer,6.3,1 Bundesliga,2017,2017/2018
RB Leipzig,Yvon Mvogo,23,Goalkeeper,BSC Young Boys,£4.50m,in,Summer,4.5,1 Bundesliga,2017,2017/2018
RB Leipzig,Philipp Köhn,19,Goalkeeper,Stuttgart U19,Free transfer,in,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Ibrahima Konaté,18,Centre-Back,FC Sochaux,Free transfer,in,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Agyemang Diawusie,19,Right Winger,RB Leipzig U19,-,in,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Federico Palacios,22,Left Winger,RB Leipzig II,-,in,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Felix Beiersdorf,18,Central Midfield,RB Leipzig II,-,in,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Zsolt Kalmár,22,Attacking Midfield,Bröndby IF,"End of loanAug 8, 2017",in,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Nils Quaschner,23,Centre-Forward,VfL Bochum,"End of loanJun 30, 2017",in,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Anthony Jung,25,Centre-Back,FC Ingolstadt,"End of loanJun 30, 2017",in,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Atinc Nukan,23,Centre-Back,Besiktas,"End of loanJun 30, 2017",in,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Oliver Burke,20,Right Winger,West Brom,£13.68m,out,Summer,13.68,1 Bundesliga,2017,2017/2018
RB Leipzig,Davie Selke,22,Centre-Forward,Hertha BSC,£7.20m,out,Summer,7.2,1 Bundesliga,2017,2017/2018
RB Leipzig,Atinc Nukan,23,Centre-Back,Besiktas,Loan fee:£180Th.,out,Summer,0.18,1 Bundesliga,2017,2017/2018
RB Leipzig,Zsolt Kalmár,22,Attacking Midfield,Dunajska Streda,Loan,out,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Agyemang Diawusie,19,Right Winger,Wehen Wiesbaden,Loan,out,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Nils Quaschner,23,Centre-Forward,Arm. Bielefeld,Free transfer,out,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Rani Khedira,23,Defensive Midfield,FC Augsburg,Free transfer,out,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Felix Beiersdorf,18,Central Midfield,Wiener Neustadt,Loan,out,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Anthony Jung,25,Centre-Back,Bröndby IF,Loan,out,Summer,0,1 Bundesliga,2017,2017/2018
RB Leipzig,Marius Müller,23,Goalkeeper,1.FC K'lautern,Loan,out,Summer,0,1 Bundesliga,2017,2017/2018
Borussia Dortmund,Andriy Yarmolenko,27,Right Winger,Dynamo Kyiv,£22.50m,in,Summer,22.5,1 Bundesliga,2017,2017/2018
Borussia Dortmund,Maximilian Philipp,23,Second Striker,SC Freiburg,£18.00m,in,Summer,18,1 Bundesliga,2017,2017/2018
Borussia Dortmund,Ömer Toprak,27,Centre-Back,Bay. Leverkusen,£10.80m,in,Summer,10.8,1 Bundesliga,2017,2017/2018
Borussia Dortmund,Mahmoud Dahoud,21,Central Midfield,Bor. M'gladbach,£10.80m,in,Summer,10.8,1 Bundesliga,2017,2017/2018
