,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Breel Embolo,,"€ 80,769","€ 4,200,000",CF,23,Reserve,"Jun 30, 2023",3-yrs,"€ 12,600,000",Monchengladbach,Bundesliga,2020-2021
1,Christoph Kramer,,"€ 67,308","€ 3,500,000",DM,29,Starter,"Jun 30, 2023",3-yrs,"€ 10,500,000",Monchengladbach,Bundesliga,2020-2021
2,Marcus Thuram,,"€ 61,538","€ 3,200,000",LW,23,Starter,"Jun 30, 2023",3-yrs,"€ 9,600,000",Monchengladbach,Bundesliga,2020-2021
3,Matthias Ginter,,"€ 59,615","€ 3,100,000",CB,27,Starter,"Jun 30, 2022",2-yrs,"€ 6,200,000",Monchengladbach,Bundesliga,2020-2021
4,Alassane Plea,,"€ 59,615","€ 3,100,000",CF,27,Reserve,"Jun 30, 2023",3-yrs,"€ 9,300,000",Monchengladbach,Bundesliga,2020-2021
5,Lars Stindl,,"€ 55,769","€ 2,900,000",SS,32,Starter,"Jun 30, 2023",3-yrs,"€ 8,700,000",Monchengladbach,Bundesliga,2020-2021
6,Jonas Hofmann,,"€ 48,077","€ 2,500,000",RW,28,Starter,"Jun 30, 2023",3-yrs,"€ 7,500,000",Monchengladbach,Bundesliga,2020-2021
7,Ibrahima Traoré,,"€ 48,077","€ 2,500,000",RW,32,Reserve,"Jun 30, 2021",1-yr,"€ 2,500,000",Monchengladbach,Bundesliga,2020-2021
8,Valentino Lazaro,,"€ 46,154","€ 2,400,000",RM,24,Reserve,"Jun 30, 2021",1-yr,"€ 2,400,000",Monchengladbach,Bundesliga,2020-2021
9,Stefan Lainer,,"€ 44,231","€ 2,300,000",RB,28,Starter,"Jun 30, 2024",4-yrs,"€ 9,200,000",Monchengladbach,Bundesliga,2020-2021
10,Yann Sommer,,"€ 42,308","€ 2,200,000",GK,32,Starter,"Jun 30, 2023",3-yrs,"€ 6,600,000",Monchengladbach,Bundesliga,2020-2021
11,Denis Zakaria,,"€ 40,385","€ 2,100,000",DM,24,Reserve,"Jun 30, 2022",2-yrs,"€ 4,200,000",Monchengladbach,Bundesliga,2020-2021
12,Ramy Bensebaini,,"€ 36,538","€ 1,900,000",LB,25,Starter,"Jun 30, 2023",3-yrs,"€ 5,700,000",Monchengladbach,Bundesliga,2020-2021
13,Patrick Herrmann,,"€ 32,692","€ 1,700,000",RW,29,Reserve,"Jun 30, 2022",2-yrs,"€ 3,400,000",Monchengladbach,Bundesliga,2020-2021
14,Tony Jantschke,,"€ 32,692","€ 1,700,000",CB,30,Reserve,"Jun 30, 2023",3-yrs,"€ 5,100,000",Monchengladbach,Bundesliga,2020-2021
15,Michael Lang,,"€ 32,692","€ 1,700,000",RB,29,Reserve,"Jun 30, 2022",2-yrs,"€ 3,400,000",Monchengladbach,Bundesliga,2020-2021
16,Nico Elvedi,,"€ 30,769","€ 1,600,000",CB,24,Starter,"Jun 30, 2024",4-yrs,"€ 6,400,000",Monchengladbach,Bundesliga,2020-2021
17,Florian Neuhaus,,"€ 30,769","€ 1,600,000",CM,23,Starter,"Jun 30, 2024",4-yrs,"€ 6,400,000",Monchengladbach,Bundesliga,2020-2021
18,Oscar Wendt,,"€ 25,000","€ 1,300,000",LB,35,Reserve,"Jun 30, 2021",1-yr,"€ 1,300,000",Monchengladbach,Bundesliga,2020-2021
19,Hannes Wolf,,"€ 19,231","€ 1,000,000",AM,21,Starter,"Jun 30, 2021",1-yr,"€ 1,000,000",Monchengladbach,Bundesliga,2020-2021
20,Tobias Sippel,,"€ 8,462","€ 440,000",GK,32,Reserve,"Jun 30, 2023",3-yrs,"€ 1,320,000",Monchengladbach,Bundesliga,2020-2021
21,Max Grün,,"€ 4,423","€ 230,000",GK,33,Reserve,"Jun 30, 2021",1-yr,"€ 230,000",Monchengladbach,Bundesliga,2020-2021
22,Andreas Poulsen,,"€ 3,654","€ 190,000",LB,21,Reserve,"Jun 30, 2023",3-yrs,"€ 570,000",Monchengladbach,Bundesliga,2020-2021
23,Julio Villalba,,"€ 3,654","€ 190,000",CF,22,Reserve,"Jun 30, 2021",1-yr,"€ 190,000",Monchengladbach,Bundesliga,2020-2021
24,Torben Müsel,,"€ 3,654","€ 190,000",AM,21,Reserve,"Jun 30, 2021",1-yr,"€ 190,000",Monchengladbach,Bundesliga,2020-2021
25,Jordan Beyer,,"€ 3,462","€ 180,000",RB,20,Reserve,"Jun 30, 2022",2-yrs,"€ 360,000",Monchengladbach,Bundesliga,2020-2021
26,Mamadou Doucouré,,"€ 3,462","€ 180,000",CB,22,Reserve,"Jun 30, 2024",4-yrs,"€ 720,000",Monchengladbach,Bundesliga,2020-2021
27,Joe Scally,,"€ 2,885","€ 150,000",RB,18,Reserve,"Jun 30, 2021",1-yr,"€ 150,000",Monchengladbach,Bundesliga,2020-2021
28,Rocco Reitz,,€ 962,"€ 50,000",CM,18,Reserve,"Jun 30, 2021",1-yr,"€ 50,000",Monchengladbach,Bundesliga,2020-2021
29,Famana Quizera,,€ 769,"€ 40,000",AM,18,Reserve,"Jun 30, 2021",1-yr,"€ 40,000",Monchengladbach,Bundesliga,2020-2021
30,Kaan Kurt,,€ 385,"€ 20,000",RB,19,Reserve,"Jun 30, 2021",1-yr,"€ 20,000",Monchengladbach,Bundesliga,2020-2021
31,Jan Olschowsky,,€ 385,"€ 20,000",GK,19,Reserve,"Jun 30, 2023",3-yrs,"€ 60,000",Monchengladbach,Bundesliga,2020-2021
