,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Michael Bradley,"$ 115,385","$ 6,000,000","$ 6,551,711",M,26,United States,Toronto FC,Mls,2015
1,Sebastian Giovinco,"$ 107,692","$ 5,600,000","$ 6,114,931",M,27,Italy,Toronto FC,Mls,2015
2,Jozy Altidore,"$ 91,346","$ 4,750,000","$ 5,186,772",F,24,United States,Toronto FC,Mls,2015
3,Damien Perquis,"$ 6,212","$ 323,000","$ 352,700",D,30,Poland,Toronto FC,Mls,2015
4,Ahmed Kantari,"$ 5,769","$ 300,000","$ 327,586",D,29,Morocco,Toronto FC,Mls,2015
5,Benoit Cheyrou,"$ 4,808","$ 250,000","$ 272,988",M,33,France,Toronto FC,Mls,2015
6,Herculez Gomez,"$ 4,615","$ 240,000","$ 262,068",F,32,United States,Toronto FC,Mls,2015
7,Robbie Findley,"$ 4,327","$ 225,000","$ 245,689",F,28,United States,Toronto FC,Mls,2015
8,Luke Moore,"$ 4,135","$ 215,000","$ 234,770",F,28,England,Toronto FC,Mls,2015
9,Justin Morrow,"$ 3,269","$ 170,000","$ 185,632",D,26,United States,Toronto FC,Mls,2015
10,Jackson Goncalves,"$ 3,173","$ 165,000","$ 180,172",D,23,Brazil,Toronto FC,Mls,2015
11,Joe Bendik,"$ 2,885","$ 150,000","$ 163,793",K,25,United States,Toronto FC,Mls,2015
12,Jonathan Osorio,"$ 2,788","$ 145,000","$ 158,333",M,22,Canada,Toronto FC,Mls,2015
13,Collen Warner,"$ 2,499","$ 129,937","$ 141,885",M,26,United States,Toronto FC,Mls,2015
14,Josh Williams,"$ 2,404","$ 125,000","$ 136,494",D,26,United States,Toronto FC,Mls,2015
15,Ashtone Morgan,"$ 1,923","$ 100,000","$ 109,195",D,23,Canada,Toronto FC,Mls,2015
16,Mark Bloom,"$ 1,731","$ 90,000","$ 98,276",D,26,United States,Toronto FC,Mls,2015
17,Eriq Zavaleta,"$ 1,635","$ 85,000","$ 92,816",F,21,United States,Toronto FC,Mls,2015
18,Marco Delgado,"$ 1,538","$ 80,000","$ 87,356",M,18,United States,Toronto FC,Mls,2015
19,Jay Chapman,"$ 1,346","$ 70,000","$ 76,437",M,20,Canada,Toronto FC,Mls,2015
20,Chris Konopka,"$ 1,269","$ 66,000","$ 72,069",K,29,United States,Toronto FC,Mls,2015
21,Jordan Hamilton,"$ 1,212","$ 63,000","$ 68,793",F,18,Canada,Toronto FC,Mls,2015
22,Alex Bono,"$ 1,154","$ 60,000","$ 65,517",K,20,United States,Toronto FC,Mls,2015
23,Clement Simonin,"$ 1,154","$ 60,000","$ 65,517",D,23,France,Toronto FC,Mls,2015
24,Daniel Lovitz,"$ 1,154","$ 60,000","$ 65,517",M,22,United States,Toronto FC,Mls,2015
25,Manuel Aparicio,"$ 1,154","$ 60,000","$ 65,517",M,19,Canada,Toronto FC,Mls,2015
26,Nick Hagglund,"$ 1,154","$ 60,000","$ 65,517",D,21,United States,Toronto FC,Mls,2015
27,Quillan Roberts,"$ 1,154","$ 60,000","$ 65,517",K,19,Guyana,Toronto FC,Mls,2015
28,Chris Mannella,"$ 1,154","$ 60,000","$ 65,517",M,20,Canada,Toronto FC,Mls,2015
