,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Gilberto Junior,"$ 22,019","$ 1,144,992","$ 1,250,276",F,26,Brazil,Chicago Fire,Mls,2015
1,Kennedy Igboananike,"$ 15,385","$ 800,000","$ 873,562",F,25,Nigeria,Chicago Fire,Mls,2015
2,David Accam,"$ 12,500","$ 650,000","$ 709,769",F,23,Ghana,Chicago Fire,Mls,2015
3,Mike Magee,"$ 7,692","$ 400,000","$ 436,781",F,29,United States,Chicago Fire,Mls,2015
4,Jeff Larentowicz,"$ 5,096","$ 265,000","$ 289,367",D,30,United States,Chicago Fire,Mls,2015
5,Sean Johnson,"$ 4,808","$ 250,000","$ 272,988",K,25,United States,Chicago Fire,Mls,2015
6,Razvan Cocis,"$ 4,231","$ 220,000","$ 240,229",M,31,Romania,Chicago Fire,Mls,2015
7,Adailton Filho,"$ 3,846","$ 200,000","$ 218,390",D,31,Brazil,Chicago Fire,Mls,2015
8,Patrick Nyarko,"$ 3,846","$ 200,000","$ 218,390",F,28,Ghana,Chicago Fire,Mls,2015
9,Lovel Palmer,"$ 2,269","$ 118,000","$ 128,850",M,29,Jamaica,Chicago Fire,Mls,2015
10,Michael Stephens,"$ 1,827","$ 95,000","$ 103,735",M,25,United States,Chicago Fire,Mls,2015
11,Eric Gehrig,"$ 1,827","$ 95,000","$ 103,735",M,26,United States,Chicago Fire,Mls,2015
12,Jason Johnson,"$ 1,731","$ 90,000","$ 98,276",F,23,Jamaica,Chicago Fire,Mls,2015
13,Harrison Shipp,"$ 1,683","$ 87,500","$ 95,546",F,24,United States,Chicago Fire,Mls,2015
14,Jon Busch,"$ 1,635","$ 85,000","$ 92,816",K,37,United States,Chicago Fire,Mls,2015
15,Matt Watson,"$ 1,550","$ 80,620","$ 88,033",M,29,England,Chicago Fire,Mls,2015
16,Daneil Cyrus,"$ 1,385","$ 72,000","$ 78,621",D,23,Trinidad and Tobago,Chicago Fire,Mls,2015
17,Ty Harden,"$ 1,378","$ 71,663","$ 78,253",D,30,United States,Chicago Fire,Mls,2015
18,Collin Fernandez,"$ 1,250","$ 65,000","$ 70,977",M,17,Peru,Chicago Fire,Mls,2015
19,Greg Cochrane,"$ 1,154","$ 60,000","$ 65,517",D,23,United States,Chicago Fire,Mls,2015
20,Joevin Jones,"$ 1,154","$ 60,000","$ 65,517",M,22,Trinidad and Tobago,Chicago Fire,Mls,2015
21,Matt Polster,"$ 1,154","$ 60,000","$ 65,517",D,21,United States,Chicago Fire,Mls,2015
22,Chris Ritter,"$ 1,154","$ 60,000","$ 65,517",M,23,United States,Chicago Fire,Mls,2015
23,Alec Kann,"$ 1,154","$ 60,000","$ 65,517",K,23,United States,Chicago Fire,Mls,2015
24,Patrick Doody,$ 962,"$ 50,000","$ 54,598",D,22,United States,Chicago Fire,Mls,2015
25,Kingsley Bryce,$ 962,"$ 50,000","$ 54,598",M,21,United States,Chicago Fire,Mls,2015
