,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Federico Higuain,"$ 22,596","$ 1,175,000","$ 1,283,043",M,29,Argentina,Columbus Crew,Mls,2015
1,Gaston Sauro,"$ 11,215","$ 583,200","$ 636,826",D,24,Argentina,Columbus Crew,Mls,2015
2,Kei Kamara,"$ 7,692","$ 400,000","$ 436,781",F,29,Sierra Leone,Columbus Crew,Mls,2015
3,Michael Parkhurst,"$ 5,288","$ 275,000","$ 300,287",D,30,United States,Columbus Crew,Mls,2015
4,Jack McInerney,"$ 5,192","$ 270,000","$ 294,827",F,21,United States,Columbus Crew,Mls,2015
5,Emanuel Pogatetz,"$ 4,808","$ 250,000","$ 272,988",D,31,Austria,Columbus Crew,Mls,2015
6,Cedrick Mabwati,"$ 3,874","$ 201,429","$ 219,951",M,23,Democratic Republic of Congo,Columbus Crew,Mls,2015
7,Tony Tchani,"$ 3,269","$ 170,000","$ 185,632",M,25,Cameroon,Columbus Crew,Mls,2015
8,Steve Clark,"$ 3,269","$ 170,000","$ 185,632",K,28,United States,Columbus Crew,Mls,2015
9,Justin Meram,"$ 3,173","$ 165,000","$ 180,172",F,25,Iraq,Columbus Crew,Mls,2015
10,Harrison Afful,"$ 2,885","$ 150,000","$ 163,793",D,27,Ghana,Columbus Crew,Mls,2015
11,Waylon Francis,"$ 2,769","$ 144,000","$ 157,241",D,23,Costa Rica,Columbus Crew,Mls,2015
12,Wil Trapp,"$ 2,644","$ 137,500","$ 150,143",M,21,United States,Columbus Crew,Mls,2015
13,Ethan Finlay,"$ 2,596","$ 135,000","$ 147,414",F,23,United States,Columbus Crew,Mls,2015
14,Kristinn Steindorsson,"$ 2,019","$ 105,000","$ 114,655",M,24,Iceland,Columbus Crew,Mls,2015
15,Mohammed Saeid,"$ 1,923","$ 100,000","$ 109,195",M,23,Sweden,Columbus Crew,Mls,2015
16,Tyson Wahl,"$ 1,827","$ 95,000","$ 103,735",D,30,United States,Columbus Crew,Mls,2015
17,Hector Jimenez,"$ 1,731","$ 90,000","$ 98,276",M,25,United States,Columbus Crew,Mls,2015
18,Chris Klute,"$ 1,587","$ 82,500","$ 90,086",D,24,United States,Columbus Crew,Mls,2015
19,Ben Speas,"$ 1,315","$ 68,355","$ 74,640",F,23,United States,Columbus Crew,Mls,2015
20,Ben Swanson,"$ 1,154","$ 60,000","$ 65,517",M,16,United States,Columbus Crew,Mls,2015
21,Aaron Schoenfeld,"$ 1,154","$ 60,000","$ 65,517",F,24,Israel,Columbus Crew,Mls,2015
22,Kevan George,"$ 1,154","$ 60,000","$ 65,517",M,24,Trinidad and Tobago,Columbus Crew,Mls,2015
23,Matt Lampson,"$ 1,154","$ 60,000","$ 65,517",K,24,United States,Columbus Crew,Mls,2015
24,Chad Barson,"$ 1,154","$ 60,000","$ 65,517",D,23,United States,Columbus Crew,Mls,2015
25,Romain Gall,"$ 1,154","$ 60,000","$ 65,517",M,19,United States,Columbus Crew,Mls,2015
26,Sagi Lev Ari,"$ 1,154","$ 60,000","$ 65,517",F,26,Israel,Columbus Crew,Mls,2015
27,Brad Stuver,"$ 1,154","$ 60,000","$ 65,517",K,23,United States,Columbus Crew,Mls,2015
28,Sergio Campbell,$ 962,"$ 50,000","$ 54,598",D,22,Jamaica,Columbus Crew,Mls,2015
