,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),"Adj. GrossBase Salary(2021, IN USD)",Pos.,Age,Country,Team,League,Season
0,Innocent Emeghara,"$ 19,000","$ 988,000","$ 1,078,848",F,25,Switzerland,San Jose Earthquakes,Mls,2015
1,Chris Wondolowski,"$ 12,019","$ 625,000","$ 682,470",M,31,United States,San Jose Earthquakes,Mls,2015
2,Clarence Goodson,"$ 6,058","$ 315,000","$ 343,965",D,32,United States,San Jose Earthquakes,Mls,2015
3,Jean Baptiste Pierazzi,"$ 5,000","$ 260,000","$ 283,907",M,29,France,San Jose Earthquakes,Mls,2015
4,Matias Perez,"$ 4,615","$ 240,000","$ 262,068",M,31,Argentina,San Jose Earthquakes,Mls,2015
5,Anibal Godoy,"$ 3,923","$ 204,000","$ 222,758",M,24,Panama,San Jose Earthquakes,Mls,2015
6,Victor Bernardez,"$ 3,846","$ 200,000","$ 218,390",D,32,Honduras,San Jose Earthquakes,Mls,2015
7,Marvell Wynne,"$ 3,654","$ 190,000","$ 207,471",D,28,United States,San Jose Earthquakes,Mls,2015
8,Jordan Stewart,"$ 2,885","$ 150,000","$ 163,793",M,32,England,San Jose Earthquakes,Mls,2015
9,Steven Lenhart,"$ 2,885","$ 150,000","$ 163,793",F,27,United States,San Jose Earthquakes,Mls,2015
10,Shea Salinas,"$ 2,788","$ 145,000","$ 158,333",M,28,United States,San Jose Earthquakes,Mls,2015
11,Tommy Thompson,"$ 2,692","$ 140,000","$ 152,873",M,18,United States,San Jose Earthquakes,Mls,2015
12,David Bingham,"$ 2,500","$ 130,000","$ 141,954",K,24,United States,San Jose Earthquakes,Mls,2015
13,Sanna Nyassi,"$ 2,308","$ 120,000","$ 131,034",M,25,The Gambia,San Jose Earthquakes,Mls,2015
14,Quincy Amarikwa,"$ 1,923","$ 100,000","$ 109,195",F,26,United States,San Jose Earthquakes,Mls,2015
15,Paulo Renato,"$ 1,846","$ 96,000","$ 104,827",D,27,Portugal,San Jose Earthquakes,Mls,2015
16,Khari Stephenson,"$ 1,313","$ 68,254","$ 74,530",M,33,Jamaica,San Jose Earthquakes,Mls,2015
17,Michael Fucito,"$ 1,166","$ 60,638","$ 66,214",M,23,United States,San Jose Earthquakes,Mls,2015
18,Marc Pelosi,"$ 1,154","$ 60,000","$ 65,517",M,20,United States,San Jose Earthquakes,Mls,2015
19,Bryan Meredith,"$ 1,154","$ 60,000","$ 65,517",K,24,United States,San Jose Earthquakes,Mls,2015
20,Cordell Cato,"$ 1,154","$ 60,000","$ 65,517",F,21,Trinidad and Tobago,San Jose Earthquakes,Mls,2015
21,Fatai Alashe,"$ 1,154","$ 60,000","$ 65,517",M,20,United States,San Jose Earthquakes,Mls,2015
22,JJ Koval,"$ 1,154","$ 60,000","$ 65,517",M,23,United States,San Jose Earthquakes,Mls,2015
23,Leandro Barrera,"$ 1,154","$ 60,000","$ 65,517",F,23,Argentina,San Jose Earthquakes,Mls,2015
24,Adam Jahn,"$ 1,154","$ 60,000","$ 65,517",F,23,United States,San Jose Earthquakes,Mls,2015
25,Mark Sherrod,"$ 1,154","$ 60,000","$ 65,517",F,23,United States,San Jose Earthquakes,Mls,2015
26,Shaun Francis,"$ 1,154","$ 60,000","$ 65,517",D,27,Jamaica,San Jose Earthquakes,Mls,2015
27,Tomas Gomez,$ 962,"$ 50,000","$ 54,598",K,21,United States,San Jose Earthquakes,Mls,2015
28,Matheus Silva,$ 962,"$ 50,000","$ 54,598",D,17,Brazil,San Jose Earthquakes,Mls,2015
