,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Ivan Rakitic,,"€ 253,846","€ 13,200,000",CM,32,Starter,"Jun 30, 2024",4-yrs,"€ 52,800,000",Sevilla,La Liga,2020-2021
1,Óliver Torres,,"€ 143,269","€ 7,450,000",CM,26,Reserve,"Jun 30, 2024",4-yrs,"€ 29,800,000",Sevilla,La Liga,2020-2021
2,Youssef En-Nesyri,,"€ 123,462","€ 6,420,000",CF,23,Starter,"Jun 30, 2025",5-yrs,"€ 32,100,000",Sevilla,La Liga,2020-2021
3,Suso,,"€ 121,154","€ 6,300,000",RW,27,Reserve,"Jun 30, 2025",5-yrs,"€ 31,500,000",Sevilla,La Liga,2020-2021
4,Papu Gómez,,"€ 120,192","€ 6,250,000",SS,32,Reserve,"Jun 30, 2024",4-yrs,"€ 25,000,000",Sevilla,La Liga,2020-2021
5,Munir El Haddadi,,"€ 95,769","€ 4,980,000",CF,25,Reserve,"Jun 30, 2023",3-yrs,"€ 14,940,000",Sevilla,La Liga,2020-2021
6,Fernando Reges,,"€ 93,654","€ 4,870,000",DM,33,Starter,"Jun 30, 2022",2-yrs,"€ 9,740,000",Sevilla,La Liga,2020-2021
7,Joan Jordán,,"€ 90,769","€ 4,720,000",CM,26,Starter,"Jun 30, 2023",3-yrs,"€ 14,160,000",Sevilla,La Liga,2020-2021
8,Jesús Navas,,"€ 76,923","€ 4,000,000",RB,35,Starter,"Jun 30, 2024",4-yrs,"€ 16,000,000",Sevilla,La Liga,2020-2021
9,Franco Vázquez,,"€ 73,077","€ 3,800,000",AM,31,Reserve,"Jun 30, 2021",1-yr,"€ 3,800,000",Sevilla,La Liga,2020-2021
10,Tomas Vaclík,,"€ 71,538","€ 3,720,000",GK,31,Reserve,"Jun 30, 2021",1-yr,"€ 3,720,000",Sevilla,La Liga,2020-2021
11,Aleix Vidal,,"€ 68,269","€ 3,550,000",RB,31,Reserve,"Jun 30, 2022",2-yrs,"€ 7,100,000",Sevilla,La Liga,2020-2021
12,Diego Carlos,,"€ 63,846","€ 3,320,000",CB,27,Starter,"Jun 30, 2024",4-yrs,"€ 13,280,000",Sevilla,La Liga,2020-2021
13,Marcos Acuña,,"€ 54,615","€ 2,840,000",LB,29,Starter,"Jun 30, 2024",4-yrs,"€ 11,360,000",Sevilla,La Liga,2020-2021
14,Nemanja Gudelj,,"€ 50,769","€ 2,640,000",DM,29,Reserve,"Jun 30, 2023",3-yrs,"€ 7,920,000",Sevilla,La Liga,2020-2021
15,Sergio Escudero,,"€ 34,615","€ 1,800,000",LB,31,Reserve,"Jun 30, 2021",1-yr,"€ 1,800,000",Sevilla,La Liga,2020-2021
16,Bono,,"€ 31,923","€ 1,660,000",GK,29,Starter,"Jun 30, 2024",4-yrs,"€ 6,640,000",Sevilla,La Liga,2020-2021
17,Joris Gnagnon,,"€ 31,346","€ 1,630,000",CB,24,Reserve,"Jun 30, 2023",3-yrs,"€ 4,890,000",Sevilla,La Liga,2020-2021
18,Lucas Ocampos,,"€ 30,769","€ 1,600,000",LW,26,Starter,"Jun 30, 2024",4-yrs,"€ 6,400,000",Sevilla,La Liga,2020-2021
19,Sergi Gómez,,"€ 27,500","€ 1,430,000",CB,28,Reserve,"Jun 30, 2022",2-yrs,"€ 2,860,000",Sevilla,La Liga,2020-2021
20,Karim Rekik,,"€ 25,192","€ 1,310,000",CB,26,Reserve,"Jun 30, 2025",5-yrs,"€ 6,550,000",Sevilla,La Liga,2020-2021
21,Luuk de Jong,,"€ 23,077","€ 1,200,000",CF,30,Starter,"Jun 30, 2023",3-yrs,"€ 3,600,000",Sevilla,La Liga,2020-2021
22,Óscar Rodríguez,,"€ 22,115","€ 1,150,000",AM,22,Reserve,"Jun 30, 2025",5-yrs,"€ 5,750,000",Sevilla,La Liga,2020-2021
23,Jules Koundé,,"€ 21,154","€ 1,100,000",CB,22,Starter,"Jun 30, 2024",4-yrs,"€ 4,400,000",Sevilla,La Liga,2020-2021
24,Javi Díaz,,"€ 9,615","€ 500,000",GK,23,Reserve,"Jun 30, 2022",2-yrs,"€ 1,000,000",Sevilla,La Liga,2020-2021
