club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
SL Benfica,Paulo Futre,27,Left Winger,Atlético Madrid,£900Th.,in,Summer,0.9,Liga Nos,1993,1993/1994
SL Benfica,Pedro Roma,23,Goalkeeper,Gil Vicente,?,in,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Abel Xavier,20,Right-Back,CF Estrela,?,in,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Paulo Santos,20,Goalkeeper,Olivais,?,in,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Jovica Simanic,NA,Centre-Back,Stuttgart II,?,in,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Eduard Abazi,24,Left-Back,Grazer AK,?,in,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Aílton,24,Centre-Forward,Atlético-MG,?,in,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Pedro Henriques,18,Left-Back,Benfica U19,-,in,Summer,0,Liga Nos,1993,1993/1994
SL Benfica,José Dominguez,19,Left Winger,Sintrense,"End of loanJun 30, 1993",in,Summer,0,Liga Nos,1993,1993/1994
SL Benfica,Paulo Sousa,22,Central Midfield,Sporting CP,?,out,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Fernando Mendes,26,Left-Back,CF Estrela,?,out,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Pedro Roma,22,Goalkeeper,Gil Vicente,Loan,out,Summer,0,Liga Nos,1993,1993/1994
SL Benfica,José Dominguez,19,Left Winger,Fafe,Loan,out,Summer,0,Liga Nos,1993,1993/1994
SL Benfica,José Carlos,26,Right-Back,CF Estrela,?,out,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,António Pacheco,26,Left Winger,Sporting CP,?,out,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Paulo Madeira,22,Centre-Back,Marítimo,Loan,out,Summer,0,Liga Nos,1993,1993/1994
SL Benfica,Luis Mariano,24,Central Midfield,Ovarense,?,out,Summer,NA,Liga Nos,1993,1993/1994
SL Benfica,Eduard Abazi,24,Left-Back,HNK Sibenik,Loan,out,Summer,0,Liga Nos,1993,1993/1994
FC Porto,Cândido Rego,22,Goalkeeper,Lousanense,?,in,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,António Folha,22,Left Winger,Braga,?,in,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Secretário,23,Right-Back,Braga,?,in,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Vítor Nóvoa,30,Goalkeeper,Chaves,?,in,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Paulo Pereira,27,Right-Back,Vit. Guimarães,?,in,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Vinha,26,Centre-Forward,Salgueiros,?,in,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Rui Óscar,17,Right-Back,FC Porto U19,-,in,Summer,0,Liga Nos,1993,1993/1994
FC Porto,Mariano,17,Left-Back,FC Porto U19,-,in,Summer,0,Liga Nos,1993,1993/1994
FC Porto,Petar Mihtarski,27,Forward,Famalicão,"End of loanSep 1, 1993",in,Summer,0,Liga Nos,1993,1993/1994
FC Porto,Bino,20,Defensive Midfield,Salgueiros,?,out,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Neves,22,Right-Back,Braga,?,out,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Jorge Silva,21,Goalkeeper,Rio Ave FC,Loan,out,Summer,0,Liga Nos,1993,1993/1994
FC Porto,Valente,28,Goalkeeper,Boavista,?,out,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Antônio Carlos,29,Central Midfield,América,?,out,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Lubomir Vlk,28,Left-Back,TJ Vitkovice,?,out,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Paulinho McLaren,23,Forward,Internacional,?,out,Summer,NA,Liga Nos,1993,1993/1994
FC Porto,Morgado,23,Left-Back,Famalicão,?,out,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,Paulo Sousa,22,Central Midfield,Benfica,?,in,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,Costinha,19,Goalkeeper,Boavista,?,in,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,Budimir Vujacic,29,Centre-Back,Partizan,?,in,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,António Pacheco,26,Left Winger,Benfica,?,in,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,Pedro Franco,19,Centre-Back,Odivelas,?,in,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,Zoran Lemajic,32,Goalkeeper,Boavista,?,in,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,João Paulo,16,Centre-Forward,Sporting U19,-,in,Summer,0,Liga Nos,1993,1993/1994
Sporting CP,Renato,17,Midfielder,Sporting U19,-,in,Summer,0,Liga Nos,1993,1993/1994
Sporting CP,Bilro,22,Right-Back,Leiria,?,out,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,Pedro Barny,26,Centre-Back,Boavista,?,out,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,Luís Manuel,22,Defensive Midfield,Salgueiros,?,out,Summer,NA,Liga Nos,1993,1993/1994
Sporting CP,Sérgio,27,Goalkeeper,Coimbra,?,out,Summer,NA,Liga Nos,1993,1993/1994
Boavista FC,Pedro Barny,26,Centre-Back,Sporting CP,?,in,Summer,NA,Liga Nos,1993,1993/1994
Boavista FC,Valente,28,Goalkeeper,FC Porto,?,in,Summer,NA,Liga Nos,1993,1993/1994
Boavista FC,Luciano,24,Centre-Forward,Remo,?,in,Summer,NA,Liga Nos,1993,1993/1994
Boavista FC,Tó Luis,25,Goalkeeper,Coimbra,?,in,Summer,NA,Liga Nos,1993,1993/1994
Boavista FC,Castro,24,Goalkeeper,Paredes,?,in,Summer,NA,Liga Nos,1993,1993/1994
