player,season,league,team,position,outfielder_goalkeeper,age,country,weekly_gross_base_salary_gbp,annual_gross_base_salary_gbp,adj_current_gross_base_salary_gbp,estimated_gross_total_gbp,current_contract_status,current_contract_expiration,current_contract_length
Albian Ajeti,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,19,Switzerland,0,0,0,,nan,,
Alexander Esswein,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,26,Germany,12919,671795,696824,,nan,,
Alfred Finnbogason,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,27,Iceland,0,0,0,,nan,,
Andreas Luthe,2016-2017,Bundesliga,Augsburg,Goalkeeper,Goalkeeper,29,Germany,5939,308881,320389,,nan,,
Caiuby,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,27,Brazil,12919,671795,696824,,nan,,
Christoph Janker,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,31,Germany,7325,380924,395116,,nan,,
Daniel Baier,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,32,Germany,16573,861807,893916,,nan,,
Daniel Opare,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,25,Ghana,0,0,0,,nan,,
Dominik Kohr,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,22,Germany,12919,671795,696824,,nan,,
Dong-won Ji,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,25,South Korea,17248,896927,930345,,nan,,
Erik Thommy,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,21,Germany,0,0,0,,nan,,
Georg Teigl,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,25,Austria,8260,429552,445557,,nan,,
Gojko Kacar,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,29,Serbia,12919,671795,696824,,nan,,
Halil Altintop,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,33,Turkey,12919,671795,696824,,nan,,
Ioannis Gelios,2016-2017,Bundesliga,Augsburg,Goalkeeper,Goalkeeper,24,Greece,553,28816,29890,,nan,,
Ja-cheol Koo,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,27,South Korea,19898,1034708,1073259,,nan,,
Jan Morávek,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,26,Czech Republic,0,0,0,,nan,,
Jan-Ingwer Callsen-Bracker,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,31,Germany,12919,671795,696824,,nan,,
Jeffrey Gouweleeuw,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,24,Netherlands,16573,861807,893916,,nan,,
Jonathan Schmid,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,26,France,19898,1034708,1073259,,nan,,
Julian Günther-Schmidt,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,21,Germany,433,22513,23351,,nan,,
Kevin Danso,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,17,Austria,34,1801,1868,,nan,,
Konstantinos Stafylidis,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,22,Greece,0,0,0,,nan,,
Marco Schuster,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,20,Germany,553,28816,29890,,nan,,
Markus Feulner,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,34,Germany,12919,671795,696824,,nan,,
Martin Hinteregger,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,23,Austria,19898,1034708,1073259,,nan,,
Marvin Friedrich,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,20,Germany,7325,380924,395116,,nan,,
Marwin Hitz,2016-2017,Bundesliga,Augsburg,Goalkeeper,Goalkeeper,28,Switzerland,12919,671795,696824,,nan,,
Moritz Leitner,2016-2017,Bundesliga,Augsburg,Midfielder,Outfielder,23,Germany,12919,671795,696824,,nan,,
Paul Verhaegh,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,32,Netherlands,12919,671795,696824,,nan,,
Philipp Max,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,22,Germany,6598,343101,355884,,nan,,
Raphael Framberger,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,20,Germany,658,34220,35495,,nan,,
Raúl Bobadilla,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,29,Paraguay,17248,896927,930345,,nan,,
Shawn Parker,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,23,Germany,0,0,0,,nan,,
Takashi Usami,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,24,Japan,12919,671795,696824,,nan,,
Tim Matavz,2016-2017,Bundesliga,Augsburg,Forward,Outfielder,27,Slovenia,0,0,0,,nan,,
Tim Rieder,2016-2017,Bundesliga,Augsburg,Defender,Outfielder,22,Germany,519,27015,28022,,nan,,
Admir Mehmedi,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,25,Switzerland,33042,1718211,1782228,,nan,,
Aleksandar Dragovic,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,25,Austria,49720,2585421,2681749,,nan,,
Andrejs Ciganiks,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,19,Latvia,0,0,0,,nan,,
André Ramalho,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,24,Brazil,24868,1293161,1341341,,nan,,
Atakan Akkaynak,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,17,Germany,1714,89152,92474,,nan,,
Benjamin Henrichs,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,19,Germany,3879,201718,209234,,nan,,
Bernd Leno,2016-2017,Bundesliga,Bayer Leverkusen,Goalkeeper,Goalkeeper,24,Germany,57806,3005969,3117965,,nan,,
Charles Aránguiz,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,27,Chile,49131,2554803,2649990,,nan,,
Chicharito,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,28,Mexico,0,0,0,,nan,,
Danny da Costa,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,22,Germany,11568,601554,623966,,nan,,
Hakan Calhanoglu,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,22,Turkey,0,0,0,,nan,,
Joel Abu Hanna,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,18,Germany,1714,89152,92474,,nan,,
Joel Pohjanpalo,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,21,Finland,11568,601554,623966,,nan,,
Jonathan Tah,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,20,Germany,19898,1034708,1073259,,nan,,
Julian Baumgartlinger,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,28,Austria,33042,1718211,1782228,,nan,,
Julian Brandt,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,20,Germany,16521,859105,891114,,nan,,
Kai Havertz,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,17,Germany,3879,201718,209234,,nan,,
Karim Bellarabi,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,26,Germany,66292,3447228,3575665,,nan,,
Kevin Kampl,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,25,Slovenia,41285,2146863,2226851,,nan,,
Kevin Volland,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,23,Germany,82589,4294627,4454636,,nan,,
Kyriakos Papadopoulos,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,24,Greece,49720,2585421,2681749,,nan,,
Lars Bender,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,27,Germany,66361,3450830,3579401,,nan,,
Leon Bailey,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,18,Jamaica,33180,1725415,1789700,,nan,,
Lukas Boeder,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,19,Germany,0,0,0,,nan,,
Marc Brasnic,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,19,Croatia,0,0,0,,nan,,
Marlon Frey,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,20,Germany,0,0,0,,nan,,
Niklas Lomb,2016-2017,Bundesliga,Bayer Leverkusen,Goalkeeper,Goalkeeper,22,Germany,2147,111665,115826,,nan,,
Paterson Chato,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,19,Germany,0,0,0,,nan,,
Patrik Dzalto,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,19,Croatia,0,0,0,,nan,,
Ramazan Özcan,2016-2017,Bundesliga,Bayer Leverkusen,Goalkeeper,Goalkeeper,32,Austria,12919,671795,696824,,nan,,
Robbie Kruse,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,27,Australia,0,0,0,,nan,,
Roberto Hilbert,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,31,Germany,19327,1004991,1042435,,nan,,
Robin Becker,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,19,Germany,0,0,0,,nan,,
Seung-uh Ryu,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,22,South Korea,0,0,0,,nan,,
Stefan Kießling,2016-2017,Bundesliga,Bayer Leverkusen,Forward,Outfielder,32,Germany,66361,3450830,3579401,,nan,,
Tin Jedvaj,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,20,Croatia,24781,1288658,1336671,,nan,,
Vladlen Yurchenko,2016-2017,Bundesliga,Bayer Leverkusen,Midfielder,Outfielder,22,Ukraine,8260,429552,445557,,nan,,
Wendell,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,22,Brazil,33146,1723614,1787833,,nan,,
Ömer Toprak,2016-2017,Bundesliga,Bayer Leverkusen,Defender,Outfielder,26,Turkey,41285,2146863,2226851,,nan,,
Arjen Robben,2016-2017,Bundesliga,Bayern Munich,Forward,Outfielder,32,Netherlands,115631,6012838,6236864,,nan,,
Arturo Vidal,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,29,Chile,195640,10173287,10552323,,nan,,
David Alaba,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,24,Austria,165177,8589255,8909272,,nan,,
Douglas Costa,2016-2017,Bundesliga,Bayern Munich,Forward,Outfielder,25,Brazil,99456,5171743,5364431,,nan,,
Erdal Öztürk,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,20,Turkey,1108,57633,59781,,nan,,
Fabian Benko,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,18,Croatia,1039,54031,56044,,nan,,
Felix Götze,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,18,Germany,0,0,0,,nan,,
Franck Ribéry,2016-2017,Bundesliga,Bayern Munich,Forward,Outfielder,33,France,198220,10307466,10691501,,nan,,
Gianluca Gaudino,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,19,Germany,0,0,0,,nan,,
Holger Badstuber,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,27,Germany,66067,3435521,3563522,,nan,,
Javi Martínez,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,27,Spain,99110,5153733,5345750,,nan,,
Joshua Kimmich,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,21,Germany,24868,1293161,1341341,,nan,,
Juan Bernat,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,23,Spain,41441,2154968,2235257,,nan,,
Julian Green,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,21,United States,0,0,0,,nan,,
Jérôme Boateng,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,27,Germany,198220,10307466,10691501,,nan,,
Kingsley Coman,2016-2017,Bundesliga,Bayern Munich,Forward,Outfielder,20,France,23257,1209411,1254471,,nan,,
Leo Weinkauf,2016-2017,Bundesliga,Bayern Munich,Goalkeeper,Goalkeeper,19,Germany,692,36021,37362,,nan,,
Manuel Neuer,2016-2017,Bundesliga,Bayern Munich,Goalkeeper,Goalkeeper,30,Germany,248615,12928008,13409679,,nan,,
Marco Friedl,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,18,Austria,433,22513,23351,,nan,,
Mats Hummels,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,27,Germany,165177,8589255,8909272,,nan,,
Medhi Benatia,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,29,Morocco,0,0,0,,nan,,
Nicolas Feldhahn,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,29,Germany,1939,100859,104617,,nan,,
Niklas Dorsch,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,18,Germany,1039,54031,56044,,nan,,
Philipp Lahm,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,32,Germany,165177,8589255,8909272,,nan,,
Rafinha,2016-2017,Bundesliga,Bayern Munich,Defender,Outfielder,30,Brazil,82589,4294627,4454636,,nan,,
Raphael Obermair,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,20,Germany,519,27015,28022,,nan,,
Renato Sanches,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,18,Portugal,24868,1293161,1341341,,nan,,
Robert Lewandowski,2016-2017,Bundesliga,Bayern Munich,Forward,Outfielder,27,Poland,247784,12884783,13364844,,nan,,
Sven Ulreich,2016-2017,Bundesliga,Bayern Munich,Goalkeeper,Goalkeeper,27,Germany,41441,2154968,2235257,,nan,,
Thiago,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,25,Spain,149176,7757165,8046181,,nan,,
Thomas Müller,2016-2017,Bundesliga,Bayern Munich,Forward,Outfielder,26,Germany,247784,12884783,13364844,,nan,,
Tom Starke,2016-2017,Bundesliga,Bayern Munich,Goalkeeper,Goalkeeper,35,Germany,24781,1288658,1336671,,nan,,
Xabi Alonso,2016-2017,Bundesliga,Bayern Munich,Midfielder,Outfielder,34,Spain,165749,8618972,8940098,,nan,,
Adrián Ramos,2016-2017,Bundesliga,Borussia Dortmund,Forward,Outfielder,30,Colombia,0,0,0,,nan,,
Alexander Isak,2016-2017,Bundesliga,Borussia Dortmund,Forward,Outfielder,16,Sweden,52,2701,2802,,nan,,
André Schürrle,2016-2017,Bundesliga,Borussia Dortmund,Forward,Outfielder,25,Germany,99456,5171743,5364431,,nan,,
Christian Pulisic,2016-2017,Bundesliga,Borussia Dortmund,Forward,Outfielder,17,United States,24781,1288658,1336671,,nan,,
Dzenis Burnic,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,18,Germany,346,18010,18681,,nan,,
Emre Mor,2016-2017,Bundesliga,Borussia Dortmund,Forward,Outfielder,18,Turkey,17248,896927,930345,,nan,,
Erik Durm,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,24,Germany,24781,1288658,1336671,,nan,,
Felix Passlack,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,18,Germany,3879,201718,209234,,nan,,
Gonzalo Castro,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,29,Germany,57806,3005969,3117965,,nan,,
Hendrik Bonmann,2016-2017,Bundesliga,Borussia Dortmund,Goalkeeper,Goalkeeper,22,Germany,2580,134178,139177,,nan,,
Jacob Bruun Larsen,2016-2017,Bundesliga,Borussia Dortmund,Forward,Outfielder,17,Denmark,52,2701,2802,,nan,,
Ju-ho Park,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,29,South Korea,0,0,0,,nan,,
Julian Weigl,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,20,Germany,66067,3435521,3563522,,nan,,
Lukasz Piszczek,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,31,Poland,33042,1718211,1782228,,nan,,
Marc Bartra,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,25,Spain,74588,3878582,4023090,,nan,,
Marcel Schmelzer,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,28,Germany,41441,2154968,2235257,,nan,,
Marco Reus,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,27,Germany,165177,8589255,8909272,,nan,,
Mario Götze,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,24,Germany,132603,6895358,7152265,,nan,,
Matthias Ginter,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,22,Germany,33146,1723614,1787833,,nan,,
Mikel Merino,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,20,Spain,8607,447563,464238,,nan,,
Neven Subotic,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,27,Germany,33146,1723614,1787833,,nan,,
Nuri Sahin,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,27,Turkey,49720,2585421,2681749,,nan,,
Ousmane Dembélé,2016-2017,Bundesliga,Borussia Dortmund,Forward,Outfielder,19,France,49720,2585421,2681749,,nan,,
Pierre-Emerick Aubameyang,2016-2017,Bundesliga,Borussia Dortmund,Forward,Outfielder,27,Gabon,82589,4294627,4454636,,nan,,
Raphaël Guerreiro,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,22,Portugal,32747,1702902,1766349,,nan,,
Roman Bürki,2016-2017,Bundesliga,Borussia Dortmund,Goalkeeper,Goalkeeper,25,Switzerland,41441,2154968,2235257,,nan,,
Roman Weidenfeller,2016-2017,Bundesliga,Borussia Dortmund,Goalkeeper,Goalkeeper,35,Germany,49546,2576416,2672408,,nan,,
Sebastian Rode,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,25,Germany,49546,2576416,2672408,,nan,,
Shinji Kagawa,2016-2017,Bundesliga,Borussia Dortmund,Midfielder,Outfielder,27,Japan,66292,3447228,3575665,,nan,,
Sokratis,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,28,Greece,0,0,0,,nan,,
Sven Bender,2016-2017,Bundesliga,Borussia Dortmund,Defender,Outfielder,27,Germany,49131,2554803,2649990,,nan,,
Alexander Milosevic,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,24,Sweden,9750,506998,525887,,nan,,
Antonio Colak,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,22,Croatia,6926,360212,373632,,nan,,
Artem Fedetskyi,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,31,Ukraine,11568,601554,623966,,nan,,
Aytac Sulu,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,30,Turkey,0,0,0,,nan,,
Benjamin Gorka,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,32,Germany,5992,311583,323192,,nan,,
Can Luka Aydogan,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,17,Germany,0,0,0,,nan,,
Daniel Heuer Fernandes,2016-2017,Bundesliga,Darmstadt,Goalkeeper,Goalkeeper,23,Portugal,4970,258452,268081,,nan,,
Daniel Thur,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,18,Germany,0,0,0,,nan,,
Denys Oliynyk,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,29,Ukraine,7325,380924,395116,,nan,,
Dominik Stroh-Engel,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,30,Germany,7758,403437,418469,,nan,,
Fabian Holland,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,25,Germany,7325,380924,395116,,nan,,
Felix Platte,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,20,Germany,1714,89152,92474,,nan,,
Florian Jungwirth,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,27,Germany,0,0,0,,nan,,
Hamit Altintop,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,33,Turkey,7325,380924,395116,,nan,,
Igor Berezovsky,2016-2017,Bundesliga,Darmstadt,Goalkeeper,Goalkeeper,25,Ukraine,0,0,0,,nan,,
Immanuel Höhn,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,24,Germany,7896,410641,425941,,nan,,
Jan Rosenthal,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,30,Germany,8607,447563,464238,,nan,,
Johannes Wolff,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,17,Germany,0,0,0,,nan,,
Jérôme Gondorf,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,28,Germany,10303,535815,555778,,nan,,
Júnior Díaz,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,32,Costa Rica,0,0,0,,nan,,
Leon Guwara,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,20,Germany,2147,111665,115826,,nan,,
Liam Fisch,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,17,Germany,0,0,0,,nan,,
László Kleinheisler,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,22,Hungary,0,0,0,,nan,,
Marcel Heller,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,30,Germany,10909,567333,588472,,nan,,
Mario Vrancic,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,27,Bosnia-Herzegovina,10945,569134,590339,,nan,,
Markus Steinhöfer,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,30,Germany,7325,380924,395116,,nan,,
Michael Esser,2016-2017,Bundesliga,Darmstadt,Goalkeeper,Goalkeeper,28,Germany,11498,597951,620230,,nan,,
Patrick Banggaard,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,22,Denmark,7325,380924,395116,,nan,,
Peter Niemeyer,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,32,Germany,11290,587145,609021,,nan,,
Roman Bezjak,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,27,Slovenia,0,0,0,,nan,,
Sandro Sirigu,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,27,Germany,4311,224231,232586,,nan,,
Sidney Sam,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,28,Germany,66292,3447228,3575665,,nan,,
Silas Zehnder,2016-2017,Bundesliga,Darmstadt,Defender,Outfielder,17,Germany,0,0,0,,nan,,
Sven Schipplock,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,27,Germany,12919,671795,696824,,nan,,
Terrence Boyd,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,25,United States,8277,430453,446490,,nan,,
Victor Obinna,2016-2017,Bundesliga,Darmstadt,Forward,Outfielder,29,Nigeria,0,0,0,,nan,,
Wilson Kamavuaka,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,26,Democratic Republic of Congo,7325,380924,395116,,nan,,
Yannick Stark,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,25,Germany,0,0,0,,nan,,
Änis Ben-Hatira,2016-2017,Bundesliga,Darmstadt,Midfielder,Outfielder,27,Tunisia,0,0,0,,nan,,
Alexander Meier,2016-2017,Bundesliga,Eintracht Frankfurt,Forward,Outfielder,33,Germany,32747,1702902,1766349,,nan,,
Andersson Ordóñez,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,22,Ecuador,7325,380924,395116,,nan,,
Ante Rebic,2016-2017,Bundesliga,Eintracht Frankfurt,Forward,Outfielder,22,Croatia,17456,907734,941554,,nan,,
Aymen Barkok,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,18,Germany,3879,201718,209234,,nan,,
Bastian Oczipka,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,27,Germany,25856,1344491,1394584,,nan,,
Branimir Hrgota,2016-2017,Bundesliga,Eintracht Frankfurt,Forward,Outfielder,23,Sweden,12919,671795,696824,,nan,,
Danny Blum,2016-2017,Bundesliga,Eintracht Frankfurt,Forward,Outfielder,25,Germany,8607,447563,464238,,nan,,
David Abraham,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,29,Argentina,11879,617763,640780,,nan,,
Deji Beyreuther,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,16,Germany,0,0,0,,nan,,
Enis Bunjaki,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,18,Kosovo,0,0,0,,nan,,
Furkan Zorba,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,18,Turkey,0,0,0,,nan,,
Guillermo Varela,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,23,Uruguay,15014,780759,809849,,nan,,
Haris Seferovic,2016-2017,Bundesliga,Eintracht Frankfurt,Forward,Outfielder,24,Switzerland,21543,1120259,1161997,,nan,,
Heinz Lindner,2016-2017,Bundesliga,Eintracht Frankfurt,Goalkeeper,Goalkeeper,25,Austria,7325,380924,395116,,nan,,
Jesús Vallejo,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,19,Spain,8260,429552,445557,,nan,,
Leon Bätge,2016-2017,Bundesliga,Eintracht Frankfurt,Goalkeeper,Goalkeeper,18,Germany,0,0,0,,nan,,
Luc Castaignos,2016-2017,Bundesliga,Eintracht Frankfurt,Forward,Outfielder,23,Netherlands,0,0,0,,nan,,
Lukas Hradecky,2016-2017,Bundesliga,Eintracht Frankfurt,Goalkeeper,Goalkeeper,26,Finland,0,0,0,,nan,,
Makoto Hasebe,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,32,Japan,17231,896027,929411,,nan,,
Marc Stendera,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,20,Germany,7325,380924,395116,,nan,,
Marco Fabián,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,26,Mexico,24868,1293161,1341341,,nan,,
Marco Russ,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,30,Germany,12919,671795,696824,,nan,,
Marius Wolf,2016-2017,Bundesliga,Eintracht Frankfurt,Forward,Outfielder,21,Germany,10737,558328,579130,,nan,,
Max Besuschkow,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,19,Germany,3879,201718,209234,,nan,,
Michael Hector,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,23,Jamaica,17006,884320,917268,,nan,,
Miguel Blanco-López,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,17,Germany,0,0,0,,nan,,
Mijat Gacinovic,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,21,Serbia,7325,380924,395116,,nan,,
Noel Knothe,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,17,Germany,0,0,0,,nan,,
Omar Mascarell,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,23,Spain,7325,380924,395116,,nan,,
Shani Tarashaj,2016-2017,Bundesliga,Eintracht Frankfurt,Forward,Outfielder,21,Switzerland,15014,780759,809849,,nan,,
Slobodan Medojevic,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,25,Serbia,12919,671795,696824,,nan,,
Szabolcs Huszti,2016-2017,Bundesliga,Eintracht Frankfurt,Midfielder,Outfielder,33,Hungary,0,0,0,,nan,,
Taleb Tawatha,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,24,Israel,12919,671795,696824,,nan,,
Timothy Chandler,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,26,United States,12919,671795,696824,,nan,,
Yanni Regäsel,2016-2017,Bundesliga,Eintracht Frankfurt,Defender,Outfielder,20,Germany,5178,269258,279290,,nan,,
Aleksandar Ignjovski,2016-2017,Bundesliga,Freiburg,Midfielder,Outfielder,25,Serbia,12919,671795,696824,,nan,,
Alexander Schwolow,2016-2017,Bundesliga,Freiburg,Goalkeeper,Goalkeeper,24,Germany,3134,162995,169069,,nan,,
Amir Abrashi,2016-2017,Bundesliga,Freiburg,Midfielder,Outfielder,26,Albania,12919,671795,696824,,nan,,
Amir Falahen,2016-2017,Bundesliga,Freiburg,Forward,Outfielder,23,Palästina,1714,89152,92474,,nan,,
