,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Virgil van Dijk,"£ 180,000","£ 9,360,000","£ 9,616,912",D,25,Netherlands,Southampton,Premier League,2017-2018
1,Manolo Gabbiadini,"£ 80,000","£ 4,160,000","£ 4,274,183",F,25,Italy,Southampton,Premier League,2017-2018
2,Ryan Bertrand,"£ 70,000","£ 3,640,000","£ 3,739,910",D,27,England,Southampton,Premier League,2017-2018
3,Fraser Forster,"£ 70,000","£ 3,640,000","£ 3,739,910",K,29,England,Southampton,Premier League,2017-2018
4,Charlie Austin,"£ 70,000","£ 3,640,000","£ 3,739,910",F,27,England,Southampton,Premier League,2017-2018
5,Mario Lemina,"£ 65,000","£ 3,380,000","£ 3,472,774",M,23,Gabon,Southampton,Premier League,2017-2018
6,Oriol Romeu,"£ 65,000","£ 3,380,000","£ 3,472,774",M,25,Spain,Southampton,Premier League,2017-2018
7,Sofiane Boufal,"£ 65,000","£ 3,380,000","£ 3,472,774",F,23,Morocco,Southampton,Premier League,2017-2018
8,Nathan Redmond,"£ 60,000","£ 3,120,000","£ 3,205,637",F,23,England,Southampton,Premier League,2017-2018
9,Dusan Tadic,"£ 60,000","£ 3,120,000","£ 3,205,637",F,28,Serbia,Southampton,Premier League,2017-2018
10,Guido Carrillo,"£ 60,000","£ 3,120,000","£ 3,205,637",F,26,Argentina,Southampton,Premier League,2017-2018
11,Steven Davis,"£ 60,000","£ 3,120,000","£ 3,205,637",M,32,Northern Ireland,Southampton,Premier League,2017-2018
12,Wesley Hoedt,"£ 60,000","£ 3,120,000","£ 3,205,637",D,23,Netherlands,Southampton,Premier League,2017-2018
13,Shane Long,"£ 60,000","£ 3,120,000","£ 3,205,637",F,30,Ireland,Southampton,Premier League,2017-2018
14,Maya Yoshida,"£ 50,000","£ 2,600,000","£ 2,671,365",D,28,Japan,Southampton,Premier League,2017-2018
15,Jack Stephens,"£ 48,000","£ 2,496,000","£ 2,564,510",D,23,England,Southampton,Premier League,2017-2018
16,James Ward-Prowse,"£ 45,000","£ 2,340,000","£ 2,404,228",M,22,England,Southampton,Premier League,2017-2018
17,Alex McCarthy,"£ 40,000","£ 2,080,000","£ 2,137,092",K,27,England,Southampton,Premier League,2017-2018
18,Jérémy Pied,"£ 40,000","£ 2,080,000","£ 2,137,092",D,28,France,Southampton,Premier League,2017-2018
19,Jan Bednarek,"£ 20,000","£ 1,040,000","£ 1,068,546",D,21,Poland,Southampton,Premier League,2017-2018
20,Josh Sims,"£ 18,000","£ 936,000","£ 961,691",F,20,England,Southampton,Premier League,2017-2018
21,Sam McQueen,"£ 18,000","£ 936,000","£ 961,691",D,22,England,Southampton,Premier League,2017-2018
22,Stuart Taylor,"£ 5,000","£ 260,000","£ 267,136",K,36,England,Southampton,Premier League,2017-2018
23,Michael Obafemi,£ 96,"£ 5,000","£ 5,137",F,16,Ireland,Southampton,Premier League,2017-2018
24,Cédric Soares,£ 0,£ 0,£ 0,D,25,Portugal,Southampton,Premier League,2017-2018
25,Sam Gallagher,£ 0,£ 0,£ 0,F,21,England,Southampton,Premier League,2017-2018
26,Matt Targett,£ 0,£ 0,£ 0,D,21,England,Southampton,Premier League,2017-2018
27,Harrison Reed,£ 0,£ 0,£ 0,M,22,England,Southampton,Premier League,2017-2018
28,Pierre-Emile Höjbjerg,£ 0,£ 0,£ 0,M,21,Denmark,Southampton,Premier League,2017-2018
