,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Joe Hart,"£ 115,885","£ 6,026,000","£ 6,191,401",K,30,England,West Ham,Premier League,2017-2018
1,Marko Arnautovic,"£ 100,000","£ 5,200,000","£ 5,342,729",F,28,Austria,West Ham,Premier League,2017-2018
2,Andy Carroll,"£ 90,000","£ 4,680,000","£ 4,808,456",F,28,England,West Ham,Premier League,2017-2018
3,João Mário,"£ 85,635","£ 4,453,000","£ 4,575,225",M,24,Portugal,West Ham,Premier League,2017-2018
4,André Ayew,"£ 80,000","£ 4,160,000","£ 4,274,183",F,27,Ghana,West Ham,Premier League,2017-2018
5,Pablo Zabaleta,"£ 75,000","£ 3,900,000","£ 4,007,047",D,32,Argentina,West Ham,Premier League,2017-2018
6,Angelo Ogbonna,"£ 70,000","£ 3,640,000","£ 3,739,910",D,29,Italy,West Ham,Premier League,2017-2018
7,Winston Reid,"£ 70,000","£ 3,640,000","£ 3,739,910",D,28,New Zealand,West Ham,Premier League,2017-2018
8,Michail Antonio,"£ 70,000","£ 3,640,000","£ 3,739,910",F,27,England,West Ham,Premier League,2017-2018
9,Manuel Lanzini,"£ 70,000","£ 3,640,000","£ 3,739,910",M,24,Argentina,West Ham,Premier League,2017-2018
10,Cheikhou Kouyaté,"£ 60,000","£ 3,120,000","£ 3,205,637",M,27,Senegal,West Ham,Premier League,2017-2018
11,Pedro Obiang,"£ 55,000","£ 2,860,000","£ 2,938,501",M,25,Equatorial Guinea,West Ham,Premier League,2017-2018
12,Adrián,"£ 50,000","£ 2,600,000","£ 2,671,365",K,30,Spain,West Ham,Premier League,2017-2018
13,Aaron Cresswell,"£ 50,000","£ 2,600,000","£ 2,671,365",D,27,England,West Ham,Premier League,2017-2018
14,Mark Noble,"£ 50,000","£ 2,600,000","£ 2,671,365",M,30,England,West Ham,Premier League,2017-2018
15,Patrice Evra,"£ 50,000","£ 2,600,000","£ 2,671,365",D,36,France,West Ham,Premier League,2017-2018
16,Arthur Masuaku,"£ 40,000","£ 2,080,000","£ 2,137,092",D,23,Democratic Republic of Congo,West Ham,Premier League,2017-2018
17,James Collins,"£ 35,000","£ 1,820,000","£ 1,869,955",D,33,Wales,West Ham,Premier League,2017-2018
18,Sam Byram,"£ 30,000","£ 1,560,000","£ 1,602,819",D,23,England,West Ham,Premier League,2017-2018
19,Jordan Hugill,"£ 30,000","£ 1,560,000","£ 1,602,819",F,25,England,West Ham,Premier League,2017-2018
20,Edimilson Fernandes,"£ 30,000","£ 1,560,000","£ 1,602,819",M,21,Switzerland,West Ham,Premier League,2017-2018
21,Domingos Quina,"£ 7,500","£ 390,000","£ 400,705",M,17,Portugal,West Ham,Premier League,2017-2018
22,Josh Cullen,"£ 7,500","£ 390,000","£ 400,705",M,21,Ireland,West Ham,Premier League,2017-2018
23,Sead Haksabanovic,"£ 5,000","£ 260,000","£ 267,136",M,18,Montenegro,West Ham,Premier League,2017-2018
24,Nathan Holland,"£ 2,500","£ 130,000","£ 133,568",F,19,England,West Ham,Premier League,2017-2018
25,Josh Pask,"£ 2,500","£ 130,000","£ 133,568",D,19,England,West Ham,Premier League,2017-2018
26,Toni Martínez,"£ 2,000","£ 104,000","£ 106,855",F,20,Spain,West Ham,Premier League,2017-2018
27,Declan Rice,"£ 1,000","£ 52,000","£ 53,427",M,18,England,West Ham,Premier League,2017-2018
28,Marcus Browne,"£ 1,000","£ 52,000","£ 53,427",M,19,England,West Ham,Premier League,2017-2018
29,Vashon Neufville,£ 750,"£ 39,000","£ 40,070",D,17,England,West Ham,Premier League,2017-2018
30,Nathan Trott,£ 558,"£ 29,000","£ 29,796",K,18,England,West Ham,Premier League,2017-2018
31,Grady Diangana,£ 250,"£ 13,000","£ 13,357",F,19,England,West Ham,Premier League,2017-2018
32,Ben Johnson,£ 96,"£ 5,000","£ 5,137",D,17,England,West Ham,Premier League,2017-2018
33,Reece Burke,£ 0,£ 0,£ 0,D,20,England,West Ham,Premier League,2017-2018
34,Reece Oxford,£ 0,£ 0,£ 0,D,18,England,West Ham,Premier League,2017-2018
35,Robert Snodgrass,£ 0,£ 0,£ 0,F,29,Scotland,West Ham,Premier League,2017-2018
36,Diafra Sakho,£ 0,£ 0,£ 0,F,27,Senegal,West Ham,Premier League,2017-2018
37,Martin Samuelsen,£ 0,£ 0,£ 0,F,20,Norway,West Ham,Premier League,2017-2018
38,José Fonte,£ 0,£ 0,£ 0,D,33,Portugal,West Ham,Premier League,2017-2018
39,Moses Makasi,£ 0,£ 0,£ 0,M,21,England,West Ham,Premier League,2017-2018
40,Chicharito,£ 0,£ 0,£ 0,F,29,Mexico,West Ham,Premier League,2017-2018
