,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Aaron Mooy,"£ 50,000","£ 2,600,000","£ 2,671,365",M,26,Australia,Huddersfield,Premier League,2017-2018
1,Laurent Depoitre,"£ 35,000","£ 1,820,000","£ 1,869,955",F,28,Belgium,Huddersfield,Premier League,2017-2018
2,Steve Mounié,"£ 35,000","£ 1,820,000","£ 1,869,955",F,22,Benin,Huddersfield,Premier League,2017-2018
3,Danny Williams,"£ 30,000","£ 1,560,000","£ 1,602,819",M,28,United States,Huddersfield,Premier League,2017-2018
4,Alex Pritchard,"£ 30,000","£ 1,560,000","£ 1,602,819",M,24,England,Huddersfield,Premier League,2017-2018
5,Tom Ince,"£ 30,000","£ 1,560,000","£ 1,602,819",F,25,England,Huddersfield,Premier League,2017-2018
6,Elias Kachunga,"£ 25,000","£ 1,300,000","£ 1,335,682",F,25,Democratic Republic of Congo,Huddersfield,Premier League,2017-2018
7,Christopher Schindler,"£ 25,000","£ 1,300,000","£ 1,335,682",D,27,Germany,Huddersfield,Premier League,2017-2018
8,Jonathan Hogg,"£ 22,500","£ 1,170,000","£ 1,202,114",M,28,England,Huddersfield,Premier League,2017-2018
9,Chris Löwe,"£ 20,000","£ 1,040,000","£ 1,068,546",D,28,Germany,Huddersfield,Premier League,2017-2018
10,Scott Malone,"£ 20,000","£ 1,040,000","£ 1,068,546",D,26,England,Huddersfield,Premier League,2017-2018
11,Sean Scannell,"£ 20,000","£ 1,040,000","£ 1,068,546",F,26,Ireland,Huddersfield,Premier League,2017-2018
12,Terence Kongolo,"£ 17,615","£ 916,000","£ 941,142",D,23,Netherlands,Huddersfield,Premier League,2017-2018
13,Rajiv van La Parra,"£ 17,500","£ 910,000","£ 934,978",F,26,Netherlands,Huddersfield,Premier League,2017-2018
14,Abdelhamid Sabiri,"£ 17,500","£ 910,000","£ 934,978",M,20,Germany,Huddersfield,Premier League,2017-2018
15,Collin Quaner,"£ 15,596","£ 811,000","£ 833,260",F,26,Germany,Huddersfield,Premier League,2017-2018
16,Philip Billing,"£ 15,000","£ 780,000","£ 801,409",M,21,Denmark,Huddersfield,Premier League,2017-2018
17,Michael Hefele,"£ 15,000","£ 780,000","£ 801,409",D,26,Germany,Huddersfield,Premier League,2017-2018
18,Jonas Lössl,"£ 13,365","£ 695,000","£ 714,076",K,28,Denmark,Huddersfield,Premier League,2017-2018
19,Florent Hadergjonaj,"£ 13,365","£ 695,000","£ 714,076",D,22,Kosovo,Huddersfield,Premier League,2017-2018
20,Dean Whitehead,"£ 10,000","£ 520,000","£ 534,273",M,35,England,Huddersfield,Premier League,2017-2018
21,Joel Coleman,"£ 10,000","£ 520,000","£ 534,273",K,21,England,Huddersfield,Premier League,2017-2018
22,Jordan Williams,"£ 3,500","£ 182,000","£ 186,996",D,17,England,Huddersfield,Premier League,2017-2018
23,Lewis O'Brien,"£ 1,000","£ 52,000","£ 53,427",M,18,England,Huddersfield,Premier League,2017-2018
24,Ryan Schofield,£ 500,"£ 26,000","£ 26,714",K,17,England,Huddersfield,Premier League,2017-2018
25,Zanka,£ 0,£ 0,£ 0,D,27,Denmark,Huddersfield,Premier League,2017-2018
26,Jack Payne,£ 0,£ 0,£ 0,M,22,England,Huddersfield,Premier League,2017-2018
27,Joe Lolley,£ 0,£ 0,£ 0,F,24,England,Huddersfield,Premier League,2017-2018
28,Jon Gorenc-Stankovic,£ 0,£ 0,£ 0,D,21,Slovenia,Huddersfield,Premier League,2017-2018
29,Jordy Hiwula,£ 0,£ 0,£ 0,F,22,England,Huddersfield,Premier League,2017-2018
30,Kasey Palmer,£ 0,£ 0,£ 0,M,20,England,Huddersfield,Premier League,2017-2018
31,Martin Cranie,£ 0,£ 0,£ 0,D,30,England,Huddersfield,Premier League,2017-2018
32,Rob Green,£ 0,£ 0,£ 0,K,37,England,Huddersfield,Premier League,2017-2018
33,Tareiq Holmes-Dennis,£ 0,£ 0,£ 0,D,21,England,Huddersfield,Premier League,2017-2018
34,Tom Smith,£ 0,£ 0,£ 0,D,25,England,Huddersfield,Premier League,2017-2018
