,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Islam Slimani,"£ 80,000","£ 4,160,000","£ 4,274,183",F,29,Algeria,Newcastle,Premier League,2017-2018
1,Jonjo Shelvey,"£ 70,000","£ 3,640,000","£ 3,739,910",M,25,England,Newcastle,Premier League,2017-2018
2,Mohamed Diamé,"£ 45,000","£ 2,340,000","£ 2,404,228",M,30,Senegal,Newcastle,Premier League,2017-2018
3,Ayoze Pérez,"£ 45,000","£ 2,340,000","£ 2,404,228",F,23,Spain,Newcastle,Premier League,2017-2018
4,Matt Ritchie,"£ 45,000","£ 2,340,000","£ 2,404,228",M,27,Scotland,Newcastle,Premier League,2017-2018
5,Joselu,"£ 40,000","£ 2,080,000","£ 2,137,092",F,27,Spain,Newcastle,Premier League,2017-2018
6,Dwight Gayle,"£ 40,000","£ 2,080,000","£ 2,137,092",F,26,England,Newcastle,Premier League,2017-2018
7,Jamaal Lascelles,"£ 40,000","£ 2,080,000","£ 2,137,092",D,23,England,Newcastle,Premier League,2017-2018
8,Florian Lejeune,"£ 38,000","£ 1,976,000","£ 2,030,237",D,26,France,Newcastle,Premier League,2017-2018
9,Jesús Gámez,"£ 35,000","£ 1,820,000","£ 1,869,955",D,32,Spain,Newcastle,Premier League,2017-2018
10,Mikel Merino,"£ 35,000","£ 1,820,000","£ 1,869,955",M,21,Spain,Newcastle,Premier League,2017-2018
11,Chancel Mbemba,"£ 35,000","£ 1,820,000","£ 1,869,955",D,22,Democratic Republic of Congo,Newcastle,Premier League,2017-2018
12,Ciaran Clark,"£ 35,000","£ 1,820,000","£ 1,869,955",D,27,Ireland,Newcastle,Premier League,2017-2018
13,Christian Atsu,"£ 30,000","£ 1,560,000","£ 1,602,819",F,25,Ghana,Newcastle,Premier League,2017-2018
14,DeAndre Yedlin,"£ 30,000","£ 1,560,000","£ 1,602,819",D,23,United States,Newcastle,Premier League,2017-2018
15,Paul Dummett,"£ 28,000","£ 1,456,000","£ 1,495,964",D,25,Wales,Newcastle,Premier League,2017-2018
16,Karl Darlow,"£ 25,000","£ 1,300,000","£ 1,335,682",K,26,England,Newcastle,Premier League,2017-2018
17,Jacob Murphy,"£ 25,000","£ 1,300,000","£ 1,335,682",F,22,England,Newcastle,Premier League,2017-2018
18,Kenedy,"£ 25,000","£ 1,300,000","£ 1,335,682",M,21,Brazil,Newcastle,Premier League,2017-2018
19,Rob Elliot,"£ 25,000","£ 1,300,000","£ 1,335,682",K,31,Ireland,Newcastle,Premier League,2017-2018
20,Isaac Hayden,"£ 22,000","£ 1,144,000","£ 1,175,400",M,22,England,Newcastle,Premier League,2017-2018
21,Curtis Good,"£ 12,000","£ 624,000","£ 641,127",D,24,Australia,Newcastle,Premier League,2017-2018
22,Martin Dubravka,"£ 6,904","£ 359,000","£ 368,854",K,28,Slovakia,Newcastle,Premier League,2017-2018
23,Stuart Findlay,£ 0,£ 0,£ 0,D,21,Scotland,Newcastle,Premier League,2017-2018
24,Adam Armstrong,£ 0,£ 0,£ 0,F,20,England,Newcastle,Premier League,2017-2018
25,Aleksandar Mitrovic,£ 0,£ 0,£ 0,F,22,Serbia,Newcastle,Premier League,2017-2018
26,Dan Barlaser,£ 0,£ 0,£ 0,M,20,Turkey,Newcastle,Premier League,2017-2018
27,Freddie Woodman,£ 0,£ 0,£ 0,K,20,England,Newcastle,Premier League,2017-2018
28,Grant Hanley,£ 0,£ 0,£ 0,D,25,Scotland,Newcastle,Premier League,2017-2018
29,Henri Saivet,£ 0,£ 0,£ 0,M,26,Senegal,Newcastle,Premier League,2017-2018
30,Ivan Toney,£ 0,£ 0,£ 0,F,21,England,Newcastle,Premier League,2017-2018
31,Jack Colback,£ 0,£ 0,£ 0,M,27,England,Newcastle,Premier League,2017-2018
32,Jamie Sterry,£ 0,£ 0,£ 0,D,21,England,Newcastle,Premier League,2017-2018
33,Javier Manquillo,£ 0,£ 0,£ 0,D,23,Spain,Newcastle,Premier League,2017-2018
34,Massadio Haidara,£ 0,£ 0,£ 0,D,24,Mali,Newcastle,Premier League,2017-2018
35,Rolando Aarons,£ 0,£ 0,£ 0,F,21,England,Newcastle,Premier League,2017-2018
36,Achraf Lazaar,£ 0,£ 0,£ 0,D,25,Morocco,Newcastle,Premier League,2017-2018
