,Player,Weekly GrossBase Salary(IN GBP),Annual GrossBase Salary(IN GBP),"Adj. GrossBase Salary(2021, IN GBP)",Pos.,Age,Country,Team,League,Season
0,Saido Berahino,"£ 80,000","£ 4,160,000","£ 4,274,183",F,23,Burundi,Stoke City,Premier League,2017-2018
1,Kevin Wimmer,"£ 70,000","£ 3,640,000","£ 3,739,910",D,24,Austria,Stoke City,Premier League,2017-2018
2,Xherdan Shaqiri,"£ 65,000","£ 3,380,000","£ 3,472,774",F,25,Switzerland,Stoke City,Premier League,2017-2018
3,Mame Diouf,"£ 65,000","£ 3,380,000","£ 3,472,774",F,29,Senegal,Stoke City,Premier League,2017-2018
4,Bruno Martins Indi,"£ 60,000","£ 3,120,000","£ 3,205,637",D,25,Netherlands,Stoke City,Premier League,2017-2018
5,Ryan Shawcross,"£ 55,000","£ 2,860,000","£ 2,938,501",D,29,England,Stoke City,Premier League,2017-2018
6,Darren Fletcher,"£ 55,000","£ 2,860,000","£ 2,938,501",M,33,Scotland,Stoke City,Premier League,2017-2018
7,Joe Allen,"£ 50,000","£ 2,600,000","£ 2,671,365",M,27,Wales,Stoke City,Premier League,2017-2018
8,Kurt Zouma,"£ 46,000","£ 2,392,000","£ 2,457,655",D,22,France,Stoke City,Premier League,2017-2018
9,Jesé,"£ 45,596","£ 2,371,000","£ 2,436,079",F,24,Spain,Stoke City,Premier League,2017-2018
10,Badou Ndiaye,"£ 40,615","£ 2,112,000","£ 2,169,970",M,26,Senegal,Stoke City,Premier League,2017-2018
11,Erik Pieters,"£ 37,500","£ 1,950,000","£ 2,003,523",D,28,Netherlands,Stoke City,Premier League,2017-2018
12,Charlie Adam,"£ 35,000","£ 1,820,000","£ 1,869,955",M,31,Scotland,Stoke City,Premier League,2017-2018
13,Jack Butland,"£ 35,000","£ 1,820,000","£ 1,869,955",K,24,England,Stoke City,Premier League,2017-2018
14,Glen Johnson,"£ 30,000","£ 1,560,000","£ 1,602,819",D,32,England,Stoke City,Premier League,2017-2018
15,Geoff Cameron,"£ 30,000","£ 1,560,000","£ 1,602,819",M,31,United States,Stoke City,Premier League,2017-2018
16,Lee Grant,"£ 30,000","£ 1,560,000","£ 1,602,819",K,34,England,Stoke City,Premier League,2017-2018
17,Peter Crouch,"£ 30,000","£ 1,560,000","£ 1,602,819",F,36,England,Stoke City,Premier League,2017-2018
18,Ibrahim Afellay,"£ 25,000","£ 1,300,000","£ 1,335,682",M,31,Netherlands,Stoke City,Premier League,2017-2018
19,Ramadan Sobhi,"£ 23,000","£ 1,196,000","£ 1,228,828",F,20,Egypt,Stoke City,Premier League,2017-2018
20,Moritz Bauer,"£ 20,000","£ 1,040,000","£ 1,068,546",D,25,Austria,Stoke City,Premier League,2017-2018
21,Jakob Haugaard,"£ 10,000","£ 520,000","£ 534,273",K,25,Denmark,Stoke City,Premier League,2017-2018
22,Stephen Ireland,"£ 5,000","£ 260,000","£ 267,136",M,30,Ireland,Stoke City,Premier League,2017-2018
23,Tom Edwards,£ 500,"£ 26,000","£ 26,714",D,18,England,Stoke City,Premier League,2017-2018
24,Tyrese Campbell,£ 96,"£ 5,000","£ 5,137",F,17,England,Stoke City,Premier League,2017-2018
25,Philipp Wollscheid,£ 0,£ 0,£ 0,D,28,Germany,Stoke City,Premier League,2017-2018
26,Eric Maxim Choupo-Moting,£ 0,£ 0,£ 0,F,28,Cameroon,Stoke City,Premier League,2017-2018
27,Ryan Sweeney,£ 0,£ 0,£ 0,D,20,Ireland,Stoke City,Premier League,2017-2018
28,Bojan Krkic,£ 0,£ 0,£ 0,F,26,Spain,Stoke City,Premier League,2017-2018
29,Lasse Sörensen,£ 0,£ 0,£ 0,M,17,Denmark,Stoke City,Premier League,2017-2018
30,Thibaud Verlinden,£ 0,£ 0,£ 0,F,17,Belgium,Stoke City,Premier League,2017-2018
31,Josh Tymon,£ 0,£ 0,£ 0,D,18,England,Stoke City,Premier League,2017-2018
32,Julien Ngoy,£ 0,£ 0,£ 0,F,19,Belgium,Stoke City,Premier League,2017-2018
33,Harry Souttar,£ 0,£ 0,£ 0,D,18,Australia,Stoke City,Premier League,2017-2018
34,Konstantinos Stafylidis,£ 0,£ 0,£ 0,D,23,Greece,Stoke City,Premier League,2017-2018
