id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3423,Kylian Mbappe-Lottin,29,2334,33,29.855404809117317,7,6.042636580765247,125,47,5,1,F M S,Paris Saint Germain,32,28.33521442860365,38.67279802262783,8.34364271350205
5656,Nicolas Pepe,38,3333,22,21.232018552720547,11,10.378352787345648,118,70,1,0,F M S,Lille,13,13.631397821940482,25.91060943901539,7.536672064103186
3294,Edinson Cavani,21,1677,18,15.445335105061531,5,3.699904168024659,52,13,1,0,F S,Paris Saint Germain,14,11.644859485328197,17.841728627681732,3.8873160257935524
942,Florian Thauvin,33,2640,16,12.113258797675371,8,5.518620133399963,100,47,5,1,F M S,Marseille,14,10.593068558722734,16.527030110359192,6.639916637912393
696,Falcao,33,2570,15,15.046616622246802,2,2.008138954639435,94,18,10,0,F S,Monaco,12,12.006235995329916,14.692097512073815,3.706950436346233
2099,Neymar,17,1443,15,11.89575806260109,7,7.784678146243095,55,43,2,0,F M S,Paris Saint Germain,10,8.095414076000452,18.16519955545664,6.617414951324463
7142,Moussa Dembele,33,2011,15,16.156379889696836,4,2.927240513265133,90,30,1,0,F S,Lyon,14,14.63625518605113,18.790448036044836,4.067035652697086
3530,Andy Delort,36,3160,14,14.120135438628495,7,7.160262644290924,118,56,4,0,F,Montpellier,11,11.839981284923851,17.370513137429953,3.032923700287938
734,Wahbi Khazri,32,2833,13,11.603880625218153,6,6.186063554137945,94,69,10,1,F M,Saint-Etienne,9,8.56350003555417,15.514622081071138,4.981865022331476
3749,Jonathan Bamba,38,3022,13,8.220580444671214,3,5.541828125715256,67,42,4,0,F M S,Lille,12,7.46048538479954,18.65719462186098,6.860198639333248
3406,Emiliano Sala,19,1381,12,6.804847395978868,2,1.5352057609707117,36,23,0,0,F S,Nantes,10,5.284657157026231,7.175497227348387,1.4318778812885284
3553,Ángel Di María,30,2357,12,9.621310396119952,11,8.528094038367271,98,56,2,0,F M S,Paris Saint Germain,12,9.621310396119952,21.155920445919037,8.861682103946805
464,Max Gradel,36,3240,11,14.250022202730179,5,6.057097190991044,120,53,6,0,F M,Toulouse,7,8.169392332434654,15.282373238354921,5.334318674169481
1126,M&#039;Baye Niang,29,1799,11,8.723234475590289,4,2.0234672632068396,65,11,5,0,F M S,Rennes,9,7.203044191934168,7.9402098674327135,1.0461313761770725
