True,index,competition,gsm_id,awayteam_team2,hometeam_team1,kickoffDate,kickoffTime,pitchType,weatherType,tempCelcius,tempType,formation_team1,formation_team2,formation_time
675,291,AutBL,2240991,Ried,Rapid Wien,2016-07-23,14:00:00,Excellent,"Clear, Sun",29,-,4_2_3_1,4_4_2,74:48
673,289,AutBL,2240993,Wolfsberger AC,Rheindorf Altach,2016-07-23,16:30:00,,Cloud,24,-,3_1_3_1_2,4_4_2,87:23
674,290,AutBL,2240992,Salzburg,Sturm Graz,2016-07-23,16:30:00,Excellent,"Clear, Sun",27,-,4_2_3_1,4_3_3,78:39
669,285,AutBL,2240995,Austria Wien,St. Polten,2016-07-24,14:30:00,Good,"Clear, Sun",29,-,4_2_3_1,4_4_2,87:07
670,286,AutBL,2240995,Austria Wien,St. Polten,2016-07-24,14:30:00,Good,"Clear, Sun",29,-,4_4_1_1,4_2_3_1,76:57
671,287,AutBL,2240995,Austria Wien,St. Polten,2016-07-24,14:30:00,Good,"Clear, Sun",29,-,4_2_3_1,4_2_3_1,83:26
672,288,AutBL,2240995,Austria Wien,St. Polten,2016-07-24,14:30:00,Good,"Clear, Sun",29,-,4_4_1_1,4_4_2,89:36
668,284,AutBL,2240994,Admira,Mattersburg,2016-07-24,17:00:00,"Excellent, Good",Cloud,25,-,4_3_3,4_2_3_1,75:40
666,282,AutBL,2240996,Wolfsberger AC,Salzburg,2016-07-30,14:00:00,Excellent,"Clear, Sun",29,-,4_3_3,4_4_1_1,67:56
667,283,AutBL,2240996,Wolfsberger AC,Salzburg,2016-07-30,14:00:00,Excellent,"Clear, Sun",29,-,4_3_3,4_4_2,61:10
665,281,AutBL,2240998,Sturm Graz,Ried,2016-07-30,16:30:00,Good,"Clear, Sun",23,-,4_2_3_1,4_2_3_1,74:37
661,277,AutBL,2241000,Rapid Wien,Rheindorf Altach,2016-07-31,14:30:00,Excellent,Cloud,23,-,3_5_2,4_2_3_1,77:11
662,278,AutBL,2241000,Rapid Wien,Rheindorf Altach,2016-07-31,14:30:00,Excellent,Rain,23,-,3_5_2,4_2_3_1,77:11
663,279,AutBL,2240997,Mattersburg,Austria Wien,2016-07-31,14:30:00,Excellent,Rain,23,-,4_2_3_1,4_3_3,76:11
664,280,AutBL,2240997,Mattersburg,Austria Wien,2016-07-31,14:30:00,Excellent,"Clear, Sun",23,-,4_2_3_1,4_3_3,76:11
660,276,AutBL,2240999,Admira,St. Polten,2016-07-31,17:00:00,Average,"Cloud, Rain",24,-,4_4_1_1,4_3_3,81:00
659,275,AutBL,2241001,Sturm Graz,Mattersburg,2016-08-06,14:00:00,Excellent,Sun,25,Hot,4_3_3,4_2_3_1,77:44
652,268,AutBL,2241002,St. Polten,Salzburg,2016-08-06,16:30:00,Average,"Cloud, Light Wind",18,-,4_2_3_1,4_4_2,81:24
653,269,AutBL,2241002,St. Polten,Salzburg,2016-08-06,16:30:00,Average,"Cloud, Light Wind",18,-,4_2_3_1,4_4_1_1,52:28
654,270,AutBL,2241003,Rheindorf Altach,Admira,2016-08-06,16:30:00,Good,"Light Wind, Sun",21,Hot,4_4_2,3_5_2,76:16
655,271,AutBL,2241003,Rheindorf Altach,Admira,2016-08-06,16:30:00,Good,"Light Wind, Sun",21,Hot,3_4_2_1,3_5_2,50:29
656,272,AutBL,2241003,Rheindorf Altach,Admira,2016-08-06,16:30:00,Good,"Light Wind, Sun",21,Hot,4_1_4_1,3_5_2,00:00
657,273,AutBL,2241003,Rheindorf Altach,Admira,2016-08-06,16:30:00,Good,"Light Wind, Sun",21,Hot,4_4_2,4_4_2,85:12
658,274,AutBL,2241004,Ried,Wolfsberger AC,2016-08-06,16:30:00,Good,Sun,21,-,4_4_1_1,4_2_3_1,75:02
650,266,AutBL,2241005,Rapid Wien,Austria Wien,2016-08-07,14:30:00,Excellent,Sun,25,Warm,4_4_2,4_2_3_1,87:42
651,267,AutBL,2241005,Rapid Wien,Austria Wien,2016-08-07,14:30:00,Excellent,Sun,25,Warm,4_2_3_1,4_2_3_1,59:57
649,265,AutBL,2241008,Salzburg,Ried,2016-08-13,14:00:00,Good,"Clear, Sun",26,Warm,4_2_3_1,4_2_3_1,72:53
645,261,AutBL,2241006,Admira,Rapid Wien,2016-08-13,16:30:00,Excellent,"Clear, Sun",23,Warm,4_2_3_1,4_4_1_1,71:34
646,262,AutBL,2241006,Admira,Rapid Wien,2016-08-13,16:30:00,Excellent,"Clear, Sun",23,Warm,4_2_3_1,4_5_1,62:29
647,263,AutBL,2241010,Wolfsberger AC,Mattersburg,2016-08-13,16:30:00,Good,Clear,23,-,4_2_3_1,4_4_1_1,72:39
648,264,AutBL,2241009,St. Polten,Rheindorf Altach,2016-08-13,16:30:00,Excellent,"Clear, Sun",26,Warm,3_5_2,4_4_1_1,76:05
644,260,AutBL,2241007,Austria Wien,Sturm Graz,2016-08-14,14:30:00,Excellent,"Clear, Sun",27,Warm,4_2_3_1,4_2_3_1,81:26
643,259,AutBL,2241015,Sturm Graz,St. Polten,2016-08-20,14:00:00,"Average, Patchy",Sun,21,-,4_4_1_1,4_2_3_1,77:54
639,255,AutBL,2241013,Ried,Admira,2016-08-20,16:30:00,Good,"Clear, Sun",27,Warm,4_1_4_1,4_2_3_1,90:27
640,256,AutBL,2241013,Ried,Admira,2016-08-20,16:30:00,Good,"Clear, Sun",27,Warm,4_2_3_1,4_2_3_1,91:42
641,257,AutBL,2241011,Mattersburg,Salzburg,2016-08-20,16:30:00,Excellent,Clear,27,Warm,4_2_3_1,4_2_3_1,73:35
642,258,AutBL,2241011,Mattersburg,Salzburg,2016-08-20,16:30:00,Excellent,Light Rain,27,Warm,4_2_3_1,4_2_3_1,73:35
638,254,AutBL,2241014,Rapid Wien,Wolfsberger AC,2016-08-21,14:30:00,Good,"Cloud, Light Rain",23,-,4_4_1_1,4_2_3_1,79:16
637,253,AutBL,2241012,Rheindorf Altach,Austria Wien,2016-08-21,17:00:00,Good,Light Rain,18,Warm,4_2_3_1,3_5_2,79:15
636,252,AutBL,2241017,Rheindorf Altach,Sturm Graz,2016-08-27,14:00:00,Excellent,"Clear, Sun",30,Hot,4_2_3_1,3_5_2,85:25
633,249,AutBL,2241020,St. Polten,Mattersburg,2016-08-27,16:30:00,Good,Sun,26,-,4_3_3,3_4_2_1,86:08
634,250,AutBL,2241018,Admira,Wolfsberger AC,2016-08-27,16:30:00,Excellent,"Clear, Sun",27,Warm,4_4_2,4_4_2,76:09
635,251,AutBL,2241018,Admira,Wolfsberger AC,2016-08-27,16:30:00,Excellent,"Clear, Sun",27,Warm,4_4_2,4_1_4_1,13:50
632,248,AutBL,2241016,Salzburg,Rapid Wien,2016-08-28,14:30:00,Excellent,"Clear, Sun",20,Warm,4_2_3_1,4_2_3_1,82:29
631,247,AutBL,2241019,Austria Wien,Ried,2016-08-28,17:00:00,Good,Sun,23,-,4_2_3_1,4_2_3_1,80:06
630,246,AutBL,2241023,Rapid Wien,Sturm Graz,2016-09-10,14:00:00,Excellent,"Clear, Sun",27,Warm,4_2_3_1,4_2_3_1,84:03
625,241,AutBL,2241025,Ried,St. Polten,2016-09-10,16:30:00,Good,"Clear, Sun",26,Warm,4_4_2,4_2_3_1,78:24
626,242,AutBL,2241025,Ried,St. Polten,2016-09-10,16:30:00,Good,"Clear, Sun",26,Warm,4_1_4_1,4_2_3_1,00:00
627,243,AutBL,2241021,Wolfsberger AC,Austria Wien,2016-09-10,16:30:00,Good,"Clear, Sun",22,-,4_2_3_1,4_4_2,82:24
628,244,AutBL,2241024,Mattersburg,Rheindorf Altach,2016-09-10,16:30:00,Good,"Clear, Sun",22,-,3_4_2_1,4_3_3,72:24
629,245,AutBL,2241024,Mattersburg,Rheindorf Altach,2016-09-10,16:30:00,Good,"Clear, Sun",22,-,3_4_2_1,4_2_3_1,00:00
