True,index,competition,gsm_id,awayteam_team2,hometeam_team1,kickoffDate,kickoffTime,pitchType,weatherType,tempCelcius,tempType,formation_team1,formation_team2,formation_time
192,173,AusAL,2238877,Melbourne Victory,Brisbane Roar,2016-10-07,08:50:00,Excellent,Clear,21,Warm,4_3_3,4_3_3,88:06
190,171,AusAL,2238878,Melbourne City,Wellington Phoenix,2016-10-08,06:35:00,Good,Cloud,14,-,4_2_3_1,4_4_2,69:06
191,172,AusAL,2238878,Melbourne City,Wellington Phoenix,2016-10-08,06:35:00,Good,Cloud,14,-,4_2_3_1,3_5_2,61:19
188,169,AusAL,2238879,Sydney,Western Sydney Wanderers,2016-10-08,08:50:00,Excellent,Clear,17,Warm,4_3_3,4_2_3_1,83:12
189,170,AusAL,2238879,Sydney,Western Sydney Wanderers,2016-10-08,08:50:00,Excellent,Clear,17,Warm,4_3_3,5_4_1,91:47
186,167,AusAL,2238880,Central Coast Mariners,Perth Glory,2016-10-08,11:00:00,Good,"Cloud, Light Rain, Wind",14,-,4_2_3_1,4_4_2,74:45
187,168,AusAL,2238880,Central Coast Mariners,Perth Glory,2016-10-08,11:00:00,Good,"Cloud, Wind",14,-,4_2_3_1,4_4_2,74:45
185,166,AusAL,2238881,Adelaide United,Newcastle Jets,2016-10-09,06:00:00,Good,Cloud,20,Warm,4_3_3,4_3_3,71:55
184,165,AusAL,2238882,Western Sydney Wanderers,Adelaide United,2016-10-14,08:50:00,Excellent,"Clear, Sun",20,Warm,4_3_3,4_3_2_1,84:44
183,164,AusAL,2238883,Central Coast Mariners,Sydney,2016-10-15,06:35:00,Excellent,"Clear, Sun",21,Warm,4_2_3_1,4_3_3,75:30
181,162,AusAL,2238884,Melbourne City,Melbourne Victory,2016-10-15,08:50:00,Excellent,Clear,21,Warm,3_5_2,4_4_1_1,75:45
182,163,AusAL,2238884,Melbourne City,Melbourne Victory,2016-10-15,08:50:00,Excellent,Clear,21,Warm,4_2_3_1,4_4_1_1,55:42
180,161,AusAL,2238885,Brisbane Roar,Newcastle Jets,2016-10-16,06:00:00,Good,"Clear, Wind",22,Warm,4_2_3_1,4_2_3_1,75:48
179,160,AusAL,2238886,Wellington Phoenix,Perth Glory,2016-10-16,08:00:00,Good,"Cloud, Sun",19,Warm,4_2_3_1,4_2_3_1,76:19
178,159,AusAL,2238887,Perth Glory,Melbourne City,2016-10-21,08:50:00,Good,"Cloud, Light Rain",10,-,4_2_3_1,4_2_3_1,77:36
176,157,AusAL,2238888,Brisbane Roar,Central Coast Mariners,2016-10-22,06:35:00,Good,"Cloud, Sun",18,Warm,4_2_3_1,4_2_3_1,84:25
177,158,AusAL,2238888,Brisbane Roar,Central Coast Mariners,2016-10-22,06:35:00,Good,"Cloud, Sun",18,Warm,4_3_3,4_2_3_1,00:00
174,155,AusAL,2238889,Melbourne Victory,Adelaide United,2016-10-22,08:50:00,Good,"Cloud, Sun",13,-,4_3_3,4_4_2,76:55
175,156,AusAL,2238889,Melbourne Victory,Adelaide United,2016-10-22,08:50:00,Good,"Cloud, Sun",13,-,4_3_3,4_3_3,66:44
172,153,AusAL,2238890,Sydney,Wellington Phoenix,2016-10-23,06:00:00,Good,"Cloud, Sun",14,-,4_4_2,4_2_3_1,79:11
173,154,AusAL,2238890,Sydney,Wellington Phoenix,2016-10-23,06:00:00,Good,"Cloud, Sun",14,-,4_2_3_1,4_2_3_1,60:25
171,152,AusAL,2238891,Newcastle Jets,Western Sydney Wanderers,2016-10-23,08:00:00,Good,"Cloud, Sun",16,Warm,4_2_3_1,4_2_3_1,74:35
170,151,AusAL,2238892,Adelaide United,Melbourne City,2016-10-28,08:50:00,Good,"Clear, Sun",15,Warm,4_2_3_1,4_3_3,85:02
168,149,AusAL,2238893,Sydney,Newcastle Jets,2016-10-29,06:35:00,Good,"Cloud, Light Rain",21,Warm,4_4_2,4_2_3_1,81:19
169,150,AusAL,2238893,Sydney,Newcastle Jets,2016-10-29,06:35:00,Good,"Cloud, Light Rain",21,Warm,4_2_3_1,4_2_3_1,00:00
167,148,AusAL,2238894,Central Coast Mariners,Western Sydney Wanderers,2016-10-29,08:50:00,Good,"Cloud, Sun",23,Warm,4_2_3_1,4_2_3_1,80:03
166,147,AusAL,2238895,Perth Glory,Brisbane Roar,2016-10-30,06:00:00,Good,"Cloud, Sun",24,Warm,4_2_3_1,4_2_3_1,79:32
164,145,AusAL,2238896,Wellington Phoenix,Melbourne Victory,2016-10-31,08:50:00,Good,Closed Roof,14,-,4_2_3_1,4_3_3,80:16
165,146,AusAL,2238896,Wellington Phoenix,Melbourne Victory,2016-10-31,08:50:00,Good,Closed Roof,14,-,3_5_2,4_3_3,83:56
163,144,AusAL,2238897,Melbourne City,Brisbane Roar,2016-11-04,08:50:00,Good,Clear,23,Warm,4_2_3_1,4_2_3_1,81:59
160,141,AusAL,2238898,Newcastle Jets,Wellington Phoenix,2016-11-05,06:35:00,Good,"Cloud, Sun",15,-,4_3_3,3_5_2,89:22
161,142,AusAL,2238898,Newcastle Jets,Wellington Phoenix,2016-11-05,06:35:00,Good,"Cloud, Sun",15,-,4_3_3,4_2_2_2,68:32
162,143,AusAL,2238898,Newcastle Jets,Wellington Phoenix,2016-11-05,06:35:00,Good,"Cloud, Sun",15,-,4_3_3,4_2_3_1,00:00
159,140,AusAL,2238899,Melbourne Victory,Sydney,2016-11-05,08:50:00,Good,Clear,22,Warm,4_2_3_1,4_2_3_1,92:12
158,139,AusAL,2238900,Central Coast Mariners,Adelaide United,2016-11-06,06:00:00,Good,"Clear, Sun",20,Warm,4_3_3,4_2_3_1,75:39
156,137,AusAL,2238901,Western Sydney Wanderers,Perth Glory,2016-11-06,08:00:00,Good,"Cloud, Sun",23,Warm,4_2_2_2,4_2_3_1,54:23
157,138,AusAL,2238901,Western Sydney Wanderers,Perth Glory,2016-11-06,08:00:00,Good,"Cloud, Sun",23,Warm,4_2_3_1,4_2_3_1,00:00
154,135,AusAL,2238902,Newcastle Jets,Melbourne City,2016-11-10,08:50:00,Good,"Cloud, Sun",15,-,4_3_3,4_2_3_1,85:21
155,136,AusAL,2238902,Newcastle Jets,Melbourne City,2016-11-10,08:50:00,Good,"Cloud, Sun",15,-,4_3_3,4_1_2_1_2,00:00
153,134,AusAL,2238903,Brisbane Roar,Adelaide United,2016-11-11,08:50:00,Good,"Cloud, Sun",23,Warm,4_3_3,4_2_3_1,73:33
151,132,AusAL,2238904,Wellington Phoenix,Central Coast Mariners,2016-11-12,06:35:00,Good,"Clear, Strong Wind, Sun",24,Warm,4_2_3_1,4_5_1,85:30
152,133,AusAL,2238904,Wellington Phoenix,Central Coast Mariners,2016-11-12,06:35:00,Good,"Clear, Strong Wind, Sun",24,Warm,4_2_3_1,4_4_2,00:00
150,131,AusAL,2238905,Western Sydney Wanderers,Melbourne Victory,2016-11-12,08:50:00,Good,Cloud,17,-,4_2_3_1,4_2_3_1,81:46
