True,index,competition,gsm_id,awayteam_team2,hometeam_team1,kickoffDate,kickoffTime,pitchType,weatherType,tempCelcius,tempType,formation_team1,formation_team2,formation_time
6794,294,SwiSL,2243181,Luzern,Lugano,2016-07-23,15:45:00,,Cloud,25,-,4_3_3,4_4_1_1,80:31
6793,293,SwiSL,2243182,Young Boys,St. Gallen,2016-07-23,18:00:00,Good,Cloud,26,-,4_1_4_1,4_4_1_1,84:42
6791,291,SwiSL,2243183,Lausanne Sport,Grasshopper,2016-07-24,11:45:00,Excellent,"Clear, Sun",26,-,4_1_4_1,4_1_2_1_2,84:49
6792,292,SwiSL,2243184,Vaduz,Thun,2016-07-24,11:45:00,Artificial,Sun,25,-,4_4_2,4_3_1_2,81:36
6790,290,SwiSL,2243185,Sion,Basel,2016-07-24,14:00:00,Excellent,"Clear, Sun",26,-,4_2_3_1,4_2_3_1,74:30
6789,289,SwiSL,2243186,St. Gallen,Sion,2016-07-30,15:45:00,Poor,Cloud,28,-,4_2_3_1,4_4_1_1,75:21
6788,288,SwiSL,2243187,Lugano,Young Boys,2016-07-30,18:00:00,"Artificial, Excellent",Clear,22,-,4_4_2,4_3_3,77:08
6786,286,SwiSL,2243188,Thun,Lausanne Sport,2016-07-31,11:45:00,Good,"Cloud, Rain",23,-,4_1_2_1_2,4_4_1_1,75:09
6787,287,SwiSL,2243189,Basel,Vaduz,2016-07-31,11:45:00,"Average, Uneven, Wet",Cloud,21,-,3_5_2,4_2_3_1,71:45
6782,282,SwiSL,2243190,Grasshopper,Luzern,2016-07-31,14:00:00,Good,Rain,17,-,4_4_1_1,4_1_4_1,84:51
6783,283,SwiSL,2243190,Grasshopper,Luzern,2016-07-31,14:00:00,Good,Rain,17,-,4_4_2,4_1_4_1,00:00
6784,284,SwiSL,2243190,Grasshopper,Luzern,2016-07-31,14:00:00,Good,Cloud,17,-,4_4_1_1,4_1_4_1,84:51
6785,285,SwiSL,2243190,Grasshopper,Luzern,2016-07-31,14:00:00,Good,Cloud,17,-,4_4_2,4_1_4_1,00:00
6781,281,SwiSL,2243191,Thun,Young Boys,2016-08-06,15:45:00,Artificial,Sun,22,-,4_4_2,4_4_1_1,74:53
6778,278,SwiSL,2243192,Lausanne Sport,Sion,2016-08-06,18:00:00,Average,Cloud,24,-,4_4_2,5_4_1,80:22
6779,279,SwiSL,2243192,Lausanne Sport,Sion,2016-08-06,18:00:00,Average,Cloud,24,-,4_2_3_1,5_4_1,61:20
6780,280,SwiSL,2243192,Lausanne Sport,Sion,2016-08-06,18:00:00,Average,Cloud,24,-,4_2_3_1,3_4_3,00:00
6775,275,SwiSL,2243194,Basel,Luzern,2016-08-07,11:45:00,Excellent,Sun,21,-,4_4_2,4_2_3_1,79:34
6776,276,SwiSL,2243194,Basel,Luzern,2016-08-07,11:45:00,Excellent,Sun,21,-,4_3_3,4_2_3_1,80:16
6777,277,SwiSL,2243193,Vaduz,Lugano,2016-08-07,11:45:00,Average,"Clear, Sun",27,Warm,4_3_3,4_2_3_1,79:34
6774,274,SwiSL,2243195,Grasshopper,St. Gallen,2016-08-07,14:00:00,"Dry, Good","Clear, Sun",17,Warm,4_4_2,4_2_3_1,69:45
6772,272,SwiSL,2243197,Luzern,Vaduz,2016-08-10,17:45:00,Good,Rain,14,-,4_2_3_1,4_4_2,82:27
6773,273,SwiSL,2243196,Sion,Lugano,2016-08-10,17:45:00,Average,Clear,18,-,4_3_3,4_2_3_1,74:29
6770,270,SwiSL,2243198,Young Boys,Basel,2016-08-10,18:30:00,Excellent,Cloud,14,-,4_2_3_1,4_2_3_1,79:48
6771,271,SwiSL,2243198,Young Boys,Basel,2016-08-10,18:30:00,Excellent,Cloud,14,-,4_2_3_1,5_4_1,66:14
