True,index,competition,gsm_id,awayteam_team2,hometeam_team1,kickoffDate,kickoffTime,pitchType,weatherType,tempCelcius,tempType,formation_team1,formation_team2,formation_time
7227,432,TurSL,2291149,Bursaspor,Adanaspor,2016-08-19,18:45:00,"Average, Good, Patchy",Clear,26,-,4_2_3_1,4_2_3_1,83:04
7221,426,TurSL,2291147,Kasimpasa,Trabzonspor,2016-08-20,16:30:00,Average,"Cloud, Light Rain",25,Warm,4_1_4_1,4_2_3_1,81:11
7222,427,TurSL,2291147,Kasimpasa,Trabzonspor,2016-08-20,16:30:00,Average,Cloud,25,Warm,4_1_4_1,4_2_3_1,81:11
7223,428,TurSL,2291147,Kasimpasa,Trabzonspor,2016-08-20,16:30:00,"Average, Wet","Cloud, Light Rain",25,Warm,4_1_4_1,4_2_3_1,81:11
7224,429,TurSL,2291147,Kasimpasa,Trabzonspor,2016-08-20,16:30:00,"Average, Wet",Cloud,25,Warm,4_1_4_1,4_2_3_1,81:11
7225,430,TurSL,2291151,Konyaspor,Rizespor,2016-08-20,16:30:00,Good,Clear,25,Warm,4_1_4_1,4_4_2,84:29
7226,431,TurSL,2291151,Konyaspor,Rizespor,2016-08-20,16:30:00,Good,Clear,25,Warm,4_2_3_1,4_4_2,68:11
7220,425,TurSL,2291146,Alanyaspor,Besiktas,2016-08-20,18:45:00,Excellent,Clear,27,Warm,4_2_3_1,4_2_3_1,83:30
7217,422,TurSL,2291150,Gaziantepspor,Genclerbirligi,2016-08-21,16:30:00,Good,Clear,28,-,4_2_3_1,4_2_3_1,84:35
7218,423,TurSL,2291145,Akhisar Belediyespor,Kayserispor,2016-08-21,16:30:00,Good,Clear,29,Warm,4_2_3_1,4_1_4_1,87:40
7219,424,TurSL,2291145,Akhisar Belediyespor,Kayserispor,2016-08-21,16:30:00,Good,Clear,29,Warm,4_2_3_1,4_4_1_1,45:00
7206,411,TurSL,2291144,Osmanlispor,Antalyaspor,2016-08-21,18:45:00,Average,Clear,29,Warm,4_4_1_1,4_4_2,82:12
7207,412,TurSL,2291144,Osmanlispor,Antalyaspor,2016-08-21,18:45:00,Average,Clear,29,Warm,4_4_2,4_4_2,69:06
7208,413,TurSL,2291144,Osmanlispor,Antalyaspor,2016-08-21,18:45:00,Average,Clear,29,Warm,4_4_1_1,4_2_3_1,39:25
