True,index,competition,gsm_id,awayteam_team2,hometeam_team1,kickoffDate,kickoffTime,pitchType,weatherType,tempCelcius,tempType,formation_team1,formation_team2,formation_time
5930,0,SweAV,2380151,Malmo FF,IFK Goteborg,2017-04-01,11:00:00,Average,Cloud,9,-,4_2_3_1,4_4_2,00:00
5931,1,SweAV,2380148,Ostersunds FK,Halmstad,2017-04-01,14:00:00,Average,"Cloud, Light Rain",11,-,4_4_2,3_5_2,00:00
5932,2,SweAV,2380153,Hacken,AIK,2017-04-02,13:00:00,Good,"Cloud, Sun",12,-,3_5_2,4_3_3,00:00
5933,3,SweAV,2380153,Hacken,AIK,2017-04-02,13:00:00,Good,"Cloud, Sun",12,-,3_5_2,5_3_2,92:29
5934,4,SweAV,2380149,AFC Eskilstuna,GIF Sundsvall,2017-04-02,13:00:00,Artificial,"Cloud, Rain",8,Cold,3_5_2,4_4_2,00:00
5935,5,SweAV,2380149,AFC Eskilstuna,GIF Sundsvall,2017-04-02,13:00:00,Artificial,Cloud,8,Cold,3_5_2,4_4_2,00:00
5936,6,SweAV,2380150,Hammarby,Norrkoping,2017-04-02,15:30:00,Good,"Light Wind, Sun",14,Warm,4_4_2,4_5_1,00:00
5937,7,SweAV,2380150,Hammarby,Norrkoping,2017-04-02,15:30:00,Good,"Light Wind, Sun",14,Warm,5_4_1,4_5_1,88:34
5938,8,SweAV,2380154,Sirius,Djurgarden,2017-04-03,17:00:00,Artificial,Cloud,10,-,4_4_2,4_2_3_1,00:00
5939,9,SweAV,2380154,Sirius,Djurgarden,2017-04-03,17:00:00,Artificial,Cloud,10,-,4_3_1_2,4_2_3_1,78:36
5940,10,SweAV,2380152,Elfsborg,Kalmar,2017-04-03,17:00:00,Good,"Cloud, Sun",10,-,4_4_1_1,4_4_2,00:00
5941,11,SweAV,2380152,Elfsborg,Kalmar,2017-04-03,17:00:00,Good,"Cloud, Sun",10,-,3_4_1_2,4_4_2,75:04
5942,12,SweAV,2380155,Jonkopings Sodra,Orebro,2017-04-03,17:00:00,Artificial,"Cloud, Sun",14,Warm,4_4_2,4_2_3_1,00:00
5943,13,SweAV,2380155,Jonkopings Sodra,Orebro,2017-04-03,17:00:00,Artificial,"Cloud, Sun",14,Warm,4_4_2,3_4_2_1,84:18
5944,14,SweAV,2380156,Orebro,AFC Eskilstuna,2017-04-08,14:00:00,Good,"Clear, Sun",5,Cold,4_4_2,4_4_2,00:00
5945,15,SweAV,2380160,Kalmar,Hammarby,2017-04-09,13:00:00,Good,"Clear, Sun",8,Cold,4_1_4_1,4_4_2,00:00
5946,16,SweAV,2380160,Kalmar,Hammarby,2017-04-09,13:00:00,Good,"Clear, Sun",8,Cold,4_4_2,4_4_2,73:57
5947,17,SweAV,2380158,Norrkoping,Ostersunds FK,2017-04-09,13:00:00,Artificial,Cloud,9,-,3_5_1_1,4_2_2_2,00:00
5948,18,SweAV,2380161,Djurgarden,Hacken,2017-04-09,15:30:00,Artificial,Sun,12,-,4_3_3,4_2_3_1,00:00
5949,19,SweAV,2380161,Djurgarden,Hacken,2017-04-09,15:30:00,Artificial,Sun,12,-,4_3_3,4_4_2,83:38
5950,20,SweAV,2380157,IFK Goteborg,Sirius,2017-04-09,15:30:00,"Poor, Uneven",Sun,11,-,4_2_3_1,4_2_3_1,00:00
5951,21,SweAV,2380159,Halmstad,Jonkopings Sodra,2017-04-09,15:30:00,"Poor, Soft, Uneven","Sun, Wind",12,Cold,4_2_3_1,4_2_2_2,00:00
5952,22,SweAV,2380162,AIK,Elfsborg,2017-04-10,17:00:00,"Excellent, Wet",Cloud,8,Cold,4_2_3_1,3_5_2,00:00
5953,23,SweAV,2380162,AIK,Elfsborg,2017-04-10,17:00:00,"Excellent, Wet",Cloud,8,Cold,3_4_3,3_5_2,82:37
5954,24,SweAV,2380163,GIF Sundsvall,Malmo FF,2017-04-11,16:30:00,Good,"Cloud, Sun",9,-,4_4_2,3_5_2,00:00
5955,25,SweAV,2380164,Malmo FF,Halmstad,2017-04-16,13:00:00,Good,"Clear, Sun",5,Cold,4_4_2,4_4_2,00:00
5956,26,SweAV,2380171,Ostersunds FK,Orebro,2017-04-16,13:00:00,Artificial,Clear,2,Cold,4_4_2,3_5_2,00:00
5957,27,SweAV,2380171,Ostersunds FK,Orebro,2017-04-16,13:00:00,Artificial,Clear,2,Cold,4_4_2,4_3_3,45:00
5958,28,SweAV,2380171,Ostersunds FK,Orebro,2017-04-16,13:00:00,Artificial,Clear,2,Cold,4_4_2,4_2_3_1,63:05
5959,29,SweAV,2380170,Elfsborg,Djurgarden,2017-04-16,15:30:00,Artificial,Cloud,3,Cold,4_2_3_1,4_4_1_1,00:00
