,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,José Luis Morales,,"€ 35,385","€ 1,840,000",CF,33,,"Jun 30, 2023",2-yrs,"€ 3,680,000",Levante,La Liga,2021-2022
1,José Campaña,,"€ 30,769","€ 1,600,000",CM,28,,"Jun 30, 2023",2-yrs,"€ 3,200,000",Levante,La Liga,2021-2022
2,Roger Martí,,"€ 22,500","€ 1,170,000",CF,30,,"Jun 30, 2024",3-yrs,"€ 3,510,000",Levante,La Liga,2021-2022
3,Aitor Fernández,,"€ 20,769","€ 1,080,000",GK,30,,"Jun 30, 2023",2-yrs,"€ 2,160,000",Levante,La Liga,2021-2022
4,Enis Bardhi,,"€ 19,615","€ 1,020,000",AM,26,,"Jun 30, 2022",1-yr,"€ 1,020,000",Levante,La Liga,2021-2022
5,Nikola Vukcevic,,"€ 18,462","€ 960,000",DM,29,,"Jun 30, 2022",1-yr,"€ 960,000",Levante,La Liga,2021-2022
6,Rúben Vezo,,"€ 14,423","€ 750,000",CB,27,,"Jun 30, 2024",3-yrs,"€ 2,250,000",Levante,La Liga,2021-2022
7,Nemanja Radoja,,"€ 13,077","€ 680,000",DM,28,,"Jun 30, 2022",1-yr,"€ 680,000",Levante,La Liga,2021-2022
8,Coke,,"€ 13,077","€ 680,000",RB,34,,"Jun 30, 2022",1-yr,"€ 680,000",Levante,La Liga,2021-2022
9,Gonzalo Melero,,"€ 10,385","€ 540,000",CM,27,,"Jun 30, 2023",2-yrs,"€ 1,080,000",Levante,La Liga,2021-2022
10,Mickaël Malsa,,"€ 10,192","€ 530,000",DM,25,,"Jun 30, 2024",3-yrs,"€ 1,590,000",Levante,La Liga,2021-2022
11,Óscar Duarte,,"€ 8,654","€ 450,000",CB,32,,"Jun 30, 2022",1-yr,"€ 450,000",Levante,La Liga,2021-2022
12,Sergio Postigo,,"€ 8,462","€ 440,000",CB,32,,"Jun 30, 2023",2-yrs,"€ 880,000",Levante,La Liga,2021-2022
13,Edgar Sevikyan,,"€ 8,077","€ 420,000",RW,19,,"Jun 30, 2022",1-yr,"€ 420,000",Levante,La Liga,2021-2022
14,Jorge de Frutos,,"€ 8,077","€ 420,000",RW,24,,"Jun 30, 2025",4-yrs,"€ 1,680,000",Levante,La Liga,2021-2022
15,Carlos Clerc,,"€ 7,885","€ 410,000",LB,29,,"Jun 30, 2022",1-yr,"€ 410,000",Levante,La Liga,2021-2022
16,Son,,"€ 6,923","€ 360,000",RB,27,,"Jun 30, 2024",3-yrs,"€ 1,080,000",Levante,La Liga,2021-2022
17,Jorge Miramón,,"€ 6,154","€ 320,000",RB,32,,"Jun 30, 2022",1-yr,"€ 320,000",Levante,La Liga,2021-2022
18,Rober Pier,,"€ 5,769","€ 300,000",CB,26,,"Jun 30, 2023",2-yrs,"€ 600,000",Levante,La Liga,2021-2022
19,Dani Cárdenas,,"€ 3,846","€ 200,000",GK,24,,"Jun 30, 2022",1-yr,"€ 200,000",Levante,La Liga,2021-2022
20,Pepelu,,"€ 3,269","€ 170,000",DM,22,,"Jun 30, 2022",1-yr,"€ 170,000",Levante,La Liga,2021-2022
21,Roger Brugué,,€ 0,€ 0,RW,24,,"Jun 30, 2025",4-yrs,€ 0,Levante,La Liga,2021-2022
22,Enric Franquesa,,€ 0,€ 0,LB,24,,"Jun 30, 2025",4-yrs,€ 0,Levante,La Liga,2021-2022
23,Dani Gómez,,€ 0,€ 0,CF,22,,"Jun 30, 2025",4-yrs,€ 0,Levante,La Liga,2021-2022
24,Sergio León,,€ 0,€ 0,CF,32,,"Jun 30, 2022",1-yr,€ 0,Levante,La Liga,2021-2022
25,Koke Vegas,,€ 0,€ 0,GK,25,,"Jun 30, 2022",1-yr,€ 0,Levante,La Liga,2021-2022
26,Alejandro Cantero,,€ 0,€ 0,LW,21,,"Jun 30, 2023",2-yrs,€ 0,Levante,La Liga,2021-2022
27,Hernâni,,€ 0,€ 0,RW,29,,"Jun 30, 2022",1-yr,€ 0,Levante,La Liga,2021-2022
28,Pablo Martínez,,€ 0,€ 0,CM,23,,"Jun 30, 2024",3-yrs,€ 0,Levante,La Liga,2021-2022
29,Roberto Soldado,,€ 0,€ 0,CF,36,,"Jun 30, 2023",2-yrs,€ 0,Levante,La Liga,2021-2022
