,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Gerard Piqué,,"€ 480,769","€ 25,000,000",CB,34,,"Jun 30, 2024",3-yrs,"€ 75,000,000",Barcelona,La Liga,2021-2022
1,Sergio Busquets,,"€ 423,077","€ 22,000,000",DM,33,,"Jun 30, 2023",2-yrs,"€ 44,000,000",Barcelona,La Liga,2021-2022
2,Philippe Coutinho,,"€ 420,769","€ 21,880,000",AM,29,,"Jun 30, 2023",2-yrs,"€ 43,760,000",Barcelona,La Liga,2021-2022
3,Jordi Alba,,"€ 400,577","€ 20,830,000",LB,32,,"Jun 30, 2024",3-yrs,"€ 62,490,000",Barcelona,La Liga,2021-2022
4,Ousmane Dembélé,,"€ 384,615","€ 20,000,000",RW,24,,"Jun 30, 2022",1-yr,"€ 20,000,000",Barcelona,La Liga,2021-2022
5,Frenkie de Jong,,"€ 307,692","€ 16,000,000",CM,24,,"Jun 30, 2026",5-yrs,"€ 80,000,000",Barcelona,La Liga,2021-2022
6,Samuel Umtiti,,"€ 269,231","€ 14,000,000",CB,27,,"Jun 30, 2023",2-yrs,"€ 28,000,000",Barcelona,La Liga,2021-2022
7,Memphis Depay,,"€ 200,385","€ 10,420,000",CF,27,,"Jun 30, 2023",2-yrs,"€ 20,840,000",Barcelona,La Liga,2021-2022
8,Sergio Agüero,,"€ 200,385","€ 10,420,000",CF,33,,"Jun 30, 2023",2-yrs,"€ 20,840,000",Barcelona,La Liga,2021-2022
9,Marc-André ter Stegen,,"€ 173,077","€ 9,000,000",GK,29,,"Jun 30, 2025",4-yrs,"€ 36,000,000",Barcelona,La Liga,2021-2022
10,Sergi Roberto,,"€ 173,077","€ 9,000,000",RB,29,,"Jun 30, 2022",1-yr,"€ 9,000,000",Barcelona,La Liga,2021-2022
11,Martin Braithwaite,,"€ 115,385","€ 6,000,000",CF,30,,"Jun 30, 2024",3-yrs,"€ 18,000,000",Barcelona,La Liga,2021-2022
12,Sergiño Dest,,"€ 115,385","€ 6,000,000",RB,20,,"Jun 30, 2025",4-yrs,"€ 24,000,000",Barcelona,La Liga,2021-2022
13,Neto,,"€ 115,385","€ 6,000,000",GK,32,,"Jun 30, 2023",2-yrs,"€ 12,000,000",Barcelona,La Liga,2021-2022
14,Clément Lenglet,,"€ 115,385","€ 6,000,000",CB,26,,"Jun 30, 2026",5-yrs,"€ 30,000,000",Barcelona,La Liga,2021-2022
15,Moussa Wagué,,"€ 96,154","€ 5,000,000",RB,22,,"Jun 30, 2023",2-yrs,"€ 10,000,000",Barcelona,La Liga,2021-2022
16,Pedri,,"€ 76,923","€ 4,000,000",CM,18,,"Jun 30, 2022",1-yr,"€ 4,000,000",Barcelona,La Liga,2021-2022
17,Riqui Puig,,"€ 76,923","€ 4,000,000",CM,21,,"Jun 30, 2023",2-yrs,"€ 8,000,000",Barcelona,La Liga,2021-2022
18,Ansu Fati,,"€ 76,923","€ 4,000,000",LW,18,,"Jun 30, 2022",1-yr,"€ 4,000,000",Barcelona,La Liga,2021-2022
19,Luuk de Jong,,"€ 23,077","€ 1,200,000",CF,30,,"Jun 30, 2022",1-yr,"€ 1,200,000",Barcelona,La Liga,2021-2022
20,Ronald Araújo,,"€ 4,231","€ 220,000",CB,22,,"Jun 30, 2023",2-yrs,"€ 440,000",Barcelona,La Liga,2021-2022
21,Óscar Mingueza,,"€ 4,231","€ 220,000",CB,22,,"Jun 30, 2023",2-yrs,"€ 440,000",Barcelona,La Liga,2021-2022
22,Emerson,,€ 0,€ 0,RB,22,,"Jun 30, 2024",3-yrs,€ 0,Barcelona,La Liga,2021-2022
23,Ilaix Moriba,,€ 0,€ 0,CM,18,,"Jun 30, 2022",1-yr,€ 0,Barcelona,La Liga,2021-2022
24,Eric García,,€ 0,€ 0,CB,20,,"Jun 30, 2026",5-yrs,€ 0,Barcelona,La Liga,2021-2022
