,Unnamed: 0,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,0,Daniel Baier,"€ 37,962","€ 1,974,000","€ 2,012,684",M,33,Germany,Augsburg,Bundesliga,2017-2018
1,1,Martin Hinteregger,"€ 22,846","€ 1,188,000","€ 1,211,281",D,24,Austria,Augsburg,Bundesliga,2017-2018
2,2,Jonathan Schmid,"€ 22,846","€ 1,188,000","€ 1,211,281",D,27,France,Augsburg,Bundesliga,2017-2018
3,3,Ja-cheol Koo,"€ 22,846","€ 1,188,000","€ 1,211,281",M,28,South Korea,Augsburg,Bundesliga,2017-2018
4,4,Philipp Max,"€ 22,769","€ 1,184,000","€ 1,207,203",D,23,Germany,Augsburg,Bundesliga,2017-2018
5,5,Jeffrey Gouweleeuw,"€ 19,038","€ 990,000","€ 1,009,401",D,25,Netherlands,Augsburg,Bundesliga,2017-2018
6,6,Michael Gregoritsch,"€ 18,981","€ 987,000","€ 1,006,342",F,23,Austria,Augsburg,Bundesliga,2017-2018
7,7,Marcel Heller,"€ 17,154","€ 892,000","€ 909,480",M,31,Germany,Augsburg,Bundesliga,2017-2018
8,8,Marwin Hitz,"€ 14,846","€ 772,000","€ 787,129",K,29,Switzerland,Augsburg,Bundesliga,2017-2018
9,9,Caiuby,"€ 14,846","€ 772,000","€ 787,129",F,28,Brazil,Augsburg,Bundesliga,2017-2018
10,10,Shawn Parker,"€ 14,846","€ 772,000","€ 787,129",F,24,Germany,Augsburg,Bundesliga,2017-2018
11,11,Fabian Giefer,"€ 14,846","€ 772,000","€ 787,129",K,27,Germany,Augsburg,Bundesliga,2017-2018
12,12,Gojko Kacar,"€ 14,846","€ 772,000","€ 787,129",M,30,Serbia,Augsburg,Bundesliga,2017-2018
13,13,Rani Khedira,"€ 9,904","€ 515,000","€ 525,092",M,23,Germany,Augsburg,Bundesliga,2017-2018
14,14,Christoph Janker,"€ 8,423","€ 438,000","€ 446,583",D,32,Germany,Augsburg,Bundesliga,2017-2018
15,15,Daniel Opare,"€ 8,423","€ 438,000","€ 446,583",D,26,Ghana,Augsburg,Bundesliga,2017-2018
16,16,Erik Thommy,"€ 8,423","€ 438,000","€ 446,583",M,22,Germany,Augsburg,Bundesliga,2017-2018
