,Player,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),"Adj. GrossBase Salary(2021, IN EUR)",Pos.,Age,Country,Team,League,Season
0,Jonathas,"€ 57,154","€ 2,972,000","€ 3,030,242",F,28,Brazil,Hannover,Bundesliga,2017-2018
1,Martin Harnik,"€ 47,462","€ 2,468,000","€ 2,516,365",F,30,Austria,Hannover,Bundesliga,2017-2018
2,Salif Sané,"€ 47,462","€ 2,468,000","€ 2,516,365",D,26,Senegal,Hannover,Bundesliga,2017-2018
3,Pirmin Schwegler,"€ 37,654","€ 1,958,000","€ 1,996,371",M,30,Switzerland,Hannover,Bundesliga,2017-2018
4,Matthias Ostrzolek,"€ 28,481","€ 1,481,000","€ 1,510,023",D,27,Germany,Hannover,Bundesliga,2017-2018
5,Oliver Sorg,"€ 28,481","€ 1,481,000","€ 1,510,023",D,27,Germany,Hannover,Bundesliga,2017-2018
6,Felix Klaus,"€ 24,769","€ 1,288,000","€ 1,313,241",F,24,Germany,Hannover,Bundesliga,2017-2018
7,Manuel Schmiedebach,"€ 19,808","€ 1,030,000","€ 1,050,185",M,28,Germany,Hannover,Bundesliga,2017-2018
8,Edgar Prib,"€ 19,808","€ 1,030,000","€ 1,050,185",M,27,Germany,Hannover,Bundesliga,2017-2018
9,Julian Korb,"€ 19,808","€ 1,030,000","€ 1,050,185",D,25,Germany,Hannover,Bundesliga,2017-2018
10,Ihlas Bebou,"€ 19,038","€ 990,000","€ 1,009,401",F,23,Togo,Hannover,Bundesliga,2017-2018
11,Felipe,"€ 19,038","€ 990,000","€ 1,009,401",D,30,Brazil,Hannover,Bundesliga,2017-2018
12,Waldemar Anton,"€ 15,250","€ 793,000","€ 808,540",D,20,Germany,Hannover,Bundesliga,2017-2018
13,Charlison Benschop,"€ 14,846","€ 772,000","€ 787,129",F,27,Curacao,Hannover,Bundesliga,2017-2018
14,Iver Fossum,"€ 14,846","€ 772,000","€ 787,129",M,20,Norway,Hannover,Bundesliga,2017-2018
15,Miiko Albornoz,"€ 14,846","€ 772,000","€ 787,129",D,26,Chile,Hannover,Bundesliga,2017-2018
16,Niclas Füllkrug,"€ 14,846","€ 772,000","€ 787,129",F,24,Germany,Hannover,Bundesliga,2017-2018
17,Michael Esser,"€ 13,212","€ 687,000","€ 700,463",K,29,Germany,Hannover,Bundesliga,2017-2018
18,Marvin Bakalorz,"€ 11,885","€ 618,000","€ 630,111",M,27,Germany,Hannover,Bundesliga,2017-2018
19,Sebastian Maier,"€ 9,654","€ 502,000","€ 511,838",M,23,Germany,Hannover,Bundesliga,2017-2018
20,Philipp Tschauner,"€ 8,423","€ 438,000","€ 446,583",K,31,Germany,Hannover,Bundesliga,2017-2018
21,Kenan Karaman,"€ 8,423","€ 438,000","€ 446,583",F,23,Turkey,Hannover,Bundesliga,2017-2018
22,Florian Hübner,"€ 7,923","€ 412,000","€ 420,074",D,26,Germany,Hannover,Bundesliga,2017-2018
23,Josip Elez,"€ 3,808","€ 198,000","€ 201,880",D,23,Croatia,Hannover,Bundesliga,2017-2018
24,Timo Hübers,€ 942,"€ 49,000","€ 49,960",D,20,Germany,Hannover,Bundesliga,2017-2018
25,Marlon Sündermann,€ 846,"€ 44,000","€ 44,862",K,19,Germany,Hannover,Bundesliga,2017-2018
26,Linton Maina,€ 442,"€ 23,000","€ 23,451",M,18,Germany,Hannover,Bundesliga,2017-2018
27,Noah Sarenren Bazee,€ 0,€ 0,€ 0,F,20,Nigeria,Hannover,Bundesliga,2017-2018
28,Samuel Sahin-Radlinger,€ 0,€ 0,€ 0,K,24,Austria,Hannover,Bundesliga,2017-2018
29,Mike Bähre,€ 0,€ 0,€ 0,M,21,Germany,Hannover,Bundesliga,2017-2018
